id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,beauty_score,vocabulory_score,maturity_score,bag_of_words_score,uniq_score,TTR
14834,6,2,7,122,45.9836065574,3,48,25,12,1,0,4.59836065574,2.29861559509,6,4,1,17.4285714286,8.15662995635,3,17,18,3,2,0,3,11,0,17,12,6,4,0,6,7,2,2,1,2,0,0,0,1.43215102121,46,5.6652173913,4.47213052449,86,1.41860465116
14835,6,3,10,180,47.3333333333,4,81,38,18,2,0,4.73333333333,2.34842155476,9,6,1,18.0,7.23878442834,5,28,25,6,3,1,2,15,0,28,15,9,4,0,9,10,4,3,1,2,1,0,1,1.9016266063,80,6.157375,3.58049216331,103,1.74757281553
14836,6,4,9,166,45.7228915663,1,70,34,13,2,1,4.57228915663,2.36724175273,8,3,2,18.4444444444,10.3613717572,2,24,16,5,10,3,3,10,0,31,13,5,1,0,9,10,3,2,0,1,3,0,0,2.5970044576,69,6.17260869565,6.25540724684,95,1.74736842105
14837,6,1,13,193,45.5440414508,17,89,35,12,1,0,4.55440414508,2.23802223477,7,5,2,15.0769230769,12.3067307317,4,24,28,3,5,5,1,5,1,22,10,38,4,1,3,16,3,6,0,2,2,2,2,6.84845358609,70,5.794,6.70122642742,109,1.77064220183
14838,6,3,11,162,46.5432098765,1,74,37,14,0,0,4.65432098765,2.38869227367,7,3,0,14.7272727273,7.53284817668,0,23,20,4,8,0,1,18,0,23,12,10,4,0,5,10,5,5,0,0,1,0,0,2.60463735574,67,6.22298507463,8.04913800814,85,1.90588235294
14839,6,4,11,168,50.5357142857,4,88,45,20,5,2,5.05357142857,2.64746840679,9,4,0,15.2727272727,6.25359400797,3,28,22,2,5,1,0,15,2,39,8,8,3,0,8,10,4,5,0,2,0,0,0,2.74590414805,65,7.73938461538,2.67491508353,97,1.73195876289
14840,6,3,7,148,47.9054054054,5,67,34,16,3,1,4.79054054054,2.53211583269,6,5,2,21.1428571429,10.6560321137,5,25,20,3,5,0,1,7,0,29,7,10,5,1,4,5,5,4,1,3,2,0,0,1.33638286326,65,6.39138461538,0.0,84,1.7619047619
14841,6,3,6,128,51.328125,10,62,36,16,4,3,5.1328125,2.69257098036,5,4,1,21.3333333333,12.7104506433,4,17,16,2,4,2,0,9,0,21,10,14,1,1,9,9,4,2,0,0,0,0,0,1.76685759915,58,6.96086206897,3.57700748366,88,1.45454545455
14842,6,3,10,114,47.4561403509,5,51,24,10,0,0,4.74561403509,2.18932002823,5,2,0,11.4,6.87313611098,1,16,13,4,1,1,0,5,1,18,8,6,5,0,2,12,3,4,2,1,2,0,2,2.41287507287,56,6.04625,1.33745754176,76,1.5
14843,6,3,12,130,46.6923076923,1,54,27,10,0,0,4.66923076923,2.2495079963,4,0,0,10.8333333333,4.01732359773,2,19,11,4,7,1,1,13,0,20,10,5,2,1,10,7,1,1,2,1,0,0,0,1.65508106422,59,6.14084745763,4.02282666425,83,1.56626506024
