id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,beauty_score,vocabulory_score,maturity_score,bag_of_words_score,uniq_score,TTR
11827,5,2,9,132,44.3939393939,13,48,24,6,2,0,4.43939393939,2.07219902282,6,4,2,14.6666666667,10.1324561024,7,12,14,2,3,2,0,4,0,17,7,13,11,9,3,13,6,5,0,0,0,0,3,4.38720062504,57,5.51438596491,7.95895163429,80,1.65
11828,5,2,8,167,43.1137724551,6,65,29,10,0,0,4.31137724551,2.19227612262,7,5,3,20.875,10.3251815965,6,10,18,2,8,0,0,12,1,15,14,8,13,11,11,8,3,1,1,6,0,0,6,2.93197178002,65,6.12692307692,5.96921372572,98,1.70408163265
11829,5,3,7,109,47.0642201835,9,47,26,7,1,0,4.70642201835,2.29452953418,5,3,1,15.5714285714,8.54997314711,4,18,14,0,4,0,1,5,2,22,7,10,2,2,4,6,1,2,1,5,0,0,0,1.46296429624,43,5.48627906977,0,75,1.45333333333
11830,5,1,4,71,44.6478873239,12,35,9,1,0,0,4.46478873239,1.73065624148,2,1,1,17.75,17.2681064393,7,8,7,2,2,0,0,4,0,9,5,3,1,3,2,2,2,2,2,3,0,1,2,1.01878949287,30,5.63366666667,0,40,1.775
11831,5,3,9,127,42.8346456693,7,45,24,7,1,0,4.28346456693,2.21071574201,7,3,0,14.1111111111,6.41949192251,8,8,16,0,5,0,2,11,0,16,8,5,9,9,7,10,1,1,0,7,0,0,0,2.7850607431,46,5.57,0,66,1.92424242424
11832,5,3,7,150,43.5333333333,2,55,28,8,1,0,4.35333333333,2.14612704599,6,5,3,21.4285714286,12.0339655364,10,20,17,2,2,0,1,17,0,24,10,0,7,7,7,4,2,0,1,9,0,0,1,2.87564159387,55,5.53581818182,0.3035158549,91,1.64835164835
11833,5,3,12,170,46.8235294118,13,66,36,15,5,0,4.68235294118,2.41891835921,9,5,1,14.1666666667,9.25412820793,9,22,24,4,1,3,0,5,0,29,13,16,7,5,7,6,1,1,2,3,1,0,4,2.1901500864,72,6.01125,0,91,1.86813186813
11834,5,4,14,212,46.7452830189,5,92,37,15,4,1,4.67452830189,2.25037380026,9,5,4,15.1428571429,10.97957287,13,27,27,2,2,0,0,11,1,44,15,1,8,11,14,14,2,5,1,3,1,1,1,3.0864153827,98,5.58357142857,4.97434477143,111,1.90990990991
11835,5,3,11,158,45.7594936709,15,66,32,17,5,1,4.57594936709,2.51440259914,8,2,1,14.5454545455,7.24083918245,6,13,21,1,6,1,1,17,0,27,9,17,2,11,8,5,4,3,1,7,2,0,1,4.0608936485,49,6.28081632653,8.36363944082,78,2.02564102564
11836,5,3,11,146,41.6438356164,6,48,19,8,0,0,4.16438356164,2.01726136395,6,5,1,13.2727272727,10.8048045634,7,17,14,2,5,1,1,4,1,26,3,4,12,4,8,9,3,3,7,6,2,1,4,2.60081102922,56,5.85196428571,2.98460686286,85,1.71764705882
