0.0
0.0
0.0
0.0
0.0
(0.008421937949786445, 22)
(0.015547499342468072, 25)
(0.01689338321858474, 15)
(0.022410291296577553, 14)
(0.032046063711301885, 23)
(0.03766786055664067, 41)
(0.04981771648508196, 18)
(0.06606702515852668, 40)
(0.07395309640686973, 48)
(0.07436809879340478, 31)
(0.08722104910737777, 24)
(0.10504573989348182, 26)
(0.10605371318538045, 28)
(0.10702063190501199, 50)
(0.11402512542298726, 45)
(0.11909294827733544, 53)
(0.12690780892806222, 8)
(0.1386859893514472, 47)
(0.14207282443129524, 10)
(0.15003850929515783, 54)
(0.165601137202641, 2)
(0.165601137202641, 9)
(0.18713142285062365, 13)
(0.1989067461712367, 20)
(0.21952434082592223, 35)
(0.22321718123976333, 51)
(0.22323738380138808, 46)
(0.25240099719162656, 3)
(0.2574543686979307, 37)
(0.2620715078673261, 38)
(0.27706013960074866, 7)
(0.29106027580861216, 43)
(0.30314276089272263, 42)
(0.3201084762612676, 44)
(0.33183546893573207, 16)
(0.3373120751979663, 21)
(0.3977631863515727, 12)
(0.4055133850582073, 39)
(0.4095951528939269, 34)
(0.48513846687435946, 0)
(0.4892815621913883, 6)
(0.5033017182866568, 30)
(0.5139156321573071, 17)
(0.5327141333505265, 19)
(0.5460914497433246, 33)
(0.5804261734036685, 11)
(0.600309659859835, 52)
(0.6077044467193528, 5)
(0.6118280112387918, 1)
(0.638249689341671, 4)
