id,set,human_score,mean_char
17834,7,15,4.37777777778
17836,7,13,3.85106382979
17837,7,15,3.98051948052
17838,7,17,4.07834101382
17839,7,13,4.27152317881
17840,7,23,4.5744047619
17841,7,16,3.70588235294
17842,7,18,4.23015873016
17843,7,12,3.80222841226
17844,7,10,3.80681818182
17845,7,16,3.73863636364
17846,7,19,4.12068965517
17847,7,17,3.82887700535
17849,7,14,3.67878787879
17850,7,12,4.04848484848
17851,7,16,3.80357142857
17852,7,17,4.0
17853,7,16,4.57608695652
17854,7,21,3.75824175824
17856,7,14,3.55395683453
17857,7,18,3.91503267974
17858,7,24,3.87755102041
17859,7,17,3.83783783784
17860,7,16,4.22340425532
17861,7,16,3.64285714286
17862,7,9,3.96116504854
17863,7,6,4.25490196078
17864,7,10,3.51428571429
17865,7,17,4.08921933086
17867,7,16,3.64571428571
17868,7,15,4.08761329305
17869,7,11,4.41071428571
17870,7,19,4.4140625
17871,7,24,4.57480314961
17872,7,18,3.91719745223
17873,7,16,3.71144278607
17874,7,20,3.69230769231
17875,7,12,3.56497175141
17876,7,19,4.3018018018
17878,7,10,4.47540983607
17879,7,7,3.61363636364
17880,7,16,4.25454545455
17881,7,12,3.83243243243
17882,7,12,3.49315068493
17883,7,20,3.77314814815
17884,7,24,4.11261261261
17885,7,9,3.60606060606
17886,7,9,3.54545454545
17887,7,20,3.756
17888,7,16,3.87692307692
17889,7,8,3.46923076923
17890,7,15,4.088
17891,7,20,3.578125
17892,7,17,3.75903614458
17893,7,18,3.65934065934
17894,7,13,3.95454545455
17896,7,12,4.07843137255
17897,7,20,3.82183908046
17898,7,16,3.9175257732
17899,7,24,4.40202702703
17900,7,16,3.68789808917
17901,7,10,3.35555555556
17902,7,17,3.5611814346
17903,7,12,3.33734939759
17904,7,17,4.0625
17905,7,8,3.15584415584
17906,7,22,4.34146341463
17908,7,24,3.88421052632
17909,7,21,3.805
17910,7,19,3.71615720524
17911,7,19,3.84916201117
17912,7,12,4.31176470588
17913,7,16,3.625
17914,7,12,4.20535714286
17915,7,15,3.71794871795
17916,7,9,3.70114942529
17917,7,8,3.27619047619
17918,7,14,3.96992481203
17919,7,23,3.55859375
17920,7,14,3.80952380952
17921,7,10,3.71361502347
17922,7,17,3.859375
17923,7,21,4.03448275862
17924,7,24,4.46101694915
17926,7,21,3.96563573883
17927,7,6,3.57142857143
17928,7,12,3.60465116279
17930,7,21,3.54464285714
17931,7,24,4.09239130435
17932,7,24,3.87936507937
17933,7,15,3.82105263158
17935,7,14,3.62903225806
17936,7,9,3.39583333333
17937,7,9,3.72307692308
17938,7,9,4.06730769231
17939,7,22,4.14574898785
17940,7,8,3.45
17941,7,15,3.70072992701
17942,7,20,4.56034482759
17943,7,10,3.26347305389
17944,7,18,3.65333333333
17945,7,18,4.21705426357
17946,7,14,3.84210526316
17947,7,23,3.90853658537
17949,7,6,3.45161290323
17950,7,11,3.5
17951,7,9,3.4
17952,7,21,3.80295566502
17953,7,16,3.58552631579
17954,7,11,3.575
17955,7,20,4.35172413793
17957,7,8,4.05
17959,7,7,4.13095238095
17961,7,17,3.75301204819
17962,7,14,4.35333333333
17963,7,22,3.89677419355
17964,7,21,4.40909090909
17965,7,12,3.83233532934
17966,7,18,3.76063829787
17967,7,12,4.28476821192
17968,7,19,4.25899280576
17969,7,16,3.92561983471
17970,7,11,4.60714285714
17971,7,18,4.75403225806
17973,7,15,3.67605633803
17974,7,17,4.00490196078
17975,7,16,4.05213270142
17976,7,9,4.59130434783
17977,7,16,3.7397260274
17978,7,9,3.57894736842
17979,7,17,3.62222222222
17980,7,24,4.11224489796
17981,7,11,4.26206896552
17982,7,9,3.84615384615
17983,7,18,3.79310344828
17984,7,18,4.09933774834
17985,7,14,3.63302752294
17986,7,17,3.77394636015
17987,7,18,3.54929577465
17988,7,15,3.89908256881
17989,7,13,3.75
17990,7,11,4.04926108374
17991,7,24,3.70392749245
17992,7,7,4.13793103448
17993,7,17,3.83870967742
17996,7,11,3.3488372093
17997,7,16,3.69191919192
17998,7,17,3.65030674847
18000,7,22,4.06440677966
18001,7,12,3.05970149254
18002,7,12,3.28229665072
18004,7,16,3.44134078212
18005,7,20,3.86382978723
18006,7,16,3.72115384615
18008,7,15,3.5447761194
18011,7,8,4.04597701149
18012,7,17,4.69897959184
18013,7,13,3.5900621118
18014,7,20,4.20833333333
18015,7,14,3.71042471042
18016,7,24,4.70479704797
18017,7,17,3.90995260664
18018,7,12,3.67142857143
18019,7,20,3.89642857143
18020,7,13,3.67289719626
18021,7,16,3.78640776699
18022,7,18,3.80743243243
18023,7,12,3.49079754601
18025,7,21,4.0599078341
18026,7,19,3.90697674419
18028,7,23,3.7614213198
18029,7,17,3.5
18030,7,21,3.92279411765
18031,7,9,4.02739726027
18032,7,15,3.34343434343
18033,7,12,3.47058823529
18034,7,24,3.97862232779
18035,7,16,3.77922077922
18036,7,8,3.92156862745
18037,7,13,3.72527472527
18038,7,21,3.85714285714
18039,7,16,4.10769230769
18040,7,9,3.53333333333
18041,7,17,3.96551724138
18042,7,16,4.0
18043,7,7,3.91549295775
18044,7,16,4.41666666667
18045,7,19,4.22033898305
18046,7,8,3.63541666667
18047,7,22,3.92342342342
18048,7,18,4.25925925926
18049,7,18,3.87136929461
18050,7,8,3.26865671642
18051,7,18,4.32369942197
18052,7,17,4.0625
18053,7,24,4.1797235023
18054,7,12,3.92948717949
18055,7,16,3.94444444444
18056,7,22,4.45425867508
18057,7,14,3.94444444444
18058,7,18,3.89240506329
18060,7,8,3.65957446809
18061,7,15,3.50230414747
18062,7,17,4.38405797101
18064,7,17,3.55704697987
18065,7,14,3.75789473684
18066,7,23,4.2243902439
18067,7,17,4.4358974359
18068,7,24,4.24590163934
18070,7,20,4.12389380531
18071,7,16,3.71627906977
18072,7,15,3.84415584416
18073,7,18,4.28125
18074,7,17,3.51526717557
18075,7,16,5.03797468354
18076,7,13,3.79372197309
18077,7,18,3.94
18078,7,19,4.41379310345
18079,7,22,3.9698630137
18080,7,8,4.04046242775
18081,7,23,3.56647398844
18082,7,14,3.53237410072
18083,7,14,3.5625
18084,7,15,4.22377622378
