id,set,human_score,word_18
2978,2,4,12
2979,2,1,3
2980,2,2,5
2981,2,4,7
2982,2,4,2
2983,2,4,3
2984,2,5,15
2985,2,2,21
2986,2,4,7
2987,2,4,9
2988,2,3,8
2989,2,3,7
2990,2,5,12
2991,2,3,9
2992,2,3,3
2993,2,3,8
2994,2,4,10
2995,2,3,10
2996,2,1,5
2997,2,3,6
2998,2,3,10
2999,2,3,6
3000,2,3,6
3001,2,4,13
3002,2,3,10
3003,2,4,11
3004,2,4,4
3005,2,2,1
3006,2,3,9
3007,2,3,4
3008,2,4,4
3009,2,3,12
3010,2,3,4
3011,2,4,9
3012,2,3,6
3013,2,4,7
3014,2,4,10
3015,2,3,9
3016,2,3,9
3017,2,4,10
3018,2,3,12
3019,2,4,4
3020,2,4,18
3021,2,4,12
3022,2,4,4
3023,2,4,8
3024,2,4,18
3025,2,3,7
3026,2,4,6
3027,2,3,9
3028,2,5,11
3029,2,3,6
3030,2,4,7
3031,2,3,5
3032,2,4,17
3033,2,4,11
3034,2,4,20
3035,2,2,4
3036,2,3,7
3037,2,4,8
3038,2,2,3
3039,2,3,5
3040,2,3,10
3041,2,4,5
3042,2,4,8
3043,2,3,5
3044,2,3,6
3045,2,4,5
3046,2,3,4
3047,2,3,7
3048,2,3,10
3049,2,4,4
3050,2,2,7
3051,2,4,9
3052,2,4,10
3053,2,3,8
3054,2,3,11
3055,2,3,9
3056,2,3,8
3057,2,3,3
3058,2,3,9
3059,2,3,9
3060,2,4,9
3061,2,3,8
3062,2,3,4
3063,2,4,9
3064,2,3,9
3065,2,3,3
3066,2,1,1
3067,2,4,11
3068,2,2,5
3069,2,4,13
3070,2,3,7
3071,2,4,6
3072,2,4,21
3073,2,4,24
3074,2,4,15
3075,2,4,20
3076,2,3,6
3077,2,5,14
3078,2,3,10
3079,2,3,12
3080,2,4,8
3081,2,4,8
3082,2,3,4
3083,2,3,10
3084,2,3,13
3085,2,3,4
3086,2,2,0
3087,2,2,4
3088,2,3,2
3089,2,3,8
3090,2,3,2
3091,2,2,6
3092,2,3,4
3093,2,3,6
3094,2,4,9
3095,2,2,5
3096,2,1,3
3097,2,3,15
3098,2,3,4
3099,2,4,18
3100,2,3,6
3101,2,3,4
3102,2,3,6
3103,2,3,8
3104,2,5,10
3105,2,3,3
3106,2,4,17
3107,2,3,12
3108,2,3,7
3109,2,3,9
3110,2,3,6
3111,2,3,9
3112,2,3,8
3113,2,3,5
3114,2,4,11
3115,2,4,11
3116,2,3,5
3117,2,3,10
3118,2,2,4
3119,2,4,16
3120,2,3,9
3121,2,4,12
3122,2,4,9
3123,2,4,7
3124,2,4,5
3125,2,4,20
3126,2,4,15
3127,2,3,10
