id,set,human_score,word_count
14834,6,2,122
14835,6,3,180
14836,6,4,166
14837,6,1,193
14838,6,3,162
14839,6,4,168
14840,6,3,148
14841,6,3,128
14842,6,3,114
14843,6,3,130
14844,6,3,233
14845,6,4,312
14846,6,4,213
14847,6,3,195
14848,6,2,135
14849,6,3,152
14850,6,1,141
14851,6,3,126
14852,6,3,87
14853,6,2,88
14854,6,3,114
14855,6,4,244
14856,6,2,177
14857,6,4,233
14858,6,3,116
14859,6,2,167
14860,6,3,210
14861,6,3,198
14862,6,3,159
14863,6,3,109
14864,6,4,169
14865,6,3,175
14866,6,2,63
14867,6,2,102
14868,6,3,204
14869,6,2,146
14870,6,2,130
14871,6,3,134
14872,6,3,144
14873,6,2,112
14874,6,1,112
14875,6,3,101
14876,6,3,197
14877,6,2,100
14878,6,2,135
14879,6,3,129
14880,6,3,158
14881,6,4,194
14882,6,4,224
14883,6,3,220
14884,6,3,149
14885,6,2,185
14886,6,3,164
14887,6,3,179
14888,6,2,174
14889,6,3,169
14890,6,3,166
14891,6,1,130
14892,6,3,200
14893,6,2,84
14894,6,4,186
14895,6,2,161
14896,6,4,260
14897,6,3,177
14898,6,4,191
14899,6,1,104
14900,6,3,136
14901,6,1,32
14902,6,4,212
14903,6,3,163
14904,6,3,197
14905,6,1,74
14906,6,3,112
14907,6,3,116
14908,6,2,146
14909,6,3,142
14910,6,3,86
14911,6,1,65
14912,6,3,104
14913,6,3,152
14914,6,3,177
14915,6,3,111
14916,6,3,162
14917,6,3,164
14918,6,3,168
14919,6,2,120
14920,6,3,177
14921,6,3,177
14922,6,3,198
14923,6,3,168
14924,6,3,156
14925,6,3,144
14926,6,3,246
14927,6,2,80
14928,6,2,182
14929,6,2,102
14930,6,4,154
14931,6,2,85
14932,6,3,177
14933,6,4,170
14934,6,4,215
14935,6,3,109
14936,6,3,117
14937,6,1,140
14938,6,3,177
14939,6,0,55
14940,6,3,187
14941,6,3,243
14942,6,3,208
14943,6,3,204
14944,6,4,204
14945,6,2,75
14946,6,3,144
14947,6,3,215
14948,6,2,137
14949,6,1,63
14950,6,3,200
14951,6,0,134
14952,6,2,67
14953,6,3,186
14954,6,2,116
14955,6,3,118
14956,6,4,314
14957,6,0,38
14958,6,2,65
14959,6,3,157
14960,6,3,170
14961,6,3,141
14962,6,2,172
14963,6,4,177
14964,6,2,132
14965,6,2,91
14966,6,3,155
14967,6,4,222
14968,6,3,168
14969,6,2,85
14970,6,3,155
14971,6,3,177
14972,6,4,201
14973,6,1,106
14974,6,3,115
14975,6,3,130
14976,6,3,153
14977,6,3,149
14978,6,4,231
14979,6,1,57
14980,6,3,131
14981,6,3,144
14982,6,4,150
14983,6,2,87
14984,6,3,121
14985,6,0,176
14986,6,3,141
14987,6,4,199
14988,6,3,199
14989,6,3,129
14990,6,4,198
14991,6,3,177
14992,6,3,95
14993,6,2,107
14994,6,3,267
14995,6,4,253
14996,6,2,123
14997,6,1,77
14998,6,3,164
14999,6,4,184
15000,6,4,264
15001,6,3,175
15002,6,3,129
15003,6,1,119
15004,6,4,268
15005,6,3,119
15006,6,3,175
15007,6,3,176
15008,6,3,193
15009,6,4,237
15010,6,1,30
15011,6,3,215
15012,6,3,138
15013,6,2,54
15014,6,2,112
15015,6,3,124
15016,6,2,45
15017,6,0,6
15018,6,2,90
15019,6,3,248
15020,6,2,93
15021,6,3,176
15022,6,3,187
15023,6,3,126
15024,6,3,123
15025,6,1,78
15026,6,3,188
15027,6,3,141
15028,6,2,89
15029,6,4,195
15030,6,4,174
15031,6,3,222
