id,set,human_score,vocabulory_score
11827,5,2,57
11828,5,2,65
11829,5,3,43
11830,5,1,30
11831,5,3,46
11832,5,3,55
11833,5,3,72
11834,5,4,98
11835,5,3,49
11836,5,3,56
11837,5,1,8
11838,5,1,96
11839,5,1,28
11840,5,1,34
11841,5,2,46
11842,5,2,54
11843,5,4,61
11844,5,3,77
11845,5,2,46
11846,5,2,41
11847,5,4,76
11848,5,2,71
11849,5,2,42
11850,5,4,69
11851,5,2,42
11852,5,2,57
11853,5,2,33
11854,5,1,15
11855,5,3,54
11856,5,4,50
11857,5,4,97
11858,5,3,35
11859,5,2,48
11860,5,3,58
11861,5,3,61
11862,5,3,28
11863,5,3,49
11864,5,2,52
11865,5,3,61
11866,5,4,110
11867,5,2,41
11868,5,3,37
11869,5,3,45
11870,5,2,34
11871,5,1,19
11872,5,3,51
11873,5,3,63
11874,5,3,53
11875,5,3,70
11876,5,2,33
11877,5,2,8
11878,5,3,76
11879,5,2,28
11880,5,1,18
11881,5,3,48
11882,5,3,46
11883,5,3,72
11884,5,4,120
11885,5,2,24
11886,5,3,72
11887,5,2,28
11888,5,1,26
11889,5,2,29
11890,5,2,22
11891,5,3,48
11892,5,2,37
11893,5,3,61
11894,5,2,46
11895,5,3,50
11896,5,3,56
11897,5,3,35
11898,5,3,57
11899,5,3,55
11900,5,3,70
11901,5,3,64
11902,5,1,22
11903,5,1,14
11904,5,3,70
11905,5,3,48
11906,5,4,67
11907,5,2,23
11908,5,3,51
11909,5,2,29
11910,5,1,27
11911,5,3,45
11912,5,2,12
11913,5,2,43
11914,5,1,16
11915,5,2,37
11916,5,3,70
11917,5,2,53
11918,5,2,21
11919,5,1,24
11920,5,3,46
11921,5,3,45
11922,5,2,35
11923,5,2,42
11924,5,2,43
11925,5,2,42
11926,5,1,36
11927,5,2,20
11928,5,3,62
11929,5,2,43
11930,5,2,26
11931,5,3,32
11932,5,4,111
11933,5,3,60
11934,5,3,41
11935,5,1,7
11936,5,2,55
11937,5,4,115
11938,5,3,68
11939,5,3,69
11940,5,2,47
11941,5,3,65
11942,5,3,66
11943,5,3,50
11944,5,2,26
11945,5,4,74
11946,5,3,51
11947,5,2,41
11948,5,2,29
11949,5,3,61
11950,5,1,12
11951,5,3,46
11952,5,1,19
11953,5,1,15
11954,5,4,112
