id,set,human_score,word_18
5978,3,1,1
5979,3,2,4
5980,3,1,2
5981,3,1,2
5982,3,2,2
5983,3,1,1
5984,3,1,0
5985,3,0,1
5986,3,2,0
5987,3,3,3
5988,3,3,3
5989,3,1,3
5990,3,3,3
5991,3,2,2
5992,3,1,2
5993,3,2,3
5994,3,2,2
5995,3,2,2
5996,3,1,2
5997,3,2,0
5998,3,2,2
5999,3,1,1
6000,3,2,3
6001,3,1,2
6002,3,2,3
6003,3,3,5
6004,3,1,1
6005,3,3,1
6006,3,2,2
6007,3,3,5
6008,3,1,3
6010,3,1,2
6011,3,1,1
6012,3,0,1
6013,3,1,1
6014,3,3,4
6015,3,2,2
6016,3,3,6
6017,3,1,1
6018,3,2,1
6019,3,1,1
6020,3,2,2
6021,3,2,0
6022,3,2,2
6023,3,2,5
6024,3,1,1
6025,3,1,1
6026,3,3,3
6027,3,3,8
6028,3,2,0
6029,3,1,2
6030,3,3,2
6031,3,3,3
6032,3,2,1
6033,3,3,3
6034,3,2,4
6035,3,1,2
6036,3,2,4
6037,3,2,1
6038,3,2,3
6039,3,1,3
6040,3,1,2
6041,3,2,0
6042,3,2,3
6043,3,1,0
6044,3,2,0
6045,3,2,4
6046,3,1,3
6047,3,1,0
6048,3,1,0
6049,3,1,1
6050,3,3,6
6051,3,1,2
6052,3,2,5
6053,3,1,2
6054,3,1,2
6055,3,2,2
6056,3,1,1
6057,3,3,3
6058,3,2,3
6059,3,1,1
6060,3,1,2
6061,3,3,7
6062,3,1,2
6063,3,2,2
6064,3,2,1
6065,3,2,1
6066,3,1,2
6067,3,1,0
6068,3,2,1
6069,3,2,3
6070,3,2,3
6071,3,2,2
6072,3,2,0
6073,3,2,3
6074,3,2,1
6075,3,3,6
6076,3,2,3
6077,3,1,4
6078,3,2,1
6079,3,3,3
6080,3,2,1
6081,3,2,0
6082,3,1,2
6083,3,1,0
6084,3,3,3
6085,3,3,6
6086,3,1,3
6087,3,2,1
6088,3,2,0
6089,3,3,4
6090,3,1,2
6091,3,3,3
6092,3,1,1
6093,3,1,1
6094,3,1,3
6095,3,3,6
6096,3,2,2
6097,3,1,1
6098,3,3,2
6099,3,1,1
6100,3,2,5
6101,3,2,3
6102,3,2,4
6103,3,2,3
6104,3,1,1
6105,3,3,4
6106,3,1,0
6107,3,2,4
6108,3,1,1
6109,3,2,2
6110,3,2,2
6111,3,2,2
6112,3,1,3
6113,3,3,4
6114,3,1,1
6115,3,2,1
6116,3,2,2
6117,3,1,2
6118,3,3,2
6119,3,1,1
6120,3,2,0
6121,3,3,3
6122,3,2,2
6123,3,3,2
6124,3,3,2
6125,3,2,1
6126,3,1,2
6127,3,3,5
6128,3,3,5
6129,3,2,2
6130,3,1,2
6131,3,1,1
6132,3,3,2
6133,3,1,1
6134,3,2,2
6135,3,2,2
6136,3,1,1
