id,set,human_score,misspell_words
2978,2,4,28
2979,2,1,11
2980,2,2,16
2981,2,4,6
2982,2,4,20
2983,2,4,21
2984,2,5,28
2985,2,2,22
2986,2,4,6
2987,2,4,7
2988,2,3,15
2989,2,3,6
2990,2,5,22
2991,2,3,11
2992,2,3,5
2993,2,3,20
2994,2,4,27
2995,2,3,7
2996,2,1,27
2997,2,3,11
2998,2,3,17
2999,2,3,31
3000,2,3,16
3001,2,4,18
3002,2,3,40
3003,2,4,23
3004,2,4,7
3005,2,2,4
3006,2,3,6
3007,2,3,8
3008,2,4,2
3009,2,3,1
3010,2,3,8
3011,2,4,25
3012,2,3,17
3013,2,4,15
3014,2,4,3
3015,2,3,5
3016,2,3,8
3017,2,4,13
3018,2,3,37
3019,2,4,4
3020,2,4,59
3021,2,4,20
3022,2,4,13
3023,2,4,34
3024,2,4,37
3025,2,3,15
3026,2,4,13
3027,2,3,12
3028,2,5,9
3029,2,3,12
3030,2,4,16
3031,2,3,4
3032,2,4,11
3033,2,4,28
3034,2,4,20
3035,2,2,11
3036,2,3,20
3037,2,4,10
3038,2,2,3
3039,2,3,14
3040,2,3,14
3041,2,4,24
3042,2,4,19
3043,2,3,17
3044,2,3,18
3045,2,4,17
3046,2,3,10
3047,2,3,6
3048,2,3,11
3049,2,4,12
3050,2,2,35
3051,2,4,3
3052,2,4,6
3053,2,3,11
3054,2,3,33
3055,2,3,16
3056,2,3,26
3057,2,3,3
3058,2,3,10
3059,2,3,8
3060,2,4,25
3061,2,3,19
3062,2,3,16
3063,2,4,8
3064,2,3,18
3065,2,3,7
3066,2,1,8
3067,2,4,32
3068,2,2,14
3069,2,4,25
3070,2,3,12
3071,2,4,12
3072,2,4,30
3073,2,4,25
3074,2,4,24
3075,2,4,15
3076,2,3,20
3077,2,5,39
3078,2,3,21
3079,2,3,11
3080,2,4,14
3081,2,4,33
3082,2,3,20
3083,2,3,20
3084,2,3,7
3085,2,3,9
3086,2,2,3
3087,2,2,7
3088,2,3,9
3089,2,3,6
3090,2,3,6
3091,2,2,8
3092,2,3,16
3093,2,3,22
3094,2,4,6
3095,2,2,12
3096,2,1,4
3097,2,3,51
3098,2,3,15
3099,2,4,16
3100,2,3,34
3101,2,3,10
3102,2,3,2
3103,2,3,15
3104,2,5,40
3105,2,3,5
3106,2,4,14
3107,2,3,15
3108,2,3,0
3109,2,3,31
3110,2,3,13
3111,2,3,15
3112,2,3,5
3113,2,3,6
3114,2,4,25
3115,2,4,4
3116,2,3,5
3117,2,3,8
3118,2,2,11
3119,2,4,12
3120,2,3,26
3121,2,4,18
3122,2,4,19
3123,2,4,9
3124,2,4,16
3125,2,4,37
3126,2,4,36
3127,2,3,20
3128,2,4,19
3129,2,4,33
3130,2,4,14
3131,2,4,3
3132,2,3,48
3133,2,4,13
3134,2,4,24
3135,2,3,12
3136,2,4,9
3137,2,3,10
3138,2,4,5
3139,2,3,24
3140,2,4,19
3141,2,3,20
3142,2,4,12
3143,2,3,21
3144,2,4,22
