id,set,human_score,char_6
17834,7,15,22
17836,7,13,16
17837,7,15,19
17838,7,17,33
17839,7,13,34
17840,7,23,52
17841,7,16,15
17842,7,18,21
17843,7,12,54
17844,7,10,14
17845,7,16,24
17846,7,19,18
17847,7,17,22
17849,7,14,12
17850,7,12,25
17851,7,16,16
17852,7,17,31
17853,7,16,22
17854,7,21,20
17856,7,14,18
17857,7,18,27
17858,7,24,22
17859,7,17,23
17860,7,16,35
17861,7,16,18
17862,7,9,17
17863,7,6,8
17864,7,10,7
17865,7,17,23
17867,7,16,18
17868,7,15,49
17869,7,11,19
17870,7,19,21
17871,7,24,79
17872,7,18,21
17873,7,16,23
17874,7,20,16
17875,7,12,12
17876,7,19,35
17878,7,10,25
17879,7,7,3
17880,7,16,22
17881,7,12,22
17882,7,12,6
17883,7,20,19
17884,7,24,23
17885,7,9,18
17886,7,9,7
17887,7,20,32
17888,7,16,22
17889,7,8,9
17890,7,15,21
17891,7,20,5
17892,7,17,20
17893,7,18,8
17894,7,13,8
17896,7,12,30
17897,7,20,20
17898,7,16,25
17899,7,24,111
17900,7,16,16
17901,7,10,3
17902,7,17,22
17903,7,12,2
17904,7,17,14
17905,7,8,5
17906,7,22,18
17908,7,24,32
17909,7,21,30
17910,7,19,14
17911,7,19,18
17912,7,12,28
17913,7,16,13
17914,7,12,16
17915,7,15,11
17916,7,9,11
17917,7,8,3
17918,7,14,20
17919,7,23,20
17920,7,14,8
17921,7,10,22
17922,7,17,17
17923,7,21,31
17924,7,24,47
17926,7,21,45
17927,7,6,10
17928,7,12,13
17930,7,21,26
17931,7,24,32
17932,7,24,38
17933,7,15,12
17935,7,14,15
17936,7,9,5
17937,7,9,10
17938,7,9,47
17939,7,22,40
17940,7,8,6
17941,7,15,14
17942,7,20,24
17943,7,10,4
17944,7,18,18
17945,7,18,23
17946,7,14,12
17947,7,23,40
17949,7,6,6
17950,7,11,6
17951,7,9,5
17952,7,21,25
17953,7,16,14
17954,7,11,11
17955,7,20,27
17957,7,8,13
17959,7,7,13
17961,7,17,16
17962,7,14,35
17963,7,22,40
17964,7,21,28
17965,7,12,24
17966,7,18,20
17967,7,12,39
17968,7,19,27
17969,7,16,17
17970,7,11,15
17971,7,18,45
17973,7,15,12
17974,7,17,30
17975,7,16,28
17976,7,9,31
17977,7,16,8
17978,7,9,7
17979,7,17,16
17980,7,24,34
17981,7,11,30
17982,7,9,7
17983,7,18,20
17984,7,18,27
17985,7,14,12
17986,7,17,31
17987,7,18,16
17988,7,15,13
17989,7,13,8
17990,7,11,34
17991,7,24,36
17992,7,7,3
17993,7,17,18
17996,7,11,5
17997,7,16,22
17998,7,17,18
18000,7,22,47
18001,7,12,0
18002,7,12,11
18004,7,16,17
18005,7,20,19
18006,7,16,25
18008,7,15,16
18011,7,8,11
18012,7,17,34
18013,7,13,16
18014,7,20,21
18015,7,14,26
18016,7,24,64
18017,7,17,32
18018,7,12,5
18019,7,20,35
18020,7,13,13
18021,7,16,14
18022,7,18,33
18023,7,12,10
18025,7,21,31
18026,7,19,15
18028,7,23,19
18029,7,17,13
18030,7,21,32
18031,7,9,12
18032,7,15,8
18033,7,12,6
18034,7,24,57
18035,7,16,9
18036,7,8,4
18037,7,13,10
18038,7,21,24
18039,7,16,21
18040,7,9,7
18041,7,17,14
18042,7,16,16
18043,7,7,9
18044,7,16,29
18045,7,19,46
18046,7,8,5
18047,7,22,19
18048,7,18,11
18049,7,18,24
18050,7,8,3
18051,7,18,25
18052,7,17,35
18053,7,24,40
18054,7,12,19
18055,7,16,28
18056,7,22,61
18057,7,14,20
18058,7,18,21
18060,7,8,7
18061,7,15,10
18062,7,17,27
18064,7,17,17
18065,7,14,23
18066,7,23,26
18067,7,17,8
18068,7,24,62
18070,7,20,19
18071,7,16,24
18072,7,15,18
18073,7,18,33
18074,7,17,15
18075,7,16,43
18076,7,13,24
18077,7,18,27
18078,7,19,30
18079,7,22,52
18080,7,8,19
18081,7,23,15
18082,7,14,6
18083,7,14,9
18084,7,15,26
18086,7,15,9
18087,7,19,27
18088,7,6,5
18089,7,21,34
18090,7,16,22
18091,7,7,4
18092,7,16,7
18093,7,14,5
18094,7,17,18
18095,7,15,26
18096,7,16,16
18097,7,17,19
18098,7,22,24
18099,7,17,38
18100,7,18,37
18102,7,13,4
18103,7,11,32
18105,7,17,18
18106,7,16,16
18107,7,13,14
18108,7,11,5
18109,7,8,4
18110,7,20,43
18112,7,17,19
18114,7,18,14
18115,7,15,16
18116,7,20,21
18117,7,19,17
18118,7,10,22
18119,7,16,31
18120,7,18,14
18121,7,14,19
18123,7,12,24
18124,7,15,23
18126,7,6,5
18127,7,18,25
18128,7,17,15
18129,7,13,13
18130,7,17,17
18131,7,15,22
18132,7,18,12
18133,7,13,2
18134,7,12,23
18135,7,12,18
18136,7,14,14
18137,7,15,10
18138,7,12,33
18140,7,18,10
18141,7,15,18
18142,7,21,54
18143,7,13,42
18144,7,16,13
18146,7,21,50
18147,7,16,11
18148,7,18,19
18149,7,10,3
18150,7,14,14
18151,7,16,19
18152,7,6,5
18153,7,24,58
18154,7,13,5
18156,7,18,20
18159,7,18,20
18160,7,23,16
18161,7,4,15
18162,7,19,39
18163,7,16,13
18164,7,19,23
18165,7,17,21
18166,7,17,30
18167,7,7,12
18168,7,17,16
18169,7,13,34
18170,7,14,15
18171,7,17,16
18172,7,23,27
18173,7,14,19
18174,7,23,55
18175,7,22,58
18177,7,13,8
18178,7,22,45
18179,7,5,8
18180,7,17,15
18181,7,17,6
18182,7,17,20
18183,7,16,18
18184,7,6,9
18185,7,13,6
18186,7,14,20
18187,7,21,35
18189,7,22,20
18190,7,14,11
18191,7,16,5
18192,7,20,19
18193,7,15,16
18194,7,13,34
18195,7,9,18
18196,7,8,14
18197,7,16,8
18198,7,20,34
18200,7,19,24
18201,7,21,35
18202,7,21,30
18203,7,7,1
18205,7,20,32
18206,7,16,12
18207,7,12,18
18208,7,17,17
18209,7,16,8
18210,7,18,18
18211,7,17,40
18212,7,14,19
18213,7,22,31
18215,7,8,16
18217,7,17,19
18218,7,16,10
18219,7,7,8
18220,7,21,33
18221,7,8,2
18222,7,24,31
18223,7,20,18
18225,7,19,9
18226,7,21,16
18227,7,18,13
18228,7,12,35
18229,7,24,58
18230,7,17,38
18231,7,23,17
18232,7,20,36
18233,7,10,15
18234,7,21,39
18235,7,18,56
18236,7,20,12
18237,7,18,12
18238,7,16,15
18239,7,7,7
18240,7,16,18
18241,7,20,32
18242,7,16,5
18243,7,24,55
18244,7,14,20
18245,7,9,21
18246,7,17,19
18247,7,10,13
18248,7,11,20
18249,7,13,26
18250,7,23,34
18251,7,11,11
18252,7,14,7
18253,7,12,21
18254,7,17,11
18255,7,20,21
18256,7,22,23
18257,7,20,31
18258,7,9,10
18259,7,9,7
18260,7,13,21
18261,7,20,75
18262,7,14,14
18263,7,11,8
18264,7,16,14
18265,7,15,12
18266,7,21,36
18267,7,11,9
18268,7,8,8
18269,7,14,13
18271,7,20,20
18272,7,11,15
18273,7,18,21
18275,7,20,59
18276,7,18,17
18277,7,18,26
18278,7,13,6
18279,7,23,37
18280,7,16,7
18281,7,24,30
18282,7,20,15
18283,7,20,31
18284,7,11,20
18285,7,16,19
18286,7,20,19
18287,7,18,12
18288,7,10,23
18289,7,17,19
18290,7,10,6
18291,7,22,42
18292,7,16,11
18293,7,11,13
18294,7,16,89
18295,7,16,10
18296,7,8,5
18297,7,21,53
18298,7,16,9
18300,7,13,13
18301,7,14,9
18302,7,16,42
18303,7,18,19
18304,7,13,24
18305,7,18,12
18306,7,10,22
18307,7,19,14
18308,7,12,52
