id,set,human_score,vocabulory_score
14834,6,2,46
14835,6,3,80
14836,6,4,69
14837,6,1,70
14838,6,3,67
14839,6,4,65
14840,6,3,65
14841,6,3,58
14842,6,3,56
14843,6,3,59
14844,6,3,95
14845,6,4,135
14846,6,4,76
14847,6,3,81
14848,6,2,51
14849,6,3,66
14850,6,1,42
14851,6,3,56
14852,6,3,42
14853,6,2,36
14854,6,3,46
14855,6,4,96
14856,6,2,74
14857,6,4,103
14858,6,3,55
14859,6,2,63
14860,6,3,88
14861,6,3,83
14862,6,3,67
14863,6,3,46
14864,6,4,71
14865,6,3,82
14866,6,2,28
14867,6,2,45
14868,6,3,74
14869,6,2,68
14870,6,2,54
14871,6,3,53
14872,6,3,60
14873,6,2,43
14874,6,1,53
14875,6,3,38
14876,6,3,82
14877,6,2,40
14878,6,2,52
14879,6,3,61
14880,6,3,60
14881,6,4,70
14882,6,4,86
14883,6,3,90
14884,6,3,70
14885,6,2,87
14886,6,3,71
14887,6,3,76
14888,6,2,71
14889,6,3,71
14890,6,3,70
14891,6,1,53
14892,6,3,85
14893,6,2,33
14894,6,4,85
14895,6,2,66
14896,6,4,106
14897,6,3,81
14898,6,4,76
14899,6,1,45
14900,6,3,53
14901,6,1,14
14902,6,4,81
14903,6,3,67
14904,6,3,71
14905,6,1,34
14906,6,3,48
14907,6,3,51
14908,6,2,63
14909,6,3,65
14910,6,3,32
14911,6,1,24
14912,6,3,51
14913,6,3,58
14914,6,3,66
14915,6,3,51
14916,6,3,68
14917,6,3,64
14918,6,3,77
14919,6,2,51
14920,6,3,71
14921,6,3,72
14922,6,3,86
14923,6,3,67
14924,6,3,59
14925,6,3,52
14926,6,3,105
14927,6,2,28
14928,6,2,75
14929,6,2,32
14930,6,4,75
14931,6,2,36
14932,6,3,77
14933,6,4,66
14934,6,4,88
14935,6,3,49
14936,6,3,52
14937,6,1,48
14938,6,3,69
14939,6,0,16
14940,6,3,73
14941,6,3,100
14942,6,3,74
14943,6,3,91
14944,6,4,90
14945,6,2,39
14946,6,3,54
14947,6,3,87
14948,6,2,55
14949,6,1,18
14950,6,3,89
14951,6,0,54
14952,6,2,24
14953,6,3,75
14954,6,2,41
14955,6,3,41
14956,6,4,134
14957,6,0,16
14958,6,2,30
14959,6,3,67
14960,6,3,70
14961,6,3,60
14962,6,2,68
14963,6,4,77
14964,6,2,64
14965,6,2,35
14966,6,3,65
14967,6,4,87
14968,6,3,58
14969,6,2,32
14970,6,3,58
14971,6,3,72
14972,6,4,93
14973,6,1,46
14974,6,3,52
14975,6,3,56
14976,6,3,60
14977,6,3,60
14978,6,4,91
14979,6,1,21
14980,6,3,50
14981,6,3,53
14982,6,4,61
14983,6,2,46
14984,6,3,51
14985,6,0,68
14986,6,3,60
14987,6,4,86
14988,6,3,72
14989,6,3,48
14990,6,4,84
14991,6,3,69
14992,6,3,39
14993,6,2,44
14994,6,3,109
14995,6,4,111
14996,6,2,52
14997,6,1,29
14998,6,3,71
14999,6,4,69
15000,6,4,105
15001,6,3,61
15002,6,3,48
15003,6,1,47
15004,6,4,126
15005,6,3,52
15006,6,3,73
15007,6,3,65
15008,6,3,85
15009,6,4,104
15010,6,1,15
15011,6,3,82
15012,6,3,60
15013,6,2,21
15014,6,2,46
15015,6,3,54
15016,6,2,16
15017,6,0,2
15018,6,2,34
15019,6,3,100
15020,6,2,43
15021,6,3,68
15022,6,3,84
15023,6,3,51
15024,6,3,54
15025,6,1,34
15026,6,3,74
15027,6,3,61
15028,6,2,40
15029,6,4,81
15030,6,4,78
15031,6,3,94
15032,6,4,72
15033,6,4,80
15034,6,4,100
15035,6,2,57
15036,6,3,56
15037,6,2,55
15038,6,3,61
15039,6,2,54
15040,6,2,69
15041,6,2,46
15042,6,4,96
15043,6,3,52
15044,6,3,67
15045,6,3,42
15046,6,4,94
15047,6,3,75
15048,6,2,56
15049,6,3,71
15050,6,3,60
15051,6,3,61
15052,6,3,77
15053,6,3,85
15054,6,2,36
15055,6,3,44
15056,6,2,38
15057,6,1,22
15058,6,4,78
15059,6,3,51
15060,6,3,77
15061,6,3,39
15062,6,4,81
15063,6,4,107
15064,6,2,50
15065,6,3,51
15066,6,3,56
15067,6,2,30
15068,6,4,102
15069,6,4,114
15070,6,3,55
15071,6,3,53
15072,6,3,42
15073,6,4,90
15074,6,3,92
15075,6,1,40
15076,6,3,71
15077,6,2,35
15078,6,2,32
15079,6,3,61
