id,set,human_score,pos_22
2978,2,4,28
2979,2,1,7
2980,2,2,25
2981,2,4,26
2982,2,4,34
2983,2,4,22
2984,2,5,16
2985,2,2,65
2986,2,4,15
2987,2,4,29
2988,2,3,27
2989,2,3,24
2990,2,5,38
2991,2,3,26
2992,2,3,5
2993,2,3,19
2994,2,4,56
2995,2,3,26
2996,2,1,8
2997,2,3,19
2998,2,3,43
2999,2,3,36
3000,2,3,17
3001,2,4,48
3002,2,3,37
3003,2,4,21
3004,2,4,12
3005,2,2,4
3006,2,3,36
3007,2,3,31
3008,2,4,54
3009,2,3,17
3010,2,3,6
3011,2,4,47
3012,2,3,38
3013,2,4,33
3014,2,4,24
3015,2,3,18
3016,2,3,9
3017,2,4,27
3018,2,3,27
3019,2,4,15
3020,2,4,70
3021,2,4,38
3022,2,4,17
3023,2,4,35
3024,2,4,54
3025,2,3,11
3026,2,4,36
3027,2,3,17
3028,2,5,20
3029,2,3,32
3030,2,4,17
3031,2,3,9
3032,2,4,21
3033,2,4,50
3034,2,4,43
3035,2,2,12
3036,2,3,23
3037,2,4,31
3038,2,2,2
3039,2,3,16
3040,2,3,43
3041,2,4,27
3042,2,4,17
3043,2,3,30
3044,2,3,22
3045,2,4,23
3046,2,3,20
3047,2,3,22
3048,2,3,55
3049,2,4,14
3050,2,2,29
3051,2,4,24
3052,2,4,37
3053,2,3,39
3054,2,3,32
3055,2,3,23
3056,2,3,13
3057,2,3,14
3058,2,3,26
3059,2,3,19
3060,2,4,29
3061,2,3,33
3062,2,3,17
3063,2,4,16
3064,2,3,24
3065,2,3,10
3066,2,1,4
3067,2,4,34
3068,2,2,16
3069,2,4,65
3070,2,3,26
3071,2,4,16
3072,2,4,70
3073,2,4,53
3074,2,4,38
3075,2,4,26
3076,2,3,18
3077,2,5,39
3078,2,3,37
3079,2,3,41
3080,2,4,44
3081,2,4,21
3082,2,3,12
3083,2,3,22
3084,2,3,44
3085,2,3,20
3086,2,2,8
3087,2,2,4
3088,2,3,18
3089,2,3,14
3090,2,3,34
3091,2,2,8
3092,2,3,19
3093,2,3,12
3094,2,4,37
3095,2,2,3
3096,2,1,14
3097,2,3,40
3098,2,3,11
3099,2,4,32
3100,2,3,20
3101,2,3,6
3102,2,3,16
3103,2,3,32
3104,2,5,64
3105,2,3,23
3106,2,4,28
3107,2,3,28
3108,2,3,12
3109,2,3,42
3110,2,3,16
3111,2,3,13
3112,2,3,16
3113,2,3,27
3114,2,4,32
3115,2,4,21
3116,2,3,19
3117,2,3,11
3118,2,2,7
3119,2,4,22
3120,2,3,24
3121,2,4,32
3122,2,4,19
3123,2,4,11
3124,2,4,42
3125,2,4,29
3126,2,4,15
3127,2,3,33
3128,2,4,43
3129,2,4,92
3130,2,4,9
3131,2,4,14
3132,2,3,29
3133,2,4,22
3134,2,4,32
3135,2,3,21
3136,2,4,40
3137,2,3,14
3138,2,4,18
3139,2,3,36
3140,2,4,30
3141,2,3,31
3142,2,4,43
3143,2,3,27
3144,2,4,21
3145,2,4,22
3146,2,3,24
3147,2,2,1
3148,2,3,15
3149,2,3,41
3150,2,4,11
3151,2,3,20
3152,2,4,21
3153,2,4,50
3154,2,3,12
3155,2,3,15
3156,2,4,22
3157,2,4,17
3158,2,2,12
3159,2,1,24
3160,2,3,50
3161,2,3,34
3162,2,4,18
3163,2,5,26
3164,2,3,12
3165,2,4,26
3166,2,4,30
3167,2,3,12
3168,2,4,21
3169,2,3,14
3170,2,3,49
3171,2,5,27
3172,2,4,31
3173,2,3,40
3174,2,3,29
3175,2,4,43
3176,2,4,44
3177,2,1,7
3178,2,4,34
3179,2,4,26
3180,2,3,63
3181,2,4,41
3182,2,2,6
3183,2,3,19
3184,2,3,31
3185,2,4,32
3186,2,2,21
3187,2,3,19
3188,2,3,33
3189,2,4,41
3190,2,4,29
3191,2,4,75
3192,2,3,14
3193,2,3,14
3194,2,3,36
3195,2,4,32
3196,2,4,48
3197,2,3,18
3198,2,2,19
3199,2,4,32
3200,2,4,37
3201,2,4,29
3202,2,5,30
3203,2,4,25
3204,2,3,11
3205,2,3,12
3206,2,4,108
3207,2,3,11
3208,2,4,30
3209,2,3,25
3210,2,4,33
3211,2,3,21
3212,2,4,51
3213,2,4,61
