id,set,human_score,misspell_words
17834,7,15,5
17836,7,13,10
17837,7,15,16
17838,7,17,13
17839,7,13,6
17840,7,23,53
17841,7,16,10
17842,7,18,16
17843,7,12,13
17844,7,10,4
17845,7,16,14
17846,7,19,12
17847,7,17,21
17849,7,14,9
17850,7,12,15
17851,7,16,24
17852,7,17,28
17853,7,16,19
17854,7,21,13
17856,7,14,5
17857,7,18,8
17858,7,24,4
17859,7,17,15
17860,7,16,12
17861,7,16,3
17862,7,9,10
17863,7,6,2
17864,7,10,11
17865,7,17,61
17867,7,16,12
17868,7,15,31
17869,7,11,6
17870,7,19,28
17871,7,24,70
17872,7,18,14
17873,7,16,5
17874,7,20,16
17875,7,12,5
17876,7,19,15
17878,7,10,14
17879,7,7,10
17880,7,16,2
17881,7,12,8
17882,7,12,6
17883,7,20,17
17884,7,24,37
17885,7,9,6
17886,7,9,2
17887,7,20,18
17888,7,16,10
17889,7,8,15
17890,7,15,5
17891,7,20,5
17892,7,17,15
17893,7,18,12
17894,7,13,2
17896,7,12,55
17897,7,20,21
17898,7,16,6
17899,7,24,69
17900,7,16,10
17901,7,10,5
17902,7,17,6
17903,7,12,9
17904,7,17,10
17905,7,8,4
17906,7,22,47
17908,7,24,7
17909,7,21,2
17910,7,19,10
17911,7,19,23
17912,7,12,41
17913,7,16,8
17914,7,12,2
17915,7,15,3
17916,7,9,8
17917,7,8,3
17918,7,14,10
17919,7,23,8
17920,7,14,11
17921,7,10,31
17922,7,17,5
17923,7,21,11
17924,7,24,47
17926,7,21,16
17927,7,6,23
17928,7,12,6
17930,7,21,4
17931,7,24,14
17932,7,24,24
17933,7,15,7
17935,7,14,6
17936,7,9,5
17937,7,9,4
17938,7,9,14
17939,7,22,10
17940,7,8,10
17941,7,15,8
17942,7,20,9
17943,7,10,13
17944,7,18,15
17945,7,18,12
17946,7,14,5
17947,7,23,51
17949,7,6,8
17950,7,11,4
17951,7,9,6
17952,7,21,6
17953,7,16,10
17954,7,11,10
17955,7,20,16
17957,7,8,5
17959,7,7,1
17961,7,17,19
17962,7,14,7
17963,7,22,61
17964,7,21,28
17965,7,12,3
17966,7,18,11
17967,7,12,66
17968,7,19,23
17969,7,16,14
17970,7,11,3
17971,7,18,43
17973,7,15,8
17974,7,17,21
17975,7,16,15
17976,7,9,5
17977,7,16,1
17978,7,9,5
17979,7,17,8
17980,7,24,23
17981,7,11,7
17982,7,9,5
17983,7,18,2
17984,7,18,12
17985,7,14,9
17986,7,17,11
17987,7,18,10
17988,7,15,11
17989,7,13,4
17990,7,11,9
17991,7,24,12
17992,7,7,2
17993,7,17,10
