id,set,human_score,word_10
14834,6,2,6
14835,6,3,9
14836,6,4,8
14837,6,1,7
14838,6,3,7
14839,6,4,9
14840,6,3,6
14841,6,3,5
14842,6,3,5
14843,6,3,4
14844,6,3,13
14845,6,4,13
14846,6,4,9
14847,6,3,9
14848,6,2,4
14849,6,3,7
14850,6,1,7
14851,6,3,7
14852,6,3,3
14853,6,2,4
14854,6,3,5
14855,6,4,11
14856,6,2,8
14857,6,4,10
14858,6,3,5
14859,6,2,8
14860,6,3,10
14861,6,3,10
14862,6,3,6
14863,6,3,5
14864,6,4,6
14865,6,3,10
14866,6,2,4
14867,6,2,4
14868,6,3,8
14869,6,2,7
14870,6,2,7
14871,6,3,6
14872,6,3,5
14873,6,2,6
14874,6,1,2
14875,6,3,5
14876,6,3,9
14877,6,2,5
14878,6,2,6
14879,6,3,8
14880,6,3,6
14881,6,4,10
14882,6,4,8
14883,6,3,11
14884,6,3,7
14885,6,2,9
14886,6,3,8
14887,6,3,7
14888,6,2,4
14889,6,3,7
14890,6,3,8
14891,6,1,5
14892,6,3,10
14893,6,2,4
14894,6,4,8
14895,6,2,8
14896,6,4,7
14897,6,3,9
14898,6,4,7
14899,6,1,4
14900,6,3,7
14901,6,1,2
14902,6,4,9
14903,6,3,9
14904,6,3,9
14905,6,1,3
14906,6,3,6
14907,6,3,5
14908,6,2,6
14909,6,3,5
14910,6,3,3
14911,6,1,3
14912,6,3,4
14913,6,3,7
14914,6,3,8
14915,6,3,5
14916,6,3,6
14917,6,3,5
14918,6,3,9
14919,6,2,6
14920,6,3,8
14921,6,3,6
14922,6,3,10
14923,6,3,6
14924,6,3,7
14925,6,3,6
14926,6,3,10
14927,6,2,4
14928,6,2,7
14929,6,2,6
14930,6,4,8
14931,6,2,4
14932,6,3,10
14933,6,4,6
14934,6,4,11
14935,6,3,5
14936,6,3,7
14937,6,1,8
14938,6,3,8
14939,6,0,2
14940,6,3,8
14941,6,3,12
14942,6,3,9
14943,6,3,10
14944,6,4,8
14945,6,2,3
14946,6,3,6
14947,6,3,9
14948,6,2,5
14949,6,1,2
14950,6,3,9
14951,6,0,6
14952,6,2,2
14953,6,3,6
14954,6,2,4
14955,6,3,5
14956,6,4,13
14957,6,0,1
14958,6,2,3
14959,6,3,9
14960,6,3,9
14961,6,3,7
14962,6,2,9
14963,6,4,8
14964,6,2,7
14965,6,2,5
14966,6,3,6
14967,6,4,10
14968,6,3,5
14969,6,2,4
14970,6,3,8
14971,6,3,8
14972,6,4,8
14973,6,1,7
14974,6,3,7
14975,6,3,5
14976,6,3,7
14977,6,3,7
14978,6,4,12
14979,6,1,4
14980,6,3,6
14981,6,3,8
14982,6,4,7
14983,6,2,4
14984,6,3,6
14985,6,0,8
14986,6,3,6
14987,6,4,10
14988,6,3,10
14989,6,3,5
14990,6,4,11
14991,6,3,7
14992,6,3,5
14993,6,2,2
14994,6,3,16
14995,6,4,10
14996,6,2,7
14997,6,1,3
14998,6,3,8
14999,6,4,7
15000,6,4,9
15001,6,3,8
15002,6,3,6
15003,6,1,5
15004,6,4,11
15005,6,3,6
15006,6,3,7
15007,6,3,7
15008,6,3,7
15009,6,4,12
15010,6,1,1
15011,6,3,12
15012,6,3,6
15013,6,2,3
15014,6,2,5
15015,6,3,6
15016,6,2,1
15017,6,0,0
15018,6,2,4
15019,6,3,9
15020,6,2,5
15021,6,3,9
15022,6,3,8
15023,6,3,6
15024,6,3,6
15025,6,1,2
15026,6,3,8
15027,6,3,6
15028,6,2,4
15029,6,4,9
15030,6,4,10
15031,6,3,8
15032,6,4,6
15033,6,4,7
15034,6,4,12
15035,6,2,7
15036,6,3,5
15037,6,2,4
15038,6,3,7
15039,6,2,5
15040,6,2,6
15041,6,2,5
15042,6,4,9
15043,6,3,7
15044,6,3,7
15045,6,3,6
15046,6,4,11
15047,6,3,8
15048,6,2,8
15049,6,3,10
15050,6,3,7
15051,6,3,7
15052,6,3,7
15053,6,3,10
15054,6,2,5
15055,6,3,5
15056,6,2,5
15057,6,1,3
15058,6,4,9
15059,6,3,5
15060,6,3,8
15061,6,3,7
15062,6,4,8
15063,6,4,12
15064,6,2,6
15065,6,3,6
15066,6,3,7
15067,6,2,5
15068,6,4,11
15069,6,4,12
15070,6,3,5
15071,6,3,6
15072,6,3,6
15073,6,4,11
15074,6,3,10
15075,6,1,4
15076,6,3,9
15077,6,2,5
15078,6,2,4
15079,6,3,8
15080,6,3,6
15081,6,4,8
15082,6,1,5
15083,6,3,11
15084,6,2,5
15085,6,4,11
15086,6,2,3
15087,6,3,5
15088,6,3,8
15089,6,4,12
15090,6,2,5
15091,6,2,6
15092,6,3,6
15093,6,3,7
15094,6,4,12
15095,6,0,4
15096,6,1,3
15097,6,4,11
15098,6,2,6
15099,6,3,7
15100,6,3,7
15101,6,4,7
15102,6,3,7
15103,6,4,9
15104,6,3,6
15105,6,3,12
15106,6,1,7
15107,6,3,7
15108,6,3,5
15109,6,2,7
15110,6,2,6
15111,6,3,8
15112,6,1,4
15113,6,0,1
15114,6,2,3
15115,6,3,7
15116,6,3,6
15117,6,1,5
15118,6,1,6
15119,6,2,5
15120,6,2,5
15121,6,4,5
15122,6,3,6
15123,6,3,7
15124,6,3,8
15125,6,3,7
15126,6,1,2
15127,6,4,10
15128,6,3,8
15129,6,2,3
15130,6,3,6
15131,6,2,5
15132,6,3,8
15133,6,2,7
15134,6,2,3
15135,6,3,6
15136,6,3,6
15137,6,2,12
15138,6,3,8
15139,6,4,5
15140,6,2,2
15141,6,1,1
15142,6,2,7
15143,6,2,3
15144,6,3,9
15145,6,3,10
15146,6,3,5
15147,6,3,7
15148,6,2,5
15149,6,2,3
15150,6,3,6
15151,6,4,14
15152,6,2,7
15153,6,2,11
15154,6,2,7
15155,6,4,7
15156,6,3,4
15157,6,3,10
15158,6,4,9
15159,6,3,10
15160,6,3,5
15161,6,4,8
15162,6,2,7
15163,6,3,6
15164,6,3,9
15165,6,3,6
15166,6,4,10
15167,6,3,8
15168,6,4,10
15169,6,4,13
15170,6,3,6
15171,6,2,6
15172,6,2,9
15173,6,4,8
15174,6,3,11
15175,6,2,9
15176,6,4,10
15177,6,1,8
15178,6,2,4
15179,6,4,8
15180,6,4,10
15181,6,4,8
15182,6,4,11
15183,6,2,6
15184,6,3,8
15185,6,1,5
15186,6,4,10
15187,6,3,5
15188,6,1,1
15189,6,4,10
15190,6,4,10
15191,6,3,5
15192,6,2,6
15193,6,1,3
15194,6,2,4
15195,6,1,3
15196,6,3,7
15197,6,3,6
15198,6,3,6
15199,6,3,7
15200,6,4,8
15201,6,3,3
