id,set,human_score,pos_4
2978,2,4,49
2979,2,1,17
2980,2,2,18
2981,2,4,37
2982,2,4,36
2983,2,4,33
2984,2,5,58
2985,2,2,106
2986,2,4,42
2987,2,4,48
2988,2,3,41
2989,2,3,35
2990,2,5,62
2991,2,3,43
2992,2,3,12
2993,2,3,47
2994,2,4,76
2995,2,3,42
2996,2,1,20
2997,2,3,37
2998,2,3,40
2999,2,3,38
3000,2,3,20
3001,2,4,66
3002,2,3,50
3003,2,4,57
3004,2,4,21
3005,2,2,11
3006,2,3,34
3007,2,3,33
3008,2,4,39
3009,2,3,46
3010,2,3,20
3011,2,4,40
3012,2,3,29
3013,2,4,57
3014,2,4,39
3015,2,3,40
3016,2,3,38
3017,2,4,58
3018,2,3,48
3019,2,4,41
3020,2,4,71
3021,2,4,53
3022,2,4,33
3023,2,4,29
3024,2,4,84
3025,2,3,39
3026,2,4,46
3027,2,3,31
3028,2,5,51
3029,2,3,28
3030,2,4,42
3031,2,3,36
3032,2,4,65
3033,2,4,59
3034,2,4,95
3035,2,2,17
3036,2,3,30
3037,2,4,67
3038,2,2,11
3039,2,3,33
3040,2,3,40
3041,2,4,51
3042,2,4,38
3043,2,3,30
3044,2,3,30
3045,2,4,39
3046,2,3,20
3047,2,3,42
3048,2,3,63
3049,2,4,33
3050,2,2,39
3051,2,4,44
3052,2,4,55
3053,2,3,49
3054,2,3,39
3055,2,3,40
3056,2,3,38
3057,2,3,12
3058,2,3,45
3059,2,3,48
3060,2,4,39
3061,2,3,39
3062,2,3,33
3063,2,4,44
3064,2,3,44
3065,2,3,23
3066,2,1,8
3067,2,4,51
3068,2,2,36
3069,2,4,78
3070,2,3,28
3071,2,4,26
3072,2,4,86
3073,2,4,147
3074,2,4,85
3075,2,4,88
3076,2,3,37
3077,2,5,76
3078,2,3,52
3079,2,3,42
3080,2,4,58
3081,2,4,31
3082,2,3,31
3083,2,3,37
3084,2,3,46
3085,2,3,29
3086,2,2,12
3087,2,2,6
3088,2,3,39
3089,2,3,28
3090,2,3,45
3091,2,2,29
3092,2,3,16
3093,2,3,28
3094,2,4,36
3095,2,2,17
3096,2,1,15
3097,2,3,39
3098,2,3,18
3099,2,4,76
3100,2,3,37
3101,2,3,24
3102,2,3,28
3103,2,3,35
3104,2,5,70
3105,2,3,16
