id,set,human_score,pos_18
8863,4,0,9
8864,4,0,6
8865,4,3,37
8866,4,2,13
8867,4,2,17
8868,4,1,19
8869,4,0,19
8870,4,2,14
8871,4,1,4
8872,4,2,16
8873,4,2,26
8874,4,0,7
8875,4,1,8
8876,4,2,31
8877,4,0,11
8878,4,1,7
8879,4,2,18
8880,4,1,7
8881,4,3,36
8882,4,1,9
8883,4,1,16
8884,4,1,6
8885,4,3,29
8886,4,1,6
8887,4,2,15
8888,4,2,38
8889,4,1,15
8890,4,2,13
8891,4,3,30
8892,4,1,10
8893,4,2,10
8894,4,1,14
8895,4,3,42
8896,4,2,19
8897,4,1,19
8898,4,2,19
8899,4,0,5
8900,4,2,28
8901,4,0,6
8902,4,3,26
8903,4,3,30
8904,4,2,18
8905,4,2,20
8906,4,2,17
8907,4,0,7
8908,4,1,22
8909,4,2,19
8910,4,1,12
8911,4,3,26
8912,4,1,14
8913,4,1,15
8914,4,2,37
8915,4,2,11
8916,4,0,16
8917,4,0,9
8918,4,1,22
8919,4,3,23
8920,4,0,5
8921,4,2,23
8922,4,2,19
8923,4,3,29
8924,4,2,17
8925,4,1,19
8926,4,1,7
8927,4,0,8
8928,4,1,15
8929,4,1,11
8930,4,0,16
8931,4,3,7
8932,4,1,3
8933,4,2,25
8934,4,1,7
8935,4,2,27
8936,4,1,7
8937,4,1,26
8938,4,1,7
8939,4,3,29
8940,4,2,17
8941,4,3,48
8942,4,1,9
8943,4,1,11
8944,4,1,17
8945,4,2,27
8946,4,3,27
8947,4,0,13
8948,4,3,36
8949,4,0,6
8950,4,1,19
8951,4,2,18
8952,4,1,9
8953,4,1,13
8954,4,3,27
8955,4,3,25
8956,4,1,10
8957,4,2,26
8958,4,0,5
8959,4,3,20
8960,4,1,20
8961,4,1,9
8962,4,2,17
8963,4,1,10
8964,4,0,4
8965,4,2,20
8966,4,1,8
8967,4,2,12
8968,4,2,13
8969,4,2,31
8970,4,1,9
8971,4,1,17
8972,4,2,19
8973,4,3,29
8974,4,3,30
8975,4,0,2
8976,4,0,10
8977,4,2,15
8978,4,0,8
8979,4,3,44
8980,4,1,8
8981,4,3,53
8982,4,1,7
8983,4,2,25
8984,4,1,6
8985,4,1,16
8986,4,2,20
8987,4,2,22
8988,4,2,39
8989,4,1,1
8990,4,3,47
8991,4,0,6
8992,4,0,5
8993,4,0,8
8994,4,0,3
8995,4,2,12
8996,4,2,24
8997,4,1,11
8998,4,3,24
8999,4,1,7
9000,4,1,7
9001,4,2,32
9002,4,2,10
9003,4,2,35
9004,4,3,33
9005,4,3,28
9006,4,3,16
9007,4,2,24
9008,4,2,23
9009,4,2,26
9010,4,1,17
9011,4,2,23
9012,4,1,16
9013,4,1,15
9014,4,2,35
9015,4,1,17
9016,4,3,27
9017,4,2,17
9018,4,2,22
9019,4,3,27
9020,4,0,4
9021,4,2,21
9022,4,2,17
9023,4,1,9
9024,4,1,12
9025,4,1,6
9026,4,2,15
9027,4,3,37
9028,4,1,5
9029,4,2,31
9030,4,0,10
9031,4,1,21
9032,4,1,5
9033,4,1,30
9034,4,2,16
9035,4,3,37
9036,4,0,12
9037,4,3,22
9038,4,1,5
9039,4,2,32
9040,4,3,28
9041,4,0,9
9042,4,2,26
9043,4,2,24
9044,4,1,39
9045,4,0,11
9046,4,1,16
9047,4,1,5
9048,4,0,5
9049,4,2,11
9050,4,1,17
9051,4,2,25
9052,4,3,21
9053,4,2,12
9054,4,1,8
9055,4,1,10
9056,4,0,10
9057,4,2,13
9058,4,3,33
9059,4,0,7
9060,4,3,37
9061,4,3,35
9062,4,0,4
9063,4,1,5
9064,4,1,16
9065,4,1,7
9066,4,1,16
9067,4,1,13
9068,4,1,9
9069,4,3,22
9070,4,1,5
9071,4,2,19
9072,4,0,7
9073,4,1,9
9074,4,3,37
9075,4,3,28
9076,4,0,4
9077,4,1,13
9078,4,1,7
9079,4,2,34
9080,4,1,10
9081,4,2,14
9082,4,2,17
9083,4,2,21
9084,4,2,31
9085,4,2,31
9086,4,1,1
9087,4,1,9
9088,4,2,23
9089,4,2,26
9090,4,1,13
9091,4,2,23
9092,4,0,6
9093,4,1,20
9094,4,1,5
9095,4,2,22
9096,4,2,22
9097,4,1,10
9098,4,3,29
9099,4,1,5
9100,4,1,15
9101,4,1,8
9102,4,1,13
9103,4,2,18
9104,4,2,27
9105,4,1,14
9106,4,3,21
9107,4,1,11
9108,4,0,3
9109,4,0,15
9110,4,2,25
9111,4,2,13
9112,4,2,15
9113,4,1,12
9114,4,3,31
9115,4,2,24
9116,4,2,21
9117,4,2,23
9118,4,2,20
9119,4,1,8
9121,4,2,25
9122,4,2,36
9123,4,1,14
9124,4,0,7
9125,4,0,16
9126,4,1,9
9127,4,2,21
9128,4,1,22
9129,4,1,6
9130,4,0,6
9131,4,1,14
9132,4,3,32
9133,4,2,31
9134,4,3,37
