id,set,human_score,misspell_words
5978,3,1,1
5979,3,2,22
5980,3,1,4
5981,3,1,9
5982,3,2,16
5983,3,1,3
5984,3,1,0
5985,3,0,8
5986,3,2,10
5987,3,3,15
5988,3,3,20
5989,3,1,0
5990,3,3,9
5991,3,2,1
5992,3,1,11
5993,3,2,5
5994,3,2,4
5995,3,2,4
5996,3,1,6
5997,3,2,10
5998,3,2,3
5999,3,1,0
6000,3,2,7
6001,3,1,4
6002,3,2,4
6003,3,3,6
6004,3,1,1
6005,3,3,11
6006,3,2,5
6007,3,3,6
6008,3,1,7
6010,3,1,0
6011,3,1,5
6012,3,0,7
6013,3,1,2
6014,3,3,4
6015,3,2,2
6016,3,3,4
6017,3,1,0
6018,3,2,5
6019,3,1,1
6020,3,2,9
6021,3,2,1
6022,3,2,10
6023,3,2,4
6024,3,1,5
6025,3,1,2
6026,3,3,11
6027,3,3,18
6028,3,2,10
6029,3,1,7
6030,3,3,7
6031,3,3,14
6032,3,2,4
6033,3,3,19
6034,3,2,12
6035,3,1,4
6036,3,2,11
6037,3,2,2
6038,3,2,23
6039,3,1,7
6040,3,1,6
6041,3,2,1
6042,3,2,4
6043,3,1,0
6044,3,2,0
6045,3,2,5
6046,3,1,4
6047,3,1,1
6048,3,1,8
6049,3,1,2
6050,3,3,10
6051,3,1,7
6052,3,2,20
6053,3,1,4
6054,3,1,0
6055,3,2,5
6056,3,1,5
6057,3,3,9
6058,3,2,7
6059,3,1,6
6060,3,1,3
6061,3,3,20
6062,3,1,5
6063,3,2,7
6064,3,2,5
6065,3,2,8
6066,3,1,5
6067,3,1,1
6068,3,2,3
6069,3,2,1
6070,3,2,6
6071,3,2,5
6072,3,2,6
6073,3,2,6
6074,3,2,5
6075,3,3,29
6076,3,2,12
6077,3,1,2
6078,3,2,2
6079,3,3,10
6080,3,2,11
6081,3,2,2
6082,3,1,1
6083,3,1,0
6084,3,3,6
6085,3,3,11
6086,3,1,1
6087,3,2,2
6088,3,2,13
6089,3,3,12
6090,3,1,0
6091,3,3,5
6092,3,1,2
6093,3,1,2
6094,3,1,0
6095,3,3,15
6096,3,2,10
6097,3,1,2
6098,3,3,10
6099,3,1,6
6100,3,2,11
6101,3,2,9
6102,3,2,5
6103,3,2,8
6104,3,1,4
6105,3,3,6
6106,3,1,9
6107,3,2,17
6108,3,1,7
6109,3,2,9
6110,3,2,6
6111,3,2,9
6112,3,1,4
6113,3,3,5
6114,3,1,2
6115,3,2,0
6116,3,2,10
6117,3,1,2
6118,3,3,6
6119,3,1,10
6120,3,2,1
6121,3,3,2
6122,3,2,8
6123,3,3,10
6124,3,3,10
6125,3,2,0
6126,3,1,8
6127,3,3,14
6128,3,3,16
6129,3,2,5
6130,3,1,6
6131,3,1,7
6132,3,3,5
6133,3,1,1
6134,3,2,11
6135,3,2,10
6136,3,1,1
6137,3,2,2
6138,3,2,10
6139,3,2,8
