id,set,human_score,vocabulory_score
2,1,9,156
3,1,7,97
4,1,10,195
5,1,8,170
6,1,8,83
7,1,10,198
8,1,10,178
9,1,9,153
10,1,9,182
11,1,8,121
12,1,8,143
13,1,7,70
14,1,6,93
15,1,6,66
16,1,12,218
17,1,8,128
18,1,8,142
19,1,4,5
20,1,6,53
21,1,8,137
22,1,3,27
23,1,10,202
24,1,11,216
25,1,8,116
26,1,9,129
27,1,4,36
28,1,9,151
29,1,9,136
30,1,8,117
31,1,10,186
32,1,10,184
33,1,6,67
34,1,8,145
35,1,9,175
36,1,10,193
37,1,12,186
38,1,8,116
39,1,10,168
40,1,7,62
41,1,2,15
42,1,8,107
43,1,6,49
44,1,8,102
45,1,8,114
46,1,8,119
47,1,8,115
48,1,11,205
49,1,6,126
50,1,5,36
51,1,9,211
52,1,7,90
53,1,8,158
54,1,10,144
55,1,8,99
56,1,10,171
57,1,9,113
58,1,7,62
59,1,8,172
60,1,4,28
61,1,8,125
62,1,8,89
63,1,8,126
64,1,7,79
65,1,9,170
66,1,9,137
67,1,8,118
68,1,9,152
69,1,7,97
70,1,12,147
71,1,10,179
72,1,10,203
73,1,8,107
74,1,7,146
75,1,8,132
76,1,8,99
77,1,10,206
78,1,10,169
79,1,10,117
80,1,8,137
81,1,8,148
82,1,8,101
83,1,7,73
84,1,6,76
85,1,10,204
86,1,8,154
87,1,10,140
88,1,9,159
89,1,6,75
90,1,7,77
91,1,8,92
92,1,11,235
93,1,11,207
94,1,8,136
95,1,10,169
96,1,7,91
97,1,8,116
98,1,11,166
99,1,8,136
100,1,7,68
101,1,10,189
102,1,8,122
103,1,9,143
104,1,10,157
105,1,9,216
106,1,11,125
107,1,10,254
108,1,8,136
109,1,8,140
110,1,6,95
111,1,11,189
112,1,9,147
113,1,8,143
114,1,8,165
115,1,9,173
116,1,4,20
117,1,8,134
118,1,12,143
119,1,10,172
120,1,8,140
121,1,8,136
122,1,9,196
123,1,10,144
124,1,7,88
125,1,5,45
126,1,8,93
127,1,9,150
128,1,9,156
129,1,10,160
130,1,10,211
131,1,10,160
132,1,11,157
133,1,10,207
134,1,10,152
135,1,7,103
136,1,9,198
137,1,7,109
138,1,10,180
139,1,7,56
140,1,9,144
141,1,10,201
142,1,10,127
143,1,7,115
144,1,9,154
145,1,10,132
146,1,6,67
147,1,12,244
148,1,9,102
149,1,8,165
150,1,8,112
151,1,8,97
152,1,6,84
153,1,9,173
154,1,12,164
155,1,10,149
156,1,8,125
157,1,9,155
158,1,9,132
159,1,10,175
160,1,8,112
161,1,10,151
162,1,12,197
163,1,8,75
164,1,8,100
165,1,9,131
166,1,10,231
167,1,8,125
168,1,9,177
169,1,6,60
170,1,8,120
171,1,8,106
172,1,8,83
173,1,8,102
174,1,8,125
175,1,8,115
176,1,10,139
177,1,8,107
178,1,8,104
179,1,8,93
180,1,10,155
181,1,10,165
182,1,8,107
183,1,8,169
184,1,8,158
185,1,8,155
186,1,8,113
187,1,5,53
188,1,9,185
189,1,6,38
190,1,10,129
191,1,8,101
192,1,11,195
193,1,8,147
194,1,10,190
195,1,5,44
196,1,8,128
197,1,10,206
198,1,10,155
199,1,11,234
200,1,8,145
201,1,9,145
202,1,8,173
203,1,10,206
204,1,10,134
205,1,10,224
206,1,10,135
207,1,8,115
208,1,6,69
209,1,6,54
210,1,9,139
211,1,6,67
212,1,7,96
213,1,8,108
214,1,8,105
215,1,10,205
216,1,8,142
217,1,10,188
218,1,8,122
219,1,9,153
220,1,10,147
221,1,6,86
222,1,9,163
223,1,8,138
224,1,8,141
225,1,12,186
226,1,8,102
227,1,9,158
228,1,8,108
229,1,8,107
230,1,9,150
231,1,8,108
232,1,12,211
233,1,7,53
234,1,8,146
235,1,7,87
236,1,6,63
237,1,8,114
238,1,9,127
239,1,9,176
240,1,8,82
241,1,9,112
242,1,9,159
243,1,11,248
244,1,7,131
245,1,7,56
246,1,11,258
247,1,8,161
248,1,9,171
249,1,9,130
250,1,10,109
251,1,9,237
252,1,9,161
253,1,6,79
254,1,10,208
255,1,8,131
256,1,8,112
257,1,8,147
258,1,11,203
259,1,9,141
260,1,7,99
261,1,9,189
262,1,8,119
263,1,10,236
264,1,8,141
265,1,11,146
266,1,11,139
267,1,10,168
268,1,8,99
269,1,9,144
270,1,8,160
271,1,8,122
272,1,10,207
273,1,8,98
274,1,9,136
275,1,11,171
276,1,8,100
277,1,9,165
278,1,8,116
279,1,10,169
280,1,10,151
281,1,7,75
282,1,8,124
283,1,6,80
284,1,8,127
285,1,11,215
286,1,4,20
287,1,12,167
288,1,8,133
289,1,10,133
290,1,11,235
291,1,11,173
292,1,11,204
293,1,8,87
294,1,10,162
295,1,10,139
296,1,10,185
297,1,9,174
298,1,8,163
299,1,8,125
300,1,8,159
301,1,9,118
302,1,10,203
303,1,10,137
304,1,9,179
305,1,10,177
306,1,8,170
307,1,9,145
308,1,6,47
309,1,9,142
310,1,10,109
311,1,9,135
312,1,7,81
314,1,9,152
315,1,10,170
316,1,9,227
317,1,10,170
318,1,8,159
319,1,9,133
320,1,8,138
321,1,12,228
322,1,8,151
323,1,10,171
324,1,8,122
325,1,9,121
326,1,10,253
327,1,6,172
328,1,8,149
329,1,8,121
330,1,11,225
331,1,10,152
332,1,8,100
333,1,9,151
334,1,10,211
335,1,9,99
336,1,11,231
337,1,10,107
338,1,8,73
339,1,11,195
340,1,9,131
341,1,8,101
