id,set,human_score,vocabulory_score
2978,2,4,203
2979,2,1,64
2980,2,2,84
2981,2,4,172
2982,2,4,173
2983,2,4,140
2984,2,5,184
2985,2,2,351
2986,2,4,118
2987,2,4,160
2988,2,3,133
2989,2,3,124
2990,2,5,185
2991,2,3,145
2992,2,3,30
2993,2,3,153
2994,2,4,281
2995,2,3,135
2996,2,1,48
2997,2,3,143
2998,2,3,116
2999,2,3,133
3000,2,3,69
3001,2,4,215
3002,2,3,224
3003,2,4,141
3004,2,4,80
3005,2,2,35
3006,2,3,112
3007,2,3,110
3008,2,4,165
3009,2,3,156
3010,2,3,88
3011,2,4,193
3012,2,3,104
3013,2,4,182
3014,2,4,160
3015,2,3,159
3016,2,3,131
3017,2,4,187
3018,2,3,185
3019,2,4,137
3020,2,4,299
3021,2,4,222
3022,2,4,137
3023,2,4,108
3024,2,4,275
3025,2,3,98
3026,2,4,155
3027,2,3,140
3028,2,5,195
3029,2,3,101
3030,2,4,173
3031,2,3,124
3032,2,4,182
3033,2,4,236
3034,2,4,317
3035,2,2,52
3036,2,3,107
3037,2,4,227
3038,2,2,34
3039,2,3,106
3040,2,3,161
3041,2,4,235
3042,2,4,108
3043,2,3,112
3044,2,3,109
3045,2,4,136
3046,2,3,100
3047,2,3,121
3048,2,3,211
3049,2,4,120
3050,2,2,89
3051,2,4,165
3052,2,4,162
3053,2,3,132
3054,2,3,161
3055,2,3,109
3056,2,3,124
3057,2,3,40
3058,2,3,133
3059,2,3,142
3060,2,4,132
3061,2,3,124
3062,2,3,139
3063,2,4,149
3064,2,3,122
3065,2,3,48
3066,2,1,28
3067,2,4,152
3068,2,2,102
3069,2,4,239
3070,2,3,90
3071,2,4,111
3072,2,4,258
3073,2,4,446
3074,2,4,230
3075,2,4,299
3076,2,3,111
3077,2,5,226
3078,2,3,185
3079,2,3,169
3080,2,4,196
3081,2,4,138
3082,2,3,96
3083,2,3,136
3084,2,3,199
3085,2,3,75
3086,2,2,63
3087,2,2,54
3088,2,3,132
3089,2,3,127
3090,2,3,158
3091,2,2,89
3092,2,3,82
3093,2,3,99
3094,2,4,135
3095,2,2,53
3096,2,1,66
3097,2,3,179
3098,2,3,65
3099,2,4,271
3100,2,3,120
3101,2,3,95
3102,2,3,126
3103,2,3,128
3104,2,5,287
3105,2,3,73
3106,2,4,243
3107,2,3,177
3108,2,3,105
3109,2,3,161
3110,2,3,82
3111,2,3,135
3112,2,3,101
3113,2,3,125
3114,2,4,214
3115,2,4,165
3116,2,3,88
3117,2,3,124
3118,2,2,48
3119,2,4,222
3120,2,3,152
3121,2,4,180
3122,2,4,145
3123,2,4,95
3124,2,4,138
3125,2,4,311
3126,2,4,191
3127,2,3,156
3128,2,4,166
3129,2,4,347
3130,2,4,196
3131,2,4,125
3132,2,3,129
3133,2,4,189
3134,2,4,180
3135,2,3,113
3136,2,4,183
3137,2,3,137
3138,2,4,135
3139,2,3,157
3140,2,4,185
3141,2,3,172
3142,2,4,216
3143,2,3,132
3144,2,4,101
3145,2,4,241
3146,2,3,86
3147,2,2,35
3148,2,3,82
3149,2,3,178
3150,2,4,241
3151,2,3,159
3152,2,4,106
3153,2,4,323
3154,2,3,71
3155,2,3,85
3156,2,4,122
3157,2,4,203
3158,2,2,67
3159,2,1,69
3160,2,3,169
3161,2,3,156
3162,2,4,211
3163,2,5,143
3164,2,3,112
3165,2,4,113
3166,2,4,231
3167,2,3,111
3168,2,4,126
3169,2,3,137
3170,2,3,127
3171,2,5,238
3172,2,4,212
3173,2,3,166
3174,2,3,104
3175,2,4,247
3176,2,4,226
3177,2,1,58
3178,2,4,149
3179,2,4,161
3180,2,3,226
3181,2,4,260
3182,2,2,67
3183,2,3,134
3184,2,3,174
3185,2,4,134
3186,2,2,139
3187,2,3,99
3188,2,3,174
3189,2,4,257
3190,2,4,148
3191,2,4,209
3192,2,3,67
3193,2,3,153
3194,2,3,155
3195,2,4,125
3196,2,4,213
3197,2,3,103
3198,2,2,93
3199,2,4,139
3200,2,4,231
3201,2,4,118
3202,2,5,203
3203,2,4,162
3204,2,3,115
3205,2,3,107
3206,2,4,429
3207,2,3,116
3208,2,4,155
3209,2,3,95
3210,2,4,172
3211,2,3,100
3212,2,4,305
3213,2,4,210
3214,2,4,250
3215,2,3,56
3216,2,4,244
3217,2,4,259
3218,2,3,118
3219,2,4,247
3220,2,3,204
3221,2,3,225
3222,2,3,63
3223,2,3,125
3224,2,3,175
3225,2,4,107
3226,2,4,125
3227,2,3,208
3228,2,4,308
3229,2,4,171
3230,2,2,43
3231,2,4,311
3232,2,3,79
3233,2,3,147
3234,2,3,132
3235,2,4,255
3236,2,4,218
3237,2,2,30
3238,2,2,106
3239,2,4,203
3240,2,2,109
3241,2,1,17
3242,2,4,154
3243,2,4,270
3244,2,2,74
3245,2,2,27
3246,2,3,87
3247,2,4,230
3248,2,4,118
3249,2,3,257
3250,2,2,52
3251,2,3,120
3252,2,4,202
3253,2,4,185
3254,2,5,182
3255,2,3,195
3256,2,3,92
3257,2,1,31
3258,2,4,231
3259,2,2,50
3260,2,4,186
3261,2,4,232
3262,2,4,152
3263,2,4,224
3264,2,2,64
3265,2,4,234
3266,2,4,295
3267,2,3,132
3268,2,3,186
3269,2,4,181
3270,2,3,187
3271,2,4,256
3272,2,2,66
3273,2,4,318
3274,2,4,140
3275,2,3,109
3276,2,3,213
3277,2,5,258
3278,2,4,294
3279,2,4,180
3280,2,3,63
3281,2,4,280
3282,2,4,238
3283,2,3,196
3284,2,4,93
3285,2,4,133
3286,2,3,222
3287,2,3,177
3288,2,4,173
3289,2,3,98
3290,2,4,140
3291,2,5,274
3292,2,4,272
3293,2,4,154
3294,2,4,146
3295,2,3,133
3296,2,4,159
3297,2,3,95
3298,2,4,223
3299,2,4,216
3300,2,4,162
3301,2,3,124
3302,2,4,167
3303,2,3,141
3304,2,3,107
3305,2,3,135
3306,2,5,186
3307,2,3,236
3308,2,4,171
3309,2,4,196
3310,2,6,307
3311,2,4,233
3312,2,4,227
3313,2,3,131
3314,2,3,184
3315,2,4,204
3316,2,3,257
3317,2,3,185
3318,2,3,111
3319,2,3,110
