id,set,human_score,vocabulory_score
5978,3,1,15
5979,3,2,51
5980,3,1,34
5981,3,1,21
5982,3,2,38
5983,3,1,24
5984,3,1,16
5985,3,0,32
5986,3,2,30
5987,3,3,56
5988,3,3,60
5989,3,1,35
5990,3,3,63
5991,3,2,27
5992,3,1,21
5993,3,2,48
5994,3,2,46
5995,3,2,27
5996,3,1,30
5997,3,2,31
5998,3,2,21
5999,3,1,14
6000,3,2,52
6001,3,1,23
6002,3,2,40
6003,3,3,69
6004,3,1,14
6005,3,3,69
6006,3,2,32
6007,3,3,58
6008,3,1,41
6010,3,1,29
6011,3,1,5
6012,3,0,31
6013,3,1,16
6014,3,3,64
6015,3,2,55
6016,3,3,80
6017,3,1,29
6018,3,2,28
6019,3,1,27
6020,3,2,41
6021,3,2,27
6022,3,2,38
6023,3,2,68
6024,3,1,20
6025,3,1,22
6026,3,3,75
6027,3,3,90
6028,3,2,30
6029,3,1,44
6030,3,3,75
6031,3,3,53
6032,3,2,28
6033,3,3,63
6034,3,2,47
6035,3,1,34
6036,3,2,61
6037,3,2,28
6038,3,2,38
6039,3,1,49
6040,3,1,36
6041,3,2,10
6042,3,2,48
6043,3,1,19
6044,3,2,5
6045,3,2,30
6046,3,1,46
6047,3,1,26
6048,3,1,47
6049,3,1,22
6050,3,3,124
6051,3,1,57
6052,3,2,48
6053,3,1,19
6054,3,1,24
6055,3,2,35
6056,3,1,38
6057,3,3,58
6058,3,2,52
6059,3,1,10
6060,3,1,28
6061,3,3,93
6062,3,1,23
6063,3,2,44
6064,3,2,29
6065,3,2,25
6066,3,1,21
6067,3,1,27
6068,3,2,22
6069,3,2,51
6070,3,2,38
6071,3,2,30
6072,3,2,30
6073,3,2,68
6074,3,2,21
6075,3,3,82
6076,3,2,66
6077,3,1,35
6078,3,2,26
6079,3,3,50
6080,3,2,46
6081,3,2,14
6082,3,1,29
6083,3,1,12
6084,3,3,44
6085,3,3,83
6086,3,1,32
6087,3,2,28
6088,3,2,50
