id,set,human_score,sentence_count
2,1,9,19
3,1,7,15
4,1,10,25
5,1,8,31
6,1,8,15
7,1,10,27
8,1,10,36
9,1,9,29
10,1,9,25
11,1,8,21
12,1,8,26
13,1,7,7
14,1,6,26
15,1,6,14
16,1,12,35
17,1,8,18
18,1,8,16
19,1,4,7
20,1,6,11
21,1,8,20
22,1,3,3
23,1,10,29
24,1,11,30
25,1,8,17
26,1,9,14
27,1,4,8
28,1,9,28
29,1,9,21
30,1,8,16
31,1,10,28
32,1,10,30
33,1,6,13
34,1,8,26
35,1,9,30
36,1,10,17
37,1,12,28
38,1,8,18
39,1,10,22
40,1,7,17
41,1,2,4
42,1,8,15
43,1,6,9
44,1,8,29
45,1,8,18
46,1,8,12
47,1,8,17
48,1,11,29
49,1,6,26
50,1,5,4
51,1,9,15
52,1,7,16
53,1,8,28
54,1,10,33
55,1,8,11
56,1,10,23
57,1,9,23
58,1,7,15
59,1,8,23
60,1,4,7
61,1,8,23
62,1,8,15
63,1,8,18
64,1,7,7
65,1,9,25
66,1,9,23
67,1,8,19
68,1,9,34
69,1,7,19
70,1,12,26
71,1,10,21
72,1,10,26
73,1,8,21
74,1,7,26
75,1,8,22
76,1,8,17
77,1,10,46
78,1,10,24
79,1,10,19
80,1,8,21
81,1,8,18
82,1,8,23
83,1,7,10
84,1,6,12
85,1,10,29
86,1,8,28
87,1,10,35
88,1,9,17
89,1,6,30
90,1,7,10
91,1,8,16
92,1,11,47
93,1,11,24
94,1,8,23
95,1,10,28
96,1,7,16
97,1,8,22
98,1,11,35
99,1,8,19
100,1,7,11
101,1,10,35
102,1,8,27
103,1,9,15
104,1,10,19
105,1,9,33
106,1,11,31
107,1,10,49
108,1,8,20
109,1,8,25
110,1,6,12
111,1,11,26
112,1,9,29
113,1,8,29
114,1,8,25
115,1,9,25
116,1,4,5
117,1,8,25
118,1,12,29
119,1,10,32
120,1,8,22
121,1,8,15
122,1,9,27
123,1,10,30
124,1,7,10
125,1,5,1
126,1,8,11
127,1,9,23
128,1,9,31
129,1,10,26
130,1,10,40
131,1,10,25
132,1,11,19
133,1,10,44
134,1,10,25
135,1,7,12
136,1,9,40
137,1,7,8
138,1,10,25
139,1,7,13
140,1,9,31
141,1,10,29
142,1,10,27
143,1,7,19
144,1,9,31
145,1,10,19
146,1,6,4
147,1,12,39
148,1,9,19
149,1,8,21
150,1,8,25
151,1,8,8
152,1,6,12
153,1,9,28
154,1,12,33
155,1,10,26
156,1,8,30
157,1,9,30
158,1,9,27
159,1,10,35
160,1,8,22
161,1,10,29
162,1,12,24
163,1,8,23
164,1,8,9
165,1,9,31
166,1,10,32
167,1,8,19
168,1,9,14
169,1,6,10
170,1,8,21
171,1,8,6
172,1,8,7
173,1,8,13
174,1,8,24
175,1,8,22
176,1,10,23
177,1,8,24
178,1,8,20
179,1,8,24
180,1,10,30
181,1,10,30
182,1,8,19
183,1,8,26
184,1,8,17
185,1,8,29
186,1,8,23
187,1,5,3
188,1,9,23
189,1,6,17
190,1,10,22
191,1,8,17
192,1,11,35
193,1,8,29
194,1,10,30
195,1,5,10
196,1,8,28
197,1,10,27
198,1,10,23
199,1,11,36
200,1,8,28
201,1,9,30
202,1,8,28
203,1,10,27
204,1,10,25
205,1,10,35
206,1,10,26
207,1,8,24
208,1,6,10
209,1,6,9
210,1,9,24
211,1,6,12
212,1,7,21
213,1,8,21
214,1,8,14
215,1,10,31
216,1,8,21
217,1,10,36
218,1,8,25
219,1,9,19
220,1,10,39
221,1,6,18
222,1,9,29
223,1,8,16
224,1,8,21
225,1,12,49
226,1,8,18
227,1,9,28
228,1,8,11
229,1,8,20
230,1,9,27
231,1,8,24
232,1,12,34
233,1,7,13
234,1,8,32
235,1,7,20
236,1,6,11
237,1,8,20
238,1,9,14
239,1,9,22
240,1,8,21
241,1,9,13
242,1,9,25
243,1,11,34
244,1,7,15
245,1,7,8
246,1,11,38
247,1,8,20
248,1,9,41
249,1,9,24
250,1,10,20
251,1,9,28
252,1,9,25
253,1,6,13
254,1,10,35
255,1,8,25
256,1,8,16
257,1,8,21
258,1,11,27
259,1,9,26
260,1,7,30
261,1,9,26
262,1,8,12
263,1,10,30
264,1,8,18
265,1,11,32
266,1,11,20
267,1,10,18
268,1,8,15
269,1,9,16
270,1,8,27
271,1,8,21
272,1,10,25
273,1,8,12
274,1,9,23
275,1,11,27
276,1,8,18
277,1,9,23
278,1,8,22
279,1,10,31
280,1,10,32
281,1,7,15
282,1,8,16
283,1,6,12
284,1,8,16
285,1,11,28
286,1,4,5
287,1,12,30
288,1,8,27
289,1,10,19
290,1,11,30
291,1,11,33
292,1,11,38
293,1,8,19
294,1,10,27
295,1,10,26
296,1,10,24
297,1,9,30
298,1,8,27
299,1,8,21
300,1,8,36
301,1,9,29
302,1,10,46
303,1,10,25
304,1,9,24
305,1,10,29
306,1,8,29
307,1,9,23
308,1,6,3
309,1,9,15
310,1,10,19
311,1,9,28
312,1,7,20
314,1,9,16
315,1,10,24
316,1,9,32
317,1,10,34
318,1,8,20
319,1,9,28
320,1,8,13
321,1,12,29
322,1,8,14
323,1,10,24
324,1,8,21
325,1,9,17
326,1,10,42
327,1,6,28
328,1,8,31
329,1,8,19
330,1,11,36
331,1,10,30
332,1,8,21
333,1,9,28
334,1,10,46
335,1,9,17
336,1,11,34
337,1,10,25
338,1,8,10
339,1,11,23
340,1,9,28
341,1,8,15
342,1,9,28
343,1,9,26
345,1,10,18
346,1,12,28
347,1,7,13
348,1,8,15
349,1,8,16
350,1,8,27
351,1,9,34
352,1,7,11
353,1,5,12
354,1,8,20
355,1,6,14
356,1,8,19
357,1,8,18
358,1,7,8
359,1,2,2
360,1,6,11
361,1,10,47
362,1,10,26
363,1,8,10
364,1,11,25
365,1,9,25
366,1,8,41
367,1,8,18
368,1,9,22
369,1,8,15
370,1,10,28
371,1,8,21
372,1,10,28
373,1,8,19
374,1,7,10
375,1,4,6
376,1,8,18
377,1,10,22
378,1,11,28
379,1,9,29
380,1,10,17
381,1,10,36
382,1,7,21
383,1,11,29
384,1,8,14
385,1,11,38
386,1,10,22
387,1,8,17
388,1,7,19
389,1,8,22
390,1,10,23
391,1,12,23
392,1,8,29
393,1,8,23
394,1,7,14
395,1,6,10
396,1,7,13
397,1,10,33
398,1,10,16
399,1,8,21
400,1,8,22
401,1,6,9
402,1,8,19
403,1,8,32
404,1,8,11
405,1,9,36
406,1,8,12
407,1,8,25
408,1,8,16
409,1,8,19
410,1,8,16
411,1,12,29
412,1,10,33
413,1,9,22
414,1,8,23
415,1,7,26
416,1,6,15
417,1,8,11
418,1,12,33
419,1,6,21
420,1,8,16
421,1,6,12
422,1,7,13
423,1,9,30
424,1,9,23
425,1,10,23
426,1,9,21
427,1,11,27
428,1,8,11
429,1,9,32
430,1,8,40
431,1,11,21
432,1,8,28
433,1,11,35
434,1,7,13
435,1,11,34
436,1,8,25
437,1,8,23
438,1,8,24
439,1,10,16
440,1,8,18
441,1,8,27
442,1,10,25
443,1,8,9
444,1,8,18
445,1,8,15
446,1,10,26
447,1,11,31
448,1,9,23
449,1,2,2
450,1,7,17
451,1,8,25
452,1,7,10
453,1,9,37
454,1,8,28
455,1,4,4
456,1,7,15
457,1,10,30
458,1,9,16
459,1,8,13
460,1,8,28
461,1,8,31
462,1,8,18
463,1,8,31
464,1,7,17
465,1,8,12
466,1,9,21
467,1,8,22
468,1,8,12
469,1,9,23
470,1,8,22
471,1,8,28
472,1,12,31
473,1,7,17
474,1,6,11
475,1,9,24
476,1,8,22
477,1,6,11
478,1,8,20
479,1,10,35
480,1,8,19
481,1,10,24
482,1,9,32
483,1,9,15
484,1,7,14
485,1,10,36
486,1,9,21
487,1,8,17
488,1,8,25
489,1,9,30
490,1,8,38
491,1,8,12
492,1,7,9
493,1,8,14
494,1,9,34
