id,set,human_score,word_count
2,1,9,419
3,1,7,279
4,1,10,524
5,1,8,465
6,1,8,246
7,1,10,499
8,1,10,482
9,1,9,442
10,1,9,502
11,1,8,324
12,1,8,392
13,1,7,204
14,1,6,307
15,1,6,176
16,1,12,528
17,1,8,335
18,1,8,367
19,1,4,66
20,1,6,156
21,1,8,367
22,1,3,56
23,1,10,521
24,1,11,559
25,1,8,293
26,1,9,360
27,1,4,120
28,1,9,360
29,1,9,372
30,1,8,257
31,1,10,472
32,1,10,492
33,1,6,167
34,1,8,362
35,1,9,413
36,1,10,542
37,1,12,488
38,1,8,352
39,1,10,445
40,1,7,190
41,1,2,41
42,1,8,282
43,1,6,140
44,1,8,313
45,1,8,322
46,1,8,298
47,1,8,314
48,1,11,544
49,1,6,315
50,1,5,83
51,1,9,571
52,1,7,241
53,1,8,424
54,1,10,415
55,1,8,237
56,1,10,469
57,1,9,291
58,1,7,197
59,1,8,442
60,1,4,68
61,1,8,301
62,1,8,283
63,1,8,290
64,1,7,217
65,1,9,414
66,1,9,371
67,1,8,293
68,1,9,390
69,1,7,241
70,1,12,422
71,1,10,443
72,1,10,527
73,1,8,386
74,1,7,297
75,1,8,348
76,1,8,298
77,1,10,522
78,1,10,420
79,1,10,381
80,1,8,408
81,1,8,363
82,1,8,281
83,1,7,208
84,1,6,202
85,1,10,543
86,1,8,419
87,1,10,414
88,1,9,441
89,1,6,232
90,1,7,229
91,1,8,232
92,1,11,651
93,1,11,537
94,1,8,313
95,1,10,462
96,1,7,230
97,1,8,294
98,1,11,411
99,1,8,347
100,1,7,235
101,1,10,466
102,1,8,330
103,1,9,392
104,1,10,401
105,1,9,537
106,1,11,361
107,1,10,631
108,1,8,366
109,1,8,348
110,1,6,236
111,1,11,549
112,1,9,409
113,1,8,328
114,1,8,407
115,1,9,508
116,1,4,53
117,1,8,319
118,1,12,433
119,1,10,485
120,1,8,374
121,1,8,368
122,1,9,533
123,1,10,411
124,1,7,273
125,1,5,176
126,1,8,280
127,1,9,402
128,1,9,406
129,1,10,416
130,1,10,587
131,1,10,420
132,1,11,425
133,1,10,507
134,1,10,400
135,1,7,261
136,1,9,543
137,1,7,243
138,1,10,401
139,1,7,180
140,1,9,360
141,1,10,575
142,1,10,381
143,1,7,303
144,1,9,441
145,1,10,361
146,1,6,185
147,1,12,595
148,1,9,306
149,1,8,436
150,1,8,303
151,1,8,245
152,1,6,172
153,1,9,489
154,1,12,423
155,1,10,437
156,1,8,333
157,1,9,448
158,1,9,352
159,1,10,462
160,1,8,272
161,1,10,417
162,1,12,534
163,1,8,232
164,1,8,245
165,1,9,371
166,1,10,537
167,1,8,331
168,1,9,448
169,1,6,150
170,1,8,335
171,1,8,322
172,1,8,255
173,1,8,256
174,1,8,349
175,1,8,330
176,1,10,381
177,1,8,326
178,1,8,268
179,1,8,275
180,1,10,437
181,1,10,442
182,1,8,293
183,1,8,393
184,1,8,387
185,1,8,466
186,1,8,335
187,1,5,111
188,1,9,411
189,1,6,126
190,1,10,319
191,1,8,244
192,1,11,489
193,1,8,399
194,1,10,521
195,1,5,123
196,1,8,382
197,1,10,521
198,1,10,421
199,1,11,738
200,1,8,361
201,1,9,395
202,1,8,376
203,1,10,497
204,1,10,368
205,1,10,560
206,1,10,363
207,1,8,280
208,1,6,150
209,1,6,164
210,1,9,377
211,1,6,190
212,1,7,269
213,1,8,315
214,1,8,305
215,1,10,553
216,1,8,400
217,1,10,523
218,1,8,339
219,1,9,387
220,1,10,431
221,1,6,206
222,1,9,437
223,1,8,425
224,1,8,341
225,1,12,531
226,1,8,248
227,1,9,362
228,1,8,292
229,1,8,275
230,1,9,453
231,1,8,274
232,1,12,531
233,1,7,193
234,1,8,407
235,1,7,298
236,1,6,201
237,1,8,316
238,1,9,321
239,1,9,438
240,1,8,254
241,1,9,246
242,1,9,431
243,1,11,632
244,1,7,349
245,1,7,167
246,1,11,646
247,1,8,402
248,1,9,484
249,1,9,336
250,1,10,309
251,1,9,556
252,1,9,407
253,1,6,220
254,1,10,574
255,1,8,326
256,1,8,283
257,1,8,430
258,1,11,524
259,1,9,430
260,1,7,311
261,1,9,444
262,1,8,293
263,1,10,524
264,1,8,369
265,1,11,399
266,1,11,396
267,1,10,450
268,1,8,263
269,1,9,398
270,1,8,390
271,1,8,320
272,1,10,513
273,1,8,295
274,1,9,385
275,1,11,392
276,1,8,264
277,1,9,418
278,1,8,301
279,1,10,435
280,1,10,398
281,1,7,222
282,1,8,313
283,1,6,223
284,1,8,306
285,1,11,550
286,1,4,62
287,1,12,550
288,1,8,343
289,1,10,400
290,1,11,537
291,1,11,437
292,1,11,521
293,1,8,227
294,1,10,462
295,1,10,345
296,1,10,504
297,1,9,466
298,1,8,377
299,1,8,330
300,1,8,485
301,1,9,355
302,1,10,573
303,1,10,442
304,1,9,529
305,1,10,482
306,1,8,450
307,1,9,335
308,1,6,127
309,1,9,398
310,1,10,365
311,1,9,353
312,1,7,233
314,1,9,360
315,1,10,418
316,1,9,537
317,1,10,492
318,1,8,397
319,1,9,367
320,1,8,323
321,1,12,533
322,1,8,321
323,1,10,413
324,1,8,329
325,1,9,393
326,1,10,652
327,1,6,400
328,1,8,343
329,1,8,347
330,1,11,643
331,1,10,467
332,1,8,286
333,1,9,378
334,1,10,706
335,1,9,344
336,1,11,529
337,1,10,281
338,1,8,214
339,1,11,526
340,1,9,347
341,1,8,277
342,1,9,456
343,1,9,360
345,1,10,426
346,1,12,678
347,1,7,259
348,1,8,321
349,1,8,266
350,1,8,404
351,1,9,354
352,1,7,221
353,1,5,127
354,1,8,254
355,1,6,218
356,1,8,271
357,1,8,255
358,1,7,195
359,1,2,8
360,1,6,180
361,1,10,541
362,1,10,470
363,1,8,262
364,1,11,592
365,1,9,427
366,1,8,363
367,1,8,342
368,1,9,307
369,1,8,236
370,1,10,607
371,1,8,319
372,1,10,454
373,1,8,271
374,1,7,405
375,1,4,159
376,1,8,452
377,1,10,456
378,1,11,467
379,1,9,465
380,1,10,307
381,1,10,470
382,1,7,245
383,1,11,489
384,1,8,247
385,1,11,617
386,1,10,441
387,1,8,315
388,1,7,273
389,1,8,302
390,1,10,420
391,1,12,532
392,1,8,381
393,1,8,306
394,1,7,164
395,1,6,169
396,1,7,353
397,1,10,550
398,1,10,416
399,1,8,421
400,1,8,348
401,1,6,158
402,1,8,289
403,1,8,482
404,1,8,377
405,1,9,700
406,1,8,427
407,1,8,375
408,1,8,305
409,1,8,344
410,1,8,329
411,1,12,498
412,1,10,446
413,1,9,392
414,1,8,347
415,1,7,340
416,1,6,166
417,1,8,256
418,1,12,596
419,1,6,218
420,1,8,258
421,1,6,212
422,1,7,332
423,1,9,506
424,1,9,464
425,1,10,466
426,1,9,439
427,1,11,503
428,1,8,327
429,1,9,387
430,1,8,568
431,1,11,482
432,1,8,284
433,1,11,474
434,1,7,344
435,1,11,619
436,1,8,392
437,1,8,335
438,1,8,305
439,1,10,441
440,1,8,309
441,1,8,399
442,1,10,408
443,1,8,285
444,1,8,334
445,1,8,237
446,1,10,455
447,1,11,514
448,1,9,419
449,1,2,23
450,1,7,284
451,1,8,369
452,1,7,203
453,1,9,413
454,1,8,464
455,1,4,90
456,1,7,346
457,1,10,489
458,1,9,275
459,1,8,290
460,1,8,466
461,1,8,346
462,1,8,357
463,1,8,430
464,1,7,266
465,1,8,302
466,1,9,334
467,1,8,320
468,1,8,187
469,1,9,373
470,1,8,339
471,1,8,259
472,1,12,510
473,1,7,278
474,1,6,128
475,1,9,461
476,1,8,362
477,1,6,180
478,1,8,374
479,1,10,459
480,1,8,311
481,1,10,467
482,1,9,390
483,1,9,403
484,1,7,207
485,1,10,485
486,1,9,497
487,1,8,309
488,1,8,324
489,1,9,522
490,1,8,531
491,1,8,367
492,1,7,307
493,1,8,276
494,1,9,413
495,1,8,305
496,1,9,316
497,1,9,647
498,1,12,533
499,1,9,406
500,1,10,405
501,1,8,352
502,1,7,129
503,1,8,235
504,1,10,491
505,1,10,405
506,1,7,278
507,1,10,620
508,1,9,304
509,1,11,404
