id,set,human_score,char_4,word_count
8863,4,0,20,57
8864,4,0,14,39
8865,4,3,61,136
8866,4,2,28,65
8867,4,2,50,128
8868,4,1,29,71
8869,4,0,36,92
8870,4,2,35,82
8871,4,1,11,32
8872,4,2,33,115
8873,4,2,55,179
8874,4,0,14,42
8875,4,1,13,31
8876,4,2,75,175
8877,4,0,26,71
8878,4,1,14,48
8879,4,2,31,87
8880,4,1,14,34
8881,4,3,72,164
8882,4,1,15,50
8883,4,1,28,81
8884,4,1,18,40
8885,4,3,54,136
8886,4,1,13,46
8887,4,2,27,88
8888,4,2,69,176
8889,4,1,32,115
8890,4,2,43,105
8891,4,3,54,133
8892,4,1,35,79
8893,4,2,12,54
8894,4,1,14,55
8895,4,3,62,175
8896,4,2,44,89
8897,4,1,42,92
8898,4,2,35,140
8899,4,0,15,34
8900,4,2,38,149
8901,4,0,14,36
8902,4,3,59,155
8903,4,3,57,177
8904,4,2,50,109
8905,4,2,50,139
8906,4,2,43,111
8907,4,0,16,40
8908,4,1,35,101
8909,4,2,38,117
8910,4,1,23,68
8911,4,3,76,180
8912,4,1,24,66
8913,4,1,24,74
8914,4,2,71,191
8915,4,2,26,68
8916,4,0,36,107
8917,4,0,26,66
8918,4,1,43,125
8919,4,3,39,90
8920,4,0,13,43
8921,4,2,50,159
8922,4,2,40,141
8923,4,3,69,173
8924,4,2,30,88
8925,4,1,26,81
8926,4,1,18,50
8927,4,0,20,57
8928,4,1,30,91
8929,4,1,25,67
8930,4,0,33,84
8931,4,3,18,55
8932,4,1,6,19
8933,4,2,44,126
8934,4,1,10,55
8935,4,2,70,186
8936,4,1,14,49
8937,4,1,35,104
8938,4,1,18,53
8939,4,3,59,132
8940,4,2,46,132
8941,4,3,87,225
8942,4,1,14,62
8943,4,1,19,61
8944,4,1,32,95
8945,4,2,36,107
8946,4,3,44,106
8947,4,0,33,85
8948,4,3,65,166
8949,4,0,15,46
8950,4,1,44,112
8951,4,2,30,96
8952,4,1,25,76
8953,4,1,11,69
8954,4,3,51,133
8955,4,3,54,131
8956,4,1,14,49
8957,4,2,44,114
8958,4,0,12,34
8959,4,3,55,148
8960,4,1,35,98
8961,4,1,30,73
8962,4,2,36,97
8963,4,1,22,78
8964,4,0,13,34
8965,4,2,33,93
8966,4,1,15,55
8967,4,2,26,98
8968,4,2,21,50
8969,4,2,62,172
8970,4,1,17,52
8971,4,1,32,95
8972,4,2,43,114
8973,4,3,68,168
8974,4,3,42,144
8975,4,0,12,26
8976,4,0,20,61
8977,4,2,43,120
8978,4,0,19,54
8979,4,3,84,211
8980,4,1,19,58
8981,4,3,102,248
8982,4,1,17,43
8983,4,2,44,119
8984,4,1,9,25
8985,4,1,35,82
8986,4,2,36,124
8987,4,2,28,78
8988,4,2,61,148
8989,4,1,6,24
8990,4,3,84,225
8991,4,0,15,40
8992,4,0,17,46
8993,4,0,21,47
8994,4,0,8,23
8995,4,2,34,96
8996,4,2,66,171
8997,4,1,14,38
8998,4,3,46,134
8999,4,1,22,62
9000,4,1,18,51
9001,4,2,73,217
9002,4,2,18,67
9003,4,2,70,178
9004,4,3,76,168
9005,4,3,39,120
9006,4,3,37,103
9007,4,2,52,137
9008,4,2,46,116
9009,4,2,38,95
9010,4,1,27,60
9011,4,2,42,141
9012,4,1,37,99
9013,4,1,21,55
9014,4,2,63,182
9015,4,1,27,93
9016,4,3,60,159
9017,4,2,29,92
9018,4,2,33,88
9019,4,3,69,180
9020,4,0,8,23
9021,4,2,33,92
9022,4,2,39,99
9023,4,1,19,52
9024,4,1,18,59
9025,4,1,9,27
9026,4,2,31,95
9027,4,3,93,231
9028,4,1,14,41
9029,4,2,60,154
9030,4,0,14,64
9031,4,1,32,84
9032,4,1,7,22
9033,4,1,47,131
9034,4,2,61,147
9035,4,3,92,230
9036,4,0,23,72
9037,4,3,56,131
9038,4,1,12,36
9039,4,2,46,134
9040,4,3,51,145
9041,4,0,15,49
9042,4,2,58,143
9043,4,2,26,101
9044,4,1,92,255
9045,4,0,24,58
9046,4,1,37,92
9047,4,1,14,35
9048,4,0,8,29
9049,4,2,39,97
9050,4,1,27,63
9051,4,2,50,119
9052,4,3,40,109
9053,4,2,31,84
9054,4,1,31,78
9055,4,1,28,88
9056,4,0,25,77
9057,4,2,32,84
9058,4,3,63,182
9059,4,0,18,39
9060,4,3,81,198
9061,4,3,81,208
9062,4,0,7,18
9063,4,1,11,34
9064,4,1,31,120
9065,4,1,13,46
9066,4,1,46,116
9067,4,1,27,63
9068,4,1,16,51
9069,4,3,60,158
9070,4,1,13,44
9071,4,2,40,96
9072,4,0,19,63
9073,4,1,23,81
9074,4,3,73,190
9075,4,3,51,141
9076,4,0,8,18
9077,4,1,21,55
9078,4,1,19,52
9079,4,2,53,166
9080,4,1,25,52
9081,4,2,23,66
9082,4,2,43,119
9083,4,2,48,118
9084,4,2,53,160
9085,4,2,59,144
9086,4,1,2,10
9087,4,1,22,68
9088,4,2,44,105
9089,4,2,51,158
9090,4,1,15,59
9091,4,2,35,114
9092,4,0,8,23
9093,4,1,28,86
9094,4,1,10,27
9095,4,2,35,111
9096,4,2,48,122
9097,4,1,22,58
9098,4,3,59,148
9099,4,1,11,54
9100,4,1,26,85
9101,4,1,15,32
9102,4,1,16,48
9103,4,2,44,102
9104,4,2,53,133
9105,4,1,26,82
9106,4,3,45,150
9107,4,1,19,49
9108,4,0,7,17
9109,4,0,24,60
9110,4,2,62,134
9111,4,2,22,92
9112,4,2,48,123
9113,4,1,31,81
9114,4,3,69,199
9115,4,2,41,120
9116,4,2,43,119
9117,4,2,33,109
9118,4,2,45,135
9119,4,1,23,57
9121,4,2,42,107
9122,4,2,57,146
9123,4,1,25,70
9124,4,0,19,65
9125,4,0,30,77
9126,4,1,16,41
9127,4,2,37,121
9128,4,1,46,122
9129,4,1,8,30
9130,4,0,14,36
9131,4,1,28,92
9132,4,3,79,217
9133,4,2,76,202
9134,4,3,74,186
9135,4,2,46,122
9136,4,1,25,64
9137,4,0,7,17
9138,4,3,53,130
9139,4,1,22,65
9140,4,0,39,100
9141,4,1,20,80
9142,4,1,21,55
9143,4,1,16,44
9144,4,1,31,81
9145,4,2,46,120
9146,4,1,34,105
9147,4,2,34,133
9148,4,1,13,38
9149,4,2,54,166
9150,4,1,19,58
9151,4,1,23,61
9152,4,2,41,117
9153,4,2,42,131
9154,4,1,24,65
9155,4,0,17,38
9156,4,2,20,62
9157,4,1,11,35
9158,4,3,86,219
9159,4,0,29,74
9160,4,0,28,72
9161,4,3,48,126
9162,4,1,21,50
9163,4,2,63,168
9164,4,3,62,166
9165,4,2,39,106
9166,4,2,42,115
9167,4,3,71,191
9168,4,2,34,94
9169,4,0,22,43
9170,4,3,85,251
9171,4,2,51,150
9172,4,1,17,46
9173,4,0,5,12
9174,4,1,26,77
9175,4,3,63,165
9176,4,1,12,43
9177,4,1,23,69
9178,4,2,32,72
9179,4,0,12,54
9180,4,1,29,82
9181,4,0,33,80
9182,4,2,31,88
9183,4,1,11,46
9184,4,1,27,73
9185,4,1,18,64
9186,4,1,28,62
9187,4,2,27,68
9188,4,3,65,174
9189,4,1,15,34
9190,4,3,58,169
9191,4,1,31,89
9192,4,1,21,56
9193,4,2,16,61
9194,4,1,17,64
9195,4,1,44,128
9196,4,1,26,68
9197,4,1,35,100
9198,4,2,80,266
9199,4,3,60,160
9200,4,1,36,93
9201,4,1,30,95
9202,4,0,22,67
9203,4,0,13,41
9204,4,2,32,109
9205,4,1,30,113
9206,4,1,16,44
9207,4,0,8,33
9208,4,2,53,127
9209,4,1,8,27
9210,4,1,17,47
9211,4,2,61,144
9212,4,2,38,132
9213,4,1,12,33
9214,4,1,47,124
9215,4,2,44,119
9216,4,1,26,72
9217,4,3,68,154
9218,4,1,12,41
9219,4,2,54,142
9220,4,3,63,157
9221,4,1,12,43
9222,4,2,92,246
9223,4,2,71,176
9224,4,2,32,91
9225,4,1,23,50
9226,4,0,8,27
9227,4,2,34,97
9228,4,2,30,95
9229,4,2,47,114
9230,4,2,31,94
9231,4,1,15,36
9232,4,1,30,90
9233,4,1,22,58
9234,4,0,15,39
9235,4,1,40,98
9236,4,2,54,125
9237,4,2,40,116
9238,4,2,31,100
9239,4,2,25,61
9240,4,1,22,76
9241,4,1,17,38
9242,4,1,22,68
9243,4,2,41,156
9244,4,1,42,108
9245,4,1,13,38
9246,4,0,13,38
9247,4,3,66,153
9248,4,2,49,126
9249,4,2,53,122
9250,4,1,17,46
9251,4,2,56,138
9252,4,1,11,48
9253,4,1,21,49
9254,4,3,52,140
9255,4,3,68,209
9256,4,2,38,90
9257,4,3,64,183
9258,4,3,61,147
9259,4,2,30,77
9260,4,3,65,186
9261,4,1,11,30
9262,4,0,14,44
9263,4,3,63,168
9264,4,3,59,153
9265,4,1,20,68
9266,4,1,9,18
9267,4,1,37,101
9268,4,0,11,28
9269,4,2,44,94
9270,4,1,9,39
9271,4,1,26,80
9272,4,0,7,17
9273,4,0,37,94
9274,4,2,26,90
9275,4,1,7,37
9276,4,1,43,99
9277,4,2,56,157
9278,4,2,22,66
9279,4,1,86,237
9280,4,1,26,66
9281,4,2,50,124
9282,4,2,42,125
9283,4,1,30,68
9284,4,1,14,33
9285,4,2,35,84
