id,set,human_score,char_4,word_count,char_6,vocabulory_score
8863,4,0,20,57,10,21
8864,4,0,14,39,6,10
8865,4,3,61,136,32,43
8866,4,2,28,65,14,26
8867,4,2,50,128,20,55
8868,4,1,29,71,9,29
8869,4,0,36,92,11,39
8870,4,2,35,82,15,30
8871,4,1,11,32,3,13
8872,4,2,33,115,16,37
8873,4,2,55,179,24,62
8874,4,0,14,42,2,20
8875,4,1,13,31,5,14
8876,4,2,75,175,31,67
8877,4,0,26,71,14,27
8878,4,1,14,48,4,16
8879,4,2,31,87,16,35
8880,4,1,14,34,7,10
8881,4,3,72,164,32,53
8882,4,1,15,50,8,20
8883,4,1,28,81,8,35
8884,4,1,18,40,5,14
8885,4,3,54,136,25,50
8886,4,1,13,46,8,18
8887,4,2,27,88,10,28
8888,4,2,69,176,34,70
8889,4,1,32,115,9,47
8890,4,2,43,105,25,38
8891,4,3,54,133,23,50
8892,4,1,35,79,13,44
8893,4,2,12,54,8,23
8894,4,1,14,55,8,23
8895,4,3,62,175,28,65
8896,4,2,44,89,26,30
8897,4,1,42,92,12,46
8898,4,2,35,140,7,58
8899,4,0,15,34,8,11
8900,4,2,38,149,18,64
8901,4,0,14,36,3,18
8902,4,3,59,155,26,55
8903,4,3,57,177,22,69
8904,4,2,50,109,21,41
8905,4,2,50,139,26,54
8906,4,2,43,111,19,40
8907,4,0,16,40,6,14
8908,4,1,35,101,22,38
8909,4,2,38,117,13,50
8910,4,1,23,68,10,29
8911,4,3,76,180,31,73
8912,4,1,24,66,6,30
8913,4,1,24,74,8,28
8914,4,2,71,191,32,61
8915,4,2,26,68,9,27
8916,4,0,36,107,15,35
8917,4,0,26,66,12,25
8918,4,1,43,125,9,59
8919,4,3,39,90,20,34
8920,4,0,13,43,6,20
8921,4,2,50,159,28,65
8922,4,2,40,141,20,47
8923,4,3,69,173,41,58
8924,4,2,30,88,10,34
8925,4,1,26,81,9,33
8926,4,1,18,50,4,18
8927,4,0,20,57,5,21
8928,4,1,30,91,13,35
8929,4,1,25,67,9,27
8930,4,0,33,84,14,29
8931,4,3,18,55,11,21
8932,4,1,6,19,2,7
8933,4,2,44,126,24,58
8934,4,1,10,55,5,19
8935,4,2,70,186,27,80
8936,4,1,14,49,3,17
8937,4,1,35,104,11,54
8938,4,1,18,53,7,22
8939,4,3,59,132,25,51
8940,4,2,46,132,21,55
8941,4,3,87,225,39,85
8942,4,1,14,62,3,28
8943,4,1,19,61,5,21
8944,4,1,32,95,14,47
8945,4,2,36,107,11,40
8946,4,3,44,106,17,46
8947,4,0,33,85,9,36
8948,4,3,65,166,21,64
8949,4,0,15,46,3,22
8950,4,1,44,112,19,36
8951,4,2,30,96,16,36
8952,4,1,25,76,10,27
8953,4,1,11,69,5,25
8954,4,3,51,133,24,39
8955,4,3,54,131,22,42
8956,4,1,14,49,5,22
8957,4,2,44,114,13,42
8958,4,0,12,34,5,13
8959,4,3,55,148,25,52
8960,4,1,35,98,13,38
8961,4,1,30,73,16,22
8962,4,2,36,97,16,32
8963,4,1,22,78,7,17
8964,4,0,13,34,4,13
8965,4,2,33,93,19,34
8966,4,1,15,55,4,22
8967,4,2,26,98,9,39
8968,4,2,21,50,12,19
8969,4,2,62,172,26,72
8970,4,1,17,52,8,17
8971,4,1,32,95,14,46
8972,4,2,43,114,17,36
8973,4,3,68,168,47,51
8974,4,3,42,144,29,40
8975,4,0,12,26,3,12
8976,4,0,20,61,6,27
8977,4,2,43,120,11,47
8978,4,0,19,54,9,18
8979,4,3,84,211,40,81
8980,4,1,19,58,10,24
8981,4,3,102,248,38,101
8982,4,1,17,43,8,18
8983,4,2,44,119,18,44
8984,4,1,9,25,5,8
8985,4,1,35,82,11,33
8986,4,2,36,124,21,42
8987,4,2,28,78,16,34
8988,4,2,61,148,31,43
8989,4,1,6,24,2,8
8990,4,3,84,225,28,90
8991,4,0,15,40,4,18
8992,4,0,17,46,6,19
8993,4,0,21,47,6,20
8994,4,0,8,23,4,10
8995,4,2,34,96,19,37
8996,4,2,66,171,27,77
8997,4,1,14,38,6,15
8998,4,3,46,134,16,49
8999,4,1,22,62,6,28
9000,4,1,18,51,2,21
9001,4,2,73,217,27,84
9002,4,2,18,67,8,27
9003,4,2,70,178,41,58
9004,4,3,76,168,40,59
9005,4,3,39,120,16,39
9006,4,3,37,103,13,34
9007,4,2,52,137,28,41
9008,4,2,46,116,26,43
9009,4,2,38,95,17,37
9010,4,1,27,60,13,22
9011,4,2,42,141,14,64
9012,4,1,37,99,15,44
9013,4,1,21,55,3,20
9014,4,2,63,182,27,75
9015,4,1,27,93,9,35
9016,4,3,60,159,32,59
9017,4,2,29,92,11,36
9018,4,2,33,88,15,30
9019,4,3,69,180,38,51
9020,4,0,8,23,3,8
9021,4,2,33,92,20,36
9022,4,2,39,99,14,35
9023,4,1,19,52,8,13
9024,4,1,18,59,4,18
9025,4,1,9,27,3,9
9026,4,2,31,95,12,28
9027,4,3,93,231,45,92
9028,4,1,14,41,5,20
9029,4,2,60,154,28,55
9030,4,0,14,64,4,27
9031,4,1,32,84,10,28
9032,4,1,7,22,3,8
9033,4,1,47,131,21,43
9034,4,2,61,147,30,57
9035,4,3,92,230,36,93
9036,4,0,23,72,6,32
9037,4,3,56,131,30,45
9038,4,1,12,36,4,15
9039,4,2,46,134,16,46
9040,4,3,51,145,27,55
9041,4,0,15,49,7,22
9042,4,2,58,143,27,50
9043,4,2,26,101,13,49
9044,4,1,92,255,42,94
9045,4,0,24,58,6,22
9046,4,1,37,92,13,41
9047,4,1,14,35,6,16
9048,4,0,8,29,1,7
9049,4,2,39,97,14,30
9050,4,1,27,63,12,26
9051,4,2,50,119,26,41
9052,4,3,40,109,19,39
9053,4,2,31,84,13,27
9054,4,1,31,78,13,25
9055,4,1,28,88,7,44
9056,4,0,25,77,7,32
9057,4,2,32,84,14,36
9058,4,3,63,182,32,63
9059,4,0,18,39,5,18
9060,4,3,81,198,38,81
9061,4,3,81,208,28,85
9062,4,0,7,18,3,3
9063,4,1,11,34,7,10
9064,4,1,31,120,11,50
9065,4,1,13,46,3,18
9066,4,1,46,116,15,57
9067,4,1,27,63,14,26
9068,4,1,16,51,7,12
9069,4,3,60,158,29,53
9070,4,1,13,44,7,24
9071,4,2,40,96,18,32
9072,4,0,19,63,5,15
9073,4,1,23,81,3,38
9074,4,3,73,190,33,76
9075,4,3,51,141,33,45
9076,4,0,8,18,2,4
9077,4,1,21,55,10,22
9078,4,1,19,52,4,27
9079,4,2,53,166,24,66
9080,4,1,25,52,10,19
9081,4,2,23,66,9,25
9082,4,2,43,119,13,45
9083,4,2,48,118,26,39
9084,4,2,53,160,13,62
9085,4,2,59,144,25,56
9086,4,1,2,10,0,4
9087,4,1,22,68,7,27
9088,4,2,44,105,18,36
9089,4,2,51,158,25,49
9090,4,1,15,59,2,21
9091,4,2,35,114,17,49
9092,4,0,8,23,3,9
9093,4,1,28,86,14,38
9094,4,1,10,27,2,10
9095,4,2,35,111,20,38
9096,4,2,48,122,19,45
9097,4,1,22,58,5,24
9098,4,3,59,148,29,54
9099,4,1,11,54,3,20
9100,4,1,26,85,8,23
9101,4,1,15,32,7,13
9102,4,1,16,48,8,20
9103,4,2,44,102,23,38
9104,4,2,53,133,23,52
9105,4,1,26,82,9,41
9106,4,3,45,150,17,69
9107,4,1,19,49,13,23
9108,4,0,7,17,4,6
9109,4,0,24,60,11,27
9110,4,2,62,134,36,41
9111,4,2,22,92,9,28
9112,4,2,48,123,26,41
9113,4,1,31,81,10,33
9114,4,3,69,199,40,78
9115,4,2,41,120,17,42
9116,4,2,43,119,24,37
9117,4,2,33,109,17,35
9118,4,2,45,135,24,62
9119,4,1,23,57,9,19
9121,4,2,42,107,19,40
9122,4,2,57,146,29,55
9123,4,1,25,70,12,32
9124,4,0,19,65,5,27
9125,4,0,30,77,18,29
9126,4,1,16,41,10,12
9127,4,2,37,121,20,44
9128,4,1,46,122,16,49
9129,4,1,8,30,3,12
9130,4,0,14,36,8,13
9131,4,1,28,92,9,40
9132,4,3,79,217,34,91
9133,4,2,76,202,38,75
9134,4,3,74,186,35,71
9135,4,2,46,122,17,57
9136,4,1,25,64,10,20
9137,4,0,7,17,3,5
9138,4,3,53,130,20,48
9139,4,1,22,65,11,27
9140,4,0,39,100,16,36
9141,4,1,20,80,4,35
9142,4,1,21,55,7,14
9143,4,1,16,44,6,17
9144,4,1,31,81,12,30
9145,4,2,46,120,19,54
9146,4,1,34,105,10,32
9147,4,2,34,133,12,37
9148,4,1,13,38,7,15
9149,4,2,54,166,25,52
9150,4,1,19,58,10,25
9151,4,1,23,61,10,18
9152,4,2,41,117,17,42
9153,4,2,42,131,13,51
9154,4,1,24,65,7,26
9155,4,0,17,38,5,15
9156,4,2,20,62,10,23
9157,4,1,11,35,2,8
9158,4,3,86,219,47,66
9159,4,0,29,74,8,31
9160,4,0,28,72,9,28
9161,4,3,48,126,26,45
9162,4,1,21,50,12,22
9163,4,2,63,168,42,62
9164,4,3,62,166,24,62
9165,4,2,39,106,14,42
9166,4,2,42,115,20,42
9167,4,3,71,191,29,62
9168,4,2,34,94,16,36
9169,4,0,22,43,9,15
9170,4,3,85,251,46,81
9171,4,2,51,150,24,59
9172,4,1,17,46,4,11
9173,4,0,5,12,0,8
9174,4,1,26,77,11,35
9175,4,3,63,165,34,52
9176,4,1,12,43,4,15
9177,4,1,23,69,11,27
9178,4,2,32,72,19,28
9179,4,0,12,54,0,19
9180,4,1,29,82,11,32
9181,4,0,33,80,13,31
9182,4,2,31,88,13,34
9183,4,1,11,46,5,13
9184,4,1,27,73,11,34
9185,4,1,18,64,5,27
9186,4,1,28,62,9,25
9187,4,2,27,68,13,24
9188,4,3,65,174,24,71
9189,4,1,15,34,4,16
9190,4,3,58,169,29,52
9191,4,1,31,89,11,35
9192,4,1,21,56,10,24
9193,4,2,16,61,9,26
9194,4,1,17,64,7,26
9195,4,1,44,128,21,40
9196,4,1,26,68,12,30
9197,4,1,35,100,10,44
9198,4,2,80,266,36,99
9199,4,3,60,160,33,47
9200,4,1,36,93,5,40
9201,4,1,30,95,12,32
9202,4,0,22,67,7,28
9203,4,0,13,41,6,14
9204,4,2,32,109,11,45
9205,4,1,30,113,15,33
9206,4,1,16,44,7,18
9207,4,0,8,33,2,9
9208,4,2,53,127,24,51
9209,4,1,8,27,5,8
9210,4,1,17,47,5,15
9211,4,2,61,144,27,57
9212,4,2,38,132,17,47
9213,4,1,12,33,7,9
9214,4,1,47,124,20,40
9215,4,2,44,119,21,41
9216,4,1,26,72,10,29
9217,4,3,68,154,36,71
9218,4,1,12,41,4,17
9219,4,2,54,142,24,55
9220,4,3,63,157,27,58
9221,4,1,12,43,4,18
9222,4,2,92,246,43,83
9223,4,2,71,176,32,58
9224,4,2,32,91,15,33
9225,4,1,23,50,11,19
9226,4,0,8,27,1,12
9227,4,2,34,97,16,37
9228,4,2,30,95,17,28
9229,4,2,47,114,17,48
9230,4,2,31,94,15,36
9231,4,1,15,36,3,18
9232,4,1,30,90,11,31
9233,4,1,22,58,12,29
9234,4,0,15,39,7,19
9235,4,1,40,98,20,41
9236,4,2,54,125,25,48
9237,4,2,40,116,22,39
9238,4,2,31,100,21,25
9239,4,2,25,61,16,21
9240,4,1,22,76,10,34
9241,4,1,17,38,9,17
9242,4,1,22,68,8,28
9243,4,2,41,156,17,45
9244,4,1,42,108,11,43
9245,4,1,13,38,4,19
9246,4,0,13,38,1,16
9247,4,3,66,153,30,53
9248,4,2,49,126,18,46
9249,4,2,53,122,20,58
9250,4,1,17,46,6,22
9251,4,2,56,138,25,52
9252,4,1,11,48,6,15
9253,4,1,21,49,10,21
9254,4,3,52,140,31,47
