id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score
11827,5,2,48,132,24,57,6,17,14,12,4,6,9,4,3,7,7,3,5,2,0,6,13,11,13,9,13,4.38720062504
11828,5,2,65,167,29,65,7,15,18,10,12,10,8,5,11,14,6,8,1,0,6,3,6,13,8,11,8,2.93197178002
11829,5,3,47,109,26,43,5,22,14,18,5,7,7,3,4,7,4,4,2,1,5,1,9,2,6,2,10,1.46296429624
11830,5,1,35,71,9,30,2,9,7,8,4,1,4,1,2,5,7,2,2,0,3,2,12,1,2,3,3,1.01878949287
11831,5,3,45,127,24,46,7,16,16,8,11,7,9,3,7,8,8,5,1,1,7,1,7,9,10,9,5,2.7850607431
11832,5,3,55,150,28,55,6,24,17,20,17,8,7,5,7,10,10,2,0,1,9,2,2,7,4,7,0,2.87564159387
11833,5,3,66,170,36,72,9,29,24,22,5,15,12,5,7,13,9,1,1,5,3,1,13,7,6,5,16,2.1901500864
11834,5,4,92,212,37,98,9,44,27,27,11,15,14,5,14,15,13,2,5,4,3,2,5,8,14,11,1,3.0864153827
11835,5,3,66,158,32,49,8,27,21,13,17,17,11,2,8,9,6,6,3,5,7,4,15,2,5,11,17,4.0608936485
11836,5,3,48,146,19,56,6,26,14,17,4,8,11,5,8,3,7,5,3,0,6,3,6,12,9,4,4,2.60081102922
11837,5,1,11,38,3,8,1,5,3,7,5,0,2,1,1,1,2,0,0,0,4,1,6,2,0,1,11,0.954227030823
11838,5,1,74,199,23,96,8,26,27,24,13,6,12,3,8,14,8,1,2,2,10,4,2,26,0,5,0,3.32770286447
11839,5,1,27,79,9,28,4,14,12,10,4,3,5,2,4,2,5,1,0,0,6,0,5,3,2,3,7,1.65393226667
11840,5,1,25,92,13,34,3,19,11,11,3,3,6,2,2,0,2,2,0,0,2,5,7,6,8,4,3,2.37428319741
11841,5,2,45,103,17,46,6,21,16,9,12,6,8,1,2,3,6,2,1,0,1,1,0,10,7,3,0,2.26346291007
11842,5,2,43,143,17,54,3,21,21,13,10,2,4,3,9,3,9,1,4,1,12,3,5,14,4,6,2,1.86861866078
11843,5,4,65,156,23,61,7,29,12,22,8,9,17,1,7,9,7,5,2,2,14,2,9,14,6,10,4,1.70599357913
11844,5,3,65,158,21,77,4,29,17,26,4,5,7,3,9,11,4,3,4,1,8,1,3,7,8,5,2,3.19283796723
11845,5,2,48,131,24,46,6,15,17,14,11,6,11,4,7,6,3,4,1,1,8,5,12,14,5,4,3,2.98016427146
11846,5,2,42,113,16,41,5,25,14,12,7,6,6,4,2,10,8,3,4,2,8,1,3,9,2,4,0,2.25372458468
11847,5,4,73,186,31,76,9,33,22,26,14,8,10,6,12,8,7,4,2,1,8,4,1,8,12,8,2,5.29974347354
11848,5,2,58,177,24,71,7,24,21,20,14,10,9,5,11,6,11,5,3,0,1,4,5,16,16,4,2,4.58232919691
