id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10
11827,5,2,48,132,24,57,6
11828,5,2,65,167,29,65,7
11829,5,3,47,109,26,43,5
11830,5,1,35,71,9,30,2
11831,5,3,45,127,24,46,7
11832,5,3,55,150,28,55,6
11833,5,3,66,170,36,72,9
11834,5,4,92,212,37,98,9
11835,5,3,66,158,32,49,8
11836,5,3,48,146,19,56,6
11837,5,1,11,38,3,8,1
11838,5,1,74,199,23,96,8
11839,5,1,27,79,9,28,4
11840,5,1,25,92,13,34,3
11841,5,2,45,103,17,46,6
11842,5,2,43,143,17,54,3
11843,5,4,65,156,23,61,7
11844,5,3,65,158,21,77,4
11845,5,2,48,131,24,46,6
11846,5,2,42,113,16,41,5
11847,5,4,73,186,31,76,9
11848,5,2,58,177,24,71,7
11849,5,2,45,130,24,42,7
11850,5,4,76,190,37,69,9
11851,5,2,34,106,14,42,5
11852,5,2,50,122,21,57,7
11853,5,2,40,84,23,33,5
11854,5,1,16,49,9,15,2
11855,5,3,56,149,25,54,7
11856,5,4,68,162,33,50,6
11857,5,4,90,230,47,97,11
11858,5,3,37,91,12,35,3
11859,5,2,40,118,16,48,6
11860,5,3,52,143,26,58,6
11861,5,3,48,147,17,61,5
11862,5,3,39,100,17,28,6
11863,5,3,47,143,22,49,7
11864,5,2,40,120,20,52,6
11865,5,3,67,145,25,61,8
11866,5,4,123,250,60,110,11
11867,5,2,36,94,18,41,4
11868,5,3,42,101,24,37,4
11869,5,3,42,114,14,45,7
11870,5,2,35,97,11,34,4
11871,5,1,14,51,5,19,2
11872,5,3,58,148,24,51,4
11873,5,3,61,158,32,63,7
11874,5,3,57,138,34,53,7
11875,5,3,43,141,19,70,7
11876,5,2,29,81,16,33,3
11877,5,2,23,51,12,8,2
11878,5,3,75,213,27,76,9
11879,5,2,22,66,7,28,4
11880,5,1,11,39,5,18,2
11881,5,3,39,118,10,48,6
11882,5,3,56,128,15,46,7
11883,5,3,69,179,24,72,8
11884,5,4,124,284,68,120,12
11885,5,2,36,98,6,24,3
11886,5,3,60,176,33,72,10
11887,5,2,29,72,13,28,4
11888,5,1,16,58,6,26,2
11889,5,2,38,85,15,29,5
11890,5,2,35,79,19,22,4
11891,5,3,66,148,38,48,8
11892,5,2,31,96,15,37,5
11893,5,3,50,151,24,61,7
11894,5,2,38,106,15,46,6
11895,5,3,40,124,24,50,7
11896,5,3,61,143,27,56,7
11897,5,3,44,109,21,35,5
11898,5,3,68,148,32,57,5
11899,5,3,48,141,22,55,6
11900,5,3,86,194,36,70,10
11901,5,3,71,166,24,64,7
11902,5,1,14,54,3,22,4
11903,5,1,12,30,5,14,1
11904,5,3,66,152,15,70,7
11905,5,3,52,118,21,48,5
11906,5,4,74,191,36,67,7
11907,5,2,21,71,13,23,3
11908,5,3,40,97,19,51,3
11909,5,2,35,74,14,29,4
11910,5,1,23,67,10,27,3
11911,5,3,52,131,22,45,8
11912,5,2,18,50,9,12,3
11913,5,2,37,109,16,43,6
11914,5,1,24,64,11,16,4
11915,5,2,36,101,15,37,4
11916,5,3,69,161,28,70,6
11917,5,2,43,126,17,53,5
11918,5,2,20,55,15,21,3
11919,5,1,24,68,10,24,3
11920,5,3,54,128,27,46,7
11921,5,3,33,107,15,45,5
11922,5,2,32,93,8,35,5
11923,5,2,60,139,27,42,6
11924,5,2,44,104,22,43,4
11925,5,2,37,101,16,42,4
11926,5,1,38,94,20,36,4
11927,5,2,21,62,5,20,4
11928,5,3,71,170,40,62,8
11929,5,2,54,129,31,43,6
11930,5,2,29,67,16,26,3
11931,5,3,36,106,18,32,5
11932,5,4,103,280,44,111,13
11933,5,3,60,147,29,60,7
11934,5,3,45,139,17,41,7
11935,5,1,11,21,4,7,1
11936,5,2,60,143,32,55,7
11937,5,4,120,307,61,115,10
11938,5,3,66,156,31,68,5
11939,5,3,61,159,20,69,9
11940,5,2,47,108,10,47,5
