id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score,word_25,pos_30,pos_5,char_12,std_char,mean_char,avg_word_length,pos_32,pos_35,maturity_score,pos_11,pos_33,pos_9,pos_16,pos_13,pos_25,pos_3
20716,8,34,204,664,80,221,29,130,53,47,43,17,40,14,29,8,61,24,6,8,10,8,83,100,99,25,44,15.8915078385,6,13,9,5,2.03251611855,3.91265060241,39.1265060241,1,9,4.58981900452,4,7,0,0,4,0,0
20717,8,46,242,780,93,348,29,97,77,67,41,21,30,24,69,41,32,24,13,8,4,16,11,92,71,25,13,21.385109812,15,20,15,1,2.04892714181,3.97051282051,39.7051282051,4,4,5.05511494253,3,1,0,3,6,2,3
20718,8,40,291,848,110,322,34,121,96,86,50,28,40,21,62,36,33,21,7,12,16,25,15,102,60,17,0,25.286139923,12,21,20,1,2.19493804052,4.04009433962,40.4009433962,6,9,5.07729813665,10,6,1,3,4,1,0
20719,8,30,214,705,61,265,17,106,81,82,36,4,23,12,48,15,10,17,16,1,19,16,18,74,41,23,19,19.8220596497,7,34,15,0,1.75761101673,3.7304964539,37.304964539,4,2,4.97041509434,7,7,1,1,13,3,4
20721,8,26,130,646,24,248,22,111,51,38,49,1,28,18,61,8,30,17,9,0,8,11,67,46,94,14,45,22.5732963578,16,29,2,0,1.48081871186,3.45820433437,34.5820433437,1,4,4.74560483871,1,2,0,0,8,3,3
20722,8,40,315,695,92,205,31,105,64,54,68,20,56,10,42,17,7,22,2,2,41,22,159,77,17,10,205,16.8930796851,2,56,6,1,2.04642082722,4.31654676259,43.1654676259,1,1,5.10546341463,4,0,6,0,6,0,0
20723,8,40,308,825,96,304,44,121,80,67,62,21,84,3,59,21,33,22,20,3,5,22,79,90,82,34,82,23.2013312664,1,19,9,0,1.97886895223,4.08,40.8,1,7,5.12213815789,3,0,7,2,21,3,1
20724,8,34,84,291,21,117,14,44,30,24,21,5,19,6,29,7,18,13,2,4,11,1,3,29,1,7,4,5.34135825397,2,20,2,0,1.89695435729,3.87628865979,38.7628865979,0,6,5.16333333333,1,0,0,1,3,0,0
20725,8,41,273,733,124,305,35,107,97,66,61,38,47,18,54,30,32,13,12,5,30,20,21,73,19,16,14,17.0232859343,6,27,17,2,2.24590153051,4.28785811733,42.8785811733,7,5,5.34108196721,5,7,3,0,6,1,0
20726,8,40,226,537,87,219,23,70,63,40,43,18,35,10,53,24,19,7,3,4,17,12,52,50,17,6,67,10.8910073347,4,20,13,0,2.08682009007,4.35009310987,43.5009310987,1,8,5.17228310502,6,5,7,2,5,3,2
