id,set,human_score,char_4,word_count,char_6
2978,2,4,190,476,59
2979,2,1,52,168,22
2980,2,2,71,220,24
2981,2,4,213,466,99
2982,2,4,150,422,61
2983,2,4,130,322,48
2984,2,5,228,520,119
2985,2,2,244,784,83
2986,2,4,138,331,86
2987,2,4,133,378,54
2988,2,3,102,333,35
2989,2,3,115,315,55
2990,2,5,200,485,93
2991,2,3,109,331,39
2992,2,3,46,93,25
2993,2,3,137,355,57
2994,2,4,236,655,81
2995,2,3,144,329,60
2996,2,1,71,148,31
2997,2,3,112,333,34
2998,2,3,85,319,24
2999,2,3,93,289,33
3000,2,3,76,196,33
3001,2,4,178,516,68
3002,2,3,193,494,63
3003,2,4,160,393,77
3004,2,4,96,198,47
3005,2,2,34,83,15
3006,2,3,102,277,44
3007,2,3,105,284,50
3008,2,4,136,425,52
3009,2,3,157,347,84
3010,2,3,72,172,17
3011,2,4,121,397,37
3012,2,3,85,296,44
3013,2,4,198,434,84
3014,2,4,132,374,48
3015,2,3,161,372,75
3016,2,3,129,312,56
3017,2,4,187,438,101
3018,2,3,161,448,65
3019,2,4,131,305,80
3020,2,4,259,729,104
3021,2,4,180,520,63
3022,2,4,140,321,55
3023,2,4,105,274,29
3024,2,4,264,668,107
3025,2,3,122,293,66
3026,2,4,123,373,48
3027,2,3,128,338,73
3028,2,5,207,502,102
3029,2,3,74,285,23
3030,2,4,148,381,46
3031,2,3,102,234,42
3032,2,4,224,479,96
3033,2,4,188,621,72
3034,2,4,313,737,143
3035,2,2,52,138,27
3036,2,3,106,264,52
3037,2,4,207,466,89
3038,2,2,30,92,13
3039,2,3,108,232,43
3040,2,3,134,397,64
3041,2,4,214,533,92
3042,2,4,120,295,47
3043,2,3,109,274,46
3044,2,3,79,248,32
3045,2,4,120,357,43
3046,2,3,89,233,36
3047,2,3,124,290,58
3048,2,3,165,530,58
3049,2,4,120,308,66
3050,2,2,111,323,40
3051,2,4,185,419,99
3052,2,4,131,393,64
3053,2,3,113,367,49
3054,2,3,170,423,70
3055,2,3,112,310,44
3056,2,3,144,321,72
3057,2,3,45,118,20
3058,2,3,138,369,72
3059,2,3,128,352,49
3060,2,4,159,368,70
3061,2,3,126,309,58
3062,2,3,150,319,74
3063,2,4,157,353,78
3064,2,3,113,338,41
3065,2,3,61,131,37
