id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2,pos_15,char_8,sentence_count,word_18,pos_24,pos_19,pos_1,pos_6,pos_29,char_10,pos_31,pos_28,misspell_words,pos_22,pos_27,pos_23,pos_20,beauty_score
8863,4,0,20,57,10,21,3,9,8,7,3,3,4,1,3,2,0,2,1,1,2,0,3,7,2,0,0,0.803355331221
8864,4,0,14,39,6,10,2,6,8,5,1,1,2,1,1,1,2,0,1,0,7,1,9,3,0,0,1,0.501249903766
8865,4,3,61,136,32,43,5,37,19,22,8,12,6,4,4,2,8,4,2,3,8,2,5,3,3,5,5,1.69966070868
8866,4,2,28,65,14,26,3,13,8,9,4,8,7,0,3,2,2,3,0,0,7,5,2,1,1,0,0,1.10629650669
8867,4,2,50,128,20,55,6,17,17,16,11,6,10,3,8,4,2,5,0,3,3,3,9,4,7,8,7,1.57383096844
8868,4,1,29,71,9,29,4,19,7,18,1,5,6,1,2,1,3,2,1,0,4,0,3,0,4,0,0,0.456113284195
8869,4,0,36,92,11,39,3,19,12,15,3,3,4,3,6,1,3,2,3,0,5,5,4,5,3,0,3,1.28247629014
8870,4,2,35,82,15,30,4,14,8,13,5,7,5,3,3,1,4,4,4,1,5,3,0,7,0,3,0,1.45729560254
8871,4,1,11,32,3,13,2,4,4,4,0,1,3,1,1,0,2,1,0,0,2,0,0,7,1,0,0,0.263036707654
8872,4,2,33,115,16,37,7,16,15,12,6,1,9,1,4,1,5,4,4,0,9,3,4,13,8,3,7,2.04201798946
8873,4,2,55,179,24,62,7,26,12,21,8,7,9,5,8,3,11,9,1,1,8,6,4,20,17,9,1,3.39544581163
8874,4,0,14,42,2,20,1,7,3,5,1,2,2,1,6,1,2,0,0,0,0,0,0,6,2,0,0,0.734114168799
8875,4,1,13,31,5,14,2,8,3,9,0,4,2,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0.170913600882
8876,4,2,75,175,31,67,7,31,25,20,10,13,8,6,7,7,3,7,5,6,15,5,13,7,4,8,8,1.89097418655
8877,4,0,26,71,14,27,2,11,10,12,5,6,4,2,0,10,5,0,0,2,6,0,3,2,1,2,1,0.999081084136
8878,4,1,14,48,4,16,2,7,9,5,2,2,3,2,0,1,2,1,0,0,6,0,0,7,0,2,0,0.80170961522
8879,4,2,31,87,16,35,6,18,9,12,0,3,7,1,2,0,2,2,2,0,6,1,4,11,6,2,2,1.17611092334
8880,4,1,14,34,7,10,2,7,3,4,1,2,3,1,3,0,2,1,0,0,2,1,4,1,3,0,1,0.22251824448
8881,4,3,72,164,32,53,7,36,11,27,11,7,10,6,7,2,8,11,2,1,15,3,17,6,4,5,7,2.14316724279
8882,4,1,15,50,8,20,3,9,6,8,1,2,3,1,2,1,2,1,1,0,3,3,0,4,0,1,0,1.0521490808
8883,4,1,28,81,8,35,2,16,12,12,4,3,3,1,2,1,1,2,1,0,3,1,3,6,5,2,3,1.0238777157
8884,4,1,18,40,5,14,1,6,5,3,1,0,3,1,1,1,1,2,0,0,0,1,4,4,1,1,5,0.358226223209
8885,4,3,54,136,25,50,5,29,13,17,10,10,6,4,9,2,2,9,2,2,8,2,11,5,3,4,7,2.01723825253
8886,4,1,13,46,8,18,2,6,5,6,1,5,3,2,2,0,1,3,2,1,1,0,2,5,2,0,1,1.15031740324
8887,4,2,27,88,10,28,4,15,11,18,3,2,5,2,2,4,2,6,1,0,5,1,6,3,1,1,3,0.747864552681
8888,4,2,69,176,34,70,9,38,12,30,13,21,14,3,10,4,4,5,2,5,8,1,16,9,4,1,5,1.8966202689
8889,4,1,32,115,9,47,5,15,12,15,2,2,6,4,10,3,5,3,3,0,5,3,3,15,2,2,0,1.79729925841
