id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18
2,1,9,138,419,82,156,13,56
3,1,7,102,279,53,97,10,39
4,1,10,238,524,132,195,20,74
5,1,8,171,465,88,170,24,66
6,1,8,68,246,36,83,11,38
7,1,10,210,499,90,198,20,94
8,1,10,188,482,85,178,24,62
9,1,9,140,442,69,153,19,80
10,1,9,153,502,62,182,21,67
11,1,8,167,324,76,121,14,46
12,1,8,140,392,81,143,20,57
13,1,7,62,204,20,70,6,30
14,1,6,106,307,48,93,14,50
15,1,6,74,176,34,66,8,25
16,1,12,252,528,111,218,27,98
17,1,8,107,335,45,128,16,50
18,1,8,129,367,48,142,12,45
19,1,4,23,66,11,5,4,20
20,1,6,61,156,30,53,6,20
21,1,8,127,367,74,137,18,55
22,1,3,28,56,7,27,2,11
23,1,10,207,521,99,202,21,61
24,1,11,227,559,110,216,21,76
25,1,8,131,293,64,116,16,50
26,1,9,142,360,66,129,10,48
27,1,4,40,120,17,36,6,11
28,1,9,143,360,71,151,16,47
29,1,9,146,372,62,136,15,43
30,1,8,88,257,47,117,13,27
31,1,10,153,472,84,186,21,69
32,1,10,188,492,89,184,22,63
33,1,6,64,167,26,67,6,23
34,1,8,108,362,58,145,17,61
35,1,9,164,413,65,175,16,48
36,1,10,200,542,85,193,17,53
37,1,12,188,488,83,186,24,66
38,1,8,109,352,67,116,16,54
39,1,10,162,445,67,168,13,80
40,1,7,64,190,33,62,8,38
41,1,2,14,41,7,15,2,4
42,1,8,96,282,37,107,12,28
43,1,6,51,140,29,49,7,22
44,1,8,104,313,39,102,14,56
45,1,8,108,322,44,114,16,59
46,1,8,115,298,53,119,10,55
47,1,8,105,314,51,115,13,61
48,1,11,193,544,65,205,20,92
49,1,6,120,315,61,126,17,27
50,1,5,35,83,18,36,3,13
51,1,9,140,571,56,211,12,58
52,1,7,96,241,43,90,12,34
53,1,8,122,424,61,158,24,48
54,1,10,155,415,81,144,19,81
55,1,8,98,237,52,99,9,26
56,1,10,214,469,143,171,19,75
57,1,9,132,291,80,113,13,40
58,1,7,67,197,36,62,9,24
59,1,8,181,442,83,172,17,60
60,1,4,32,68,16,28,3,10
61,1,8,115,301,62,125,15,43
62,1,8,97,283,41,89,14,35
63,1,8,97,290,47,126,13,32
64,1,7,64,217,32,79,6,26
65,1,9,136,414,77,170,20,48
66,1,9,152,371,77,137,19,41
67,1,8,112,293,57,118,10,61
68,1,9,154,390,76,152,19,49
69,1,7,74,241,31,97,12,29
70,1,12,192,422,107,147,19,72
71,1,10,176,443,65,179,17,53
72,1,10,245,527,150,203,24,57
73,1,8,151,386,67,107,15,55
74,1,7,112,297,38,146,14,38
75,1,8,153,348,78,132,18,56
76,1,8,138,298,66,99,12,53
77,1,10,191,522,102,206,24,75
78,1,10,160,420,76,169,19,88
79,1,10,128,381,61,117,14,57
80,1,8,167,408,89,137,19,47
81,1,8,120,363,58,148,14,59
82,1,8,118,281,77,101,14,44
83,1,7,66,208,34,73,9,32
84,1,6,57,202,17,76,9,22
85,1,10,208,543,102,204,26,67
86,1,8,195,419,102,154,20,68
87,1,10,164,414,65,140,21,50
88,1,9,139,441,59,159,14,54
89,1,6,83,232,44,75,3,37
90,1,7,75,229,42,77,8,39
91,1,8,86,232,41,92,10,28
92,1,11,224,651,105,235,23,94
93,1,11,250,537,144,207,22,105
94,1,8,96,313,44,136,11,46
95,1,10,159,462,72,169,20,47
96,1,7,89,230,50,91,10,39
97,1,8,125,294,62,116,15,50
98,1,11,166,411,79,166,17,63
99,1,8,121,347,57,136,17,47
100,1,7,67,235,33,68,11,31
101,1,10,184,466,83,189,22,72
102,1,8,129,330,53,122,16,43
103,1,9,140,392,67,143,12,50
104,1,10,146,401,81,157,13,52
105,1,9,170,537,63,216,24,90
106,1,11,150,361,92,125,20,51
107,1,10,255,631,136,254,33,99
108,1,8,111,366,48,136,13,41
109,1,8,103,348,43,140,16,40
110,1,6,77,236,36,95,9,38
111,1,11,237,549,123,189,21,71
112,1,9,149,409,75,147,18,59
113,1,8,131,328,53,143,14,51
114,1,8,171,407,81,165,21,61
115,1,9,158,508,49,173,19,62
116,1,4,24,53,11,20,2,8
117,1,8,124,319,50,134,17,31
118,1,12,218,433,96,143,22,70
119,1,10,168,485,60,172,20,71
120,1,8,123,374,62,140,15,45
121,1,8,123,368,29,136,12,62
122,1,9,216,533,99,196,25,85
123,1,10,148,411,76,144,21,58
124,1,7,83,273,41,88,9,36
125,1,5,60,176,27,45,1,20
126,1,8,94,280,45,93,8,33
127,1,9,153,402,73,150,21,62
128,1,9,150,406,82,156,20,64
129,1,10,120,416,51,160,21,50
130,1,10,260,587,152,211,30,88
131,1,10,174,420,79,160,21,59
132,1,11,201,425,111,157,18,63
133,1,10,171,507,73,207,25,74
134,1,10,143,400,80,152,15,57
135,1,7,93,261,43,103,10,34
136,1,9,181,543,70,198,24,77
137,1,7,89,243,31,109,7,50
138,1,10,174,401,75,180,16,61
139,1,7,63,180,29,56,8,31
140,1,9,150,360,75,144,17,37
141,1,10,207,575,101,201,25,73
142,1,10,170,381,95,127,19,66
143,1,7,94,303,39,115,12,46
144,1,9,141,441,72,154,20,66
145,1,10,178,361,114,132,17,57
146,1,6,66,185,15,67,3,25
147,1,12,254,595,133,244,26,101
148,1,9,114,306,55,102,14,42
149,1,8,150,436,68,165,18,67
150,1,8,104,303,45,112,15,54
151,1,8,82,245,32,97,7,29
152,1,6,95,172,33,84,9,18
153,1,9,175,489,66,173,21,69
154,1,12,176,423,99,164,20,69
155,1,10,167,437,88,149,18,63
156,1,8,115,333,48,125,18,48
157,1,9,183,448,92,155,18,72
158,1,9,159,352,92,132,19,49
159,1,10,186,462,102,175,19,67
160,1,8,112,272,36,112,15,42
161,1,10,162,417,73,151,20,64
162,1,12,217,534,117,197,21,100
163,1,8,106,232,59,75,9,30
164,1,8,115,245,60,100,8,32
165,1,9,163,371,76,131,18,65
166,1,10,220,537,95,231,24,77
167,1,8,104,331,40,125,13,38
168,1,9,185,448,82,177,10,52
169,1,6,79,150,45,60,5,17
170,1,8,113,335,44,120,17,35
171,1,8,99,322,47,106,5,30
172,1,8,82,255,46,83,6,34
173,1,8,91,256,39,102,11,38
174,1,8,124,349,58,125,19,53
175,1,8,143,330,66,115,17,37
176,1,10,149,381,68,139,15,55
177,1,8,97,326,45,107,14,47
178,1,8,134,268,47,104,13,52
179,1,8,118,275,70,93,15,42
180,1,10,140,437,61,155,21,51
181,1,10,194,442,128,165,22,73
182,1,8,114,293,43,107,16,44
183,1,8,181,393,83,169,18,59
184,1,8,108,387,38,158,14,62
185,1,8,146,466,67,155,21,53
186,1,8,126,335,65,113,16,49
187,1,5,36,111,13,53,2,16
188,1,9,136,411,59,185,16,60
189,1,6,52,126,27,38,4,19
190,1,10,141,319,67,129,16,48
191,1,8,93,244,48,101,12,16
192,1,11,206,489,85,195,20,72
193,1,8,157,399,82,147,18,72
194,1,10,202,521,99,190,19,91
195,1,5,50,123,20,44,6,16
196,1,8,116,382,50,128,21,69
197,1,10,139,521,61,206,22,77
198,1,10,181,421,97,155,21,64
199,1,11,282,738,119,234,28,120
200,1,8,153,361,66,145,19,40
201,1,9,147,395,77,145,21,54
202,1,8,150,376,55,173,19,44
203,1,10,149,497,57,206,22,52
204,1,10,149,368,65,134,14,43
205,1,10,233,560,113,224,22,84
206,1,10,152,363,80,135,17,56
207,1,8,113,280,50,115,12,27
208,1,6,75,150,37,69,7,18
209,1,6,52,164,22,54,6,16
210,1,9,169,377,89,139,18,63
211,1,6,44,190,28,67,9,24
212,1,7,83,269,27,96,13,37
213,1,8,82,315,24,108,15,43
214,1,8,126,305,65,105,13,57
215,1,10,252,553,136,205,23,95
216,1,8,141,400,63,142,17,49
217,1,10,179,523,89,188,22,54
218,1,8,114,339,42,122,19,49
219,1,9,143,387,63,153,14,64
220,1,10,183,431,101,147,22,64
221,1,6,84,206,31,86,9,25
222,1,9,205,437,103,163,23,72
223,1,8,154,425,64,138,11,68
224,1,8,144,341,50,141,14,51
225,1,12,177,531,89,186,25,74
226,1,8,102,248,38,102,11,30
227,1,9,164,362,63,158,20,59
228,1,8,128,292,55,108,8,40
229,1,8,89,275,30,107,9,31
230,1,9,172,453,73,150,19,67
231,1,8,108,274,47,108,12,32
232,1,12,221,531,113,211,22,68
233,1,7,85,193,48,53,5,44
234,1,8,157,407,71,146,17,56
235,1,7,95,298,48,87,11,45
236,1,6,51,201,17,63,8,25
237,1,8,127,316,59,114,12,46
238,1,9,116,321,53,127,12,34
239,1,9,175,438,89,176,20,73
240,1,8,95,254,50,82,11,54
241,1,9,100,246,33,112,8,29
242,1,9,152,431,73,159,20,70
243,1,11,189,632,65,248,29,85
244,1,7,104,349,42,131,12,51
245,1,7,54,167,29,56,6,22
246,1,11,250,646,110,258,28,90
247,1,8,156,402,67,161,15,53
248,1,9,154,484,61,171,23,57
249,1,9,134,336,67,130,15,71
250,1,10,140,309,61,109,14,46
251,1,9,195,556,82,237,25,68
252,1,9,155,407,61,161,19,49
253,1,6,82,220,36,79,8,38
254,1,10,190,574,80,208,27,99
255,1,8,97,326,49,131,14,54
256,1,8,100,283,40,112,12,37
257,1,8,151,430,64,147,16,76
258,1,11,190,524,108,203,23,61
259,1,9,154,430,81,141,19,77
260,1,7,106,311,48,99,12,47
261,1,9,174,444,85,189,20,64
262,1,8,76,293,34,119,11,36
263,1,10,236,524,100,236,26,86
264,1,8,128,369,67,141,15,54
265,1,11,154,399,65,146,18,58
266,1,11,162,396,104,139,17,56
267,1,10,199,450,110,168,17,62
268,1,8,98,263,51,99,12,26
269,1,9,143,398,68,144,12,67
270,1,8,116,390,34,160,17,33
271,1,8,104,320,56,122,15,40
272,1,10,205,513,88,207,20,86
273,1,8,126,295,44,98,11,29
274,1,9,133,385,70,136,17,50
275,1,11,167,392,89,171,20,68
276,1,8,87,264,54,100,13,32
277,1,9,152,418,71,165,16,63
278,1,8,120,301,68,116,14,45
279,1,10,190,435,101,169,20,78
280,1,10,154,398,70,151,15,59
281,1,7,87,222,47,75,11,32
282,1,8,130,313,72,124,12,38
283,1,6,62,223,25,80,11,20
284,1,8,108,306,49,127,10,45
285,1,11,197,550,96,215,22,74
286,1,4,28,62,7,20,2,11
287,1,12,227,550,113,167,25,67
288,1,8,125,343,57,133,14,60
289,1,10,151,400,84,133,15,62
290,1,11,227,537,116,235,23,87
291,1,11,191,437,104,173,20,63
292,1,11,204,521,117,204,23,90
293,1,8,93,227,44,87,10,35
294,1,10,162,462,64,162,18,70
295,1,10,137,345,67,139,19,47
296,1,10,168,504,82,185,21,82
297,1,9,209,466,102,174,21,82
298,1,8,133,377,60,163,20,35
299,1,8,118,330,48,125,14,42
300,1,8,186,485,85,159,22,71
301,1,9,141,355,53,118,14,49
302,1,10,248,573,143,203,29,101
303,1,10,164,442,70,137,16,63
304,1,9,211,529,87,179,21,76
305,1,10,158,482,81,177,21,63
306,1,8,161,450,70,170,21,57
307,1,9,128,335,58,145,14,45
308,1,6,35,127,14,47,2,17
309,1,9,161,398,59,142,13,46
310,1,10,159,365,83,109,14,59
311,1,9,118,353,52,135,20,50
312,1,7,75,233,26,81,9,30
314,1,9,143,360,66,152,13,63
315,1,10,174,418,89,170,20,66
316,1,9,228,537,110,227,23,87
317,1,10,208,492,126,170,26,76
318,1,8,141,397,65,159,17,41
319,1,9,158,367,85,133,16,61
320,1,8,120,323,49,138,12,55
321,1,12,210,533,101,228,21,78
322,1,8,121,321,52,151,12,55
323,1,10,145,413,50,171,14,40
324,1,8,137,329,71,122,17,49
325,1,9,120,393,74,121,14,59
326,1,10,303,652,175,253,30,98
327,1,6,117,400,35,172,19,56
328,1,8,123,343,52,149,14,55
329,1,8,109,347,45,121,15,39
330,1,11,267,643,134,225,27,95
331,1,10,172,467,84,152,22,77
332,1,8,111,286,51,100,10,49
333,1,9,152,378,61,151,19,64
334,1,10,244,706,122,211,40,116
335,1,9,126,344,63,99,12,47
336,1,11,217,529,108,231,29,65
337,1,10,129,281,73,107,13,50
338,1,8,70,214,34,73,9,29
339,1,11,204,526,111,195,21,65
340,1,9,141,347,83,131,15,50
341,1,8,100,277,56,101,11,52
342,1,9,192,456,88,169,22,74
343,1,9,148,360,79,126,17,47
345,1,10,154,426,72,159,16,72
346,1,12,258,678,113,256,27,82
347,1,7,76,259,31,108,11,32
348,1,8,106,321,41,117,12,46
349,1,8,80,266,28,88,9,35
350,1,8,153,404,66,124,18,57
351,1,9,149,354,66,158,13,52
352,1,7,93,221,33,81,10,38
353,1,5,30,127,17,32,6,18
354,1,8,115,254,59,83,12,46
355,1,6,48,218,26,60,9,31
356,1,8,108,271,55,87,12,40
357,1,8,106,255,50,91,11,36
358,1,7,80,195,44,66,8,28
359,1,2,4,8,1,1,0,2
360,1,6,56,180,33,65,8,30
361,1,10,200,541,96,210,23,71
362,1,10,173,470,84,172,20,69
363,1,8,102,262,45,99,10,48
364,1,11,260,592,161,229,22,71
365,1,9,176,427,92,169,18,73
366,1,8,119,363,48,138,17,37
367,1,8,143,342,67,130,13,42
368,1,9,130,307,62,123,14,34
369,1,8,91,236,43,87,9,35
370,1,10,248,607,137,237,27,96
371,1,8,123,319,51,121,14,54
372,1,10,194,454,100,168,17,40
373,1,8,119,271,61,112,12,40
374,1,7,144,405,77,129,9,62
375,1,4,41,159,15,32,5,30
376,1,8,182,452,80,153,15,81
377,1,10,191,456,104,181,21,82
378,1,11,171,467,80,172,23,75
379,1,9,153,465,71,164,25,68
380,1,10,117,307,61,113,12,42
381,1,10,182,470,83,164,24,68
382,1,7,95,245,43,104,11,28
383,1,11,193,489,95,183,22,59
384,1,8,84,247,32,101,11,36
385,1,11,288,617,149,254,36,86
386,1,10,132,441,66,158,17,54
387,1,8,141,315,73,120,13,57
388,1,7,96,273,40,101,13,36
389,1,8,112,302,60,130,14,34
390,1,10,138,420,59,167,15,55
391,1,12,189,532,88,179,19,79
392,1,8,144,381,61,166,19,67
393,1,8,118,306,56,110,16,36
394,1,7,52,164,19,79,5,21
395,1,6,48,169,23,58,8,24
396,1,7,119,353,53,114,13,41
397,1,10,207,550,102,205,27,76
398,1,10,168,416,82,177,13,60
399,1,8,161,421,78,169,20,59
400,1,8,148,348,69,118,14,61
401,1,6,59,158,19,69,7,25
402,1,8,122,289,59,123,16,60
403,1,8,176,482,80,185,20,46
404,1,8,135,377,56,164,10,61
405,1,9,303,700,145,273,28,111
406,1,8,184,427,99,159,11,69
407,1,8,131,375,54,142,17,43
408,1,8,146,305,70,127,11,53
409,1,8,170,344,68,110,14,52
410,1,8,109,329,43,129,13,47
411,1,12,226,498,129,204,23,67
412,1,10,189,446,75,193,21,65
413,1,9,144,392,69,134,17,65
414,1,8,108,347,52,125,17,48
415,1,7,104,340,51,128,17,32
416,1,6,57,166,26,57,9,21
417,1,8,75,256,39,97,9,44
418,1,12,275,596,161,225,27,97
419,1,6,81,218,26,91,9,22
420,1,8,100,258,50,91,10,40
421,1,6,67,212,35,71,9,24
422,1,7,90,332,34,126,11,35
423,1,9,189,506,90,190,23,67
424,1,9,207,464,89,181,16,66
425,1,10,149,466,63,167,18,59
426,1,9,178,439,84,189,20,61
427,1,11,204,503,120,161,21,72
428,1,8,119,327,61,122,10,44
429,1,9,144,387,72,153,21,58
430,1,8,188,568,75,233,24,90
431,1,11,218,482,112,179,18,62
432,1,8,125,284,59,93,11,43
433,1,11,192,474,69,171,25,79
434,1,7,100,344,34,150,11,36
435,1,11,190,619,77,267,27,93
436,1,8,176,392,89,140,18,66
437,1,8,132,335,69,114,14,43
438,1,8,130,305,59,87,14,43
439,1,10,161,441,74,175,14,40
440,1,8,110,309,51,97,14,42
441,1,8,166,399,79,124,16,45
442,1,10,167,408,104,128,18,75
443,1,8,116,285,53,95,7,47
444,1,8,174,334,80,120,15,52
445,1,8,75,237,41,68,8,42
446,1,10,204,455,112,147,19,81
447,1,11,217,514,106,174,21,83
448,1,9,179,419,84,166,21,74
449,1,2,8,23,2,12,1,2
450,1,7,93,284,45,109,11,34
451,1,8,106,369,54,126,20,39
452,1,7,75,203,35,74,6,26
453,1,9,180,413,83,142,18,51
454,1,8,148,464,67,157,21,65
455,1,4,34,90,15,26,3,12
456,1,7,124,346,44,131,14,37
457,1,10,195,489,110,178,24,77
458,1,9,104,275,53,113,12,37
459,1,8,94,290,40,111,12,41
460,1,8,169,466,83,168,17,93
461,1,8,103,346,57,108,17,42
462,1,8,125,357,58,140,13,47
463,1,8,162,430,81,160,17,64
464,1,7,99,266,30,87,11,49
465,1,8,109,302,61,123,10,44
466,1,9,126,334,54,138,15,56
467,1,8,137,320,86,119,15,46
468,1,8,76,187,43,62,7,45
469,1,9,170,373,81,162,17,59
470,1,8,142,339,67,122,16,54
471,1,8,104,259,48,119,10,22
472,1,12,217,510,105,180,22,98
473,1,7,83,278,20,112,12,30
474,1,6,32,128,15,40,4,21
475,1,9,195,461,88,175,22,73
476,1,8,115,362,48,133,17,66
477,1,6,81,180,44,64,6,25
478,1,8,157,374,64,154,17,42
479,1,10,185,459,88,190,22,73
480,1,8,131,311,53,107,13,53
481,1,10,201,467,121,175,18,77
482,1,9,145,390,76,155,18,49
483,1,9,139,403,65,126,12,58
484,1,7,95,207,49,72,9,34
485,1,10,178,485,77,179,28,68
486,1,9,190,497,83,207,18,81
487,1,8,102,309,49,98,12,35
488,1,8,116,324,54,115,14,51
489,1,9,214,522,97,214,20,85
490,1,8,204,531,76,215,23,60
491,1,8,111,367,40,112,9,65
492,1,7,108,307,42,114,7,40
493,1,8,94,276,48,106,9,46
494,1,9,163,413,84,169,18,53
495,1,8,125,305,47,113,13,41
496,1,9,115,316,57,102,13,52
497,1,9,220,647,99,275,29,84
498,1,12,240,533,105,219,19,96
499,1,9,135,406,67,155,17,50
500,1,10,163,405,83,181,20,62
501,1,8,121,352,47,124,13,53
502,1,7,53,129,24,44,5,18
503,1,8,92,235,42,86,9,35
504,1,10,194,491,111,217,17,94
505,1,10,130,405,54,140,15,60
506,1,7,81,278,32,116,9,26
507,1,10,257,620,125,209,32,89
508,1,9,146,304,86,110,13,59
509,1,11,177,404,89,179,16,72
510,1,7,104,256,64,90,13,29
511,1,8,77,259,35,88,14,34
512,1,8,84,302,29,118,9,49
513,1,8,144,390,76,146,20,59
514,1,8,86,221,36,77,12,39
515,1,8,101,304,23,130,14,29
516,1,8,180,444,95,183,19,41
517,1,8,107,386,50,140,18,62
518,1,8,137,318,62,122,15,54
519,1,12,225,507,98,177,26,92
520,1,6,88,273,28,96,10,58
521,1,7,84,239,41,78,10,22
522,1,9,184,428,105,117,24,47
523,1,10,184,481,73,207,21,80
524,1,8,116,382,55,135,15,51
525,1,9,102,344,55,130,16,42
526,1,7,82,286,45,94,12,43
527,1,8,103,243,58,86,11,44
528,1,6,63,192,32,71,8,28
529,1,7,92,229,40,77,7,18
530,1,10,181,408,82,123,20,61
531,1,10,140,402,70,150,18,55
532,1,8,151,387,65,137,19,39
533,1,8,169,442,85,177,20,57
534,1,11,339,739,192,271,30,125
535,1,8,107,356,60,125,16,52
536,1,8,157,331,74,103,19,40
537,1,8,107,331,44,151,15,52
538,1,8,85,328,41,115,11,43
539,1,9,140,376,47,134,9,39
540,1,8,128,347,57,142,15,58
541,1,8,136,417,64,138,21,70
542,1,10,209,526,97,207,21,75
543,1,8,100,300,49,108,12,35
544,1,8,156,338,84,132,16,48
545,1,2,6,16,4,3,0,1
546,1,6,59,158,25,47,6,24
547,1,8,146,372,81,132,17,34
548,1,8,141,384,74,157,9,51
549,1,8,141,333,86,111,15,34
550,1,10,231,594,121,218,24,104
551,1,8,168,379,73,135,14,62
552,1,6,78,200,28,78,7,20
553,1,8,151,412,74,140,16,44
554,1,8,140,415,69,150,18,57
555,1,11,209,526,103,188,23,81
556,1,10,185,529,95,185,24,62
557,1,10,182,548,72,222,25,56
558,1,10,208,467,115,180,18,62
559,1,12,228,504,125,193,21,90
560,1,8,121,369,54,149,14,44
561,1,8,124,332,58,111,16,58
562,1,10,190,478,89,173,18,70
563,1,7,69,183,34,67,11,31
564,1,8,199,418,89,135,19,61
565,1,9,158,466,74,197,22,65
566,1,8,106,265,56,102,15,46
567,1,8,86,255,39,92,10,32
568,1,8,147,420,73,169,18,55
569,1,8,113,318,48,111,13,49
570,1,8,153,486,66,182,18,66
571,1,9,159,365,77,143,17,52
