id,set,human_score,char_4,word_count
2,1,9,138,419
3,1,7,102,279
4,1,10,238,524
5,1,8,171,465
6,1,8,68,246
7,1,10,210,499
8,1,10,188,482
9,1,9,140,442
10,1,9,153,502
11,1,8,167,324
12,1,8,140,392
13,1,7,62,204
14,1,6,106,307
15,1,6,74,176
16,1,12,252,528
17,1,8,107,335
18,1,8,129,367
19,1,4,23,66
20,1,6,61,156
21,1,8,127,367
22,1,3,28,56
23,1,10,207,521
24,1,11,227,559
25,1,8,131,293
26,1,9,142,360
27,1,4,40,120
28,1,9,143,360
29,1,9,146,372
30,1,8,88,257
31,1,10,153,472
32,1,10,188,492
33,1,6,64,167
34,1,8,108,362
35,1,9,164,413
36,1,10,200,542
37,1,12,188,488
38,1,8,109,352
39,1,10,162,445
40,1,7,64,190
41,1,2,14,41
42,1,8,96,282
43,1,6,51,140
44,1,8,104,313
45,1,8,108,322
46,1,8,115,298
47,1,8,105,314
48,1,11,193,544
49,1,6,120,315
50,1,5,35,83
51,1,9,140,571
52,1,7,96,241
53,1,8,122,424
54,1,10,155,415
55,1,8,98,237
56,1,10,214,469
57,1,9,132,291
58,1,7,67,197
59,1,8,181,442
60,1,4,32,68
61,1,8,115,301
62,1,8,97,283
63,1,8,97,290
64,1,7,64,217
65,1,9,136,414
66,1,9,152,371
67,1,8,112,293
68,1,9,154,390
69,1,7,74,241
70,1,12,192,422
71,1,10,176,443
72,1,10,245,527
73,1,8,151,386
74,1,7,112,297
75,1,8,153,348
76,1,8,138,298
77,1,10,191,522
78,1,10,160,420
79,1,10,128,381
80,1,8,167,408
81,1,8,120,363
82,1,8,118,281
83,1,7,66,208
84,1,6,57,202
85,1,10,208,543
86,1,8,195,419
87,1,10,164,414
88,1,9,139,441
89,1,6,83,232
90,1,7,75,229
91,1,8,86,232
92,1,11,224,651
93,1,11,250,537
94,1,8,96,313
95,1,10,159,462
96,1,7,89,230
97,1,8,125,294
98,1,11,166,411
99,1,8,121,347
100,1,7,67,235
101,1,10,184,466
102,1,8,129,330
103,1,9,140,392
104,1,10,146,401
105,1,9,170,537
106,1,11,150,361
107,1,10,255,631
108,1,8,111,366
109,1,8,103,348
110,1,6,77,236
111,1,11,237,549
112,1,9,149,409
113,1,8,131,328
114,1,8,171,407
115,1,9,158,508
116,1,4,24,53
117,1,8,124,319
118,1,12,218,433
119,1,10,168,485
120,1,8,123,374
121,1,8,123,368
122,1,9,216,533
123,1,10,148,411
124,1,7,83,273
125,1,5,60,176
126,1,8,94,280
127,1,9,153,402
128,1,9,150,406
129,1,10,120,416
130,1,10,260,587
131,1,10,174,420
132,1,11,201,425
133,1,10,171,507
134,1,10,143,400
135,1,7,93,261
136,1,9,181,543
137,1,7,89,243
138,1,10,174,401
139,1,7,63,180
140,1,9,150,360
141,1,10,207,575
142,1,10,170,381
143,1,7,94,303
144,1,9,141,441
145,1,10,178,361
146,1,6,66,185
147,1,12,254,595
148,1,9,114,306
149,1,8,150,436
150,1,8,104,303
151,1,8,82,245
152,1,6,95,172
153,1,9,175,489
154,1,12,176,423
155,1,10,167,437
156,1,8,115,333
157,1,9,183,448
158,1,9,159,352
159,1,10,186,462
160,1,8,112,272
161,1,10,162,417
162,1,12,217,534
163,1,8,106,232
164,1,8,115,245
165,1,9,163,371
166,1,10,220,537
167,1,8,104,331
168,1,9,185,448
169,1,6,79,150
170,1,8,113,335
171,1,8,99,322
172,1,8,82,255
173,1,8,91,256
174,1,8,124,349
175,1,8,143,330
176,1,10,149,381
177,1,8,97,326
178,1,8,134,268
179,1,8,118,275
180,1,10,140,437
181,1,10,194,442
182,1,8,114,293
183,1,8,181,393
184,1,8,108,387
185,1,8,146,466
186,1,8,126,335
187,1,5,36,111
188,1,9,136,411
189,1,6,52,126
190,1,10,141,319
191,1,8,93,244
192,1,11,206,489
193,1,8,157,399
194,1,10,202,521
195,1,5,50,123
196,1,8,116,382
197,1,10,139,521
198,1,10,181,421
199,1,11,282,738
200,1,8,153,361
201,1,9,147,395
202,1,8,150,376
203,1,10,149,497
204,1,10,149,368
205,1,10,233,560
206,1,10,152,363
207,1,8,113,280
208,1,6,75,150
209,1,6,52,164
210,1,9,169,377
211,1,6,44,190
212,1,7,83,269
213,1,8,82,315
214,1,8,126,305
215,1,10,252,553
216,1,8,141,400
217,1,10,179,523
218,1,8,114,339
219,1,9,143,387
220,1,10,183,431
221,1,6,84,206
222,1,9,205,437
223,1,8,154,425
224,1,8,144,341
225,1,12,177,531
226,1,8,102,248
227,1,9,164,362
228,1,8,128,292
229,1,8,89,275
230,1,9,172,453
231,1,8,108,274
232,1,12,221,531
233,1,7,85,193
234,1,8,157,407
235,1,7,95,298
236,1,6,51,201
237,1,8,127,316
238,1,9,116,321
239,1,9,175,438
240,1,8,95,254
241,1,9,100,246
242,1,9,152,431
243,1,11,189,632
244,1,7,104,349
245,1,7,54,167
246,1,11,250,646
247,1,8,156,402
248,1,9,154,484
249,1,9,134,336
250,1,10,140,309
251,1,9,195,556
252,1,9,155,407
253,1,6,82,220
254,1,10,190,574
255,1,8,97,326
256,1,8,100,283
257,1,8,151,430
258,1,11,190,524
259,1,9,154,430
260,1,7,106,311
261,1,9,174,444
262,1,8,76,293
263,1,10,236,524
264,1,8,128,369
265,1,11,154,399
266,1,11,162,396
267,1,10,199,450
268,1,8,98,263
269,1,9,143,398
270,1,8,116,390
271,1,8,104,320
272,1,10,205,513
273,1,8,126,295
274,1,9,133,385
275,1,11,167,392
276,1,8,87,264
277,1,9,152,418
278,1,8,120,301
279,1,10,190,435
280,1,10,154,398
281,1,7,87,222
282,1,8,130,313
283,1,6,62,223
284,1,8,108,306
285,1,11,197,550
286,1,4,28,62
287,1,12,227,550
288,1,8,125,343
289,1,10,151,400
290,1,11,227,537
291,1,11,191,437
292,1,11,204,521
293,1,8,93,227
294,1,10,162,462
295,1,10,137,345
296,1,10,168,504
297,1,9,209,466
298,1,8,133,377
299,1,8,118,330
