id,set,human_score,char_4,word_count,char_6,vocabulory_score
14834,6,2,48,122,25,46
14835,6,3,81,180,38,80
14836,6,4,70,166,34,69
14837,6,1,89,193,35,70
14838,6,3,74,162,37,67
14839,6,4,88,168,45,65
14840,6,3,67,148,34,65
14841,6,3,62,128,36,58
14842,6,3,51,114,24,56
14843,6,3,54,130,27,59
14844,6,3,100,233,60,95
14845,6,4,137,312,74,135
14846,6,4,88,213,44,76
14847,6,3,88,195,46,81
14848,6,2,55,135,29,51
14849,6,3,72,152,39,66
14850,6,1,54,141,34,42
14851,6,3,52,126,26,56
14852,6,3,36,87,17,42
14853,6,2,42,88,22,36
14854,6,3,53,114,33,46
14855,6,4,103,244,51,96
14856,6,2,65,177,28,74
14857,6,4,108,233,57,103
14858,6,3,49,116,23,55
14859,6,2,59,167,33,63
14860,6,3,97,210,52,88
14861,6,3,83,198,42,83
14862,6,3,64,159,29,67
14863,6,3,46,109,28,46
14864,6,4,70,169,44,71
14865,6,3,80,175,37,82
14866,6,2,25,63,13,28
14867,6,2,40,102,22,45
14868,6,3,86,204,53,74
14869,6,2,68,146,24,68
14870,6,2,59,130,26,54
14871,6,3,65,134,38,53
14872,6,3,65,144,40,60
14873,6,2,47,112,25,43
14874,6,1,26,112,12,53
14875,6,3,47,101,16,38
14876,6,3,98,197,46,82
14877,6,2,29,100,15,40
14878,6,2,57,135,33,52
14879,6,3,55,129,33,61
14880,6,3,69,158,29,60
14881,6,4,82,194,54,70
14882,6,4,103,224,59,86
14883,6,3,109,220,55,90
14884,6,3,56,149,32,70
14885,6,2,71,185,25,87
14886,6,3,78,164,40,71
14887,6,3,82,179,44,76
14888,6,2,61,174,34,71
14889,6,3,71,169,43,71
14890,6,3,62,166,29,70
14891,6,1,42,130,25,53
14892,6,3,100,200,52,85
14893,6,2,34,84,20,33
14894,6,4,74,186,37,85
14895,6,2,67,161,29,66
14896,6,4,119,260,60,106
14897,6,3,80,177,50,81
14898,6,4,87,191,45,76
14899,6,1,43,104,19,45
14900,6,3,63,136,35,53
14901,6,1,15,32,11,14
14902,6,4,92,212,46,81
14903,6,3,79,163,51,67
14904,6,3,92,197,48,71
14905,6,1,29,74,13,34
14906,6,3,46,112,22,48
14907,6,3,54,116,27,51
14908,6,2,67,146,36,63
14909,6,3,60,142,36,65
14910,6,3,45,86,22,32
14911,6,1,26,65,16,24
14912,6,3,43,104,24,51
14913,6,3,68,152,42,58
14914,6,3,77,177,41,66
14915,6,3,44,111,22,51
14916,6,3,73,162,42,68
14917,6,3,68,164,35,64
14918,6,3,74,168,41,77
14919,6,2,56,120,21,51
14920,6,3,84,177,50,71
14921,6,3,77,177,40,72
14922,6,3,100,198,54,86
14923,6,3,72,168,35,67
14924,6,3,75,156,41,59
14925,6,3,60,144,31,52
14926,6,3,111,246,63,105
14927,6,2,40,80,21,28
14928,6,2,74,182,36,75
14929,6,2,36,102,17,32
14930,6,4,70,154,37,75
14931,6,2,38,85,15,36
14932,6,3,76,177,39,77
14933,6,4,63,170,35,66
14934,6,4,93,215,53,88
14935,6,3,54,109,27,49
14936,6,3,58,117,30,52
14937,6,1,54,140,30,48
14938,6,3,72,177,38,69
14939,6,0,20,55,11,16
14940,6,3,72,187,36,73
14941,6,3,95,243,47,100
14942,6,3,83,208,47,74
14943,6,3,96,204,54,91
14944,6,4,80,204,46,90
14945,6,2,37,75,17,39
14946,6,3,65,144,33,54
14947,6,3,103,215,56,87
14948,6,2,53,137,32,55
14949,6,1,22,63,12,18
14950,6,3,85,200,41,89
14951,6,0,60,134,27,54
14952,6,2,28,67,13,24
14953,6,3,71,186,36,75
14954,6,2,62,116,37,41
14955,6,3,52,118,31,41
14956,6,4,155,314,93,134
14957,6,0,11,38,5,16
14958,6,2,30,65,17,30
14959,6,3,78,157,34,67
14960,6,3,67,170,26,70
14961,6,3,60,141,31,60
14962,6,2,74,172,35,68
14963,6,4,80,177,45,77
14964,6,2,58,132,28,64
14965,6,2,41,91,22,35
14966,6,3,61,155,33,65
14967,6,4,94,222,51,87
14968,6,3,65,168,36,58
14969,6,2,35,85,18,32
14970,6,3,70,155,40,58
14971,6,3,73,177,38,72
14972,6,4,80,201,40,93
14973,6,1,46,106,24,46
14974,6,3,57,115,29,52
14975,6,3,67,130,35,56
14976,6,3,70,153,37,60
14977,6,3,66,149,37,60
14978,6,4,89,231,51,91
14979,6,1,25,57,15,21
14980,6,3,55,131,28,50
14981,6,3,54,144,31,53
14982,6,4,73,150,41,61
14983,6,2,35,87,19,46
14984,6,3,48,121,29,51
14985,6,0,67,176,34,68
14986,6,3,66,141,33,60
14987,6,4,90,199,52,86
14988,6,3,83,199,46,72
14989,6,3,59,129,32,48
14990,6,4,91,198,45,84
14991,6,3,71,177,31,69
14992,6,3,45,95,19,39
