id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18,pos_4,pos_2
11827,5,2,48,132,24,57,6,17,14,12
11828,5,2,65,167,29,65,7,15,18,10
11829,5,3,47,109,26,43,5,22,14,18
11830,5,1,35,71,9,30,2,9,7,8
11831,5,3,45,127,24,46,7,16,16,8
11832,5,3,55,150,28,55,6,24,17,20
11833,5,3,66,170,36,72,9,29,24,22
11834,5,4,92,212,37,98,9,44,27,27
11835,5,3,66,158,32,49,8,27,21,13
11836,5,3,48,146,19,56,6,26,14,17
11837,5,1,11,38,3,8,1,5,3,7
11838,5,1,74,199,23,96,8,26,27,24
11839,5,1,27,79,9,28,4,14,12,10
11840,5,1,25,92,13,34,3,19,11,11
11841,5,2,45,103,17,46,6,21,16,9
11842,5,2,43,143,17,54,3,21,21,13
11843,5,4,65,156,23,61,7,29,12,22
11844,5,3,65,158,21,77,4,29,17,26
11845,5,2,48,131,24,46,6,15,17,14
11846,5,2,42,113,16,41,5,25,14,12
11847,5,4,73,186,31,76,9,33,22,26
11848,5,2,58,177,24,71,7,24,21,20
11849,5,2,45,130,24,42,7,32,16,24
11850,5,4,76,190,37,69,9,32,23,25
11851,5,2,34,106,14,42,5,16,12,12
11852,5,2,50,122,21,57,7,17,14,7
11853,5,2,40,84,23,33,5,18,8,13
11854,5,1,16,49,9,15,2,10,5,2
11855,5,3,56,149,25,54,7,24,22,17
11856,5,4,68,162,33,50,6,32,22,21
11857,5,4,90,230,47,97,11,48,33,30
11858,5,3,37,91,12,35,3,11,4,13
11859,5,2,40,118,16,48,6,16,15,13
11860,5,3,52,143,26,58,6,21,13,9
11861,5,3,48,147,17,61,5,32,20,17
11862,5,3,39,100,17,28,6,14,10,10
11863,5,3,47,143,22,49,7,15,20,13
11864,5,2,40,120,20,52,6,27,19,10
11865,5,3,67,145,25,61,8,32,20,23
11866,5,4,123,250,60,110,11,30,27,15
11867,5,2,36,94,18,41,4,14,13,9
11868,5,3,42,101,24,37,4,18,14,7
11869,5,3,42,114,14,45,7,20,15,16
11870,5,2,35,97,11,34,4,12,11,9
11871,5,1,14,51,5,19,2,9,7,8
11872,5,3,58,148,24,51,4,30,19,17
11873,5,3,61,158,32,63,7,34,14,22
11874,5,3,57,138,34,53,7,22,18,13
11875,5,3,43,141,19,70,7,16,20,12
11876,5,2,29,81,16,33,3,13,14,6
11877,5,2,23,51,12,8,2,11,8,6
11878,5,3,75,213,27,76,9,32,26,22
11879,5,2,22,66,7,28,4,13,3,9
11880,5,1,11,39,5,18,2,6,6,6
11881,5,3,39,118,10,48,6,24,15,19
11882,5,3,56,128,15,46,7,16,12,6
11883,5,3,69,179,24,72,8,33,26,25
11884,5,4,124,284,68,120,12,46,29,28
11885,5,2,36,98,6,24,3,9,13,12
11886,5,3,60,176,33,72,10,31,16,24
11887,5,2,29,72,13,28,4,15,10,10
11888,5,1,16,58,6,26,2,11,8,9
11889,5,2,38,85,15,29,5,19,10,13
11890,5,2,35,79,19,22,4,16,11,8
11891,5,3,66,148,38,48,8,28,24,21
11892,5,2,31,96,15,37,5,17,8,8
11893,5,3,50,151,24,61,7,18,23,14
11894,5,2,38,106,15,46,6,15,14,15
11895,5,3,40,124,24,50,7,22,22,7
11896,5,3,61,143,27,56,7,21,15,18
11897,5,3,44,109,21,35,5,25,16,15
11898,5,3,68,148,32,57,5,25,25,17
11899,5,3,48,141,22,55,6,21,12,11
11900,5,3,86,194,36,70,10,40,20,13
11901,5,3,71,166,24,64,7,33,19,16
11902,5,1,14,54,3,22,4,13,4,6
11903,5,1,12,30,5,14,1,5,6,2
11904,5,3,66,152,15,70,7,22,23,17
11905,5,3,52,118,21,48,5,27,14,15
11906,5,4,74,191,36,67,7,28,21,28
11907,5,2,21,71,13,23,3,6,6,4
11908,5,3,40,97,19,51,3,13,13,10
