id,set,human_score,word_count
11827,5,2,132
11828,5,2,167
11829,5,3,109
11830,5,1,71
11831,5,3,127
11832,5,3,150
11833,5,3,170
11834,5,4,212
11835,5,3,158
11836,5,3,146
11837,5,1,38
11838,5,1,199
11839,5,1,79
11840,5,1,92
11841,5,2,103
11842,5,2,143
11843,5,4,156
11844,5,3,158
11845,5,2,131
11846,5,2,113
11847,5,4,186
11848,5,2,177
11849,5,2,130
11850,5,4,190
11851,5,2,106
11852,5,2,122
11853,5,2,84
11854,5,1,49
11855,5,3,149
11856,5,4,162
11857,5,4,230
11858,5,3,91
11859,5,2,118
11860,5,3,143
11861,5,3,147
11862,5,3,100
11863,5,3,143
11864,5,2,120
11865,5,3,145
11866,5,4,250
11867,5,2,94
11868,5,3,101
11869,5,3,114
11870,5,2,97
11871,5,1,51
11872,5,3,148
11873,5,3,158
11874,5,3,138
11875,5,3,141
11876,5,2,81
11877,5,2,51
11878,5,3,213
11879,5,2,66
11880,5,1,39
11881,5,3,118
11882,5,3,128
11883,5,3,179
11884,5,4,284
11885,5,2,98
11886,5,3,176
11887,5,2,72
11888,5,1,58
11889,5,2,85
11890,5,2,79
11891,5,3,148
11892,5,2,96
11893,5,3,151
11894,5,2,106
11895,5,3,124
11896,5,3,143
11897,5,3,109
11898,5,3,148
11899,5,3,141
11900,5,3,194
11901,5,3,166
11902,5,1,54
11903,5,1,30
11904,5,3,152
11905,5,3,118
11906,5,4,191
11907,5,2,71
11908,5,3,97
11909,5,2,74
11910,5,1,67
11911,5,3,131
11912,5,2,50
11913,5,2,109
11914,5,1,64
11915,5,2,101
11916,5,3,161
11917,5,2,126
11918,5,2,55
11919,5,1,68
11920,5,3,128
11921,5,3,107
11922,5,2,93
11923,5,2,139
11924,5,2,104
11925,5,2,101
11926,5,1,94
11927,5,2,62
11928,5,3,170
11929,5,2,129
11930,5,2,67
11931,5,3,106
11932,5,4,280
11933,5,3,147
11934,5,3,139
11935,5,1,21
11936,5,2,143
11937,5,4,307
11938,5,3,156
11939,5,3,159
11940,5,2,108
11941,5,3,130
