id,set,human_score,char_12
20716,8,34,5
20717,8,46,1
20718,8,40,1
20719,8,30,0
20721,8,26,0
20722,8,40,1
20723,8,40,0
20724,8,34,0
20725,8,41,2
20726,8,40,0
20727,8,31,1
20728,8,44,44
20732,8,31,0
20733,8,36,1
20734,8,43,8
20735,8,20,3
20736,8,45,3
20737,8,40,2
20739,8,30,3
20741,8,35,1
20742,8,40,0
20743,8,42,5
20745,8,34,3
20746,8,33,2
20747,8,38,0
20748,8,36,1
20751,8,45,2
20754,8,31,1
20755,8,30,2
20756,8,34,1
20757,8,33,11
20758,8,40,1
20759,8,47,3
20760,8,30,0
20761,8,40,2
20762,8,32,0
20763,8,40,3
20764,8,30,1
20766,8,45,8
20767,8,45,1
20768,8,45,0
20769,8,50,7
20770,8,39,1
20771,8,33,4
20772,8,33,4
20773,8,34,2
20774,8,40,0
20775,8,33,3
20776,8,33,6
20777,8,40,0
20778,8,36,0
20779,8,37,1
20781,8,40,5
20783,8,33,2
20784,8,37,1
20785,8,42,1
20787,8,40,0
20790,8,40,2
20791,8,38,1
20792,8,31,0
20793,8,42,2
20794,8,40,0
20795,8,35,1
20796,8,35,2
20797,8,33,0
20800,8,33,3
20802,8,30,0
20803,8,37,0
20804,8,40,0
20805,8,40,0
20806,8,35,2
20807,8,35,5
20808,8,31,2
20809,8,40,0
20812,8,40,1
20813,8,36,1
20814,8,32,6
20815,8,31,6
20817,8,30,0
20818,8,32,3
20819,8,30,0
20821,8,55,1
20822,8,45,3
20823,8,41,2
20824,8,45,8
20825,8,33,0
20826,8,60,6
20827,8,45,3
20828,8,28,0
20829,8,49,4
20830,8,33,0
20831,8,29,0
20832,8,36,6
20833,8,40,4
20835,8,40,1
20836,8,40,1
20838,8,27,0
20839,8,24,0
20840,8,32,2
20841,8,33,0
20842,8,40,2
20844,8,30,2
20846,8,34,2
20847,8,35,1
20848,8,30,0
20849,8,44,2
20850,8,31,0
20851,8,32,9
20852,8,40,1
20853,8,32,1
20856,8,40,10
20857,8,36,0
20859,8,43,6
20860,8,36,0
20861,8,40,8
20862,8,45,1
20863,8,36,0
20865,8,38,1
20866,8,37,0
20869,8,36,5
20870,8,31,2
20871,8,20,0
20872,8,38,1
20874,8,32,1
20876,8,37,0
20877,8,40,3
20878,8,35,0
20879,8,40,4
20881,8,28,2
20882,8,38,0
20883,8,36,3
20884,8,43,0
20885,8,34,0
20887,8,32,2
20888,8,50,2
20889,8,40,6
20892,8,40,2
20893,8,37,0
20894,8,36,2
20895,8,40,3
20896,8,30,0
20897,8,32,0
20898,8,44,1
20899,8,37,4
20900,8,42,1
20901,8,40,5
20902,8,40,1
20904,8,30,6
20905,8,34,0
20906,8,44,0
20907,8,36,1
20908,8,35,0
20909,8,34,0
20910,8,32,1
20911,8,40,1
20913,8,34,2
20914,8,40,9
20915,8,40,4
20916,8,37,2
20917,8,38,1
20918,8,29,2
20919,8,34,6
20920,8,32,0
20921,8,43,3
20922,8,37,0
20923,8,34,0
20924,8,29,3
20925,8,30,0
20926,8,47,2
20927,8,36,7
20928,8,40,1
20929,8,29,0
20930,8,40,1
20931,8,41,3
20932,8,40,3
20933,8,32,2
20935,8,40,1
20936,8,44,0
20938,8,34,0
20939,8,31,1
20940,8,40,2
20942,8,40,2
20943,8,40,2
20944,8,31,10
20945,8,29,0
20946,8,43,6
20947,8,40,4
20948,8,40,0
20949,8,36,0
20953,8,31,4
20954,8,15,0
20955,8,40,3
20956,8,36,0
20957,8,45,3
20958,8,35,3
20959,8,45,7
20962,8,40,5
20963,8,40,2
20964,8,36,1
20965,8,28,0
20966,8,40,0
20967,8,20,0
20968,8,36,0
20971,8,46,3
20972,8,32,0
20973,8,41,2
20974,8,44,11
20975,8,36,0
20976,8,42,1
20977,8,42,3
20979,8,31,4
20981,8,40,2
20982,8,32,0
20983,8,43,3
20984,8,31,5
20985,8,36,28
20987,8,35,2
20988,8,36,5
20992,8,40,0
20993,8,45,2
20994,8,40,2
20996,8,38,0
20998,8,36,1
20999,8,37,2
21000,8,30,3
21001,8,41,1
21002,8,40,0
21003,8,36,4
21004,8,29,0
21005,8,32,0
21006,8,36,1
21007,8,40,12
21008,8,40,1
21009,8,33,7
21010,8,40,0
21012,8,30,8
21013,8,24,0
21014,8,33,0
21015,8,40,1
21016,8,31,1
21017,8,27,0
21020,8,33,0
21021,8,40,4
21022,8,37,3
21023,8,34,4
21024,8,33,1
21025,8,40,2
21026,8,32,1
21028,8,32,6
21029,8,30,0
21030,8,44,3
21031,8,25,0
21032,8,40,5
21033,8,27,1
21034,8,36,8
21035,8,45,0
21036,8,41,7
21037,8,50,7
21038,8,42,0
21039,8,36,0
21042,8,36,4
21043,8,40,8
21044,8,36,0
21045,8,37,1
21049,8,40,1
21051,8,42,0
21052,8,32,2
21053,8,30,0
21054,8,43,3
21055,8,35,1
21056,8,48,4
21057,8,40,3
21058,8,40,0
21059,8,45,0
21060,8,45,4
21061,8,30,1
21063,8,37,0
21064,8,38,8
21065,8,47,4
21067,8,41,2
21068,8,36,0
21069,8,42,2
21070,8,40,8
21071,8,30,0
21072,8,35,3
21073,8,40,1
21074,8,37,2
21075,8,35,1
21076,8,40,2
21077,8,40,0
21078,8,35,1
21079,8,34,2
21081,8,36,1
21083,8,41,2
21085,8,37,1
21086,8,30,7
21087,8,34,0
21089,8,36,3
21090,8,37,5
21091,8,34,1
21092,8,43,2
21093,8,42,9
21094,8,40,4
21095,8,35,1
21096,8,37,3
21097,8,46,3
21098,8,43,5
21099,8,40,3
21101,8,40,0
21102,8,31,1
21103,8,32,0
21105,8,40,1
21106,8,40,1
21107,8,40,5
21109,8,40,3
21110,8,45,6
21111,8,36,2
21112,8,35,0
21113,8,36,1
21114,8,40,1
21115,8,32,0
21116,8,37,9
21118,8,48,1
21119,8,33,2
21120,8,50,2
21122,8,46,2
21123,8,43,2
21126,8,27,0
21127,8,35,2
21129,8,36,1
21130,8,45,1
21131,8,35,3
21132,8,40,9
21133,8,35,1
21134,8,34,1
21135,8,40,1
21136,8,33,0
21137,8,39,1
21138,8,33,3
21140,8,24,4
21141,8,31,1
21142,8,36,0
21143,8,40,2
21144,8,40,0
21145,8,32,3
21146,8,47,3
21147,8,40,5
21148,8,35,0
21149,8,36,5
21150,8,28,0
21151,8,35,0
21153,8,33,0
21154,8,34,2
21155,8,36,15
21156,8,40,5
21157,8,40,4
21158,8,35,1
21159,8,46,8
21160,8,34,0
21161,8,40,0
21163,8,40,3
21164,8,45,2
21166,8,31,0
21167,8,40,13
21168,8,40,1
21170,8,39,6
21171,8,35,1
21174,8,42,1
21175,8,38,4
21176,8,34,0
21177,8,26,0
21178,8,31,2
21179,8,31,0
21180,8,40,1
21181,8,40,4
21182,8,31,1
21183,8,36,0
21185,8,42,5
21186,8,39,1
21188,8,37,0
21189,8,37,1
21190,8,36,25
21191,8,34,1
21192,8,35,1
21193,8,40,0
21194,8,42,0
21195,8,36,2
21198,8,34,1
21199,8,35,1
21200,8,40,2
21202,8,45,4
21203,8,40,0
21204,8,31,2
21205,8,31,2
21206,8,34,0
21207,8,44,1
21208,8,38,1
21209,8,42,4
21210,8,35,4
21211,8,33,2
21213,8,40,0
21214,8,40,1
21215,8,41,0
21217,8,30,0
21218,8,42,2
21219,8,40,1
21220,8,30,0
21221,8,31,5
21222,8,27,3
21223,8,36,0
21224,8,43,1
21225,8,50,0
21227,8,40,1
21229,8,40,5
21230,8,36,3
21233,8,40,0
21235,8,28,1
21236,8,40,3
21237,8,40,0
21238,8,37,0
21240,8,26,0
21241,8,30,1
21244,8,30,0
21245,8,40,3
21246,8,37,0
21247,8,34,11
21248,8,28,0
21249,8,42,0
21250,8,44,1
21251,8,40,4
21253,8,40,2
21255,8,41,0
21256,8,33,1
21257,8,30,0
21258,8,40,1
21259,8,43,1
21261,8,36,1
21262,8,36,1
21263,8,32,2
21264,8,36,0
21265,8,35,0
21266,8,38,3
21268,8,38,2
21269,8,40,0
21271,8,30,0
21272,8,40,3
21273,8,34,1
21274,8,40,1
21275,8,40,3
21276,8,34,2
21277,8,30,0
21279,8,33,2
21280,8,40,7
21281,8,40,0
21284,8,38,1
21285,8,37,1
21286,8,36,3
21287,8,40,1
21288,8,46,19
21289,8,49,1
21290,8,37,3
21291,8,30,27
21292,8,50,3
21293,8,33,0
21294,8,34,4
21295,8,45,6
21296,8,40,4
21297,8,32,6
21298,8,30,0
21299,8,41,3
21300,8,44,0
21301,8,21,0
21302,8,40,4
21304,8,37,1
21306,8,46,1
21307,8,30,0
21308,8,40,8
21309,8,38,5
21310,8,40,2
21312,8,32,3
21315,8,35,12
21318,8,29,0
21319,8,46,1
21321,8,40,10
21322,8,36,2
21323,8,43,10
21324,8,40,0
21325,8,45,1
21327,8,33,0
21329,8,30,0
21330,8,37,9
21331,8,26,0
21332,8,40,0
21333,8,36,1
21334,8,30,0
21336,8,36,5
21338,8,34,1
21339,8,34,0
21340,8,37,1
21342,8,40,1
21343,8,47,1
21344,8,47,0
21345,8,32,2
21346,8,31,0
21347,8,32,4
21348,8,40,2
21350,8,36,1
21351,8,31,1
21352,8,37,0
21354,8,35,0
21355,8,28,0
21356,8,37,3
21357,8,41,0
21358,8,46,3
21360,8,35,0
21361,8,45,7
21364,8,45,1
21365,8,37,0
21366,8,41,2
21367,8,39,2
21369,8,29,1
21370,8,31,0
21373,8,40,2
21374,8,38,17
21375,8,37,0
21377,8,34,0
21379,8,35,13
21380,8,37,2
21382,8,42,2
21383,8,40,1
21384,8,38,3
21385,8,50,2
21386,8,42,0
21387,8,40,1
21388,8,40,2
21389,8,20,0
21390,8,36,2
21391,8,34,1
21392,8,40,1
21393,8,30,0
21394,8,31,1
21397,8,40,0
21398,8,50,3
21399,8,25,0
21403,8,41,8
21404,8,37,2
21405,8,40,0
21407,8,40,0
21408,8,21,1
21409,8,44,2
21410,8,33,1
21411,8,31,0
21412,8,32,1
21413,8,46,2
21414,8,41,6
21415,8,35,0
21416,8,40,0
21418,8,45,2
21419,8,43,6
21421,8,41,1
21422,8,41,3
21424,8,36,1
21425,8,34,0
21426,8,41,6
21427,8,35,0
21428,8,30,0
21429,8,55,7
21431,8,40,1
21432,8,50,4
21433,8,35,3
21434,8,32,3
21436,8,37,1
21437,8,34,3
21438,8,46,0
21440,8,34,11
21441,8,41,3
21442,8,40,1
21443,8,34,0
21444,8,30,0
21446,8,30,0
21447,8,36,3
21448,8,30,1
21449,8,32,0
21450,8,35,0
21451,8,45,2
21452,8,33,4
21453,8,36,0
21454,8,42,3
21456,8,39,2
21457,8,40,0
21458,8,40,1
21459,8,40,3
21460,8,32,3
21462,8,35,8
21463,8,25,1
21465,8,36,1
21467,8,45,0
21468,8,35,0
21470,8,36,3
21471,8,40,4
21472,8,33,0
21473,8,39,0
21475,8,40,0
21476,8,28,0
21477,8,28,0
21478,8,42,5
21479,8,31,0
21480,8,32,2
21481,8,40,1
21482,8,30,0
21483,8,41,1
21484,8,50,4
21485,8,36,3
21487,8,30,4
21488,8,41,0
21489,8,22,1
21490,8,50,0
21491,8,30,3
21494,8,40,1
21495,8,36,1
21500,8,37,12
21501,8,28,1
21502,8,38,6
21503,8,32,0
21505,8,40,0
21506,8,45,0
21507,8,36,0
21508,8,45,5
21509,8,30,0
21510,8,43,2
21511,8,37,3
21512,8,28,0
21513,8,37,1
21514,8,34,0
21515,8,36,1
21516,8,35,2
21517,8,32,0
21518,8,40,0
21519,8,37,2
21521,8,38,5
21522,8,40,1
21525,8,30,0
21526,8,40,1
21529,8,38,3
21530,8,46,2
21531,8,50,8
21532,8,50,2
21533,8,35,1
21535,8,35,4
21536,8,35,2
21537,8,33,1
21539,8,45,1
21540,8,45,1
21541,8,40,0
21542,8,40,4
21544,8,31,2
21545,8,36,3
21546,8,35,0
21547,8,42,0
21548,8,35,0
21549,8,30,0
21550,8,40,4
21552,8,33,1
21553,8,25,0
21554,8,31,0
21555,8,25,0
21556,8,44,3
21557,8,42,7
