id,set,human_score,pos_27
11827,5,2,13
11828,5,2,8
11829,5,3,6
11830,5,1,2
11831,5,3,10
11832,5,3,4
11833,5,3,6
11834,5,4,14
11835,5,3,5
11836,5,3,9
11837,5,1,0
11838,5,1,0
11839,5,1,2
11840,5,1,8
11841,5,2,7
11842,5,2,4
11843,5,4,6
11844,5,3,8
11845,5,2,5
11846,5,2,2
11847,5,4,12
11848,5,2,16
11849,5,2,6
11850,5,4,11
11851,5,2,7
11852,5,2,9
11853,5,2,6
11854,5,1,9
11855,5,3,16
11856,5,4,6
11857,5,4,1
11858,5,3,2
11859,5,2,4
11860,5,3,13
11861,5,3,8
11862,5,3,3
11863,5,3,3
11864,5,2,7
11865,5,3,8
11866,5,4,17
11867,5,2,4
11868,5,3,11
11869,5,3,2
11870,5,2,9
11871,5,1,3
11872,5,3,11
11873,5,3,2
11874,5,3,5
11875,5,3,7
11876,5,2,5
11877,5,2,0
11878,5,3,7
11879,5,2,11
11880,5,1,5
11881,5,3,6
11882,5,3,8
11883,5,3,11
11884,5,4,11
11885,5,2,0
11886,5,3,14
11887,5,2,4
11888,5,1,3
11889,5,2,8
11890,5,2,2
11891,5,3,4
11892,5,2,5
11893,5,3,14
11894,5,2,5
11895,5,3,4
11896,5,3,6
11897,5,3,5
11898,5,3,3
11899,5,3,2
11900,5,3,8
11901,5,3,5
11902,5,1,3
11903,5,1,0
11904,5,3,17
11905,5,3,2
11906,5,4,15
11907,5,2,7
11908,5,3,7
11909,5,2,4
11910,5,1,7
11911,5,3,8
11912,5,2,4
11913,5,2,4
11914,5,1,0
11915,5,2,2
11916,5,3,11
11917,5,2,12
11918,5,2,2
11919,5,1,2
11920,5,3,6
11921,5,3,9
11922,5,2,5
11923,5,2,8
11924,5,2,6
11925,5,2,5
11926,5,1,8
11927,5,2,3
11928,5,3,11
11929,5,2,9
11930,5,2,5
11931,5,3,5
11932,5,4,16
11933,5,3,17
11934,5,3,12
11935,5,1,2
11936,5,2,2
11937,5,4,8
11938,5,3,5
11939,5,3,5
11940,5,2,1
11941,5,3,7
11942,5,3,9
11943,5,3,3
11944,5,2,1
11945,5,4,12
11946,5,3,5
11947,5,2,5
11948,5,2,7
11949,5,3,3
11950,5,1,0
11951,5,3,5
11952,5,1,4
11953,5,1,2
11954,5,4,16
11955,5,1,2
11956,5,2,16
11957,5,4,6
11958,5,2,5
11959,5,2,3
11960,5,3,7
11961,5,1,1
11962,5,3,6
11963,5,4,13
11964,5,3,2
11965,5,3,4
11966,5,1,2
11967,5,2,0
11968,5,2,2
11969,5,2,9
11970,5,4,15
11971,5,1,4
11972,5,3,6
11973,5,2,1
11974,5,2,6
11975,5,4,3
11976,5,1,1
11977,5,1,1
11978,5,3,5
11979,5,4,9
11980,5,4,10
11981,5,2,10
11982,5,2,6
11983,5,1,2
11984,5,2,3
11985,5,4,6
11986,5,4,24
11987,5,2,1
11988,5,3,4
11989,5,3,18
11990,5,4,4
11991,5,3,10
11992,5,2,4
11993,5,1,1
11994,5,2,5
11995,5,1,2
11996,5,2,7
11997,5,4,6
11998,5,1,4
11999,5,3,4
12000,5,2,7
12001,5,2,6
12002,5,1,1
12003,5,3,8
12004,5,2,1
12005,5,3,0
12006,5,1,7
12007,5,3,8
12008,5,3,7
12009,5,2,8
12010,5,2,4
12011,5,3,9
12012,5,2,15
12013,5,1,5
12014,5,3,5
12015,5,2,6
12016,5,3,6
12017,5,1,6
12018,5,4,8
12019,5,2,17
12020,5,3,4
12021,5,3,6
12022,5,2,7
12023,5,1,3
12024,5,3,10
12025,5,2,7
12026,5,2,10
12027,5,2,6
12028,5,4,9
12029,5,2,1
12030,5,3,3
12031,5,4,8
12032,5,1,7
12033,5,3,5
12034,5,3,6
12035,5,2,3
12036,5,1,3
12037,5,3,8
12038,5,2,6
12039,5,2,5
12040,5,1,0
12041,5,1,4
12042,5,3,7
12043,5,1,3
12044,5,3,8
12045,5,2,4
12046,5,1,5
12047,5,2,4
12048,5,2,4
12049,5,4,9
12050,5,0,1
12051,5,2,2
12052,5,4,5
12053,5,0,0
12054,5,3,4
12055,5,2,5
12056,5,3,17
12057,5,1,1
12058,5,3,7
12059,5,2,4
12060,5,3,5
12061,5,2,8
12062,5,3,12
12063,5,2,5
12064,5,3,11
12065,5,2,7
12066,5,0,0
12067,5,2,8
12068,5,3,6
12069,5,4,9
12070,5,2,2
12071,5,3,6
12072,5,4,9
12073,5,2,0
12074,5,2,4
12075,5,3,2
12076,5,2,16
12077,5,3,6
12078,5,1,2
12079,5,3,6
12080,5,4,7
12081,5,4,8
12082,5,3,16
12083,5,1,1
12084,5,3,6
12085,5,3,8
12086,5,3,6
12087,5,1,1
12088,5,2,8
12089,5,1,4
12090,5,4,0
12091,5,3,7
12092,5,1,5
12093,5,2,8
12094,5,2,2
12095,5,1,1
12096,5,1,1
12097,5,1,5
12098,5,1,3
12099,5,3,13
12100,5,4,21
12101,5,4,5
12102,5,4,15
12103,5,3,4
12104,5,2,1
12105,5,3,4
12106,5,3,6
12107,5,2,5
12108,5,3,2
12109,5,3,5
12110,5,4,17
12111,5,1,1
12112,5,4,3
12113,5,1,2
12114,5,2,5
12115,5,1,6
12116,5,3,8
12117,5,2,2
12118,5,2,1
12119,5,2,6
12120,5,3,6
12121,5,1,0
12122,5,2,3
12123,5,2,8
12124,5,2,3
12125,5,4,2
12126,5,4,8
12127,5,4,8
12128,5,4,8
12129,5,2,1
12130,5,2,4
12131,5,3,4
12132,5,3,8
12133,5,3,9
12134,5,2,6
12135,5,1,0
12136,5,1,0
12137,5,2,3
12138,5,2,0
12139,5,4,12
12140,5,2,4
12141,5,3,3
12142,5,3,2
12143,5,1,1
12144,5,4,8
12145,5,1,0
12146,5,2,4
12147,5,3,6
12148,5,3,16
12149,5,1,0
12150,5,3,8
12151,5,3,6
12152,5,3,16
12153,5,1,1
12154,5,4,6
12155,5,3,5
12156,5,4,13
12157,5,3,8
12158,5,3,3
12159,5,3,8
12160,5,3,4
12161,5,2,7
12162,5,4,5
12163,5,2,1
12164,5,3,4
12165,5,2,10
12166,5,2,9
12167,5,1,3
12168,5,2,10
12169,5,1,8
12170,5,4,9
12171,5,2,1
12172,5,1,3
12173,5,2,8
12174,5,2,1
12175,5,2,12
12176,5,1,4
12177,5,2,3
12178,5,2,0
12179,5,4,6
12180,5,2,11
12181,5,3,5
12182,5,2,1
12183,5,1,4
12184,5,3,6
12185,5,3,12
12186,5,2,2
12187,5,2,4
12188,5,4,14
12189,5,1,5
12190,5,1,6
12191,5,3,7
12192,5,1,1
12193,5,2,3
12194,5,2,5
12195,5,2,2
12196,5,2,12
12197,5,2,5
12198,5,2,6
12199,5,2,3
12200,5,4,4
12201,5,3,3
12202,5,1,3
12203,5,2,7
12204,5,3,10
12205,5,3,4
12206,5,3,6
12207,5,4,11
12208,5,2,4
12209,5,2,2
12210,5,3,4
12211,5,3,12
12212,5,4,11
12213,5,4,6
12214,5,1,1
12215,5,1,8
12216,5,4,8
12217,5,2,5
12218,5,2,0
12219,5,4,12
12220,5,2,5
12221,5,3,5
12222,5,1,4
12223,5,2,10
12224,5,3,6
12225,5,3,4
12226,5,4,14
12227,5,1,5
12228,5,3,6
12229,5,3,8
12230,5,3,6
12231,5,4,3
12232,5,3,7
12233,5,3,0
12234,5,1,2
12235,5,3,10
12236,5,3,1
12237,5,2,1
12238,5,1,1
12239,5,2,0
12240,5,4,10
12241,5,4,16
12242,5,4,8
12243,5,3,7
12244,5,4,16
12245,5,1,5
12246,5,2,10
12247,5,3,16
12248,5,3,13
12249,5,1,1
12250,5,2,5
12251,5,3,3
12252,5,3,10
12253,5,3,5
12254,5,1,2
12255,5,2,4
12256,5,4,10
12257,5,3,4
12258,5,1,0
12259,5,2,0
12260,5,2,5
12261,5,3,4
12262,5,2,5
12263,5,4,12
12264,5,2,7
12265,5,2,4
12266,5,2,0
12267,5,2,1
12268,5,2,7
12269,5,4,10
12270,5,4,16
12271,5,1,2
12272,5,3,6
12273,5,4,14
12274,5,1,1
12275,5,1,0
12276,5,4,4
12277,5,2,7
12278,5,3,4
12279,5,2,4
12280,5,2,5
12281,5,3,9
12282,5,3,16
12283,5,2,7
12284,5,2,7
12285,5,2,5
12286,5,1,3
12287,5,3,3
12288,5,2,4
12289,5,1,2
12290,5,3,12
12291,5,3,8
12292,5,2,2
12293,5,3,8
12294,5,0,0
12295,5,3,15
12296,5,4,9
12297,5,3,11
12298,5,2,3
12299,5,4,6
12300,5,2,1
12301,5,1,3
12302,5,2,2
12303,5,3,13
12304,5,1,3
12305,5,3,5
12306,5,2,0
12307,5,1,2
12308,5,2,3
12309,5,3,12
12310,5,3,4
12311,5,2,3
12312,5,3,8
12313,5,3,5
12314,5,2,9
12315,5,3,10
12316,5,2,10
12317,5,1,7
12318,5,4,11
12319,5,2,4
12320,5,2,4
12321,5,3,7
12322,5,1,4
12323,5,3,2
12324,5,3,5
12325,5,1,2
12326,5,3,8
12327,5,3,2
12328,5,2,4
12329,5,2,5
12330,5,2,11
12331,5,1,7
12332,5,1,5
12333,5,2,2
12334,5,3,6
12335,5,2,8
12336,5,1,3
12337,5,2,15
12338,5,2,9
12339,5,3,4
12340,5,4,22
12341,5,2,1
12342,5,1,4
12343,5,4,16
12344,5,1,1
12345,5,0,1
12346,5,2,1
12347,5,4,9
12348,5,3,5
12349,5,2,6
12350,5,3,7
12351,5,3,3
12352,5,3,4
12353,5,3,2
12354,5,2,3
12355,5,4,5
12356,5,1,1
12357,5,3,10
12358,5,1,5
12359,5,3,7
12360,5,4,2
12361,5,2,0
12362,5,0,0
12363,5,3,13
12364,5,4,10
12365,5,4,4
12366,5,3,14
12367,5,4,7
12368,5,3,4
12369,5,2,3
12370,5,3,4
12371,5,3,5
12372,5,3,3
12373,5,4,7
12374,5,3,12
12375,5,2,1
12376,5,3,9
12377,5,2,0
12378,5,1,4
12379,5,2,6
12380,5,1,5
12381,5,2,6
12382,5,2,2
12383,5,3,8
12384,5,3,9
12385,5,2,7
12386,5,2,1
12387,5,4,10
12388,5,4,5
12389,5,2,3
12390,5,2,5
12391,5,2,8
12392,5,2,3
12393,5,4,15
12394,5,2,10
12395,5,3,3
12396,5,2,1
12397,5,2,6
12398,5,2,13
12399,5,2,4
12400,5,2,14
12401,5,1,1
12402,5,2,6
12403,5,4,15
12404,5,4,9
12405,5,4,17
12406,5,3,15
12407,5,2,14
12408,5,3,6
12409,5,2,8
12410,5,1,0
12411,5,3,7
12412,5,2,4
12413,5,2,6
12414,5,0,2
12415,5,3,5
12416,5,2,5
12417,5,3,3
12418,5,2,2
12419,5,2,13
12420,5,4,4
12421,5,2,0
12422,5,4,13
12423,5,3,10
12424,5,4,12
12425,5,3,9
12426,5,2,3
12427,5,2,8
12428,5,2,7
12429,5,3,7
12430,5,3,2
12431,5,2,3
12432,5,3,7
12433,5,2,3
12434,5,2,4
12435,5,0,1
12436,5,2,11
12437,5,2,4
12438,5,2,3
12439,5,3,6
12440,5,4,8
12441,5,2,6
12442,5,2,7
12443,5,1,2
12444,5,3,0
12445,5,1,13
12446,5,4,6
12447,5,4,15
12448,5,4,9
12449,5,3,6
12450,5,3,2
12451,5,1,1
12452,5,2,4
12453,5,1,2
12454,5,4,10
12455,5,2,1
12456,5,2,2
12457,5,3,9
12458,5,3,8
12459,5,3,3
12460,5,2,8
12461,5,1,2
12462,5,4,8
12463,5,2,1
12464,5,2,2
12465,5,1,0
12466,5,3,6
12467,5,3,6
12468,5,3,2
12469,5,1,0
12470,5,4,12
12471,5,2,4
12472,5,1,10
12473,5,2,6
12474,5,2,5
12475,5,1,0
12476,5,2,2
12477,5,2,4
12478,5,4,9
12479,5,4,3
12480,5,1,14
12481,5,3,2
12482,5,4,11
12483,5,3,9
12484,5,2,2
12485,5,2,8
12486,5,1,7
12487,5,2,9
12488,5,2,3
12489,5,4,26
12490,5,2,2
12491,5,2,1
12492,5,2,4
12493,5,2,11
12494,5,3,7
12495,5,2,4
12496,5,1,0
12497,5,4,4
12498,5,4,8
12499,5,2,5
12500,5,3,10
12501,5,4,5
12502,5,2,6
12503,5,2,6
12504,5,2,9
12505,5,4,8
12506,5,1,2
12507,5,2,5
12508,5,2,3
12509,5,3,9
12510,5,2,10
12511,5,2,7
12512,5,3,7
12513,5,4,7
12514,5,4,6
12515,5,2,5
12516,5,4,13
12517,5,4,18
12518,5,3,8
12519,5,2,5
12520,5,3,4
12521,5,1,0
12522,5,3,8
12523,5,3,5
12524,5,2,3
12525,5,3,6
12526,5,0,1
12527,5,1,2
12528,5,2,0
12529,5,4,13
12530,5,4,10
12531,5,4,16
12532,5,3,4
12533,5,2,3
12534,5,2,5
12535,5,4,10
12536,5,3,3
12537,5,3,5
12538,5,4,13
12539,5,2,8
12540,5,2,14
12541,5,2,5
12542,5,1,3
12543,5,2,5
12544,5,3,7
12545,5,3,11
12546,5,1,6
12547,5,1,3
12548,5,2,4
12549,5,2,7
12550,5,2,5
12551,5,2,5
12552,5,1,2
12553,5,4,11
12554,5,1,4
12555,5,3,7
12556,5,3,8
