id,set,human_score,misspell_words
11827,5,2,13
11828,5,2,6
11829,5,3,9
11830,5,1,12
11831,5,3,7
11832,5,3,2
11833,5,3,13
11834,5,4,5
11835,5,3,15
11836,5,3,6
11837,5,1,6
11838,5,1,2
11839,5,1,5
11840,5,1,7
11841,5,2,0
11842,5,2,5
11843,5,4,9
11844,5,3,3
11845,5,2,12
11846,5,2,3
11847,5,4,1
11848,5,2,5
11849,5,2,3
11850,5,4,9
11851,5,2,3
11852,5,2,6
11853,5,2,4
11854,5,1,6
11855,5,3,9
11856,5,4,10
11857,5,4,13
11858,5,3,3
11859,5,2,5
11860,5,3,9
11861,5,3,7
11862,5,3,7
11863,5,3,9
11864,5,2,0
11865,5,3,9
11866,5,4,24
11867,5,2,3
11868,5,3,2
11869,5,3,4
11870,5,2,13
11871,5,1,2
11872,5,3,12
11873,5,3,8
11874,5,3,12
11875,5,3,4
11876,5,2,3
11877,5,2,5
11878,5,3,13
11879,5,2,1
11880,5,1,0
11881,5,3,10
11882,5,3,14
11883,5,3,9
11884,5,4,24
11885,5,2,16
11886,5,3,11
11887,5,2,3
11888,5,1,0
11889,5,2,10
11890,5,2,14
11891,5,3,7
11892,5,2,0
11893,5,3,5
11894,5,2,6
11895,5,3,3
11896,5,3,10
11897,5,3,5
11898,5,3,10
11899,5,3,4
11900,5,3,17
11901,5,3,9
11902,5,1,0
11903,5,1,4
11904,5,3,8
11905,5,3,9
11906,5,4,4
11907,5,2,4
11908,5,3,2
11909,5,2,0
11910,5,1,4
11911,5,3,10
11912,5,2,1
11913,5,2,7
11914,5,1,5
11915,5,2,5
11916,5,3,9
11917,5,2,6
11918,5,2,3
11919,5,1,2
11920,5,3,9
11921,5,3,6
11922,5,2,4
11923,5,2,11
11924,5,2,4
11925,5,2,4
11926,5,1,12
11927,5,2,7
11928,5,3,6
11929,5,2,10
11930,5,2,1
11931,5,3,4
11932,5,4,3
11933,5,3,14
11934,5,3,12
11935,5,1,6
11936,5,2,18
11937,5,4,17
11938,5,3,12
11939,5,3,6
11940,5,2,5
11941,5,3,2
11942,5,3,9
11943,5,3,18
11944,5,2,0
11945,5,4,18
11946,5,3,2
11947,5,2,11
11948,5,2,3
11949,5,3,3
11950,5,1,10
11951,5,3,8
11952,5,1,2
11953,5,1,6
11954,5,4,27
11955,5,1,5
11956,5,2,9
11957,5,4,7
11958,5,2,1
11959,5,2,7
11960,5,3,11
11961,5,1,6
11962,5,3,12
11963,5,4,6
11964,5,3,10
11965,5,3,8
11966,5,1,6
11967,5,2,4
11968,5,2,8
11969,5,2,2
11970,5,4,16
11971,5,1,2
11972,5,3,9
11973,5,2,7
11974,5,2,6
11975,5,4,10
11976,5,1,0
11977,5,1,2
11978,5,3,5
11979,5,4,13
11980,5,4,36
11981,5,2,6
11982,5,2,7
11983,5,1,0
11984,5,2,8
11985,5,4,8
11986,5,4,5
11987,5,2,8
11988,5,3,10
11989,5,3,11
11990,5,4,16
11991,5,3,12
11992,5,2,2
11993,5,1,2
11994,5,2,4
11995,5,1,3
11996,5,2,6
11997,5,4,19
11998,5,1,0
11999,5,3,5
12000,5,2,12
12001,5,2,5
12002,5,1,3
12003,5,3,9
12004,5,2,2
12005,5,3,6
12006,5,1,1
12007,5,3,1
12008,5,3,2
12009,5,2,4
12010,5,2,10
12011,5,3,2
12012,5,2,3
12013,5,1,5
12014,5,3,13
12015,5,2,7
12016,5,3,10
12017,5,1,0
12018,5,4,19
12019,5,2,4
12020,5,3,3
12021,5,3,13
12022,5,2,3
12023,5,1,3
12024,5,3,12
12025,5,2,4
12026,5,2,12
12027,5,2,10
12028,5,4,12
12029,5,2,2
12030,5,3,6
12031,5,4,15
12032,5,1,6
12033,5,3,4
12034,5,3,8
12035,5,2,5
12036,5,1,9
12037,5,3,5
12038,5,2,7
12039,5,2,6
12040,5,1,2
12041,5,1,6
12042,5,3,9
12043,5,1,4
