id,set,human_score,std_char
11827,5,2,2.07219902282
11828,5,2,2.19227612262
11829,5,3,2.29452953418
11830,5,1,1.73065624148
11831,5,3,2.21071574201
11832,5,3,2.14612704599
11833,5,3,2.41891835921
11834,5,4,2.25037380026
11835,5,3,2.51440259914
11836,5,3,2.01726136395
11837,5,1,1.61980101688
11838,5,1,1.90087325218
11839,5,1,1.94270412529
11840,5,1,1.93006613345
11841,5,2,2.12931458045
11842,5,2,1.75669702513
11843,5,4,2.04938006322
11844,5,3,2.03896573751
11845,5,2,2.16123428774
11846,5,2,2.87909549991
11847,5,4,2.07096561439
11848,5,2,2.02832092455
11849,5,2,2.3294669389
11850,5,4,2.30155590103
11851,5,2,2.15015827161
11852,5,2,1.95334070242
11853,5,2,2.53724409018
11854,5,1,1.8415092893
11855,5,3,2.30605398876
11856,5,4,2.61084312091
11857,5,4,2.50094343315
11858,5,3,2.18653890451
11859,5,2,2.05966345075
11860,5,3,2.24678984586
11861,5,3,2.00901889701
11862,5,3,2.22238383251
11863,5,3,2.0614273966
11864,5,2,2.52849309094
11865,5,3,2.15643028426
11866,5,4,2.37728203617
11867,5,2,2.17704691901
11868,5,3,2.33916292043
11869,5,3,1.96754050778
11870,5,2,1.84638822693
11871,5,1,1.9858321711
11872,5,3,2.15982131053
11873,5,3,2.54192452902
11874,5,3,2.51213072987
11875,5,3,2.03564985056
11876,5,2,2.12313825489
11877,5,2,2.22939365713
11878,5,3,2.28788805402
11879,5,2,1.96573206824
11880,5,1,1.76905473513
11881,5,3,2.15991157716
11882,5,3,1.66835339517
11883,5,3,2.02516959971
11884,5,4,2.44629774702
11885,5,2,1.85935067586
11886,5,3,2.28751552404
11887,5,2,2.62466929134
11888,5,1,1.87583415605
11889,5,2,2.27746234522
11890,5,2,2.41223754444
11891,5,3,2.59002286139
11892,5,2,2.31547047245
11893,5,3,2.13324365154
11894,5,2,2.05495041399
11895,5,3,2.06050302078
11896,5,3,2.23251934324
11897,5,3,2.37622583133
11898,5,3,2.36131217397
11899,5,3,2.12840108659
11900,5,3,2.46449061897
11901,5,3,2.03310498541
11902,5,1,1.74791480043
11903,5,1,1.78402876117
11904,5,3,1.75264327586
11905,5,3,2.38014141525
11906,5,4,2.20120461021
11907,5,2,2.19015540182
11908,5,3,2.29994210296
11909,5,2,1.99467079697
11910,5,1,2.11475401215
11911,5,3,2.30908746239
11912,5,2,2.35640681149
11913,5,2,1.8586199799
11914,5,1,2.41188977808
11915,5,2,2.45251941586
11916,5,3,1.98155312698
11917,5,2,1.94018490364
11918,5,2,2.44715185237
11919,5,1,2.24503158396
11920,5,3,2.39379477919
11921,5,3,1.93297130445
11922,5,2,2.11342687714
11923,5,2,2.15763901288
11924,5,2,2.13612112083
11925,5,2,1.88999449944
11926,5,1,2.30813765362
11927,5,2,1.81071492085
11928,5,3,2.49412815476
11929,5,2,2.62403082884
11930,5,2,2.74632273362
11931,5,3,2.2836581048
11932,5,4,2.27114572817
11933,5,3,2.47068357492
11934,5,3,1.89542579183
11935,5,1,2.61952376624
11936,5,2,2.82851417979
11937,5,4,2.37505021242
11938,5,3,2.07094996243
11939,5,3,2.14888473323
11940,5,2,2.12820320342
11941,5,3,1.79151914496
