id,set,human_score,mean_word
8863,4,0,14.25
8864,4,0,19.5
8865,4,3,22.6666666667
8866,4,2,9.28571428571
8867,4,2,12.8
8868,4,1,11.8333333333
8869,4,0,23.0
8870,4,2,16.4
8871,4,1,10.6666666667
8872,4,2,12.7777777778
8873,4,2,19.8888888889
8874,4,0,21.0
8875,4,1,15.5
8876,4,2,22.125
8877,4,0,17.75
8878,4,1,16.0
8879,4,2,12.5714285714
8880,4,1,11.3333333333
8881,4,3,16.8
8882,4,1,16.6666666667
8883,4,1,27.0
8884,4,1,13.3333333333
8885,4,3,23.0
8886,4,1,15.3333333333
8887,4,2,17.6
8888,4,2,12.8571428571
8889,4,1,19.3333333333
8890,4,2,15.0
8891,4,3,19.0
8892,4,1,13.1666666667
8893,4,2,9.0
8894,4,1,6.875
8895,4,3,17.5
8896,4,2,12.7142857143
8897,4,1,23.0
8898,4,2,20.0
8899,4,0,11.3333333333
8900,4,2,16.5555555556
8901,4,0,9.0
8902,4,3,22.2857142857
8903,4,3,19.7777777778
8904,4,2,21.8
8905,4,2,12.8181818182
8906,4,2,11.2
8907,4,0,20.0
8908,4,1,11.2222222222
8909,4,2,14.625
8910,4,1,13.6
8911,4,3,20.0
8912,4,1,11.0
8913,4,1,24.6666666667
8914,4,2,11.3529411765
8915,4,2,11.3333333333
8916,4,0,13.5
8917,4,0,22.0
8918,4,1,18.0
8919,4,3,11.25
8920,4,0,14.3333333333
8921,4,2,26.5
8922,4,2,20.1428571429
8923,4,3,21.625
8924,4,2,12.5714285714
8925,4,1,16.2
8926,4,1,25.0
8927,4,0,14.25
8928,4,1,11.5
8929,4,1,16.75
8930,4,0,21.0
8931,4,3,11.0
8932,4,1,9.5
8933,4,2,42.0
8934,4,1,13.75
8935,4,2,26.5714285714
8936,4,1,12.25
8937,4,1,13.0
8938,4,1,26.5
8939,4,3,12.0909090909
8940,4,2,16.625
8941,4,3,22.6
8942,4,1,12.4
8943,4,1,12.2
8944,4,1,13.5714285714
8945,4,2,35.6666666667
8946,4,3,17.6666666667
8947,4,0,17.0
8948,4,3,16.7
8949,4,0,23.0
8950,4,1,12.4444444444
8951,4,2,16.0
8952,4,1,15.2
8953,4,1,23.0
8954,4,3,19.0
8955,4,3,16.5
8956,4,1,16.3333333333
8957,4,2,14.25
8958,4,0,6.8
8959,4,3,16.4444444444
8960,4,1,14.0
8961,4,1,10.4285714286
8962,4,2,13.8571428571
8963,4,1,19.5
8964,4,0,17.0
8965,4,2,23.5
8966,4,1,13.75
8967,4,2,19.6
8968,4,2,12.5
8969,4,2,13.2307692308
8970,4,1,10.6
8971,4,1,19.0
8972,4,2,19.0
8973,4,3,18.6666666667
8974,4,3,20.5714285714
8975,4,0,6.5
8976,4,0,20.3333333333
8977,4,2,20.0
8978,4,0,54.0
8979,4,3,16.3846153846
8980,4,1,14.5
8981,4,3,20.6666666667
8982,4,1,14.3333333333
8983,4,2,19.8333333333
8984,4,1,12.5
8985,4,1,16.4
8986,4,2,41.3333333333
8987,4,2,13.0
8988,4,2,13.4545454545
8989,4,1,8.0
8990,4,3,20.4545454545
8991,4,0,20.0
8992,4,0,15.3333333333
8993,4,0,11.75
8994,4,0,11.5
8995,4,2,16.0
8996,4,2,28.5
8997,4,1,12.6666666667
8998,4,3,16.75
8999,4,1,12.4
9000,4,1,10.2
9001,4,2,24.1111111111
9002,4,2,22.3333333333
9003,4,2,14.9166666667
9004,4,3,33.6
9005,4,3,17.1428571429
9006,4,3,20.6
9007,4,2,17.25
9008,4,2,23.2
9009,4,2,11.875
9010,4,1,20.0
9011,4,2,20.1428571429
9012,4,1,24.75
9013,4,1,9.16666666667
9014,4,2,20.4444444444
9015,4,1,23.25
9016,4,3,19.875
9017,4,2,13.1428571429
9018,4,2,17.6
9019,4,3,16.3636363636
9020,4,0,11.5
9021,4,2,13.1428571429
9022,4,2,16.5
9023,4,1,10.4
9024,4,1,14.75
9025,4,1,13.5
9026,4,2,23.75
9027,4,3,17.7692307692
9028,4,1,10.25
9029,4,2,38.5
9030,4,0,12.8
9031,4,1,28.0
9032,4,1,11.0
9033,4,1,26.2
9034,4,2,29.4
9035,4,3,17.7692307692
9036,4,0,18.0
9037,4,3,13.3
9038,4,1,12.0
9039,4,2,7.94117647059
9040,4,3,20.8571428571
9041,4,0,16.3333333333
9042,4,2,20.5714285714
9043,4,2,20.4
9044,4,1,21.25
9045,4,0,14.5
9046,4,1,30.6666666667
9047,4,1,11.6666666667
9048,4,0,9.66666666667
9049,4,2,14.5714285714
9050,4,1,10.5
9051,4,2,23.8
9052,4,3,27.25
9053,4,2,14.1666666667
9054,4,1,19.5
9055,4,1,12.5714285714
9056,4,0,25.6666666667
9057,4,2,28.0
9058,4,3,26.0
9059,4,0,7.8
9060,4,3,18.1818181818
9061,4,3,14.9285714286
9062,4,0,9.0
9063,4,1,17.0
9064,4,1,40.0
9065,4,1,9.2
9066,4,1,14.5
9067,4,1,12.6
9068,4,1,17.0
9069,4,3,19.75
9070,4,1,8.8
9071,4,2,13.7142857143
9072,4,0,21.0
9073,4,1,11.5714285714
9074,4,3,23.875
9075,4,3,20.1428571429
9076,4,0,9.0
9077,4,1,9.33333333333
9078,4,1,13.0
9079,4,2,12.7692307692
9080,4,1,13.0
9081,4,2,13.4
9082,4,2,14.875
9083,4,2,13.1111111111
9084,4,2,22.8571428571
9085,4,2,29.0
9086,4,1,5.0
9087,4,1,9.71428571429
9088,4,2,15.0
9089,4,2,22.5714285714
9090,4,1,19.6666666667
9091,4,2,19.1666666667
9092,4,0,11.5
9093,4,1,17.2
9094,4,1,13.5
9095,4,2,22.4
9096,4,2,15.25
9097,4,1,14.5
9098,4,3,18.5
9099,4,1,13.5
9100,4,1,12.1428571429
9101,4,1,16.0
9102,4,1,9.6
9103,4,2,20.4
9104,4,2,16.625
9105,4,1,13.6666666667
9106,4,3,30.0
9107,4,1,16.3333333333
9108,4,0,8.5
9109,4,0,30.0
9110,4,2,16.75
9111,4,2,15.3333333333
9112,4,2,12.5
9113,4,1,16.2
9114,4,3,16.75
9115,4,2,17.2857142857
9116,4,2,23.8
9117,4,2,13.75
9118,4,2,16.875
9119,4,1,11.4
9121,4,2,35.6666666667
9122,4,2,24.6666666667
9123,4,1,14.2
9124,4,0,32.5
9125,4,0,19.5
9126,4,1,10.25
9127,4,2,17.2857142857
9128,4,1,17.4285714286
9129,4,1,10.0
9130,4,0,12.0
9131,4,1,23.0
9132,4,3,21.7
9133,4,2,25.375
9134,4,3,17.0
9135,4,2,17.4285714286
9136,4,1,21.3333333333
9137,4,0,8.5
9138,4,3,14.4444444444
9139,4,1,21.6666666667
9140,4,0,16.6666666667
9141,4,1,40.0
9142,4,1,13.75
9143,4,1,14.6666666667
9144,4,1,16.2
9145,4,2,13.3333333333
9146,4,1,17.5
9147,4,2,19.1428571429
9148,4,1,12.6666666667
9149,4,2,27.6666666667
9150,4,1,14.5
9151,4,1,20.3333333333
9152,4,2,14.625
9153,4,2,16.375
9154,4,1,16.25
9155,4,0,12.6666666667
9156,4,2,12.4
9157,4,1,35.0
9158,4,3,24.4444444444
9159,4,0,14.8
9160,4,0,14.4
9161,4,3,21.0
9162,4,1,17.0
9163,4,2,21.0
9164,4,3,27.6666666667
9165,4,2,17.8333333333
9166,4,2,16.5714285714
9167,4,3,23.875
9168,4,2,13.5714285714
9169,4,0,14.3333333333
9170,4,3,15.75
9171,4,2,25.0
9172,4,1,11.5
9173,4,0,6.0
9174,4,1,19.25
9175,4,3,16.5
9176,4,1,21.5
9177,4,1,17.25
9178,4,2,18.25
9179,4,0,54.0
9180,4,1,6.14285714286
9181,4,0,10.125
9182,4,2,17.6
9183,4,1,46.0
9184,4,1,24.3333333333
9185,4,1,16.0
9186,4,1,31.0
9187,4,2,22.6666666667
9188,4,3,24.8571428571
9189,4,1,17.0
9190,4,3,24.1428571429
9191,4,1,15.0
9192,4,1,11.2
9193,4,2,15.25
9194,4,1,13.0
9195,4,1,25.6
9196,4,1,17.0
9197,4,1,25.0
9198,4,2,17.8
9199,4,3,22.8571428571
9200,4,1,13.2857142857
9201,4,1,15.8333333333
9202,4,0,11.1666666667
9203,4,0,20.5
9204,4,2,27.25
9205,4,1,22.6
9206,4,1,14.6666666667
9207,4,0,33.0
9208,4,2,18.1428571429
9209,4,1,13.5
9210,4,1,9.4
9211,4,2,18.125
9212,4,2,14.6666666667
9213,4,1,11.0
9214,4,1,24.8
9215,4,2,13.2222222222
9216,4,1,14.6
9217,4,3,11.0714285714
9218,4,1,13.6666666667
9219,4,2,23.8333333333
9220,4,3,19.625
9221,4,1,10.75
9222,4,2,20.9166666667
9223,4,2,17.7
9224,4,2,11.375
9225,4,1,16.6666666667
9226,4,0,13.5
9227,4,2,16.1666666667
9228,4,2,19.0
9229,4,2,19.1666666667
9230,4,2,23.5
9231,4,1,18.0
9232,4,1,15.0
9233,4,1,11.6
9234,4,0,9.75
9235,4,1,17.0
9236,4,2,12.5
9237,4,2,12.8888888889
9238,4,2,12.5
9239,4,2,20.3333333333
9240,4,1,12.6666666667
9241,4,1,19.0
9242,4,1,17.0
9243,4,2,26.0
9244,4,1,36.0
9245,4,1,19.0
9246,4,0,9.5
9247,4,3,8.21052631579
9248,4,2,15.75
9249,4,2,17.4285714286
9250,4,1,15.3333333333
9251,4,2,17.25
9252,4,1,12.25
9253,4,1,16.3333333333
9254,4,3,20.0
9255,4,3,23.5555555556
9256,4,2,15.1666666667
9257,4,3,15.25
9258,4,3,14.7
9259,4,2,11.0
9260,4,3,18.6
9261,4,1,15.0
9262,4,0,11.0
9263,4,3,12.0714285714
9264,4,3,13.9090909091
9265,4,1,17.0
9266,4,1,6.0
9267,4,1,25.25
9268,4,0,9.33333333333
9269,4,2,15.6666666667
9270,4,1,19.5
9271,4,1,20.25
9272,4,0,8.5
9273,4,0,13.4285714286
9274,4,2,45.0
9275,4,1,18.5
9276,4,1,24.75
9277,4,2,19.625
9278,4,2,11.0
9279,4,1,19.75
9280,4,1,11.0
9281,4,2,13.8888888889
9282,4,2,20.8333333333
9283,4,1,13.6
9284,4,1,6.6
9285,4,2,16.8
9286,4,0,8.4
9287,4,2,16.7142857143
9288,4,3,18.4444444444
9289,4,0,7.2
9290,4,2,17.8
9291,4,2,22.8333333333
9292,4,3,24.75
9293,4,0,20.75
9294,4,1,13.0
9295,4,2,17.1666666667
9296,4,1,23.0
9297,4,1,11.1428571429
9298,4,2,18.75
9299,4,1,12.3333333333
9300,4,1,13.8
9301,4,3,22.0
9302,4,1,18.7
9303,4,1,8.5
9304,4,3,16.4285714286
9305,4,0,14.7142857143
9306,4,2,19.4
9307,4,2,17.4285714286
9308,4,0,12.75
9309,4,2,21.5
9310,4,1,16.8
9311,4,0,14.3333333333
9312,4,2,23.125
9313,4,0,12.75
9314,4,0,8.33333333333
9315,4,2,16.875
9316,4,3,26.1666666667
9317,4,2,20.5
9318,4,0,15.0
9319,4,3,20.5555555556
9320,4,1,15.4
9321,4,1,9.28571428571
9322,4,0,12.3333333333
9323,4,1,15.5
9324,4,0,12.5
9325,4,3,20.6
9326,4,1,14.4
9327,4,3,16.0
9328,4,0,11.6666666667
9329,4,3,12.3076923077
9330,4,2,17.875
9331,4,2,10.3076923077
9332,4,2,20.4
9333,4,0,12.5
9334,4,1,13.0
9335,4,1,15.4
9336,4,2,20.2
9337,4,1,9.75
9338,4,1,16.0
9339,4,1,15.3333333333
9340,4,2,37.0
9341,4,3,21.4285714286
9342,4,2,16.8333333333
9343,4,1,13.25
9344,4,0,18.3333333333
9345,4,0,11.0
9346,4,3,13.6153846154
9347,4,2,14.125
9348,4,1,13.5
9349,4,0,25.25
9350,4,1,13.25
9351,4,0,15.6666666667
9352,4,2,20.2
9353,4,2,41.0
9354,4,2,15.0
9355,4,1,28.0
9356,4,1,34.0
9357,4,2,19.0
9358,4,0,11.8
9359,4,0,17.5
9360,4,1,14.5
9361,4,2,22.2
9362,4,3,18.5714285714
9363,4,2,12.3333333333
9364,4,2,19.0
9365,4,3,14.2857142857
9366,4,2,17.2
9367,4,3,25.8
9368,4,1,19.8
9369,4,1,25.0
9370,4,0,13.2
9371,4,2,10.0
9372,4,1,11.2
9373,4,1,9.66666666667
9374,4,1,14.8
9375,4,2,18.0
9376,4,2,11.8333333333
9377,4,1,13.0
9378,4,1,11.5
9379,4,2,15.6
9380,4,2,12.1
9381,4,0,29.6666666667
9382,4,2,22.25
9383,4,1,18.8
9384,4,1,14.2857142857
9385,4,1,21.3333333333
9386,4,2,14.5555555556
9387,4,2,12.3846153846
9388,4,1,19.25
9389,4,3,18.8181818182
9390,4,1,14.5
9391,4,2,21.8571428571
9392,4,2,20.8333333333
9393,4,0,26.0
9394,4,1,16.6666666667
9395,4,1,10.6
9396,4,0,13.0
9397,4,2,19.25
9398,4,1,15.4285714286
9399,4,2,14.8
9400,4,1,9.66666666667
9401,4,3,13.8571428571
9402,4,3,12.1
9403,4,2,22.6
9404,4,0,14.3333333333
9405,4,2,12.4444444444
9406,4,0,15.6666666667
9407,4,2,18.8888888889
9408,4,0,18.6666666667
9409,4,1,28.3333333333
9410,4,1,16.25
9411,4,0,8.75
9412,4,1,17.0
9413,4,0,4.0
9414,4,0,16.0
9415,4,0,11.6666666667
9416,4,3,20.1428571429
9417,4,1,17.6
9418,4,1,24.5
9419,4,2,16.8333333333
9420,4,3,17.75
9421,4,1,9.16666666667
9422,4,3,18.875
9423,4,3,23.3
9424,4,0,14.4
9425,4,2,29.0
9426,4,2,25.0
9427,4,1,10.6666666667
9428,4,2,18.625
9429,4,2,15.5
9430,4,3,17.3333333333
9431,4,1,14.8333333333
9432,4,2,19.8
9434,4,0,16.0
9435,4,1,11.5
9436,4,2,21.6666666667
9437,4,1,14.5
9438,4,3,23.1428571429
9439,4,2,33.0
9440,4,1,13.7142857143
9441,4,3,17.0
9442,4,3,16.9411764706
9443,4,1,26.3333333333
9444,4,2,14.1666666667
9445,4,1,15.75
9446,4,1,12.3333333333
9447,4,0,17.0
9448,4,2,14.6666666667
9449,4,2,12.5454545455
9450,4,1,11.0
9451,4,1,15.0
9452,4,2,17.25
9453,4,2,12.8571428571
9454,4,0,20.0
9455,4,0,14.0
9456,4,0,14.5
9457,4,3,15.5
9458,4,2,12.5
9459,4,2,19.1666666667
9460,4,2,21.4444444444
9461,4,1,21.4
9462,4,3,16.5454545455
9463,4,1,10.75
9464,4,0,10.6666666667
9465,4,1,11.75
9466,4,1,17.6363636364
9467,4,2,20.4
9468,4,1,22.3333333333
9469,4,1,15.4
9470,4,2,14.5714285714
9471,4,0,10.0
9472,4,1,18.4
9473,4,3,18.0
9474,4,1,21.6666666667
9475,4,0,15.25
9476,4,2,15.8666666667
9477,4,1,22.3333333333
9478,4,2,16.8571428571
9479,4,1,8.42857142857
9480,4,1,22.5
9481,4,1,31.5
9482,4,2,24.875
9483,4,2,28.2
9484,4,2,15.25
9485,4,3,17.25
9486,4,0,3.0
9487,4,2,19.0
9488,4,0,19.5
9489,4,2,16.8888888889
9490,4,0,12.5
9491,4,1,11.0
9492,4,0,52.5
9493,4,2,12.7
9494,4,2,14.8333333333
9495,4,1,14.0
9496,4,0,17.75
9497,4,2,18.4
9498,4,0,15.3333333333
9499,4,0,8.66666666667
9500,4,2,19.3333333333
9501,4,2,16.1428571429
9502,4,1,14.2
9503,4,2,16.0
9504,4,2,10.75
9505,4,2,16.25
9506,4,2,17.2
9507,4,2,19.1428571429
9508,4,2,15.7777777778
9509,4,0,13.0
9510,4,1,16.6666666667
9511,4,1,11.3333333333
9512,4,0,16.4
9513,4,3,13.625
9514,4,1,13.3333333333
9515,4,3,14.7857142857
9516,4,1,14.6
9517,4,1,16.6666666667
9518,4,0,15.6
9519,4,1,18.5
9520,4,1,11.2
9521,4,2,23.6666666667
9522,4,2,13.2857142857
9523,4,3,18.0
9524,4,1,13.25
9525,4,3,18.75
9526,4,2,11.75
9527,4,2,23.6666666667
9528,4,0,11.5
9529,4,1,14.8333333333
9530,4,2,30.6
9531,4,1,11.0
9532,4,1,18.5
9533,4,1,48.0
