id,set,human_score,misspell_words
14834,6,2,3
14835,6,3,4
14836,6,4,1
14837,6,1,17
14838,6,3,1
14839,6,4,4
14840,6,3,5
14841,6,3,10
14842,6,3,5
14843,6,3,1
14844,6,3,7
14845,6,4,15
14846,6,4,3
14847,6,3,10
14848,6,2,2
14849,6,3,9
14850,6,1,4
14851,6,3,3
14852,6,3,3
14853,6,2,0
14854,6,3,1
14855,6,4,8
14856,6,2,7
14857,6,4,2
14858,6,3,3
14859,6,2,9
14860,6,3,5
14861,6,3,4
14862,6,3,12
14863,6,3,1
14864,6,4,3
14865,6,3,5
14866,6,2,1
14867,6,2,2
14868,6,3,3
14869,6,2,3
14870,6,2,8
14871,6,3,2
14872,6,3,4
14873,6,2,0
14874,6,1,1
14875,6,3,12
14876,6,3,6
14877,6,2,0
14878,6,2,7
14879,6,3,6
14880,6,3,6
14881,6,4,7
14882,6,4,7
14883,6,3,8
14884,6,3,1
14885,6,2,11
14886,6,3,5
14887,6,3,5
14888,6,2,8
14889,6,3,6
14890,6,3,3
14891,6,1,5
14892,6,3,5
14893,6,2,6
14894,6,4,2
14895,6,2,11
14896,6,4,7
14897,6,3,4
14898,6,4,7
14899,6,1,0
14900,6,3,5
14901,6,1,1
14902,6,4,1
14903,6,3,4
14904,6,3,15
14905,6,1,0
14906,6,3,9
14907,6,3,3
14908,6,2,5
14909,6,3,2
14910,6,3,0
14911,6,1,3
14912,6,3,4
14913,6,3,7
14914,6,3,14
14915,6,3,1
14916,6,3,2
14917,6,3,4
14918,6,3,5
14919,6,2,3
14920,6,3,2
14921,6,3,8
14922,6,3,1
14923,6,3,0
14924,6,3,7
14925,6,3,13
14926,6,3,11
14927,6,2,3
14928,6,2,11
14929,6,2,10
14930,6,4,2
14931,6,2,5
14932,6,3,3
14933,6,4,3
14934,6,4,6
14935,6,3,0
14936,6,3,1
14937,6,1,8
14938,6,3,5
14939,6,0,9
14940,6,3,5
14941,6,3,9
14942,6,3,10
14943,6,3,4
14944,6,4,8
14945,6,2,2
14946,6,3,5
14947,6,3,7
14948,6,2,3
14949,6,1,8
14950,6,3,2
14951,6,0,4
14952,6,2,2
14953,6,3,7
14954,6,2,5
14955,6,3,5
14956,6,4,15
14957,6,0,0
14958,6,2,0
14959,6,3,13
14960,6,3,10
14961,6,3,11
14962,6,2,7
14963,6,4,3
14964,6,2,8
14965,6,2,1
14966,6,3,9
14967,6,4,3
14968,6,3,5
14969,6,2,1
14970,6,3,5
14971,6,3,2
14972,6,4,3
14973,6,1,2
14974,6,3,2
14975,6,3,16
14976,6,3,5
14977,6,3,4
14978,6,4,15
14979,6,1,6
14980,6,3,7
14981,6,3,5
14982,6,4,9
14983,6,2,3
14984,6,3,5
14985,6,0,6
14986,6,3,0
14987,6,4,2
14988,6,3,7
14989,6,3,3
14990,6,4,9
14991,6,3,2
14992,6,3,2
14993,6,2,2
14994,6,3,4
14995,6,4,5
