id,set,human_score,sentence_count
2978,2,4,22
2979,2,1,4
2980,2,2,11
2981,2,4,32
2982,2,4,34
2983,2,4,25
2984,2,5,20
2985,2,2,35
2986,2,4,19
2987,2,4,20
2988,2,3,16
2989,2,3,19
2990,2,5,28
2991,2,3,13
2992,2,3,5
2993,2,3,18
2994,2,4,40
2995,2,3,11
2996,2,1,6
2997,2,3,22
2998,2,3,12
2999,2,3,19
3000,2,3,10
3001,2,4,19
3002,2,3,24
3003,2,4,18
3004,2,4,11
3005,2,2,6
3006,2,3,14
3007,2,3,20
3008,2,4,39
3009,2,3,16
3010,2,3,8
3011,2,4,22
3012,2,3,18
3013,2,4,26
3014,2,4,18
3015,2,3,19
3016,2,3,18
3017,2,4,23
3018,2,3,21
3019,2,4,21
3020,2,4,40
3021,2,4,25
3022,2,4,24
3023,2,4,16
3024,2,4,29
3025,2,3,11
3026,2,4,17
3027,2,3,19
3028,2,5,26
3029,2,3,19
3030,2,4,25
3031,2,3,13
3032,2,4,21
3033,2,4,44
3034,2,4,33
3035,2,2,8
3036,2,3,12
3037,2,4,27
3038,2,2,5
3039,2,3,8
3040,2,3,15
3041,2,4,43
3042,2,4,19
3043,2,3,21
3044,2,3,15
3045,2,4,27
3046,2,3,13
3047,2,3,15
3048,2,3,38
3049,2,4,18
3050,2,2,27
3051,2,4,22
3052,2,4,21
3053,2,3,17
3054,2,3,16
3055,2,3,15
3056,2,3,16
3057,2,3,8
3058,2,3,22
3059,2,3,18
3060,2,4,20
3061,2,3,14
3062,2,3,22
3063,2,4,14
3064,2,3,16
3065,2,3,9
3066,2,1,2
3067,2,4,23
3068,2,2,16
3069,2,4,34
3070,2,3,13
3071,2,4,17
3072,2,4,38
3073,2,4,52
3074,2,4,23
3075,2,4,25
3076,2,3,21
3077,2,5,30
3078,2,3,18
3079,2,3,19
3080,2,4,32
3081,2,4,17
3082,2,3,16
3083,2,3,15
3084,2,3,25
3085,2,3,13
3086,2,2,9
3087,2,2,5
3088,2,3,26
3089,2,3,12
3090,2,3,26
3091,2,2,9
3092,2,3,8
3093,2,3,14
3094,2,4,13
3095,2,2,6
3096,2,1,11
3097,2,3,23
3098,2,3,13
3099,2,4,23
3100,2,3,17
3101,2,3,12
3102,2,3,17
3103,2,3,18
3104,2,5,40
3105,2,3,14
3106,2,4,27
3107,2,3,16
3108,2,3,13
3109,2,3,21
3110,2,3,12
3111,2,3,16
3112,2,3,12
3113,2,3,16
3114,2,4,27
3115,2,4,14
3116,2,3,15
3117,2,3,15
3118,2,2,9
3119,2,4,26
3120,2,3,24
3121,2,4,17
3122,2,4,16
3123,2,4,15
3124,2,4,23
3125,2,4,30
3126,2,4,20
3127,2,3,23
3128,2,4,24
3129,2,4,27
3130,2,4,19
3131,2,4,12
3132,2,3,22
3133,2,4,26
3134,2,4,26
3135,2,3,10
3136,2,4,21
3137,2,3,22
3138,2,4,18
3139,2,3,17
3140,2,4,14
3141,2,3,29
3142,2,4,16
3143,2,3,14
3144,2,4,17
3145,2,4,34
3146,2,3,10
3147,2,2,6
3148,2,3,10
3149,2,3,17
3150,2,4,27
3151,2,3,21
3152,2,4,17
3153,2,4,39
3154,2,3,7
