id,set,human_score,word_count
17834,7,15,90
17836,7,13,94
17837,7,15,154
17838,7,17,217
17839,7,13,151
17840,7,23,336
17841,7,16,170
17842,7,18,126
17843,7,12,359
17844,7,10,88
17845,7,16,176
17846,7,19,116
17847,7,17,187
17849,7,14,165
17850,7,12,165
17851,7,16,168
17852,7,17,226
17853,7,16,92
17854,7,21,182
17856,7,14,139
17857,7,18,153
17858,7,24,196
17859,7,17,185
17860,7,16,188
17861,7,16,140
17862,7,9,103
17863,7,6,51
17864,7,10,105
17865,7,17,269
17867,7,16,175
17868,7,15,331
17869,7,11,112
17870,7,19,128
17871,7,24,381
17872,7,18,157
17873,7,16,201
17874,7,20,169
17875,7,12,177
17876,7,19,222
17878,7,10,122
17879,7,7,44
17880,7,16,110
17881,7,12,185
17882,7,12,73
17883,7,20,216
17884,7,24,222
17885,7,9,132
17886,7,9,66
17887,7,20,250
17888,7,16,195
17889,7,8,130
17890,7,15,125
17891,7,20,64
17892,7,17,166
17893,7,18,91
17894,7,13,44
17896,7,12,306
17897,7,20,174
17898,7,16,194
17899,7,24,592
17900,7,16,157
17901,7,10,90
17902,7,17,237
17903,7,12,83
17904,7,17,112
17905,7,8,77
17906,7,22,164
17908,7,24,190
17909,7,21,200
17910,7,19,229
17911,7,19,179
17912,7,12,170
17913,7,16,112
17914,7,12,112
17915,7,15,117
17916,7,9,87
17917,7,8,105
17918,7,14,133
17919,7,23,256
17920,7,14,63
17921,7,10,213
17922,7,17,128
17923,7,21,203
17924,7,24,295
17926,7,21,291
17927,7,6,119
17928,7,12,172
17930,7,21,224
17931,7,24,184
17932,7,24,315
17933,7,15,95
17935,7,14,124
17936,7,9,48
17937,7,9,65
17938,7,9,312
17939,7,22,247
17940,7,8,80
17941,7,15,137
17942,7,20,116
17943,7,10,167
17944,7,18,150
17945,7,18,129
17946,7,14,76
17947,7,23,328
17949,7,6,93
17950,7,11,64
17951,7,9,65
17952,7,21,203
17953,7,16,152
17954,7,11,160
17955,7,20,145
17957,7,8,80
17959,7,7,84
17961,7,17,166
17962,7,14,150
17963,7,22,465
17964,7,21,154
17965,7,12,167
17966,7,18,188
17967,7,12,302
17968,7,19,139
17969,7,16,121
17970,7,11,56
17971,7,18,248
17973,7,15,142
17974,7,17,204
17975,7,16,211
17976,7,9,115
17977,7,16,73
17978,7,9,76
17979,7,17,135
17980,7,24,196
17981,7,11,145
17982,7,9,91
17983,7,18,145
17984,7,18,151
17985,7,14,109
17986,7,17,261
17987,7,18,213
17988,7,15,109
17989,7,13,76
17990,7,11,203
17991,7,24,331
17992,7,7,29
17993,7,17,155
17996,7,11,86
17997,7,16,198
17998,7,17,163
18000,7,22,295
18001,7,12,67
18002,7,12,209
18004,7,16,179
18005,7,20,235
18006,7,16,208
18008,7,15,134
18011,7,8,87
18012,7,17,196
18013,7,13,161
18014,7,20,144
18015,7,14,259
18016,7,24,271
18017,7,17,211
18018,7,12,70
18019,7,20,280
18020,7,13,107
18021,7,16,103
18022,7,18,296
18023,7,12,163
18025,7,21,217
18026,7,19,129
18028,7,23,197
18029,7,17,192
18030,7,21,272
18031,7,9,73
18032,7,15,99
18033,7,12,85
18034,7,24,421
18035,7,16,77
18036,7,8,51
18037,7,13,91
18038,7,21,175
18039,7,16,130
18040,7,9,60
18041,7,17,87
18042,7,16,126
18043,7,7,71
18044,7,16,144
18045,7,19,295
18046,7,8,96
18047,7,22,222
18048,7,18,108
18049,7,18,241
18050,7,8,67
18051,7,18,173
18052,7,17,208
18053,7,24,217
18054,7,12,156
18055,7,16,162
18056,7,22,317
18057,7,14,126
18058,7,18,158
18060,7,8,94
18061,7,15,217
18062,7,17,138
18064,7,17,149
18065,7,14,190
18066,7,23,205
18067,7,17,117
18068,7,24,305
18070,7,20,113
18071,7,16,215
18072,7,15,154
18073,7,18,160
18074,7,17,262
18075,7,16,158
18076,7,13,223
18077,7,18,250
18078,7,19,145
18079,7,22,365
18080,7,8,173
18081,7,23,173
18082,7,14,139
18083,7,14,112
18084,7,15,143
18086,7,15,102
18087,7,19,165
18088,7,6,26
18089,7,21,200
18090,7,16,334
18091,7,7,47
18092,7,16,88
18093,7,14,104
18094,7,17,150
18095,7,15,195
18096,7,16,150
18097,7,17,123
18098,7,22,235
18099,7,17,200
18100,7,18,292
18102,7,13,53
18103,7,11,174
18105,7,17,159
18106,7,16,264
18107,7,13,171
18108,7,11,104
18109,7,8,39
18110,7,20,386
18112,7,17,92
18114,7,18,155
18115,7,15,163
18116,7,20,184
18117,7,19,146
18118,7,10,239
18119,7,16,295
18120,7,18,148
18121,7,14,157
18123,7,12,103
18124,7,15,164
18126,7,6,44
18127,7,18,275
18128,7,17,133
18129,7,13,122
18130,7,17,124
18131,7,15,89
18132,7,18,211
18133,7,13,27
18134,7,12,160
18135,7,12,130
18136,7,14,58
18137,7,15,95
18138,7,12,372
18140,7,18,134
18141,7,15,328
18142,7,21,316
18143,7,13,166
18144,7,16,126
18146,7,21,278
18147,7,16,121
18148,7,18,197
18149,7,10,30
18150,7,14,123
18151,7,16,149
18152,7,6,27
18153,7,24,302
18154,7,13,61
18156,7,18,108
18159,7,18,138
18160,7,23,200
18161,7,4,102
18162,7,19,277
18163,7,16,131
18164,7,19,194
18165,7,17,272
18166,7,17,182
18167,7,7,43
18168,7,17,133
18169,7,13,345
18170,7,14,216
18171,7,17,127
18172,7,23,283
18173,7,14,122
18174,7,23,292
18175,7,22,429
18177,7,13,74
18178,7,22,366
18179,7,5,39
18180,7,17,117
18181,7,17,161
18182,7,17,205
18183,7,16,170
18184,7,6,43
18185,7,13,117
18186,7,14,211
18187,7,21,304
18189,7,22,239
18190,7,14,121
18191,7,16,101
18192,7,20,162
18193,7,15,126
18194,7,13,184
18195,7,9,318
18196,7,8,121
18197,7,16,124
18198,7,20,248
18200,7,19,285
18201,7,21,179
18202,7,21,200
18203,7,7,27
18205,7,20,256
18206,7,16,128
18207,7,12,244
18208,7,17,122
18209,7,16,174
18210,7,18,154
18211,7,17,222
18212,7,14,114
18213,7,22,220
18215,7,8,117
18217,7,17,130
18218,7,16,148
18219,7,7,165
18220,7,21,203
18221,7,8,33
18222,7,24,238
18223,7,20,140
18225,7,19,154
18226,7,21,237
18227,7,18,216
18228,7,12,132
18229,7,24,293
18230,7,17,239
18231,7,23,178
18232,7,20,201
18233,7,10,101
18234,7,21,173
18235,7,18,360
18236,7,20,137
18237,7,18,130
18238,7,16,101
18239,7,7,53
18240,7,16,150
18241,7,20,203
18242,7,16,111
18243,7,24,473
18244,7,14,191
18245,7,9,85
18246,7,17,152
18247,7,10,194
18248,7,11,110
18249,7,13,150
18250,7,23,296
18251,7,11,101
18252,7,14,221
18253,7,12,75
18254,7,17,118
18255,7,20,189
18256,7,22,253
18257,7,20,242
18258,7,9,91
18259,7,9,87
18260,7,13,154
18261,7,20,309
18262,7,14,156
18263,7,11,87
18264,7,16,174
18265,7,15,103
18266,7,21,331
18267,7,11,59
18268,7,8,44
18269,7,14,84
18271,7,20,238
18272,7,11,169
18273,7,18,171
18275,7,20,333
18276,7,18,144
18277,7,18,190
18278,7,13,44
18279,7,23,282
18280,7,16,95
18281,7,24,230
18282,7,20,179
18283,7,20,221
18284,7,11,149
18285,7,16,93
18286,7,20,151
18287,7,18,164
18288,7,10,164
18289,7,17,200
18290,7,10,87
18291,7,22,192
18292,7,16,97
18293,7,11,94
18294,7,16,333
18295,7,16,115
18296,7,8,41
18297,7,21,397
18298,7,16,93
18300,7,13,131
18301,7,14,97
18302,7,16,400
18303,7,18,169
18304,7,13,152
18305,7,18,148
18306,7,10,158
18307,7,19,110
18308,7,12,309
18309,7,17,131
18310,7,7,148
18311,7,24,334
18312,7,21,248
18314,7,24,259
18317,7,16,138
18318,7,14,92
18319,7,24,419
18320,7,12,101
18321,7,14,75
18322,7,17,169
18324,7,24,229
18325,7,13,71
18326,7,11,279
18327,7,17,215
18329,7,14,222
18330,7,6,57
18331,7,10,63
18332,7,22,255
18333,7,16,134
18334,7,16,256
18335,7,16,228
18336,7,19,131
18337,7,21,188
18338,7,20,195
18339,7,24,291
18340,7,16,257
18341,7,22,118
18342,7,16,153
18343,7,13,150
18344,7,16,251
18345,7,19,172
18346,7,17,184
18347,7,14,48
18348,7,5,11
18349,7,19,169
18350,7,12,85
18352,7,17,84
18353,7,17,226
18354,7,11,41
18355,7,7,92
18356,7,17,163
18357,7,16,142
18358,7,15,97
18361,7,9,65
18362,7,24,295
18363,7,24,245
18364,7,14,98
18365,7,12,57
18366,7,16,93
18367,7,18,97
18368,7,15,183
18369,7,20,240
18370,7,8,43
18371,7,18,219
18373,7,14,79
18374,7,8,49
18375,7,8,63
18376,7,13,157
18377,7,24,296
18378,7,18,236
18379,7,11,112
18380,7,18,219
18381,7,20,78
18383,7,11,84
18384,7,13,70
18386,7,23,265
18387,7,17,194
18388,7,22,264
18389,7,17,245
18390,7,16,174
18391,7,19,204
18392,7,15,240
18393,7,20,138
18394,7,16,79
18395,7,24,257
18396,7,17,181
18398,7,19,176
18399,7,22,273
18401,7,18,205
18402,7,8,180
18403,7,12,119
18404,7,16,95
18405,7,14,123
18406,7,18,242
18407,7,21,215
18408,7,24,298
18409,7,14,72
18411,7,10,100
18412,7,14,136
18413,7,18,191
18414,7,8,42
18415,7,14,163
18416,7,19,127
18417,7,10,143
18418,7,18,102
18419,7,23,313
18421,7,14,152
18422,7,23,238
18423,7,18,168
18424,7,17,92
18426,7,10,42
18427,7,16,120
18428,7,14,220
18429,7,15,166
18430,7,19,181
18432,7,15,124
18433,7,19,193
18434,7,17,196
18435,7,18,194
18436,7,8,89
18438,7,22,266
18441,7,8,44
18442,7,23,192
18444,7,12,71
18445,7,9,145
18446,7,7,138
18448,7,19,344
18449,7,16,160
18450,7,20,151
18451,7,18,197
18453,7,16,127
18454,7,24,270
18455,7,7,46
18456,7,11,225
18458,7,21,148
18459,7,18,309
18460,7,15,79
18461,7,12,100
18463,7,6,102
18464,7,16,174
18465,7,18,243
18466,7,12,102
18467,7,21,283
18468,7,10,87
18471,7,20,232
18472,7,14,145
18473,7,24,225
18474,7,22,316
18475,7,18,185
18476,7,20,342
18477,7,22,247
18478,7,14,93
18479,7,23,226
18480,7,17,97
18481,7,9,43
18482,7,24,252
18484,7,12,82
18485,7,16,118
18488,7,9,75
18489,7,21,291
18490,7,14,82
18491,7,16,177
18492,7,17,87
18494,7,18,224
18495,7,16,146
18496,7,6,55
18497,7,18,255
18498,7,18,281
18499,7,24,344
18500,7,20,117
18501,7,9,110
18502,7,17,212
18503,7,16,121
18504,7,5,35
18505,7,13,102
18506,7,12,63
18507,7,22,191
18508,7,18,96
18509,7,11,71
18510,7,16,226
18511,7,7,82
