id,set,human_score,word_10
11827,5,2,6
11828,5,2,7
11829,5,3,5
11830,5,1,2
11831,5,3,7
11832,5,3,6
11833,5,3,9
11834,5,4,9
11835,5,3,8
11836,5,3,6
11837,5,1,1
11838,5,1,8
11839,5,1,4
11840,5,1,3
11841,5,2,6
11842,5,2,3
11843,5,4,7
11844,5,3,4
11845,5,2,6
11846,5,2,5
11847,5,4,9
11848,5,2,7
11849,5,2,7
11850,5,4,9
11851,5,2,5
11852,5,2,7
11853,5,2,5
11854,5,1,2
11855,5,3,7
11856,5,4,6
11857,5,4,11
11858,5,3,3
11859,5,2,6
11860,5,3,6
11861,5,3,5
11862,5,3,6
11863,5,3,7
11864,5,2,6
11865,5,3,8
11866,5,4,11
11867,5,2,4
11868,5,3,4
11869,5,3,7
11870,5,2,4
11871,5,1,2
11872,5,3,4
11873,5,3,7
11874,5,3,7
11875,5,3,7
11876,5,2,3
11877,5,2,2
11878,5,3,9
11879,5,2,4
11880,5,1,2
11881,5,3,6
11882,5,3,7
11883,5,3,8
11884,5,4,12
11885,5,2,3
11886,5,3,10
11887,5,2,4
11888,5,1,2
11889,5,2,5
11890,5,2,4
11891,5,3,8
11892,5,2,5
11893,5,3,7
11894,5,2,6
11895,5,3,7
11896,5,3,7
11897,5,3,5
11898,5,3,5
11899,5,3,6
11900,5,3,10
11901,5,3,7
11902,5,1,4
11903,5,1,1
11904,5,3,7
11905,5,3,5
11906,5,4,7
11907,5,2,3
11908,5,3,3
11909,5,2,4
11910,5,1,3
11911,5,3,8
11912,5,2,3
11913,5,2,6
11914,5,1,4
11915,5,2,4
11916,5,3,6
11917,5,2,5
11918,5,2,3
11919,5,1,3
11920,5,3,7
11921,5,3,5
11922,5,2,5
11923,5,2,6
11924,5,2,4
11925,5,2,4
11926,5,1,4
11927,5,2,4
11928,5,3,8
11929,5,2,6
11930,5,2,3
11931,5,3,5
11932,5,4,13
11933,5,3,7
11934,5,3,7
11935,5,1,1
11936,5,2,7
11937,5,4,10
11938,5,3,5
11939,5,3,9
11940,5,2,5
11941,5,3,6
11942,5,3,5
11943,5,3,7
11944,5,2,2
11945,5,4,9
11946,5,3,4
11947,5,2,7
11948,5,2,3
11949,5,3,6
11950,5,1,3
11951,5,3,7
11952,5,1,2
11953,5,1,2
11954,5,4,12
11955,5,1,2
11956,5,2,6
11957,5,4,7
11958,5,2,3
11959,5,2,5
11960,5,3,6
11961,5,1,3
11962,5,3,5
11963,5,4,13
11964,5,3,7
11965,5,3,5
11966,5,1,5
11967,5,2,1
11968,5,2,8
11969,5,2,3
11970,5,4,8
11971,5,1,2
11972,5,3,8
11973,5,2,9
11974,5,2,4
11975,5,4,6
11976,5,1,2
11977,5,1,1
11978,5,3,8
11979,5,4,7
11980,5,4,10
11981,5,2,5
11982,5,2,4
11983,5,1,2
11984,5,2,4
11985,5,4,8
11986,5,4,10
11987,5,2,5
11988,5,3,7
11989,5,3,9
11990,5,4,6
11991,5,3,7
11992,5,2,3
11993,5,1,2
11994,5,2,6
11995,5,1,1
11996,5,2,5
11997,5,4,7
11998,5,1,1
11999,5,3,2
12000,5,2,5
12001,5,2,4
12002,5,1,2
12003,5,3,6
12004,5,2,7
12005,5,3,7
12006,5,1,5
12007,5,3,5
12008,5,3,6
12009,5,2,4
12010,5,2,4
12011,5,3,9
12012,5,2,6
12013,5,1,2
12014,5,3,7
12015,5,2,5
12016,5,3,6
12017,5,1,3
12018,5,4,10
12019,5,2,4
12020,5,3,9
12021,5,3,5
12022,5,2,6
12023,5,1,2
12024,5,3,5
12025,5,2,5
12026,5,2,5
12027,5,2,4
12028,5,4,8
12029,5,2,4
12030,5,3,5
12031,5,4,8
12032,5,1,3
12033,5,3,8
12034,5,3,5
12035,5,2,5
12036,5,1,4
12037,5,3,5
12038,5,2,4
12039,5,2,4
12040,5,1,4
12041,5,1,1
12042,5,3,4
12043,5,1,1
12044,5,3,7
12045,5,2,4
12046,5,1,2
12047,5,2,12
12048,5,2,3
12049,5,4,9
12050,5,0,1
12051,5,2,5
12052,5,4,6
12053,5,0,1
12054,5,3,7
12055,5,2,5
12056,5,3,7
12057,5,1,3
12058,5,3,8
12059,5,2,5
12060,5,3,7
12061,5,2,3
12062,5,3,5
12063,5,2,7
12064,5,3,4
12065,5,2,5
12066,5,0,0
12067,5,2,4
12068,5,3,6
12069,5,4,10
12070,5,2,4
12071,5,3,8
12072,5,4,10
12073,5,2,1
12074,5,2,3
12075,5,3,6
12076,5,2,5
12077,5,3,6
12078,5,1,2
12079,5,3,7
12080,5,4,6
12081,5,4,11
12082,5,3,5
12083,5,1,2
12084,5,3,5
12085,5,3,6
12086,5,3,8
12087,5,1,1
12088,5,2,5
12089,5,1,3
12090,5,4,10
12091,5,3,6
12092,5,1,1
12093,5,2,4
12094,5,2,3
12095,5,1,3
12096,5,1,3
12097,5,1,4
12098,5,1,3
12099,5,3,6
12100,5,4,9
12101,5,4,7
12102,5,4,7
12103,5,3,6
12104,5,2,5
12105,5,3,5
12106,5,3,6
12107,5,2,5
12108,5,3,7
12109,5,3,7
12110,5,4,8
12111,5,1,3
12112,5,4,4
12113,5,1,1
12114,5,2,4
12115,5,1,3
12116,5,3,8
12117,5,2,4
12118,5,2,4
12119,5,2,5
12120,5,3,9
12121,5,1,2
12122,5,2,5
12123,5,2,5
12124,5,2,5
12125,5,4,8
12126,5,4,12
12127,5,4,7
12128,5,4,8
12129,5,2,1
12130,5,2,1
12131,5,3,7
12132,5,3,8
12133,5,3,6
12134,5,2,4
12135,5,1,3
12136,5,1,1
12137,5,2,3
12138,5,2,2
12139,5,4,7
12140,5,2,4
12141,5,3,5
12142,5,3,8
12143,5,1,1
12144,5,4,7
12145,5,1,0
12146,5,2,2
12147,5,3,2
12148,5,3,9
12149,5,1,1
12150,5,3,8
