id,set,human_score,sentence_count
8863,4,0,4
8864,4,0,2
8865,4,3,6
8866,4,2,7
8867,4,2,10
8868,4,1,6
8869,4,0,4
8870,4,2,5
8871,4,1,3
8872,4,2,9
8873,4,2,9
8874,4,0,2
8875,4,1,2
8876,4,2,8
8877,4,0,4
8878,4,1,3
8879,4,2,7
8880,4,1,3
8881,4,3,10
8882,4,1,3
8883,4,1,3
8884,4,1,3
8885,4,3,6
8886,4,1,3
8887,4,2,5
8888,4,2,14
8889,4,1,6
8890,4,2,7
8891,4,3,7
8892,4,1,6
8893,4,2,6
8894,4,1,8
8895,4,3,10
8896,4,2,7
8897,4,1,4
8898,4,2,7
8899,4,0,3
8900,4,2,9
8901,4,0,4
8902,4,3,7
8903,4,3,9
8904,4,2,5
8905,4,2,11
8906,4,2,10
8907,4,0,2
8908,4,1,9
8909,4,2,8
8910,4,1,5
8911,4,3,9
8912,4,1,6
8913,4,1,3
8914,4,2,17
8915,4,2,6
8916,4,0,8
8917,4,0,3
8918,4,1,7
8919,4,3,8
8920,4,0,3
8921,4,2,6
8922,4,2,7
8923,4,3,8
8924,4,2,7
8925,4,1,5
8926,4,1,2
8927,4,0,4
8928,4,1,8
8929,4,1,4
8930,4,0,4
8931,4,3,5
8932,4,1,2
8933,4,2,3
8934,4,1,4
8935,4,2,7
8936,4,1,4
8937,4,1,8
8938,4,1,2
8939,4,3,11
8940,4,2,8
8941,4,3,10
8942,4,1,5
8943,4,1,5
8944,4,1,7
8945,4,2,3
8946,4,3,6
8947,4,0,5
8948,4,3,10
8949,4,0,2
8950,4,1,9
8951,4,2,6
8952,4,1,5
8953,4,1,3
8954,4,3,7
8955,4,3,8
8956,4,1,3
8957,4,2,8
8958,4,0,5
8959,4,3,9
8960,4,1,7
8961,4,1,7
8962,4,2,7
8963,4,1,4
8964,4,0,2
8965,4,2,4
8966,4,1,4
8967,4,2,5
8968,4,2,4
8969,4,2,13
8970,4,1,5
8971,4,1,5
8972,4,2,6
8973,4,3,9
8974,4,3,7
8975,4,0,4
8976,4,0,3
8977,4,2,6
8978,4,0,1
8979,4,3,13
8980,4,1,4
8981,4,3,12
8982,4,1,3
8983,4,2,6
8984,4,1,2
8985,4,1,5
8986,4,2,3
8987,4,2,6
8988,4,2,11
8989,4,1,3
8990,4,3,11
8991,4,0,2
8992,4,0,3
8993,4,0,4
8994,4,0,2
8995,4,2,6
8996,4,2,6
8997,4,1,3
8998,4,3,8
8999,4,1,5
9000,4,1,5
9001,4,2,9
9002,4,2,3
9003,4,2,12
9004,4,3,5
9005,4,3,7
9006,4,3,5
9007,4,2,8
9008,4,2,5
9009,4,2,8
9010,4,1,3
9011,4,2,7
9012,4,1,4
9013,4,1,6
9014,4,2,9
9015,4,1,4
9016,4,3,8
9017,4,2,7
9018,4,2,5
9019,4,3,11
9020,4,0,2
9021,4,2,7
9022,4,2,6
9023,4,1,5
9024,4,1,4
9025,4,1,2
9026,4,2,4
9027,4,3,13
9028,4,1,4
9029,4,2,4
9030,4,0,5
9031,4,1,3
9032,4,1,2
9033,4,1,5
9034,4,2,5
9035,4,3,13
9036,4,0,4
9037,4,3,10
9038,4,1,3
9039,4,2,17
9040,4,3,7
9041,4,0,3
9042,4,2,7
9043,4,2,5
9044,4,1,12
9045,4,0,4
9046,4,1,3
9047,4,1,3
9048,4,0,3
9049,4,2,7
9050,4,1,6
9051,4,2,5
9052,4,3,4
9053,4,2,6
9054,4,1,4
9055,4,1,7
9056,4,0,3
9057,4,2,3
9058,4,3,7
9059,4,0,5
9060,4,3,11
9061,4,3,14
9062,4,0,2
9063,4,1,2
9064,4,1,3
9065,4,1,5
9066,4,1,8
9067,4,1,5
9068,4,1,3
9069,4,3,8
9070,4,1,5
9071,4,2,7
9072,4,0,3
9073,4,1,7
9074,4,3,8
9075,4,3,7
9076,4,0,2
9077,4,1,6
9078,4,1,4
9079,4,2,13
9080,4,1,4
9081,4,2,5
9082,4,2,8
9083,4,2,9
9084,4,2,7
9085,4,2,5
9086,4,1,2
9087,4,1,7
9088,4,2,7
9089,4,2,7
9090,4,1,3
9091,4,2,6
9092,4,0,2
9093,4,1,5
9094,4,1,2
9095,4,2,5
9096,4,2,8
9097,4,1,4
9098,4,3,8
9099,4,1,4
9100,4,1,7
9101,4,1,2
9102,4,1,5
9103,4,2,5
9104,4,2,8
9105,4,1,6
9106,4,3,5
9107,4,1,3
9108,4,0,2
9109,4,0,2
9110,4,2,8
9111,4,2,6
9112,4,2,10
9113,4,1,5
9114,4,3,12
9115,4,2,7
9116,4,2,5
9117,4,2,8
9118,4,2,8
9119,4,1,5
9121,4,2,3
9122,4,2,6
9123,4,1,5
9124,4,0,2
9125,4,0,4
9126,4,1,4
9127,4,2,7
9128,4,1,7
9129,4,1,3
9130,4,0,3
9131,4,1,4
9132,4,3,10
9133,4,2,8
9134,4,3,11
9135,4,2,7
9136,4,1,3
9137,4,0,2
9138,4,3,9
9139,4,1,3
9140,4,0,6
9141,4,1,2
9142,4,1,4
9143,4,1,3
9144,4,1,5
9145,4,2,9
9146,4,1,6
9147,4,2,7
9148,4,1,3
9149,4,2,6
9150,4,1,4
9151,4,1,3
9152,4,2,8
9153,4,2,8
9154,4,1,4
9155,4,0,3
9156,4,2,5
9157,4,1,1
9158,4,3,9
9159,4,0,5
9160,4,0,5
9161,4,3,6
9162,4,1,3
9163,4,2,8
9164,4,3,6
9165,4,2,6
9166,4,2,7
9167,4,3,8
9168,4,2,7
9169,4,0,3
9170,4,3,16
9171,4,2,6
9172,4,1,4
9173,4,0,2
9174,4,1,4
9175,4,3,10
9176,4,1,2
9177,4,1,4
9178,4,2,4
9179,4,0,1
9180,4,1,14
9181,4,0,8
9182,4,2,5
9183,4,1,1
9184,4,1,3
9185,4,1,4
9186,4,1,2
9187,4,2,3
9188,4,3,7
9189,4,1,2
9190,4,3,7
9191,4,1,6
9192,4,1,5
9193,4,2,4
9194,4,1,5
9195,4,1,5
9196,4,1,4
9197,4,1,4
9198,4,2,15
9199,4,3,7
9200,4,1,7
9201,4,1,6
9202,4,0,6
9203,4,0,2
9204,4,2,4
9205,4,1,5
9206,4,1,3
9207,4,0,1
9208,4,2,7
9209,4,1,2
9210,4,1,5
9211,4,2,8
9212,4,2,9
9213,4,1,3
9214,4,1,5
9215,4,2,9
9216,4,1,5
9217,4,3,14
9218,4,1,3
9219,4,2,6
9220,4,3,8
9221,4,1,4
9222,4,2,12
9223,4,2,10
9224,4,2,8
9225,4,1,3
9226,4,0,2
9227,4,2,6
9228,4,2,5
9229,4,2,6
9230,4,2,4
9231,4,1,2
9232,4,1,6
9233,4,1,5
9234,4,0,4
9235,4,1,6
9236,4,2,10
9237,4,2,9
9238,4,2,8
9239,4,2,3
9240,4,1,6
9241,4,1,2
9242,4,1,4
9243,4,2,6
9244,4,1,3
9245,4,1,2
9246,4,0,4
9247,4,3,19
9248,4,2,8
9249,4,2,7
9250,4,1,3
9251,4,2,8
9252,4,1,4
9253,4,1,3
9254,4,3,7
9255,4,3,9
9256,4,2,6
9257,4,3,12
9258,4,3,10
9259,4,2,7
9260,4,3,10
9261,4,1,2
9262,4,0,4
9263,4,3,14
9264,4,3,11
9265,4,1,4
9266,4,1,3
9267,4,1,4
9268,4,0,3
9269,4,2,6
9270,4,1,2
9271,4,1,4
9272,4,0,2
9273,4,0,7
9274,4,2,2
9275,4,1,2
9276,4,1,4
9277,4,2,8
9278,4,2,6
9279,4,1,12
9280,4,1,6
9281,4,2,9
9282,4,2,6
9283,4,1,5
9284,4,1,5
9285,4,2,5
9286,4,0,5
9287,4,2,7
9288,4,3,9
9289,4,0,5
9290,4,2,5
9291,4,2,6
9292,4,3,8
9293,4,0,8
9294,4,1,6
9295,4,2,6
9296,4,1,2
9297,4,1,7
9298,4,2,4
9299,4,1,3
9300,4,1,5
9301,4,3,10
9302,4,1,10
9303,4,1,2
9304,4,3,7
9305,4,0,7
9306,4,2,5
9307,4,2,7
9308,4,0,4
9309,4,2,4
9310,4,1,5
9311,4,0,3
9312,4,2,8
9313,4,0,4
9314,4,0,3
9315,4,2,8
9316,4,3,6
9317,4,2,6
9318,4,0,2
9319,4,3,9
9320,4,1,5
9321,4,1,7
9322,4,0,3
9323,4,1,2
9324,4,0,2
9325,4,3,10
9326,4,1,5
9327,4,3,12
9328,4,0,3
9329,4,3,13
9330,4,2,8
9331,4,2,13
9332,4,2,5
9333,4,0,2
9334,4,1,2
9335,4,1,5
9336,4,2,5
9337,4,1,4
9338,4,1,2
9339,4,1,6
9340,4,2,2
9341,4,3,7
9342,4,2,6
9343,4,1,4
9344,4,0,6
9345,4,0,3
9346,4,3,13
9347,4,2,8
9348,4,1,6
9349,4,0,4
9350,4,1,4
9351,4,0,3
9352,4,2,5
9353,4,2,2
9354,4,2,9
9355,4,1,2
9356,4,1,2
9357,4,2,7
9358,4,0,5
9359,4,0,2
9360,4,1,4
9361,4,2,5
9362,4,3,7
9363,4,2,6
9364,4,2,5
9365,4,3,7
9366,4,2,5
9367,4,3,5
9368,4,1,5
9369,4,1,2
9370,4,0,5
9371,4,2,9
9372,4,1,5
9373,4,1,3
9374,4,1,5
9375,4,2,7
9376,4,2,6
9377,4,1,3
9378,4,1,6
9379,4,2,5
9380,4,2,10
9381,4,0,3
9382,4,2,4
9383,4,1,5
9384,4,1,7
9385,4,1,3
9386,4,2,9
9387,4,2,13
9388,4,1,4
9389,4,3,11
9390,4,1,4
9391,4,2,7
9392,4,2,6
9393,4,0,2
9394,4,1,3
9395,4,1,5
9396,4,0,3
9397,4,2,4
9398,4,1,7
9399,4,2,5
9400,4,1,3
9401,4,3,14
9402,4,3,10
9403,4,2,5
9404,4,0,3
9405,4,2,9
9406,4,0,6
9407,4,2,9
9408,4,0,3
9409,4,1,3
9410,4,1,4
9411,4,0,4
9412,4,1,2
9413,4,0,4
9414,4,0,4
9415,4,0,3
9416,4,3,7
9417,4,1,5
9418,4,1,4
9419,4,2,6
9420,4,3,8
9421,4,1,12
9422,4,3,8
9423,4,3,10
9424,4,0,5
9425,4,2,5
9426,4,2,5
9427,4,1,6
9428,4,2,8
9429,4,2,6
