id,set,human_score,pos_33
20716,8,34,7
20717,8,46,1
20718,8,40,6
20719,8,30,7
20721,8,26,2
20722,8,40,0
20723,8,40,0
20724,8,34,0
20725,8,41,7
20726,8,40,5
20727,8,31,0
20728,8,44,3
20732,8,31,1
20733,8,36,0
20734,8,43,5
20735,8,20,1
20736,8,45,5
20737,8,40,3
20739,8,30,1
20741,8,35,1
20742,8,40,1
20743,8,42,1
20745,8,34,0
20746,8,33,0
20747,8,38,4
20748,8,36,7
20751,8,45,3
20754,8,31,1
20755,8,30,1
20756,8,34,7
20757,8,33,3
20758,8,40,0
20759,8,47,1
20760,8,30,3
20761,8,40,4
20762,8,32,3
20763,8,40,2
20764,8,30,1
20766,8,45,2
20767,8,45,2
20768,8,45,0
20769,8,50,5
20770,8,39,1
20771,8,33,1
20772,8,33,3
20773,8,34,2
20774,8,40,0
20775,8,33,0
20776,8,33,5
20777,8,40,0
20778,8,36,7
20779,8,37,4
20781,8,40,2
20783,8,33,2
20784,8,37,2
20785,8,42,1
20787,8,40,2
20790,8,40,5
20791,8,38,0
20792,8,31,3
20793,8,42,2
20794,8,40,1
20795,8,35,8
20796,8,35,2
20797,8,33,1
20800,8,33,3
20802,8,30,8
20803,8,37,1
20804,8,40,1
20805,8,40,6
20806,8,35,3
20807,8,35,0
20808,8,31,3
20809,8,40,1
20812,8,40,4
20813,8,36,4
20814,8,32,2
20815,8,31,6
20817,8,30,0
20818,8,32,4
20819,8,30,1
20821,8,55,2
20822,8,45,2
20823,8,41,6
20824,8,45,1
20825,8,33,6
20826,8,60,2
20827,8,45,0
20828,8,28,2
20829,8,49,1
20830,8,33,4
20831,8,29,0
20832,8,36,1
20833,8,40,0
20835,8,40,0
20836,8,40,2
20838,8,27,1
20839,8,24,1
20840,8,32,1
20841,8,33,3
20842,8,40,4
20844,8,30,7
20846,8,34,3
20847,8,35,1
20848,8,30,4
20849,8,44,4
20850,8,31,1
20851,8,32,1
20852,8,40,3
20853,8,32,1
20856,8,40,2
20857,8,36,3
20859,8,43,0
20860,8,36,2
20861,8,40,7
20862,8,45,2
20863,8,36,3
20865,8,38,3
20866,8,37,4
20869,8,36,2
20870,8,31,4
20871,8,20,0
20872,8,38,2
20874,8,32,6
20876,8,37,4
20877,8,40,4
20878,8,35,6
20879,8,40,3
20881,8,28,9
20882,8,38,2
20883,8,36,2
20884,8,43,2
20885,8,34,3
20887,8,32,2
20888,8,50,8
20889,8,40,1
20892,8,40,3
20893,8,37,4
20894,8,36,9
20895,8,40,0
20896,8,30,0
20897,8,32,2
20898,8,44,5
20899,8,37,9
20900,8,42,1
20901,8,40,3
20902,8,40,3
