id,set,human_score,word_25
14834,6,2,1
14835,6,3,1
14836,6,4,2
14837,6,1,2
14838,6,3,0
14839,6,4,0
14840,6,3,2
14841,6,3,1
14842,6,3,0
14843,6,3,0
14844,6,3,1
14845,6,4,2
14846,6,4,3
14847,6,3,1
14848,6,2,3
14849,6,3,2
14850,6,1,2
14851,6,3,1
14852,6,3,2
14853,6,2,1
14854,6,3,0
14855,6,4,3
14856,6,2,0
14857,6,4,3
14858,6,3,2
14859,6,2,2
14860,6,3,2
14861,6,3,1
14862,6,3,2
14863,6,3,1
14864,6,4,4
14865,6,3,1
14866,6,2,0
14867,6,2,0
14868,6,3,3
14869,6,2,2
14870,6,2,0
14871,6,3,1
14872,6,3,4
14873,6,2,1
14874,6,1,2
14875,6,3,1
14876,6,3,2
14877,6,2,1
14878,6,2,1
14879,6,3,0
14880,6,3,3
14881,6,4,0
14882,6,4,6
14883,6,3,2
14884,6,3,2
14885,6,2,0
14886,6,3,2
14887,6,3,3
14888,6,2,4
14889,6,3,3
14890,6,3,2
14891,6,1,2
14892,6,3,0
14893,6,2,1
14894,6,4,1
14895,6,2,1
14896,6,4,5
14897,6,3,1
14898,6,4,3
14899,6,1,1
14900,6,3,1
14901,6,1,0
14902,6,4,2
14903,6,3,0
14904,6,3,3
14905,6,1,1
14906,6,3,1
14907,6,3,0
14908,6,2,0
14909,6,3,2
14910,6,3,0
14911,6,1,0
14912,6,3,2
14913,6,3,2
14914,6,3,0
14915,6,3,0
14916,6,3,3
14917,6,3,4
14918,6,3,0
14919,6,2,1
14920,6,3,2
14921,6,3,1
14922,6,3,1
14923,6,3,1
14924,6,3,1
14925,6,3,2
14926,6,3,4
14927,6,2,0
14928,6,2,2
14929,6,2,0
14930,6,4,1
14931,6,2,0
14932,6,3,0
14933,6,4,3
14934,6,4,1
14935,6,3,0
14936,6,3,0
14937,6,1,1
14938,6,3,0
14939,6,0,1
14940,6,3,2
14941,6,3,2
14942,6,3,3
14943,6,3,1
14944,6,4,3
14945,6,2,2
14946,6,3,4
14947,6,3,1
14948,6,2,1
14949,6,1,1
14950,6,3,2
14951,6,0,2
14952,6,2,2
14953,6,3,3
14954,6,2,1
14955,6,3,1
14956,6,4,6
14957,6,0,1
14958,6,2,1
14959,6,3,0
14960,6,3,0
14961,6,3,2
14962,6,2,1
14963,6,4,2
14964,6,2,1
14965,6,2,1
14966,6,3,3
14967,6,4,2
14968,6,3,5
14969,6,2,0
14970,6,3,1
14971,6,3,1
14972,6,4,2
14973,6,1,0
14974,6,3,0
14975,6,3,3
14976,6,3,1
14977,6,3,2
14978,6,4,1
14979,6,1,0
14980,6,3,1
14981,6,3,1
14982,6,4,3
