id,set,human_score,vocabulory_score
8863,4,0,21
8864,4,0,10
8865,4,3,43
8866,4,2,26
8867,4,2,55
8868,4,1,29
8869,4,0,39
8870,4,2,30
8871,4,1,13
8872,4,2,37
8873,4,2,62
8874,4,0,20
8875,4,1,14
8876,4,2,67
8877,4,0,27
8878,4,1,16
8879,4,2,35
8880,4,1,10
8881,4,3,53
8882,4,1,20
8883,4,1,35
8884,4,1,14
8885,4,3,50
8886,4,1,18
8887,4,2,28
8888,4,2,70
8889,4,1,47
8890,4,2,38
8891,4,3,50
8892,4,1,44
8893,4,2,23
8894,4,1,23
8895,4,3,65
8896,4,2,30
8897,4,1,46
8898,4,2,58
8899,4,0,11
8900,4,2,64
8901,4,0,18
8902,4,3,55
8903,4,3,69
8904,4,2,41
8905,4,2,54
8906,4,2,40
8907,4,0,14
8908,4,1,38
8909,4,2,50
8910,4,1,29
8911,4,3,73
8912,4,1,30
8913,4,1,28
8914,4,2,61
8915,4,2,27
8916,4,0,35
8917,4,0,25
8918,4,1,59
8919,4,3,34
8920,4,0,20
8921,4,2,65
8922,4,2,47
8923,4,3,58
8924,4,2,34
8925,4,1,33
8926,4,1,18
8927,4,0,21
8928,4,1,35
8929,4,1,27
8930,4,0,29
8931,4,3,21
8932,4,1,7
8933,4,2,58
8934,4,1,19
8935,4,2,80
8936,4,1,17
8937,4,1,54
8938,4,1,22
8939,4,3,51
8940,4,2,55
8941,4,3,85
8942,4,1,28
8943,4,1,21
8944,4,1,47
8945,4,2,40
8946,4,3,46
8947,4,0,36
8948,4,3,64
8949,4,0,22
8950,4,1,36
8951,4,2,36
8952,4,1,27
8953,4,1,25
8954,4,3,39
8955,4,3,42
8956,4,1,22
8957,4,2,42
8958,4,0,13
8959,4,3,52
8960,4,1,38
8961,4,1,22
8962,4,2,32
8963,4,1,17
8964,4,0,13
8965,4,2,34
8966,4,1,22
8967,4,2,39
8968,4,2,19
8969,4,2,72
8970,4,1,17
8971,4,1,46
8972,4,2,36
8973,4,3,51
8974,4,3,40
8975,4,0,12
8976,4,0,27
8977,4,2,47
8978,4,0,18
8979,4,3,81
8980,4,1,24
8981,4,3,101
8982,4,1,18
8983,4,2,44
8984,4,1,8
8985,4,1,33
8986,4,2,42
8987,4,2,34
8988,4,2,43
8989,4,1,8
8990,4,3,90
8991,4,0,18
8992,4,0,19
8993,4,0,20
8994,4,0,10
8995,4,2,37
8996,4,2,77
8997,4,1,15
8998,4,3,49
8999,4,1,28
9000,4,1,21
9001,4,2,84
9002,4,2,27
9003,4,2,58
9004,4,3,59
9005,4,3,39
9006,4,3,34
9007,4,2,41
9008,4,2,43
9009,4,2,37
9010,4,1,22
9011,4,2,64
9012,4,1,44
9013,4,1,20
9014,4,2,75
9015,4,1,35
9016,4,3,59
9017,4,2,36
9018,4,2,30
9019,4,3,51
9020,4,0,8
9021,4,2,36
9022,4,2,35
9023,4,1,13
9024,4,1,18
9025,4,1,9
9026,4,2,28
9027,4,3,92
9028,4,1,20
9029,4,2,55
9030,4,0,27
9031,4,1,28
9032,4,1,8
9033,4,1,43
9034,4,2,57
9035,4,3,93
9036,4,0,32
9037,4,3,45
9038,4,1,15
9039,4,2,46
9040,4,3,55
9041,4,0,22
9042,4,2,50
9043,4,2,49
9044,4,1,94
9045,4,0,22
9046,4,1,41
9047,4,1,16
9048,4,0,7
9049,4,2,30
9050,4,1,26
9051,4,2,41
9052,4,3,39
9053,4,2,27
9054,4,1,25
9055,4,1,44
9056,4,0,32
9057,4,2,36
9058,4,3,63
9059,4,0,18
9060,4,3,81
9061,4,3,85
9062,4,0,3
9063,4,1,10
9064,4,1,50
9065,4,1,18
9066,4,1,57
9067,4,1,26
9068,4,1,12
9069,4,3,53
9070,4,1,24
9071,4,2,32
9072,4,0,15
9073,4,1,38
9074,4,3,76
9075,4,3,45
9076,4,0,4
9077,4,1,22
9078,4,1,27
9079,4,2,66
9080,4,1,19
9081,4,2,25
9082,4,2,45
9083,4,2,39
9084,4,2,62
9085,4,2,56
9086,4,1,4
9087,4,1,27
9088,4,2,36
9089,4,2,49
9090,4,1,21
9091,4,2,49
9092,4,0,9
9093,4,1,38
9094,4,1,10
9095,4,2,38
9096,4,2,45
9097,4,1,24
9098,4,3,54
9099,4,1,20
9100,4,1,23
9101,4,1,13
9102,4,1,20
9103,4,2,38
9104,4,2,52
9105,4,1,41
9106,4,3,69
9107,4,1,23
9108,4,0,6
9109,4,0,27
9110,4,2,41
9111,4,2,28
9112,4,2,41
9113,4,1,33
9114,4,3,78
9115,4,2,42
9116,4,2,37
9117,4,2,35
9118,4,2,62
9119,4,1,19
9121,4,2,40
9122,4,2,55
9123,4,1,32
9124,4,0,27
9125,4,0,29
9126,4,1,12
9127,4,2,44
9128,4,1,49
9129,4,1,12
9130,4,0,13
9131,4,1,40
9132,4,3,91
9133,4,2,75
9134,4,3,71
9135,4,2,57
9136,4,1,20
9137,4,0,5
9138,4,3,48
9139,4,1,27
9140,4,0,36
9141,4,1,35
9142,4,1,14
9143,4,1,17
9144,4,1,30
9145,4,2,54
9146,4,1,32
9147,4,2,37
9148,4,1,15
9149,4,2,52
9150,4,1,25
9151,4,1,18
9152,4,2,42
9153,4,2,51
9154,4,1,26
9155,4,0,15
9156,4,2,23
9157,4,1,8
9158,4,3,66
9159,4,0,31
9160,4,0,28
9161,4,3,45
9162,4,1,22
9163,4,2,62
9164,4,3,62
9165,4,2,42
9166,4,2,42
9167,4,3,62
9168,4,2,36
9169,4,0,15
9170,4,3,81
9171,4,2,59
9172,4,1,11
9173,4,0,8
9174,4,1,35
9175,4,3,52
9176,4,1,15
9177,4,1,27
9178,4,2,28
9179,4,0,19
9180,4,1,32
9181,4,0,31
9182,4,2,34
9183,4,1,13
9184,4,1,34
9185,4,1,27
9186,4,1,25
9187,4,2,24
9188,4,3,71
9189,4,1,16
9190,4,3,52
9191,4,1,35
9192,4,1,24
9193,4,2,26
9194,4,1,26
9195,4,1,40
9196,4,1,30
9197,4,1,44
9198,4,2,99
9199,4,3,47
9200,4,1,40
9201,4,1,32
9202,4,0,28
9203,4,0,14
9204,4,2,45
9205,4,1,33
9206,4,1,18
9207,4,0,9
9208,4,2,51
9209,4,1,8
9210,4,1,15
9211,4,2,57
9212,4,2,47
9213,4,1,9
9214,4,1,40
9215,4,2,41
9216,4,1,29
9217,4,3,71
9218,4,1,17
9219,4,2,55
9220,4,3,58
9221,4,1,18
9222,4,2,83
9223,4,2,58
9224,4,2,33
9225,4,1,19
9226,4,0,12
9227,4,2,37
9228,4,2,28
9229,4,2,48
9230,4,2,36
9231,4,1,18
9232,4,1,31
9233,4,1,29
9234,4,0,19
9235,4,1,41
9236,4,2,48
9237,4,2,39
9238,4,2,25
9239,4,2,21
9240,4,1,34
9241,4,1,17
9242,4,1,28
9243,4,2,45
9244,4,1,43
9245,4,1,19
9246,4,0,16
9247,4,3,53
9248,4,2,46
9249,4,2,58
9250,4,1,22
9251,4,2,52
9252,4,1,15
9253,4,1,21
9254,4,3,47
9255,4,3,89
9256,4,2,27
9257,4,3,77
9258,4,3,60
9259,4,2,28
9260,4,3,79
9261,4,1,10
9262,4,0,21
9263,4,3,62
9264,4,3,56
9265,4,1,25
9266,4,1,5
9267,4,1,31
9268,4,0,10
9269,4,2,31
9270,4,1,13
9271,4,1,36
9272,4,0,7
9273,4,0,35
9274,4,2,31
9275,4,1,20
9276,4,1,42
9277,4,2,56
9278,4,2,20
9279,4,1,100
9280,4,1,28
9281,4,2,55
9282,4,2,49
9283,4,1,27
9284,4,1,10
9285,4,2,26
9286,4,0,13
9287,4,2,45
9288,4,3,59
9289,4,0,12
9290,4,2,34
9291,4,2,47
9292,4,3,60
9293,4,0,54
9294,4,1,30
9295,4,2,26
9296,4,1,24
9297,4,1,30
9298,4,2,27
9299,4,1,14
9300,4,1,26
9301,4,3,77
9302,4,1,82
9303,4,1,7
9304,4,3,49
9305,4,0,47
9306,4,2,39
9307,4,2,46
9308,4,0,21
9309,4,2,32
9310,4,1,36
9311,4,0,14
9312,4,2,61
9313,4,0,22
9314,4,0,9
9315,4,2,46
9316,4,3,69
9317,4,2,39
9318,4,0,10
9319,4,3,70
9320,4,1,27
9321,4,1,27
9322,4,0,13
9323,4,1,14
9324,4,0,10
9325,4,3,63
9326,4,1,23
9327,4,3,67
9328,4,0,17
9329,4,3,63
9330,4,2,42
9331,4,2,46
9332,4,2,34
9333,4,0,9
9334,4,1,14
9335,4,1,21
9336,4,2,35
9337,4,1,8
9338,4,1,16
9339,4,1,35
9340,4,2,32
9341,4,3,57
9342,4,2,32
9343,4,1,20
9344,4,0,43
9345,4,0,15
9346,4,3,65
9347,4,2,35
9348,4,1,28
9349,4,0,43
9350,4,1,28
9351,4,0,15
9352,4,2,41
9353,4,2,30
9354,4,2,49
9355,4,1,20
9356,4,1,22
9357,4,2,54
9358,4,0,24
9359,4,0,16
9360,4,1,23
9361,4,2,35
9362,4,3,42
9363,4,2,35
9364,4,2,30
9365,4,3,33
9366,4,2,32
9367,4,3,47
9368,4,1,38
9369,4,1,19
9370,4,0,27
9371,4,2,40
9372,4,1,21
9373,4,1,13
9374,4,1,30
9375,4,2,50
9376,4,2,24
9377,4,1,14
9378,4,1,26
9379,4,2,31
9380,4,2,58
9381,4,0,35
9382,4,2,35
9383,4,1,38
9384,4,1,42
9385,4,1,21
9386,4,2,56
9387,4,2,69
9388,4,1,28
9389,4,3,84
9390,4,1,19
9391,4,2,58
9392,4,2,57
9393,4,0,23
9394,4,1,22
9395,4,1,21
9396,4,0,16
9397,4,2,30
9398,4,1,46
9399,4,2,25
9400,4,1,15
9401,4,3,68
9402,4,3,48
9403,4,2,48
9404,4,0,15
9405,4,2,36
9406,4,0,33
9407,4,2,74
9408,4,0,18
9409,4,1,29
9410,4,1,27
9411,4,0,10
9412,4,1,16
9413,4,0,9
9414,4,0,24
9415,4,0,10
9416,4,3,45
9417,4,1,30
9418,4,1,40
9419,4,2,44
9420,4,3,51
9421,4,1,45
9422,4,3,69
9423,4,3,84
9424,4,0,32
9425,4,2,49
9426,4,2,43
9427,4,1,28
9428,4,2,49
9429,4,2,33
9430,4,3,61
9431,4,1,29
9432,4,2,33
9434,4,0,24
9435,4,1,11
9436,4,2,50
9437,4,1,27
9438,4,3,63
9439,4,2,40
9440,4,1,38
9441,4,3,59
9442,4,3,120
9443,4,1,44
9444,4,2,28
9445,4,1,22
9446,4,1,18
9447,4,0,19
9448,4,2,44
9449,4,2,43
9450,4,1,16
9451,4,1,22
9452,4,2,27
9453,4,2,40
9454,4,0,27
9455,4,0,8
9456,4,0,18
9457,4,3,54
9458,4,2,31
9459,4,2,44
9460,4,2,65
9461,4,1,41
9462,4,3,75
9463,4,1,14
9464,4,0,12
9465,4,1,49
9466,4,1,57
9467,4,2,36
9468,4,1,28
9469,4,1,32
9470,4,2,36
9471,4,0,14
9472,4,1,33
9473,4,3,46
9474,4,1,29
9475,4,0,22
9476,4,2,84
9477,4,1,26
9478,4,2,39
9479,4,1,21
9480,4,1,23
9481,4,1,27
9482,4,2,82
9483,4,2,52
9484,4,2,18
9485,4,3,48
9486,4,0,3
9487,4,2,51
9488,4,0,16
9489,4,2,55
9490,4,0,12
9491,4,1,14
9492,4,0,39
9493,4,2,49
9494,4,2,31
9495,4,1,8
9496,4,0,26
9497,4,2,37
9498,4,0,20
9499,4,0,13
9500,4,2,37
9501,4,2,35
9502,4,1,29
9503,4,2,25
9504,4,2,36
9505,4,2,33
9506,4,2,21
9507,4,2,38
9508,4,2,54
9509,4,0,28
9510,4,1,32
9511,4,1,13
9512,4,0,35
9513,4,3,88
9514,4,1,27
9515,4,3,66
9516,4,1,34
9517,4,1,20
9518,4,0,26
9519,4,1,30
9520,4,1,20
9521,4,2,25
9522,4,2,32
9523,4,3,27
9524,4,1,18
9525,4,3,54
9526,4,2,15
9527,4,2,54
9528,4,0,9
9529,4,1,22
9530,4,2,57
9531,4,1,18
9532,4,1,15
9533,4,1,14
9534,4,3,52
9535,4,1,31
9536,4,0,59
9537,4,0,21
