id,set,human_score,misspell_words
2,1,9,31
3,1,7,11
4,1,10,72
5,1,8,23
6,1,8,20
7,1,10,18
8,1,10,28
9,1,9,18
10,1,9,30
11,1,8,21
12,1,8,46
13,1,7,25
14,1,6,35
15,1,6,9
16,1,12,40
17,1,8,17
18,1,8,17
19,1,4,35
20,1,6,12
21,1,8,21
22,1,3,2
23,1,10,36
24,1,11,47
25,1,8,10
26,1,9,26
27,1,4,13
28,1,9,16
29,1,9,27
30,1,8,5
31,1,10,30
32,1,10,33
33,1,6,11
34,1,8,22
35,1,9,13
36,1,10,34
37,1,12,33
38,1,8,12
39,1,10,19
40,1,7,10
41,1,2,0
42,1,8,20
43,1,6,6
44,1,8,14
45,1,8,23
46,1,8,10
47,1,8,21
48,1,11,27
49,1,6,6
50,1,5,6
51,1,9,25
52,1,7,17
53,1,8,15
54,1,10,27
55,1,8,11
56,1,10,14
57,1,9,16
58,1,7,10
59,1,8,31
60,1,4,4
61,1,8,5
62,1,8,17
63,1,8,11
64,1,7,11
65,1,9,29
66,1,9,13
67,1,8,12
68,1,9,20
69,1,7,6
70,1,12,36
71,1,10,23
72,1,10,25
73,1,8,45
74,1,7,7
75,1,8,7
76,1,8,41
77,1,10,40
78,1,10,26
79,1,10,12
80,1,8,46
81,1,8,25
82,1,8,16
83,1,7,11
84,1,6,15
85,1,10,29
86,1,8,23
87,1,10,38
88,1,9,17
89,1,6,9
90,1,7,10
91,1,8,16
92,1,11,45
93,1,11,37
94,1,8,10
95,1,10,37
96,1,7,16
97,1,8,30
98,1,11,36
99,1,8,45
100,1,7,22
101,1,10,21
102,1,8,6
103,1,9,24
104,1,10,22
105,1,9,35
106,1,11,15
107,1,10,25
108,1,8,26
109,1,8,7
110,1,6,6
111,1,11,44
112,1,9,28
113,1,8,26
114,1,8,18
115,1,9,50
116,1,4,0
117,1,8,14
118,1,12,50
119,1,10,29
120,1,8,20
121,1,8,65
122,1,9,20
123,1,10,14
124,1,7,12
125,1,5,6
126,1,8,16
127,1,9,4
128,1,9,9
129,1,10,24
130,1,10,19
131,1,10,29
132,1,11,45
133,1,10,34
134,1,10,21
135,1,7,21
136,1,9,47
137,1,7,8
138,1,10,24
139,1,7,5
140,1,9,30
141,1,10,41
142,1,10,17
143,1,7,29
144,1,9,17
145,1,10,28
146,1,6,32
147,1,12,32
148,1,9,20
149,1,8,36
150,1,8,26
151,1,8,9
152,1,6,7
153,1,9,25
154,1,12,21
155,1,10,23
156,1,8,18
157,1,9,59
158,1,9,28
159,1,10,25
160,1,8,15
161,1,10,25
162,1,12,26
163,1,8,30
164,1,8,8
165,1,9,57
166,1,10,42
167,1,8,23
168,1,9,32
169,1,6,8
170,1,8,18
171,1,8,8
172,1,8,16
173,1,8,17
174,1,8,51
175,1,8,23
176,1,10,25
177,1,8,11
178,1,8,39
179,1,8,8
180,1,10,29
181,1,10,30
182,1,8,15
183,1,8,15
184,1,8,27
185,1,8,17
186,1,8,9
187,1,5,6
188,1,9,14
189,1,6,7
190,1,10,18
191,1,8,11
192,1,11,46
193,1,8,13
194,1,10,23
195,1,5,13
196,1,8,20
197,1,10,25
198,1,10,26
199,1,11,72
200,1,8,31
201,1,9,21
202,1,8,14
203,1,10,15
204,1,10,22
205,1,10,59
206,1,10,17
207,1,8,11
208,1,6,1
209,1,6,6
210,1,9,19
211,1,6,7
212,1,7,7
213,1,8,13
214,1,8,34
215,1,10,50
216,1,8,23
217,1,10,34
218,1,8,19
219,1,9,29
220,1,10,83
221,1,6,6
222,1,9,42
223,1,8,24
224,1,8,29
225,1,12,33
226,1,8,11
227,1,9,25
228,1,8,36
229,1,8,23
230,1,9,26
231,1,8,15
232,1,12,33
233,1,7,54
234,1,8,12
235,1,7,14
236,1,6,26
237,1,8,19
238,1,9,11
239,1,9,14
240,1,8,21
241,1,9,28
242,1,9,25
243,1,11,10
244,1,7,18
245,1,7,8
246,1,11,19
247,1,8,21
248,1,9,22
249,1,9,36
250,1,10,21
251,1,9,17
252,1,9,15
253,1,6,17
254,1,10,45
255,1,8,13
256,1,8,17
257,1,8,17
258,1,11,12
259,1,9,17
260,1,7,14
261,1,9,25
262,1,8,8
263,1,10,30
264,1,8,29
265,1,11,35
266,1,11,35
267,1,10,31
268,1,8,15
269,1,9,26
270,1,8,14
271,1,8,15
272,1,10,44
273,1,8,29
274,1,9,39
275,1,11,14
276,1,8,13
277,1,9,18
278,1,8,11
279,1,10,16
280,1,10,34
281,1,7,13
282,1,8,24
283,1,6,10
284,1,8,15
285,1,11,31
286,1,4,6
287,1,12,71
288,1,8,27
289,1,10,16
290,1,11,19
291,1,11,27
292,1,11,28
293,1,8,21
294,1,10,50
295,1,10,17
296,1,10,26
297,1,9,36
298,1,8,8
299,1,8,13
300,1,8,50
301,1,9,41
302,1,10,36
303,1,10,21
304,1,9,63
305,1,10,32
306,1,8,21
307,1,9,11
308,1,6,14
309,1,9,40
310,1,10,51
311,1,9,15
312,1,7,19
314,1,9,22
315,1,10,15
316,1,9,18
317,1,10,26
318,1,8,37
319,1,9,26
320,1,8,14
321,1,12,43
322,1,8,21
323,1,10,13
324,1,8,16
325,1,9,15
326,1,10,31
327,1,6,7
328,1,8,19
329,1,8,23
330,1,11,57
331,1,10,17
332,1,8,42
333,1,9,46
334,1,10,56
335,1,9,31
336,1,11,19
337,1,10,18
338,1,8,13
339,1,11,37
340,1,9,21
341,1,8,13
342,1,9,22
343,1,9,22
345,1,10,50
346,1,12,54
347,1,7,7
348,1,8,29
349,1,8,20
350,1,8,32
351,1,9,32
352,1,7,14
353,1,5,5
354,1,8,20
355,1,6,9
356,1,8,15
357,1,8,17
358,1,7,12
359,1,2,0
360,1,6,15
361,1,10,24
362,1,10,47
363,1,8,10
364,1,11,24
365,1,9,21
366,1,8,34
367,1,8,14
368,1,9,13
369,1,8,23
370,1,10,44
371,1,8,19
372,1,10,41
373,1,8,18
374,1,7,22
375,1,4,10
376,1,8,51
377,1,10,45
378,1,11,19
379,1,9,20
380,1,10,32
381,1,10,32
382,1,7,12
383,1,11,29
384,1,8,23
385,1,11,49
386,1,10,18
387,1,8,10
388,1,7,7
389,1,8,24
390,1,10,13
391,1,12,31
392,1,8,12
393,1,8,26
394,1,7,6
395,1,6,16
396,1,7,32
397,1,10,38
398,1,10,22
399,1,8,11
400,1,8,18
401,1,6,17
402,1,8,22
403,1,8,23
404,1,8,20
405,1,9,44
406,1,8,40
407,1,8,9
408,1,8,15
409,1,8,38
410,1,8,11
411,1,12,27
412,1,10,22
413,1,9,32
414,1,8,17
415,1,7,11
416,1,6,4
417,1,8,21
418,1,12,62
419,1,6,5
420,1,8,27
421,1,6,2
422,1,7,19
423,1,9,21
424,1,9,53
425,1,10,24
426,1,9,21
427,1,11,26
428,1,8,30
429,1,9,13
430,1,8,39
431,1,11,20
432,1,8,23
433,1,11,31
434,1,7,28
435,1,11,37
436,1,8,26
437,1,8,20
438,1,8,23
439,1,10,20
440,1,8,13
441,1,8,21
442,1,10,29
443,1,8,22
444,1,8,49
445,1,8,16
446,1,10,50
447,1,11,49
448,1,9,32
449,1,2,0
450,1,7,7
451,1,8,24
452,1,7,7
453,1,9,26
454,1,8,29
455,1,4,11
456,1,7,39
457,1,10,19
458,1,9,6
459,1,8,16
460,1,8,28
461,1,8,18
462,1,8,14
463,1,8,31
464,1,7,21
465,1,8,16
466,1,9,16
467,1,8,12
468,1,8,14
469,1,9,23
470,1,8,26
471,1,8,13
472,1,12,48
473,1,7,17
474,1,6,12
475,1,9,30
476,1,8,31
477,1,6,17
478,1,8,16
479,1,10,27
480,1,8,19
481,1,10,46
482,1,9,38
483,1,9,25
484,1,7,22
485,1,10,45
486,1,9,31
487,1,8,13
488,1,8,16
489,1,9,54
490,1,8,24
491,1,8,22
492,1,7,16
493,1,8,35
494,1,9,18
495,1,8,19
496,1,9,37
497,1,9,30
498,1,12,61
499,1,9,17
500,1,10,16
501,1,8,43
502,1,7,11
503,1,8,8
504,1,10,22
505,1,10,36
506,1,7,13
507,1,10,33
508,1,9,25
509,1,11,10
510,1,7,16
511,1,8,17
512,1,8,23
513,1,8,19
514,1,8,23
515,1,8,14
516,1,8,17
517,1,8,26
518,1,8,24
519,1,12,31
520,1,6,36
521,1,7,17
522,1,9,27
523,1,10,19
524,1,8,37
525,1,9,9
526,1,7,11
