id,set,human_score,pos_25
20716,8,34,0
20717,8,46,2
20718,8,40,1
20719,8,30,3
20721,8,26,3
20722,8,40,0
20723,8,40,3
20724,8,34,0
20725,8,41,1
20726,8,40,3
20727,8,31,0
20728,8,44,3
20732,8,31,1
20733,8,36,1
20734,8,43,0
20735,8,20,0
20736,8,45,0
20737,8,40,0
20739,8,30,1
20741,8,35,3
20742,8,40,0
20743,8,42,0
20745,8,34,2
20746,8,33,1
20747,8,38,1
20748,8,36,0
20751,8,45,1
20754,8,31,4
20755,8,30,3
20756,8,34,1
20757,8,33,0
20758,8,40,1
20759,8,47,2
20760,8,30,0
20761,8,40,2
20762,8,32,0
20763,8,40,2
20764,8,30,2
20766,8,45,3
20767,8,45,0
20768,8,45,1
20769,8,50,3
20770,8,39,2
20771,8,33,0
20772,8,33,1
20773,8,34,2
20774,8,40,0
20775,8,33,3
20776,8,33,1
20777,8,40,1
20778,8,36,2
20779,8,37,1
20781,8,40,2
20783,8,33,2
20784,8,37,5
20785,8,42,3
20787,8,40,1
20790,8,40,2
20791,8,38,2
20792,8,31,0
20793,8,42,3
20794,8,40,1
20795,8,35,2
20796,8,35,2
20797,8,33,1
20800,8,33,1
20802,8,30,0
20803,8,37,3
20804,8,40,0
20805,8,40,0
20806,8,35,2
20807,8,35,0
20808,8,31,1
20809,8,40,6
20812,8,40,2
20813,8,36,0
20814,8,32,0
20815,8,31,2
20817,8,30,0
20818,8,32,1
20819,8,30,0
20821,8,55,0
20822,8,45,2
20823,8,41,0
20824,8,45,2
20825,8,33,1
20826,8,60,0
20827,8,45,3
20828,8,28,0
20829,8,49,1
20830,8,33,1
20831,8,29,0
20832,8,36,1
20833,8,40,0
20835,8,40,0
20836,8,40,0
20838,8,27,0
20839,8,24,0
20840,8,32,0
20841,8,33,0
20842,8,40,1
20844,8,30,3
20846,8,34,0
20847,8,35,1
20848,8,30,6
20849,8,44,0
20850,8,31,0
20851,8,32,0
20852,8,40,1
20853,8,32,1
20856,8,40,0
20857,8,36,0
20859,8,43,1
20860,8,36,4
20861,8,40,0
20862,8,45,2
20863,8,36,0
20865,8,38,0
20866,8,37,0
20869,8,36,3
20870,8,31,0
20871,8,20,0
20872,8,38,0
20874,8,32,0
20876,8,37,1
20877,8,40,3
20878,8,35,0
20879,8,40,2
20881,8,28,1
20882,8,38,1
20883,8,36,0
20884,8,43,2
20885,8,34,0
20887,8,32,0
20888,8,50,1
20889,8,40,0
20892,8,40,2
20893,8,37,2
20894,8,36,0
20895,8,40,1
20896,8,30,0
20897,8,32,0
20898,8,44,5
20899,8,37,2
20900,8,42,3
20901,8,40,3
20902,8,40,5
20904,8,30,0
20905,8,34,0
20906,8,44,1
20907,8,36,0
20908,8,35,0
20909,8,34,0
20910,8,32,0
20911,8,40,2
20913,8,34,0
20914,8,40,1
20915,8,40,1
20916,8,37,3
20917,8,38,0
20918,8,29,1
