id,set,human_score,word_25
20716,8,34,6
20717,8,46,15
20718,8,40,12
20719,8,30,7
20721,8,26,16
20722,8,40,2
20723,8,40,1
20724,8,34,2
20725,8,41,6
20726,8,40,4
20727,8,31,5
20728,8,44,12
20732,8,31,13
20733,8,36,5
20734,8,43,5
20735,8,20,1
20736,8,45,11
20737,8,40,5
20739,8,30,5
20741,8,35,0
20742,8,40,11
20743,8,42,12
20745,8,34,7
20746,8,33,15
20747,8,38,1
20748,8,36,4
20751,8,45,2
20754,8,31,12
20755,8,30,2
20756,8,34,13
20757,8,33,13
20758,8,40,5
20759,8,47,4
20760,8,30,6
20761,8,40,5
20762,8,32,7
20763,8,40,8
20764,8,30,4
20766,8,45,6
20767,8,45,0
20768,8,45,12
20769,8,50,7
20770,8,39,5
20771,8,33,1
20772,8,33,10
20773,8,34,0
20774,8,40,5
20775,8,33,4
20776,8,33,9
20777,8,40,1
20778,8,36,9
20779,8,37,4
20781,8,40,9
20783,8,33,1
20784,8,37,6
20785,8,42,2
20787,8,40,3
20790,8,40,4
20791,8,38,2
20792,8,31,0
20793,8,42,2
20794,8,40,9
20795,8,35,1
20796,8,35,3
20797,8,33,2
20800,8,33,4
20802,8,30,18
20803,8,37,5
20804,8,40,4
20805,8,40,9
20806,8,35,4
20807,8,35,3
20808,8,31,6
20809,8,40,3
20812,8,40,2
20813,8,36,3
20814,8,32,2
20815,8,31,12
20817,8,30,3
20818,8,32,14
20819,8,30,5
20821,8,55,2
20822,8,45,4
20823,8,41,11
20824,8,45,1
20825,8,33,4
20826,8,60,1
20827,8,45,6
20828,8,28,4
20829,8,49,2
20830,8,33,6
20831,8,29,5
20832,8,36,8
20833,8,40,4
20835,8,40,7
20836,8,40,0
20838,8,27,2
20839,8,24,2
20840,8,32,3
20841,8,33,5
20842,8,40,11
20844,8,30,11
20846,8,34,3
20847,8,35,2
20848,8,30,9
20849,8,44,18
20850,8,31,2
20851,8,32,1
20852,8,40,4
20853,8,32,8
20856,8,40,1
20857,8,36,4
20859,8,43,1
20860,8,36,6
20861,8,40,8
20862,8,45,4
20863,8,36,4
20865,8,38,6
20866,8,37,3
20869,8,36,2
20870,8,31,3
20871,8,20,1
20872,8,38,0
20874,8,32,7
20876,8,37,12
20877,8,40,4
20878,8,35,8
20879,8,40,13
20881,8,28,11
20882,8,38,4
20883,8,36,4
20884,8,43,3
20885,8,34,6
20887,8,32,8
20888,8,50,4
20889,8,40,4
20892,8,40,8
20893,8,37,3
20894,8,36,6
20895,8,40,1
20896,8,30,0
20897,8,32,0
20898,8,44,11
20899,8,37,8
20900,8,42,7
20901,8,40,3
20902,8,40,8
20904,8,30,10
20905,8,34,7
20906,8,44,0
20907,8,36,9
20908,8,35,1
20909,8,34,10
20910,8,32,2
20911,8,40,3
20913,8,34,8
20914,8,40,7
20915,8,40,5
20916,8,37,12
20917,8,38,4
20918,8,29,4
20919,8,34,0
20920,8,32,8
20921,8,43,9
20922,8,37,3
20923,8,34,9
20924,8,29,5
20925,8,30,5
20926,8,47,3
20927,8,36,16
20928,8,40,0
20929,8,29,1
20930,8,40,7
20931,8,41,4
20932,8,40,8
20933,8,32,10
20935,8,40,9
20936,8,44,6
20938,8,34,3
20939,8,31,0
20940,8,40,7
20942,8,40,0
20943,8,40,2
20944,8,31,2
20945,8,29,2
20946,8,43,8
20947,8,40,9
20948,8,40,2
20949,8,36,7
20953,8,31,5
20954,8,15,0
20955,8,40,16
20956,8,36,2
20957,8,45,9
20958,8,35,6
20959,8,45,2
20962,8,40,12
20963,8,40,10
20964,8,36,11
20965,8,28,2
20966,8,40,13
20967,8,20,3
20968,8,36,1
20971,8,46,4
20972,8,32,1
20973,8,41,3
20974,8,44,4
20975,8,36,5
20976,8,42,2
20977,8,42,4
20979,8,31,9
20981,8,40,4
20982,8,32,7
20983,8,43,9
20984,8,31,13
20985,8,36,3
20987,8,35,1
20988,8,36,9
20992,8,40,6
20993,8,45,13
20994,8,40,4
20996,8,38,1
20998,8,36,1
20999,8,37,9
21000,8,30,3
21001,8,41,2
21002,8,40,3
21003,8,36,8
21004,8,29,5
21005,8,32,1
21006,8,36,13
21007,8,40,10
21008,8,40,5
21009,8,33,13
21010,8,40,6
21012,8,30,9
21013,8,24,7
21014,8,33,3
21015,8,40,3
21016,8,31,9
21017,8,27,1
21020,8,33,1
21021,8,40,5
21022,8,37,5
21023,8,34,2
21024,8,33,0
21025,8,40,6
21026,8,32,6
21028,8,32,6
21029,8,30,3
21030,8,44,3
21031,8,25,16
21032,8,40,9
21033,8,27,11
21034,8,36,7
21035,8,45,3
21036,8,41,6
21037,8,50,4
21038,8,42,4
21039,8,36,12
21042,8,36,9
21043,8,40,10
21044,8,36,3
21045,8,37,0
21049,8,40,14
21051,8,42,4
21052,8,32,10
21053,8,30,7
21054,8,43,13
21055,8,35,5
21056,8,48,11
21057,8,40,3
21058,8,40,5
21059,8,45,10
21060,8,45,2
21061,8,30,3
21063,8,37,1
21064,8,38,11
21065,8,47,5
21067,8,41,3
21068,8,36,7
21069,8,42,19
21070,8,40,8
21071,8,30,8
21072,8,35,12
21073,8,40,10
21074,8,37,3
21075,8,35,5
21076,8,40,6
21077,8,40,2
21078,8,35,4
21079,8,34,0
21081,8,36,8
21083,8,41,12
21085,8,37,4
21086,8,30,7
21087,8,34,9
21089,8,36,3
21090,8,37,0
21091,8,34,1
21092,8,43,10
21093,8,42,1
21094,8,40,6
21095,8,35,9
21096,8,37,4
21097,8,46,6
21098,8,43,5
21099,8,40,5
21101,8,40,0
21102,8,31,8
21103,8,32,1
21105,8,40,9
21106,8,40,11
21107,8,40,6
21109,8,40,1
21110,8,45,4
21111,8,36,8
21112,8,35,7
21113,8,36,12
21114,8,40,6
21115,8,32,3
21116,8,37,3
21118,8,48,9
21119,8,33,6
21120,8,50,5
21122,8,46,8
21123,8,43,5
21126,8,27,16
21127,8,35,5
21129,8,36,12
21130,8,45,1
21131,8,35,1
21132,8,40,2
21133,8,35,2
21134,8,34,13
21135,8,40,8
21136,8,33,3
21137,8,39,5
21138,8,33,0
21140,8,24,0
21141,8,31,1
21142,8,36,3
21143,8,40,11
21144,8,40,4
21145,8,32,14
21146,8,47,11
21147,8,40,10
21148,8,35,11
21149,8,36,8
21150,8,28,4
21151,8,35,12
21153,8,33,7
21154,8,34,10
21155,8,36,16
21156,8,40,2
21157,8,40,5
21158,8,35,1
21159,8,46,4
21160,8,34,13
21161,8,40,7
21163,8,40,1
21164,8,45,12
21166,8,31,0
21167,8,40,9
21168,8,40,6
21170,8,39,13
21171,8,35,3
21174,8,42,6
21175,8,38,2
21176,8,34,8
21177,8,26,5
21178,8,31,7
21179,8,31,0
21180,8,40,8
21181,8,40,8
21182,8,31,1
21183,8,36,4
21185,8,42,6
21186,8,39,8
21188,8,37,7
21189,8,37,4
21190,8,36,2
21191,8,34,7
21192,8,35,0
21193,8,40,2
21194,8,42,15
21195,8,36,8
21198,8,34,0
21199,8,35,8
21200,8,40,8
21202,8,45,6
21203,8,40,2
21204,8,31,3
21205,8,31,1
21206,8,34,17
21207,8,44,8
21208,8,38,8
21209,8,42,7
21210,8,35,5
21211,8,33,10
21213,8,40,6
21214,8,40,5
21215,8,41,5
21217,8,30,7
21218,8,42,12
21219,8,40,2
21220,8,30,10
21221,8,31,5
21222,8,27,3
21223,8,36,5
21224,8,43,2
21225,8,50,14
21227,8,40,5
21229,8,40,6
21230,8,36,1
21233,8,40,1
21235,8,28,6
21236,8,40,4
21237,8,40,12
21238,8,37,8
21240,8,26,2
21241,8,30,6
21244,8,30,5
21245,8,40,8
21246,8,37,6
21247,8,34,10
21248,8,28,1
21249,8,42,2
21250,8,44,6
21251,8,40,7
21253,8,40,3
21255,8,41,6
21256,8,33,5
21257,8,30,12
21258,8,40,5
21259,8,43,13
21261,8,36,9
21262,8,36,3
21263,8,32,0
21264,8,36,2
21265,8,35,4
21266,8,38,4
21268,8,38,0
21269,8,40,3
21271,8,30,5
21272,8,40,12
21273,8,34,9
21274,8,40,4
21275,8,40,5
21276,8,34,7
21277,8,30,13
21279,8,33,2
21280,8,40,14
21281,8,40,1
21284,8,38,4
21285,8,37,2
21286,8,36,6
21287,8,40,2
21288,8,46,6
21289,8,49,4
21290,8,37,5
