id,set,human_score,char_4,word_count,char_6,vocabulory_score
2978,2,4,190,476,59,203
2979,2,1,52,168,22,64
2980,2,2,71,220,24,84
2981,2,4,213,466,99,172
2982,2,4,150,422,61,173
2983,2,4,130,322,48,140
2984,2,5,228,520,119,184
2985,2,2,244,784,83,351
2986,2,4,138,331,86,118
2987,2,4,133,378,54,160
2988,2,3,102,333,35,133
2989,2,3,115,315,55,124
2990,2,5,200,485,93,185
2991,2,3,109,331,39,145
2992,2,3,46,93,25,30
2993,2,3,137,355,57,153
2994,2,4,236,655,81,281
2995,2,3,144,329,60,135
2996,2,1,71,148,31,48
2997,2,3,112,333,34,143
2998,2,3,85,319,24,116
2999,2,3,93,289,33,133
3000,2,3,76,196,33,69
3001,2,4,178,516,68,215
3002,2,3,193,494,63,224
3003,2,4,160,393,77,141
3004,2,4,96,198,47,80
3005,2,2,34,83,15,35
3006,2,3,102,277,44,112
3007,2,3,105,284,50,110
3008,2,4,136,425,52,165
3009,2,3,157,347,84,156
3010,2,3,72,172,17,88
3011,2,4,121,397,37,193
3012,2,3,85,296,44,104
3013,2,4,198,434,84,182
3014,2,4,132,374,48,160
3015,2,3,161,372,75,159
3016,2,3,129,312,56,131
3017,2,4,187,438,101,187
3018,2,3,161,448,65,185
3019,2,4,131,305,80,137
3020,2,4,259,729,104,299
3021,2,4,180,520,63,222
3022,2,4,140,321,55,137
3023,2,4,105,274,29,108
3024,2,4,264,668,107,275
3025,2,3,122,293,66,98
3026,2,4,123,373,48,155
3027,2,3,128,338,73,140
3028,2,5,207,502,102,195
3029,2,3,74,285,23,101
3030,2,4,148,381,46,173
3031,2,3,102,234,42,124
3032,2,4,224,479,96,182
3033,2,4,188,621,72,236
3034,2,4,313,737,143,317
3035,2,2,52,138,27,52
3036,2,3,106,264,52,107
3037,2,4,207,466,89,227
3038,2,2,30,92,13,34
3039,2,3,108,232,43,106
3040,2,3,134,397,64,161
3041,2,4,214,533,92,235
3042,2,4,120,295,47,108
3043,2,3,109,274,46,112
3044,2,3,79,248,32,109
3045,2,4,120,357,43,136
3046,2,3,89,233,36,100
3047,2,3,124,290,58,121
3048,2,3,165,530,58,211
3049,2,4,120,308,66,120
3050,2,2,111,323,40,89
3051,2,4,185,419,99,165
3052,2,4,131,393,64,162
3053,2,3,113,367,49,132
3054,2,3,170,423,70,161
3055,2,3,112,310,44,109
3056,2,3,144,321,72,124
3057,2,3,45,118,20,40
3058,2,3,138,369,72,133
3059,2,3,128,352,49,142
3060,2,4,159,368,70,132
3061,2,3,126,309,58,124
3062,2,3,150,319,74,139
3063,2,4,157,353,78,149
3064,2,3,113,338,41,122
3065,2,3,61,131,37,48
3066,2,1,25,71,13,28
3067,2,4,169,423,84,152
3068,2,2,89,240,33,102
3069,2,4,195,624,75,239
3070,2,3,107,281,62,90
3071,2,4,133,292,67,111
3072,2,4,235,699,79,258
3073,2,4,444,1066,231,446
3074,2,4,245,593,122,230
3075,2,4,272,623,119,299
3076,2,3,116,336,56,111
3077,2,5,249,600,127,226
3078,2,3,122,450,48,185
3079,2,3,127,424,38,169
3080,2,4,197,455,82,196
3081,2,4,125,324,44,138
3082,2,3,105,239,47,96
3083,2,3,122,313,57,136
3084,2,3,162,472,79,199
3085,2,3,65,182,27,75
3086,2,2,51,119,8,63
3087,2,2,68,153,33,54
3088,2,3,140,335,57,132
3089,2,3,134,306,66,127
3090,2,3,128,363,43,158
3091,2,2,52,175,26,89
3092,2,3,44,178,8,82
3093,2,3,100,248,35,99
3094,2,4,97,349,37,135
3095,2,2,50,151,15,53
3096,2,1,43,140,8,66
3097,2,3,164,445,42,179
3098,2,3,83,201,32,65
3099,2,4,228,596,115,271
3100,2,3,115,359,55,120
3101,2,3,89,194,37,95
3102,2,3,113,255,53,126
3103,2,3,97,299,46,128
3104,2,5,254,639,119,287
3105,2,3,77,206,38,73
3106,2,4,280,585,127,243
3107,2,3,188,443,88,177
3108,2,3,112,267,61,105
3109,2,3,150,424,64,161
3110,2,3,96,213,52,82
3111,2,3,125,320,43,135
3112,2,3,110,235,61,101
3113,2,3,107,266,46,125
3114,2,4,187,512,70,214
3115,2,4,150,395,56,165
3116,2,3,90,252,35,88
3117,2,3,119,310,42,124
3118,2,2,47,145,20,48
3119,2,4,233,506,121,222
3120,2,3,178,406,76,152
3121,2,4,179,405,90,180
3122,2,4,146,408,61,145
3123,2,4,117,269,54,95
3124,2,4,107,350,48,138
3125,2,4,238,649,77,311
3126,2,4,212,483,106,191
3127,2,3,147,408,71,156
3128,2,4,139,391,56,166
3129,2,4,319,914,130,347
3130,2,4,221,454,112,196
3131,2,4,117,287,52,125
3132,2,3,155,377,65,129
3133,2,4,180,441,74,189
3134,2,4,170,468,71,180
3135,2,3,83,291,31,113
3136,2,4,149,419,59,183
3137,2,3,129,320,58,137
3138,2,4,127,329,61,135
3139,2,3,103,356,41,157
3140,2,4,161,408,62,185
3141,2,3,168,441,64,172
3142,2,4,158,464,67,216
3143,2,3,133,341,47,132
3144,2,4,134,290,80,101
3145,2,4,209,539,94,241
3146,2,3,81,210,29,86
3147,2,2,37,95,11,35
3148,2,3,72,193,34,82
3149,2,3,142,419,56,178
3150,2,4,242,571,107,241
3151,2,3,158,371,70,159
3152,2,4,134,316,72,106
3153,2,4,281,724,117,323
3154,2,3,72,188,45,71
3155,2,3,63,195,30,85
3156,2,4,117,299,48,122
3157,2,4,192,473,80,203
3158,2,2,63,181,28,67
3159,2,1,55,178,24,69
3160,2,3,117,423,44,169
3161,2,3,164,380,84,156
3162,2,4,195,434,94,211
3163,2,5,151,357,69,143
3164,2,3,99,287,36,112
3165,2,4,86,270,41,113
3166,2,4,216,487,110,231
3167,2,3,91,234,24,111
3168,2,4,124,301,53,126
3169,2,3,165,366,97,137
3170,2,3,98,351,15,127
3171,2,5,232,544,98,238
3172,2,4,228,565,95,212
3173,2,3,175,488,65,166
3174,2,3,87,275,32,104
3175,2,4,240,597,97,247
3176,2,4,209,526,79,226
3177,2,1,55,173,9,58
3178,2,4,129,324,47,149
3179,2,4,121,384,59,161
3180,2,3,226,660,102,226
3181,2,4,249,594,93,260
3182,2,2,80,170,26,67
3183,2,3,136,326,63,134
3184,2,3,164,377,71,174
3185,2,4,134,353,67,134
3186,2,2,96,300,19,139
3187,2,3,112,284,58,99
3188,2,3,127,403,45,174
3189,2,4,206,531,94,257
3190,2,4,131,366,35,148
3191,2,4,202,593,92,209
3192,2,3,67,191,31,67
3193,2,3,163,380,72,153
3194,2,3,139,433,54,155
3195,2,4,144,307,77,125
3196,2,4,185,564,66,213
3197,2,3,92,229,37,103
3198,2,2,76,238,24,93
3199,2,4,129,348,54,139
3200,2,4,226,583,103,231
3201,2,4,125,331,65,118
3202,2,5,217,557,89,203
3203,2,4,164,366,76,162
3204,2,3,163,344,87,115
3205,2,3,112,312,55,107
3206,2,4,331,948,110,429
3207,2,3,136,285,52,116
3208,2,4,163,387,81,155
3209,2,3,73,226,22,95
3210,2,4,175,431,76,172
3211,2,3,99,297,45,100
3212,2,4,255,667,84,305
3213,2,4,144,467,52,210
3214,2,4,297,656,145,250
3215,2,3,69,183,44,56
3216,2,4,200,522,86,244
3217,2,4,257,629,119,259
3218,2,3,119,313,64,118
3219,2,4,293,679,152,247
3220,2,3,137,464,54,204
3221,2,3,220,638,79,225
3222,2,3,55,162,23,63
3223,2,3,141,320,56,125
3224,2,3,163,439,83,175
3225,2,4,90,241,39,107
3226,2,4,124,340,50,125
3227,2,3,146,451,48,208
3228,2,4,277,684,120,308
3229,2,4,146,410,54,171
3230,2,2,33,118,10,43
3231,2,4,257,753,75,311
3232,2,3,66,193,37,79
3233,2,3,137,351,70,147
3234,2,3,134,318,63,132
3235,2,4,246,644,96,255
3236,2,4,210,516,79,218
3237,2,2,30,93,15,30
3238,2,2,96,248,37,106
3239,2,4,173,505,63,203
3240,2,2,88,255,22,109
3241,2,1,15,40,3,17
3242,2,4,131,387,59,154
3243,2,4,251,641,103,270
3244,2,2,60,136,19,74
3245,2,2,24,67,9,27
3246,2,3,75,270,34,87
3247,2,4,184,540,77,230
3248,2,4,136,392,45,118
3249,2,3,238,653,109,257
3250,2,2,37,113,14,52
3251,2,3,103,284,33,120
3252,2,4,140,393,61,202
3253,2,4,165,463,75,185
3254,2,5,198,508,98,182
3255,2,3,161,510,83,195
3256,2,3,96,247,36,92
3257,2,1,25,94,10,31
3258,2,4,204,621,103,231
3259,2,2,35,111,8,50
3260,2,4,175,481,62,186
3261,2,4,209,573,88,232
3262,2,4,111,325,36,152
3263,2,4,232,568,90,224
3264,2,2,55,160,29,64
3265,2,4,209,535,66,234
3266,2,4,320,734,161,295
3267,2,3,126,335,43,132
3268,2,3,169,423,65,186
3269,2,4,180,482,85,181
3270,2,3,167,454,60,187
3271,2,4,256,645,106,256
3272,2,2,63,144,20,66
3273,2,4,229,676,86,318
3274,2,4,132,384,62,140
3275,2,3,139,305,62,109
3276,2,3,149,481,53,213
3277,2,5,289,724,158,258
3278,2,4,244,601,96,294
3279,2,4,204,477,82,180
3280,2,3,61,148,28,63
3281,2,4,267,661,113,280
3282,2,4,208,564,79,238
3283,2,3,147,478,57,196
3284,2,4,85,253,39,93
3285,2,4,125,331,51,133
3286,2,3,157,585,47,222
3287,2,3,170,397,69,177
3288,2,4,195,452,99,173
3289,2,3,111,279,56,98
3290,2,4,126,446,43,140
3291,2,5,246,704,100,274
3292,2,4,255,654,137,272
3293,2,4,136,365,66,154
3294,2,4,152,387,72,146
3295,2,3,127,296,48,133
3296,2,4,146,416,42,159
3297,2,3,96,270,31,95
3298,2,4,251,598,100,223
3299,2,4,210,556,98,216
3300,2,4,157,461,79,162
3301,2,3,102,296,30,124
3302,2,4,168,457,73,167
3303,2,3,128,301,43,141
3304,2,3,113,292,61,107
3305,2,3,114,336,26,135
3306,2,5,217,495,105,186
3307,2,3,120,524,35,236
3308,2,4,176,414,73,171
3309,2,4,155,439,81,196
3310,2,6,309,767,162,307
3311,2,4,225,579,97,233
3312,2,4,193,515,88,227
3313,2,3,103,312,36,131
3314,2,3,150,389,44,184
3315,2,4,187,470,75,204
