id,set,human_score,char_4,word_count,char_6
5978,3,1,15,51,10
5979,3,2,65,176,38
5980,3,1,33,95,16
5981,3,1,23,86,12
5982,3,2,56,133,28
5983,3,1,26,70,15
5984,3,1,12,43,5
5985,3,0,36,111,14
5986,3,2,40,92,24
5987,3,3,75,149,38
5988,3,3,69,175,41
5989,3,1,28,95,14
5990,3,3,63,137,22
5991,3,2,30,84,22
5992,3,1,30,69,22
5993,3,2,50,126,21
5994,3,2,47,105,24
5995,3,2,43,105,21
5996,3,1,37,91,21
5997,3,2,43,90,22
5998,3,2,19,52,11
5999,3,1,10,34,4
6000,3,2,61,126,29
6001,3,1,19,62,10
6002,3,2,33,115,15
6003,3,3,74,184,36
6004,3,1,10,40,4
6005,3,3,69,170,35
6006,3,2,35,89,17
6007,3,3,57,138,34
6008,3,1,56,139,34
6010,3,1,32,96,23
6011,3,1,10,19,2
6012,3,0,27,83,15
6013,3,1,16,44,9
6014,3,3,66,157,39
6015,3,2,50,125,24
6016,3,3,78,209,39
6017,3,1,23,74,10
6018,3,2,36,83,12
6019,3,1,23,72,8
6020,3,2,48,132,29
6021,3,2,23,60,9
6022,3,2,49,122,24
6023,3,2,62,155,27
6024,3,1,30,69,14
6025,3,1,15,52,6
6026,3,3,70,205,37
6027,3,3,84,239,37
6028,3,2,36,75,17
6029,3,1,43,104,19
6030,3,3,78,181,50
6031,3,3,71,174,46
6032,3,2,27,71,13
6033,3,3,80,190,51
6034,3,2,58,136,33
6035,3,1,30,90,8
6036,3,2,58,158,25
6037,3,2,28,79,16
6038,3,2,51,142,30
6039,3,1,45,119,16
6040,3,1,32,85,11
6041,3,2,15,46,9
6042,3,2,47,107,22
6043,3,1,18,61,11
6044,3,2,6,16,5
6045,3,2,38,107,18
6046,3,1,44,105,19
6047,3,1,22,68,11
6048,3,1,41,130,15
6049,3,1,29,57,14
6050,3,3,136,336,71
6051,3,1,54,147,27
6052,3,2,58,141,29
6053,3,1,23,58,10
6054,3,1,31,76,14
6055,3,2,39,131,20
6056,3,1,44,102,19
6057,3,3,59,145,31
6058,3,2,46,132,18
6059,3,1,21,42,15
6060,3,1,15,57,6
6061,3,3,96,251,51
6062,3,1,32,84,13
6063,3,2,46,111,19
6064,3,2,36,90,23
6065,3,2,40,110,29
6066,3,1,23,71,9
6067,3,1,19,66,10
6068,3,2,19,70,9
6069,3,2,43,127,21
6070,3,2,40,93,24
6071,3,2,46,101,27
6072,3,2,41,91,22
6073,3,2,65,167,32
6074,3,2,19,69,6
