id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10
5978,3,1,15,51,10,15,3
5979,3,2,65,176,38,51,9
5980,3,1,33,95,16,34,5
5981,3,1,23,86,12,21,2
5982,3,2,56,133,28,38,4
5983,3,1,26,70,15,24,4
5984,3,1,12,43,5,16,2
5985,3,0,36,111,14,32,6
5986,3,2,40,92,24,30,6
5987,3,3,75,149,38,56,8
5988,3,3,69,175,41,60,8
5989,3,1,28,95,14,35,5
5990,3,3,63,137,22,63,7
5991,3,2,30,84,22,27,5
5992,3,1,30,69,22,21,3
5993,3,2,50,126,21,48,6
5994,3,2,47,105,24,46,6
5995,3,2,43,105,21,27,5
5996,3,1,37,91,21,30,5
5997,3,2,43,90,22,31,6
5998,3,2,19,52,11,21,2
5999,3,1,10,34,4,14,1
6000,3,2,61,126,29,52,7
6001,3,1,19,62,10,23,3
6002,3,2,33,115,15,40,6
6003,3,3,74,184,36,69,8
6004,3,1,10,40,4,14,1
6005,3,3,69,170,35,69,8
6006,3,2,35,89,17,32,4
6007,3,3,57,138,34,58,7
6008,3,1,56,139,34,41,6
6010,3,1,32,96,23,29,5
6011,3,1,10,19,2,5,1
6012,3,0,27,83,15,31,3
6013,3,1,16,44,9,16,2
6014,3,3,66,157,39,64,6
6015,3,2,50,125,24,55,6
6016,3,3,78,209,39,80,11
6017,3,1,23,74,10,29,3
6018,3,2,36,83,12,28,1
6019,3,1,23,72,8,27,4
6020,3,2,48,132,29,41,6
6021,3,2,23,60,9,27,2
6022,3,2,49,122,24,38,6
6023,3,2,62,155,27,68,6
6024,3,1,30,69,14,20,4
6025,3,1,15,52,6,22,2
6026,3,3,70,205,37,75,10
6027,3,3,84,239,37,90,10
6028,3,2,36,75,17,30,2
6029,3,1,43,104,19,44,6
6030,3,3,78,181,50,75,12
6031,3,3,71,174,46,53,8
6032,3,2,27,71,13,28,3
6033,3,3,80,190,51,63,8
6034,3,2,58,136,33,47,5
6035,3,1,30,90,8,34,3
6036,3,2,58,158,25,61,5
6037,3,2,28,79,16,28,4
6038,3,2,51,142,30,38,4
6039,3,1,45,119,16,49,7
6040,3,1,32,85,11,36,4
6041,3,2,15,46,9,10,3
6042,3,2,47,107,22,48,4
6043,3,1,18,61,11,19,3
6044,3,2,6,16,5,5,0
6045,3,2,38,107,18,30,5
6046,3,1,44,105,19,46,5
6047,3,1,22,68,11,26,4
6048,3,1,41,130,15,47,6
6049,3,1,29,57,14,22,3
6050,3,3,136,336,71,124,18
6051,3,1,54,147,27,57,8
6052,3,2,58,141,29,48,5
6053,3,1,23,58,10,19,2
6054,3,1,31,76,14,24,2
6055,3,2,39,131,20,35,6
6056,3,1,44,102,19,38,5
6057,3,3,59,145,31,58,8
6058,3,2,46,132,18,52,6
6059,3,1,21,42,15,10,1
6060,3,1,15,57,6,28,2
6061,3,3,96,251,51,93,7
6062,3,1,32,84,13,23,5
6063,3,2,46,111,19,44,6
6064,3,2,36,90,23,29,5
6065,3,2,40,110,29,25,7
6066,3,1,23,71,9,21,4
6067,3,1,19,66,10,27,3
6068,3,2,19,70,9,22,4
6069,3,2,43,127,21,51,5
6070,3,2,40,93,24,38,4
6071,3,2,46,101,27,30,6
6072,3,2,41,91,22,30,4
6073,3,2,65,167,32,68,8
6074,3,2,19,69,6,21,3
6075,3,3,116,239,61,82,10
6076,3,2,77,198,38,66,9
6077,3,1,37,95,19,35,4
6078,3,2,24,78,13,26,4
6079,3,3,56,127,34,50,5
6080,3,2,44,117,25,46,8
6081,3,2,20,41,13,14,3
6082,3,1,27,71,16,29,4
6083,3,1,11,33,6,12,2
6084,3,3,48,107,21,44,5
6085,3,3,87,215,39,83,7
6086,3,1,27,84,15,32,3
6087,3,2,30,78,11,28,4
6088,3,2,49,122,25,50,4
6089,3,3,62,161,30,58,6
6090,3,1,29,87,11,32,3
6091,3,3,62,132,30,45,5
6092,3,1,13,47,5,17,2
6093,3,1,14,37,7,11,1
6094,3,1,42,124,16,44,6
6095,3,3,100,234,64,79,12
6096,3,2,53,110,20,55,6
6097,3,1,12,41,7,16,1
6098,3,3,51,132,24,45,7
6099,3,1,20,53,7,24,2
6100,3,2,70,175,31,78,7
6101,3,2,47,111,32,34,4
6102,3,2,51,139,21,54,6
6103,3,2,55,153,30,53,8
6104,3,1,19,38,8,16,2
6105,3,3,101,232,51,100,11
6106,3,1,35,80,16,25,4
6107,3,2,58,143,27,59,6
6108,3,1,26,66,13,23,1
6109,3,2,30,133,19,36,2
6110,3,2,43,108,29,45,4
6111,3,2,47,112,26,36,7
6112,3,1,24,83,11,24,4
6113,3,3,58,154,41,48,7
6114,3,1,11,28,7,11,1
6115,3,2,21,51,7,19,2
6116,3,2,49,154,29,45,7
6117,3,1,48,125,27,49,5
6118,3,3,62,161,26,55,6
6119,3,1,31,76,13,27,2
6120,3,2,39,110,17,47,6
6121,3,3,57,146,26,53,7
6122,3,2,46,104,29,39,5
6123,3,3,56,145,27,45,7
6124,3,3,59,140,28,46,7
6125,3,2,23,67,14,25,4
6126,3,1,29,91,17,34,5
6127,3,3,62,187,38,65,10
6128,3,3,64,156,37,53,5
6129,3,2,41,105,22,38,5
6130,3,1,34,88,18,34,4
6131,3,1,25,60,12,16,3
6132,3,3,42,130,15,50,6
6133,3,1,19,53,7,22,3
6134,3,2,57,155,25,67,7
6135,3,2,41,99,25,25,5
6136,3,1,24,74,10,33,5
6137,3,2,58,141,32,59,4
6138,3,2,50,127,29,48,6
6139,3,2,42,106,23,33,5
6140,3,1,50,126,25,57,4
6141,3,2,37,91,22,31,5
6142,3,2,58,149,31,60,6
6143,3,3,59,164,28,58,7
6144,3,3,69,182,38,54,7
6145,3,3,72,170,34,57,9
6146,3,2,57,159,34,65,8
6147,3,2,20,67,15,19,3
6148,3,2,17,62,11,11,3
6149,3,2,46,119,19,44,6
6150,3,2,43,114,23,47,6
6151,3,2,45,121,24,37,5
6152,3,2,47,124,27,47,6
6153,3,2,26,91,7,32,4
6154,3,1,7,20,4,6,1
6155,3,1,34,85,16,28,4
6156,3,2,49,122,27,40,5
6157,3,3,78,208,30,85,9
6158,3,3,74,184,32,65,10
6159,3,2,47,138,19,67,6
6160,3,2,49,113,33,38,6
6161,3,2,39,99,15,39,4
6162,3,2,51,174,24,65,7
6163,3,1,15,50,7,21,2
6164,3,2,38,107,21,41,6
6165,3,3,75,183,43,73,7
6166,3,1,10,29,7,10,2
6167,3,3,14,44,7,16,1
6168,3,2,36,115,11,43,5
6169,3,2,70,174,41,60,7
6170,3,1,44,149,18,47,7
6171,3,3,72,152,51,60,7
6172,3,2,56,131,19,49,7
6173,3,1,21,50,13,23,2
6174,3,2,22,89,10,31,4
6175,3,1,35,80,22,32,3
6176,3,1,27,99,5,31,2
6177,3,2,71,190,33,78,6
6178,3,3,49,105,22,37,6
6179,3,2,8,27,5,9,2
6180,3,3,100,225,45,80,11
6181,3,3,49,129,29,44,7
6182,3,3,67,171,34,60,9
6183,3,3,66,136,35,48,7
6184,3,1,31,70,18,19,3
6185,3,2,30,102,10,43,4
6186,3,2,16,64,8,24,4
6187,3,1,11,40,6,12,3
6188,3,0,6,17,5,2,0
6189,3,1,26,67,14,24,4
6190,3,2,69,203,38,72,8
6191,3,2,56,142,27,56,7
6192,3,3,74,168,39,64,7
6193,3,1,28,74,12,19,3
6194,3,3,77,200,40,71,11
6195,3,3,57,126,29,46,7
6196,3,1,25,90,9,37,4
6197,3,2,54,131,36,45,6
6198,3,3,66,194,42,73,11
6199,3,2,18,48,14,12,0
6200,3,0,68,175,31,64,7
6201,3,2,14,38,9,8,3
6202,3,1,19,44,6,16,2
6203,3,3,64,180,30,61,8
6204,3,1,82,197,39,74,8
6205,3,2,20,44,10,16,2
6206,3,0,25,62,18,13,2
6207,3,0,12,27,6,12,2
6208,3,3,51,163,29,44,6
6209,3,2,22,92,8,36,3
6210,3,2,48,121,24,39,5
6211,3,1,39,80,27,20,3
6212,3,2,56,128,26,42,6
6213,3,1,23,51,13,18,2
6214,3,1,27,85,11,25,4
6215,3,1,24,58,13,20,2
6216,3,2,66,163,28,70,7
6217,3,1,18,42,12,12,3
6218,3,2,41,108,16,32,7
6219,3,2,63,146,35,52,7
6220,3,2,55,161,24,58,6
6221,3,2,41,123,14,53,4
6222,3,2,32,90,13,35,5
6223,3,3,70,181,39,65,10
6224,3,2,16,49,8,13,2
6225,3,3,45,142,22,44,7
6226,3,3,36,92,21,31,5
6227,3,1,30,69,20,21,3
6228,3,3,83,185,48,48,10
6229,3,1,12,36,7,8,1
6230,3,1,16,36,7,13,2
6231,3,2,37,102,24,35,6
6232,3,1,57,125,25,47,3
6233,3,2,7,20,5,5,1
6234,3,1,23,86,9,27,3
6235,3,1,12,31,3,10,2
6236,3,2,46,127,25,45,8
6237,3,2,58,163,22,44,8
6238,3,0,10,29,7,11,0
6239,3,2,71,160,41,57,6
6240,3,3,55,129,29,49,9
6241,3,1,22,53,8,18,3
6242,3,1,7,16,4,7,1
6243,3,2,61,137,37,54,6
6244,3,1,37,96,27,25,6
6245,3,3,67,166,23,72,8
6246,3,1,57,157,27,54,8
6247,3,3,54,141,30,51,7
6248,3,1,31,71,22,27,3
6249,3,3,83,201,50,87,10
6250,3,3,82,196,58,65,11
6251,3,1,26,68,11,24,3
6252,3,1,21,62,13,16,3
6253,3,3,57,168,22,61,7
6254,3,3,70,183,34,67,8
6255,3,1,18,51,9,16,2
6256,3,1,13,39,8,13,1
6257,3,1,12,25,4,7,1
6258,3,1,8,30,6,8,2
6259,3,3,28,73,10,30,3
6260,3,2,33,77,20,22,4
6261,3,1,34,77,20,26,4
6262,3,3,70,164,43,66,8
6263,3,3,76,197,43,71,10
6264,3,3,119,235,72,93,14
6265,3,2,30,95,18,27,5
6266,3,1,12,44,5,12,3
6267,3,3,77,191,47,63,6
6268,3,3,93,193,49,77,6
6269,3,1,16,45,5,18,2
6270,3,3,67,173,34,58,9
6271,3,2,31,72,21,23,4
6272,3,2,55,132,32,55,7
6273,3,1,32,95,15,27,4
6274,3,1,33,85,16,28,3
6275,3,1,11,36,8,7,1
6276,3,3,70,158,37,61,7
6277,3,1,10,28,7,10,2
6278,3,1,34,71,17,29,3
6279,3,2,49,116,30,46,7
6280,3,3,30,72,12,29,3
6281,3,1,76,200,46,73,9
6282,3,3,79,194,28,65,10
6283,3,1,16,47,9,23,1
6284,3,3,75,177,40,68,7
6285,3,2,48,121,27,35,5
6286,3,3,74,188,43,67,7
6287,3,3,68,143,36,55,8
6288,3,2,36,81,23,29,4
6289,3,2,27,71,16,28,2
6290,3,1,25,65,10,20,3
6291,3,2,28,96,18,32,3
6292,3,3,83,192,48,74,10
6293,3,2,51,129,28,46,7
6294,3,1,53,166,27,55,9
6295,3,2,14,44,10,14,3
6296,3,0,18,51,9,20,3
6297,3,1,31,81,16,32,5
6298,3,1,12,59,3,16,4
6299,3,2,49,114,22,46,6
6300,3,3,67,153,37,55,7
6301,3,3,89,214,51,87,11
6302,3,2,30,94,17,31,3
6303,3,1,16,53,7,20,3
6304,3,1,22,61,12,21,4
6305,3,3,53,147,20,56,4
6306,3,1,20,63,13,15,2
6307,3,2,51,138,22,50,7
6308,3,3,77,200,39,67,10
6309,3,1,16,45,9,12,1
6310,3,3,67,178,28,54,5
6311,3,2,31,79,19,25,4
6312,3,2,42,133,19,52,6
6313,3,3,69,172,35,60,10
6314,3,1,19,52,9,20,2
6315,3,2,30,73,10,29,4
6316,3,1,45,128,18,47,4
6317,3,2,71,205,40,71,10
6318,3,1,27,68,13,23,4
6319,3,1,36,125,11,43,7
6320,3,1,28,64,12,23,4
6321,3,1,24,63,10,21,3
6322,3,2,31,71,17,23,4
6323,3,1,24,60,19,10,3
6324,3,1,8,23,3,13,0
6325,3,2,30,77,9,29,3
6326,3,1,13,38,10,12,1
6327,3,2,45,176,17,68,6
6328,3,2,47,114,26,38,6
6329,3,2,34,113,18,37,4
6330,3,3,65,148,35,61,8
6331,3,3,75,184,41,68,5
6332,3,3,7,21,5,5,1
6333,3,3,40,121,15,58,8
6334,3,2,41,112,14,52,5
6335,3,3,67,128,47,43,6
6336,3,3,70,166,32,66,7
6337,3,2,41,95,32,27,5
6338,3,2,79,180,45,75,9
6339,3,2,33,93,15,33,5
6340,3,3,65,153,37,54,7
6341,3,2,41,111,18,49,2
6342,3,1,22,54,13,26,4
6343,3,1,67,142,26,46,6
6344,3,2,39,95,26,33,4
6345,3,2,38,107,19,30,5
6346,3,2,38,93,23,36,5
6347,3,3,39,87,21,29,5
6348,3,1,40,85,15,39,4
6349,3,3,60,151,32,50,8
6350,3,2,45,131,25,38,7
6351,3,3,57,119,29,44,4
6352,3,2,60,143,34,48,6
6353,3,3,51,163,27,59,9
6354,3,1,22,63,11,24,3
6355,3,2,43,120,20,36,5
6356,3,1,15,48,6,18,2
6357,3,2,14,30,8,12,2
6358,3,2,24,58,16,20,2
6359,3,1,12,24,7,10,1
6360,3,2,49,143,23,56,5
6361,3,2,43,123,28,33,8
6362,3,1,35,99,14,42,4
6363,3,3,77,196,41,75,9
6364,3,3,47,147,27,59,6
6365,3,2,25,78,10,26,4
6366,3,3,104,254,58,86,13
6367,3,2,34,83,18,24,3
6368,3,1,16,67,4,35,3
6369,3,1,25,64,6,25,4
6370,3,0,13,33,6,14,2
6371,3,3,58,188,28,77,8
6372,3,2,27,75,10,34,2
6373,3,2,26,58,18,24,3
6374,3,2,42,155,20,61,6
6375,3,1,24,65,14,20,1
6376,3,2,40,104,18,35,5
6377,3,3,92,218,38,78,11
6378,3,3,68,177,28,58,8
6379,3,3,78,166,37,61,7
6380,3,1,32,88,11,30,4
6381,3,3,57,162,24,61,8
6382,3,1,18,43,8,17,1
6383,3,2,36,101,20,41,6
