id,set,human_score,char_4,word_count,char_6
8863,4,0,20,57,10
8864,4,0,14,39,6
8865,4,3,61,136,32
8866,4,2,28,65,14
8867,4,2,50,128,20
8868,4,1,29,71,9
8869,4,0,36,92,11
8870,4,2,35,82,15
8871,4,1,11,32,3
8872,4,2,33,115,16
8873,4,2,55,179,24
8874,4,0,14,42,2
8875,4,1,13,31,5
8876,4,2,75,175,31
8877,4,0,26,71,14
8878,4,1,14,48,4
8879,4,2,31,87,16
8880,4,1,14,34,7
8881,4,3,72,164,32
8882,4,1,15,50,8
8883,4,1,28,81,8
8884,4,1,18,40,5
8885,4,3,54,136,25
8886,4,1,13,46,8
8887,4,2,27,88,10
8888,4,2,69,176,34
8889,4,1,32,115,9
8890,4,2,43,105,25
8891,4,3,54,133,23
8892,4,1,35,79,13
8893,4,2,12,54,8
8894,4,1,14,55,8
8895,4,3,62,175,28
8896,4,2,44,89,26
8897,4,1,42,92,12
8898,4,2,35,140,7
8899,4,0,15,34,8
8900,4,2,38,149,18
8901,4,0,14,36,3
8902,4,3,59,155,26
8903,4,3,57,177,22
8904,4,2,50,109,21
8905,4,2,50,139,26
8906,4,2,43,111,19
8907,4,0,16,40,6
8908,4,1,35,101,22
8909,4,2,38,117,13
8910,4,1,23,68,10
8911,4,3,76,180,31
8912,4,1,24,66,6
8913,4,1,24,74,8
8914,4,2,71,191,32
8915,4,2,26,68,9
8916,4,0,36,107,15
8917,4,0,26,66,12
8918,4,1,43,125,9
8919,4,3,39,90,20
8920,4,0,13,43,6
8921,4,2,50,159,28
8922,4,2,40,141,20
8923,4,3,69,173,41
8924,4,2,30,88,10
8925,4,1,26,81,9
8926,4,1,18,50,4
8927,4,0,20,57,5
8928,4,1,30,91,13
8929,4,1,25,67,9
8930,4,0,33,84,14
8931,4,3,18,55,11
8932,4,1,6,19,2
8933,4,2,44,126,24
8934,4,1,10,55,5
8935,4,2,70,186,27
8936,4,1,14,49,3
8937,4,1,35,104,11
8938,4,1,18,53,7
8939,4,3,59,132,25
8940,4,2,46,132,21
8941,4,3,87,225,39
8942,4,1,14,62,3
8943,4,1,19,61,5
8944,4,1,32,95,14
8945,4,2,36,107,11
8946,4,3,44,106,17
8947,4,0,33,85,9
8948,4,3,65,166,21
8949,4,0,15,46,3
8950,4,1,44,112,19
8951,4,2,30,96,16
8952,4,1,25,76,10
8953,4,1,11,69,5
8954,4,3,51,133,24
8955,4,3,54,131,22
8956,4,1,14,49,5
8957,4,2,44,114,13
8958,4,0,12,34,5
8959,4,3,55,148,25
8960,4,1,35,98,13
8961,4,1,30,73,16
8962,4,2,36,97,16
8963,4,1,22,78,7
8964,4,0,13,34,4
8965,4,2,33,93,19
8966,4,1,15,55,4
8967,4,2,26,98,9
8968,4,2,21,50,12
8969,4,2,62,172,26
8970,4,1,17,52,8
8971,4,1,32,95,14
8972,4,2,43,114,17
8973,4,3,68,168,47
8974,4,3,42,144,29
8975,4,0,12,26,3
8976,4,0,20,61,6
8977,4,2,43,120,11
8978,4,0,19,54,9
8979,4,3,84,211,40
8980,4,1,19,58,10
8981,4,3,102,248,38
8982,4,1,17,43,8
8983,4,2,44,119,18
8984,4,1,9,25,5
8985,4,1,35,82,11
8986,4,2,36,124,21
8987,4,2,28,78,16
8988,4,2,61,148,31
8989,4,1,6,24,2
8990,4,3,84,225,28
8991,4,0,15,40,4
8992,4,0,17,46,6
8993,4,0,21,47,6
8994,4,0,8,23,4
8995,4,2,34,96,19
8996,4,2,66,171,27
8997,4,1,14,38,6
8998,4,3,46,134,16
8999,4,1,22,62,6
9000,4,1,18,51,2
9001,4,2,73,217,27
9002,4,2,18,67,8
9003,4,2,70,178,41
9004,4,3,76,168,40
9005,4,3,39,120,16
9006,4,3,37,103,13
9007,4,2,52,137,28
9008,4,2,46,116,26
9009,4,2,38,95,17
9010,4,1,27,60,13
9011,4,2,42,141,14
9012,4,1,37,99,15
9013,4,1,21,55,3
9014,4,2,63,182,27
9015,4,1,27,93,9
9016,4,3,60,159,32
9017,4,2,29,92,11
9018,4,2,33,88,15
9019,4,3,69,180,38
9020,4,0,8,23,3
9021,4,2,33,92,20
9022,4,2,39,99,14
9023,4,1,19,52,8
9024,4,1,18,59,4
9025,4,1,9,27,3
9026,4,2,31,95,12
9027,4,3,93,231,45
9028,4,1,14,41,5
9029,4,2,60,154,28
9030,4,0,14,64,4
9031,4,1,32,84,10
9032,4,1,7,22,3
9033,4,1,47,131,21
9034,4,2,61,147,30
9035,4,3,92,230,36
9036,4,0,23,72,6
9037,4,3,56,131,30
9038,4,1,12,36,4
9039,4,2,46,134,16
9040,4,3,51,145,27
9041,4,0,15,49,7
9042,4,2,58,143,27
9043,4,2,26,101,13
9044,4,1,92,255,42
9045,4,0,24,58,6
9046,4,1,37,92,13
9047,4,1,14,35,6
9048,4,0,8,29,1
9049,4,2,39,97,14
9050,4,1,27,63,12
9051,4,2,50,119,26
9052,4,3,40,109,19
9053,4,2,31,84,13
9054,4,1,31,78,13
9055,4,1,28,88,7
9056,4,0,25,77,7
9057,4,2,32,84,14
9058,4,3,63,182,32
9059,4,0,18,39,5
9060,4,3,81,198,38
9061,4,3,81,208,28
9062,4,0,7,18,3
9063,4,1,11,34,7
9064,4,1,31,120,11
9065,4,1,13,46,3
9066,4,1,46,116,15
9067,4,1,27,63,14
9068,4,1,16,51,7
9069,4,3,60,158,29
9070,4,1,13,44,7
9071,4,2,40,96,18
9072,4,0,19,63,5
9073,4,1,23,81,3
9074,4,3,73,190,33
9075,4,3,51,141,33
9076,4,0,8,18,2
9077,4,1,21,55,10
9078,4,1,19,52,4
9079,4,2,53,166,24
9080,4,1,25,52,10
9081,4,2,23,66,9
9082,4,2,43,119,13
9083,4,2,48,118,26
9084,4,2,53,160,13
9085,4,2,59,144,25
9086,4,1,2,10,0
9087,4,1,22,68,7
9088,4,2,44,105,18
9089,4,2,51,158,25
9090,4,1,15,59,2
9091,4,2,35,114,17
9092,4,0,8,23,3
9093,4,1,28,86,14
9094,4,1,10,27,2
9095,4,2,35,111,20
9096,4,2,48,122,19
9097,4,1,22,58,5
9098,4,3,59,148,29
9099,4,1,11,54,3
9100,4,1,26,85,8
9101,4,1,15,32,7
9102,4,1,16,48,8
9103,4,2,44,102,23
9104,4,2,53,133,23
9105,4,1,26,82,9
9106,4,3,45,150,17
9107,4,1,19,49,13
9108,4,0,7,17,4
9109,4,0,24,60,11
9110,4,2,62,134,36
9111,4,2,22,92,9
9112,4,2,48,123,26
9113,4,1,31,81,10
9114,4,3,69,199,40
9115,4,2,41,120,17
9116,4,2,43,119,24
9117,4,2,33,109,17
9118,4,2,45,135,24
9119,4,1,23,57,9
9121,4,2,42,107,19
9122,4,2,57,146,29
9123,4,1,25,70,12
9124,4,0,19,65,5
9125,4,0,30,77,18
9126,4,1,16,41,10
9127,4,2,37,121,20
9128,4,1,46,122,16
9129,4,1,8,30,3
9130,4,0,14,36,8
9131,4,1,28,92,9
9132,4,3,79,217,34
9133,4,2,76,202,38
9134,4,3,74,186,35
9135,4,2,46,122,17
9136,4,1,25,64,10
9137,4,0,7,17,3
9138,4,3,53,130,20
9139,4,1,22,65,11
9140,4,0,39,100,16
9141,4,1,20,80,4
9142,4,1,21,55,7
9143,4,1,16,44,6
9144,4,1,31,81,12
9145,4,2,46,120,19
9146,4,1,34,105,10
9147,4,2,34,133,12
9148,4,1,13,38,7
9149,4,2,54,166,25
9150,4,1,19,58,10
9151,4,1,23,61,10
9152,4,2,41,117,17
9153,4,2,42,131,13
9154,4,1,24,65,7
9155,4,0,17,38,5
9156,4,2,20,62,10
9157,4,1,11,35,2
9158,4,3,86,219,47
9159,4,0,29,74,8
9160,4,0,28,72,9
9161,4,3,48,126,26
9162,4,1,21,50,12
9163,4,2,63,168,42
9164,4,3,62,166,24
9165,4,2,39,106,14
9166,4,2,42,115,20
9167,4,3,71,191,29
9168,4,2,34,94,16
9169,4,0,22,43,9
9170,4,3,85,251,46
9171,4,2,51,150,24
9172,4,1,17,46,4
9173,4,0,5,12,0
9174,4,1,26,77,11
9175,4,3,63,165,34
9176,4,1,12,43,4
9177,4,1,23,69,11
9178,4,2,32,72,19
9179,4,0,12,54,0
9180,4,1,29,82,11
9181,4,0,33,80,13
9182,4,2,31,88,13
9183,4,1,11,46,5
9184,4,1,27,73,11
9185,4,1,18,64,5
9186,4,1,28,62,9
9187,4,2,27,68,13
9188,4,3,65,174,24
9189,4,1,15,34,4
9190,4,3,58,169,29
9191,4,1,31,89,11
9192,4,1,21,56,10
9193,4,2,16,61,9
9194,4,1,17,64,7
9195,4,1,44,128,21
9196,4,1,26,68,12
9197,4,1,35,100,10
9198,4,2,80,266,36
9199,4,3,60,160,33
9200,4,1,36,93,5
9201,4,1,30,95,12
9202,4,0,22,67,7
9203,4,0,13,41,6
9204,4,2,32,109,11
9205,4,1,30,113,15
9206,4,1,16,44,7
9207,4,0,8,33,2
9208,4,2,53,127,24
9209,4,1,8,27,5
9210,4,1,17,47,5
9211,4,2,61,144,27
9212,4,2,38,132,17
9213,4,1,12,33,7
9214,4,1,47,124,20
9215,4,2,44,119,21
9216,4,1,26,72,10
9217,4,3,68,154,36
9218,4,1,12,41,4
9219,4,2,54,142,24
9220,4,3,63,157,27
9221,4,1,12,43,4
9222,4,2,92,246,43
9223,4,2,71,176,32
9224,4,2,32,91,15
9225,4,1,23,50,11
9226,4,0,8,27,1
9227,4,2,34,97,16
9228,4,2,30,95,17
9229,4,2,47,114,17
9230,4,2,31,94,15
9231,4,1,15,36,3
9232,4,1,30,90,11
9233,4,1,22,58,12
9234,4,0,15,39,7
9235,4,1,40,98,20
9236,4,2,54,125,25
9237,4,2,40,116,22
9238,4,2,31,100,21
9239,4,2,25,61,16
9240,4,1,22,76,10
9241,4,1,17,38,9
9242,4,1,22,68,8
9243,4,2,41,156,17
9244,4,1,42,108,11
9245,4,1,13,38,4
9246,4,0,13,38,1
9247,4,3,66,153,30
9248,4,2,49,126,18
9249,4,2,53,122,20
9250,4,1,17,46,6
9251,4,2,56,138,25
9252,4,1,11,48,6
9253,4,1,21,49,10
9254,4,3,52,140,31
9255,4,3,68,209,28
9256,4,2,38,90,17
9257,4,3,64,183,32
9258,4,3,61,147,21
9259,4,2,30,77,13
9260,4,3,65,186,26
9261,4,1,11,30,6
9262,4,0,14,44,4
9263,4,3,63,168,26
9264,4,3,59,153,31
9265,4,1,20,68,6
9266,4,1,9,18,3
9267,4,1,37,101,20
9268,4,0,11,28,5
9269,4,2,44,94,24
9270,4,1,9,39,6
9271,4,1,26,80,12
9272,4,0,7,17,3
9273,4,0,37,94,11
9274,4,2,26,90,6
9275,4,1,7,37,3
9276,4,1,43,99,15
9277,4,2,56,157,22
9278,4,2,22,66,12
9279,4,1,86,237,28
9280,4,1,26,66,7
9281,4,2,50,124,17
9282,4,2,42,125,13
9283,4,1,30,68,12
9284,4,1,14,33,6
9285,4,2,35,84,20
9286,4,0,16,42,8
9287,4,2,47,117,21
9288,4,3,71,165,31
9289,4,0,11,36,5
9290,4,2,30,88,14
9291,4,2,53,136,24
9292,4,3,82,198,38
9293,4,0,73,163,25
9294,4,1,26,78,13
9295,4,2,21,103,5
9296,4,1,17,46,7
9297,4,1,25,78,11
9298,4,2,25,75,12
9299,4,1,9,37,1
9300,4,1,24,69,8
9301,4,3,87,218,49
9302,4,1,70,183,25
9303,4,1,5,17,2
9304,4,3,31,115,9
9305,4,0,38,102,15
9306,4,2,35,97,13
9307,4,2,42,121,24
9308,4,0,21,51,9
9309,4,2,24,86,10
9310,4,1,33,83,14
9311,4,0,10,43,4
9312,4,2,60,184,28
9313,4,0,24,51,10
9314,4,0,7,25,4
9315,4,2,49,134,23
9316,4,3,58,156,30
9317,4,2,49,123,30
9318,4,0,11,30,4
9319,4,3,75,185,39
9320,4,1,21,77,11
9321,4,1,20,65,6
9322,4,0,13,37,5
9323,4,1,12,31,5
9324,4,0,10,25,7
9325,4,3,80,206,32
9326,4,1,30,72,14
9327,4,3,77,192,43
