id,set,human_score,char_4,word_count
2978,2,4,190,476
2979,2,1,52,168
2980,2,2,71,220
2981,2,4,213,466
2982,2,4,150,422
2983,2,4,130,322
2984,2,5,228,520
2985,2,2,244,784
2986,2,4,138,331
2987,2,4,133,378
2988,2,3,102,333
2989,2,3,115,315
2990,2,5,200,485
2991,2,3,109,331
2992,2,3,46,93
2993,2,3,137,355
2994,2,4,236,655
2995,2,3,144,329
2996,2,1,71,148
2997,2,3,112,333
2998,2,3,85,319
2999,2,3,93,289
3000,2,3,76,196
3001,2,4,178,516
3002,2,3,193,494
3003,2,4,160,393
3004,2,4,96,198
3005,2,2,34,83
3006,2,3,102,277
3007,2,3,105,284
3008,2,4,136,425
3009,2,3,157,347
3010,2,3,72,172
3011,2,4,121,397
3012,2,3,85,296
3013,2,4,198,434
3014,2,4,132,374
3015,2,3,161,372
3016,2,3,129,312
3017,2,4,187,438
3018,2,3,161,448
3019,2,4,131,305
3020,2,4,259,729
3021,2,4,180,520
3022,2,4,140,321
3023,2,4,105,274
3024,2,4,264,668
3025,2,3,122,293
3026,2,4,123,373
3027,2,3,128,338
3028,2,5,207,502
3029,2,3,74,285
3030,2,4,148,381
3031,2,3,102,234
3032,2,4,224,479
3033,2,4,188,621
3034,2,4,313,737
3035,2,2,52,138
3036,2,3,106,264
3037,2,4,207,466
3038,2,2,30,92
3039,2,3,108,232
3040,2,3,134,397
3041,2,4,214,533
3042,2,4,120,295
3043,2,3,109,274
3044,2,3,79,248
3045,2,4,120,357
3046,2,3,89,233
3047,2,3,124,290
3048,2,3,165,530
3049,2,4,120,308
3050,2,2,111,323
3051,2,4,185,419
3052,2,4,131,393
3053,2,3,113,367
3054,2,3,170,423
3055,2,3,112,310
3056,2,3,144,321
3057,2,3,45,118
3058,2,3,138,369
3059,2,3,128,352
3060,2,4,159,368
3061,2,3,126,309
3062,2,3,150,319
3063,2,4,157,353
3064,2,3,113,338
3065,2,3,61,131
3066,2,1,25,71
3067,2,4,169,423
3068,2,2,89,240
3069,2,4,195,624
3070,2,3,107,281
3071,2,4,133,292
3072,2,4,235,699
3073,2,4,444,1066
3074,2,4,245,593
3075,2,4,272,623
3076,2,3,116,336
3077,2,5,249,600
3078,2,3,122,450
3079,2,3,127,424
3080,2,4,197,455
3081,2,4,125,324
3082,2,3,105,239
3083,2,3,122,313
3084,2,3,162,472
3085,2,3,65,182
3086,2,2,51,119
3087,2,2,68,153
3088,2,3,140,335
3089,2,3,134,306
3090,2,3,128,363
3091,2,2,52,175
3092,2,3,44,178
3093,2,3,100,248
3094,2,4,97,349
3095,2,2,50,151
3096,2,1,43,140
3097,2,3,164,445
3098,2,3,83,201
3099,2,4,228,596
3100,2,3,115,359
3101,2,3,89,194
3102,2,3,113,255
3103,2,3,97,299
3104,2,5,254,639
3105,2,3,77,206
3106,2,4,280,585
3107,2,3,188,443
3108,2,3,112,267
3109,2,3,150,424
3110,2,3,96,213
3111,2,3,125,320
3112,2,3,110,235
3113,2,3,107,266
3114,2,4,187,512
3115,2,4,150,395
3116,2,3,90,252
3117,2,3,119,310
3118,2,2,47,145
3119,2,4,233,506
3120,2,3,178,406
3121,2,4,179,405
3122,2,4,146,408
3123,2,4,117,269
3124,2,4,107,350
3125,2,4,238,649
3126,2,4,212,483
3127,2,3,147,408
3128,2,4,139,391
3129,2,4,319,914
3130,2,4,221,454
3131,2,4,117,287
3132,2,3,155,377
3133,2,4,180,441
3134,2,4,170,468
3135,2,3,83,291
3136,2,4,149,419
3137,2,3,129,320
3138,2,4,127,329
3139,2,3,103,356
3140,2,4,161,408
3141,2,3,168,441
3142,2,4,158,464
3143,2,3,133,341
3144,2,4,134,290
3145,2,4,209,539
3146,2,3,81,210
3147,2,2,37,95
3148,2,3,72,193
3149,2,3,142,419
3150,2,4,242,571
3151,2,3,158,371
3152,2,4,134,316
3153,2,4,281,724
3154,2,3,72,188
3155,2,3,63,195
3156,2,4,117,299
3157,2,4,192,473
3158,2,2,63,181
3159,2,1,55,178
3160,2,3,117,423
3161,2,3,164,380
3162,2,4,195,434
3163,2,5,151,357
3164,2,3,99,287
3165,2,4,86,270
3166,2,4,216,487
3167,2,3,91,234
3168,2,4,124,301
3169,2,3,165,366
3170,2,3,98,351
3171,2,5,232,544
3172,2,4,228,565
3173,2,3,175,488
3174,2,3,87,275
3175,2,4,240,597
3176,2,4,209,526
3177,2,1,55,173
3178,2,4,129,324
3179,2,4,121,384
3180,2,3,226,660
3181,2,4,249,594
