id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10,pos_18
2978,2,4,190,476,59,203,20,59
2979,2,1,52,168,22,64,4,25
2980,2,2,71,220,24,84,9,29
2981,2,4,213,466,99,172,23,66
2982,2,4,150,422,61,173,20,56
2983,2,4,130,322,48,140,15,42
2984,2,5,228,520,119,184,20,81
2985,2,2,244,784,83,351,33,112
2986,2,4,138,331,86,118,17,44
2987,2,4,133,378,54,160,17,54
2988,2,3,102,333,35,133,14,28
2989,2,3,115,315,55,124,11,40
2990,2,5,200,485,93,185,19,49
2991,2,3,109,331,39,145,10,37
2992,2,3,46,93,25,30,4,10
2993,2,3,137,355,57,153,13,37
2994,2,4,236,655,81,281,31,82
2995,2,3,144,329,60,135,11,36
2996,2,1,71,148,31,48,5,12
2997,2,3,112,333,34,143,18,32
2998,2,3,85,319,24,116,11,42
2999,2,3,93,289,33,133,14,21
3000,2,3,76,196,33,69,9,24
3001,2,4,178,516,68,215,17,49
3002,2,3,193,494,63,224,16,55
3003,2,4,160,393,77,141,18,55
3004,2,4,96,198,47,80,8,24
3005,2,2,34,83,15,35,4,7
3006,2,3,102,277,44,112,12,30
3007,2,3,105,284,50,110,15,31
3008,2,4,136,425,52,165,18,50
3009,2,3,157,347,84,156,13,44
3010,2,3,72,172,17,88,8,21
3011,2,4,121,397,37,193,17,41
3012,2,3,85,296,44,104,9,30
3013,2,4,198,434,84,182,22,52
3014,2,4,132,374,48,160,16,35
3015,2,3,161,372,75,159,15,44
3016,2,3,129,312,56,131,16,49
3017,2,4,187,438,101,187,19,56
3018,2,3,161,448,65,185,19,47
3019,2,4,131,305,80,137,19,35
3020,2,4,259,729,104,299,34,73
3021,2,4,180,520,63,222,19,71
3022,2,4,140,321,55,137,13,54
3023,2,4,105,274,29,108,13,20
3024,2,4,264,668,107,275,27,69
3025,2,3,122,293,66,98,9,40
3026,2,4,123,373,48,155,13,50
3027,2,3,128,338,73,140,17,57
3028,2,5,207,502,102,195,18,70
3029,2,3,74,285,23,101,13,48
3030,2,4,148,381,46,173,17,45
3031,2,3,102,234,42,124,11,38
3032,2,4,224,479,96,182,19,54
3033,2,4,188,621,72,236,30,54
3034,2,4,313,737,143,317,30,82
3035,2,2,52,138,27,52,6,22
3036,2,3,106,264,52,107,10,38
3037,2,4,207,466,89,227,23,56
3038,2,2,30,92,13,34,3,15
3039,2,3,108,232,43,106,8,26
3040,2,3,134,397,64,161,14,48
3041,2,4,214,533,92,235,26,60
3042,2,4,120,295,47,108,13,48
3043,2,3,109,274,46,112,13,31
3044,2,3,79,248,32,109,10,42
3045,2,4,120,357,43,136,18,47
3046,2,3,89,233,36,100,10,30
3047,2,3,124,290,58,121,14,26
3048,2,3,165,530,58,211,26,60
3049,2,4,120,308,66,120,15,27
3050,2,2,111,323,40,89,14,43
3051,2,4,185,419,99,165,19,59
3052,2,4,131,393,64,162,18,50
3053,2,3,113,367,49,132,15,46
3054,2,3,170,423,70,161,13,43
3055,2,3,112,310,44,109,14,38
3056,2,3,144,321,72,124,15,52
3057,2,3,45,118,20,40,6,9
3058,2,3,138,369,72,133,16,43
3059,2,3,128,352,49,142,16,38
3060,2,4,159,368,70,132,17,59
3061,2,3,126,309,58,124,13,35
3062,2,3,150,319,74,139,16,35
3063,2,4,157,353,78,149,12,55
3064,2,3,113,338,41,122,15,36
3065,2,3,61,131,37,48,6,10
3066,2,1,25,71,13,28,2,5
3067,2,4,169,423,84,152,19,62
3068,2,2,89,240,33,102,12,24
3069,2,4,195,624,75,239,30,73
3070,2,3,107,281,62,90,11,31
3071,2,4,133,292,67,111,15,50
3072,2,4,235,699,79,258,26,70
3073,2,4,444,1066,231,446,48,176
3074,2,4,245,593,122,230,23,86
3075,2,4,272,623,119,299,24,99
3076,2,3,116,336,56,111,17,45
3077,2,5,249,600,127,226,21,85
3078,2,3,122,450,48,185,13,49
3079,2,3,127,424,38,169,16,32
3080,2,4,197,455,82,196,20,59
3081,2,4,125,324,44,138,15,52
3082,2,3,105,239,47,96,12,20
3083,2,3,122,313,57,136,14,29
3084,2,3,162,472,79,199,24,51
3085,2,3,65,182,27,75,9,19
3086,2,2,51,119,8,63,9,3
3087,2,2,68,153,33,54,4,1
3088,2,3,140,335,57,132,19,47
3089,2,3,134,306,66,127,11,23
3090,2,3,128,363,43,158,20,31
3091,2,2,52,175,26,89,6,29
3092,2,3,44,178,8,82,8,16
3093,2,3,100,248,35,99,11,37
3094,2,4,97,349,37,135,12,37
3095,2,2,50,151,15,53,6,29
3096,2,1,43,140,8,66,6,13
3097,2,3,164,445,42,179,20,49
3098,2,3,83,201,32,65,10,21
3099,2,4,228,596,115,271,22,86
3100,2,3,115,359,55,120,13,55
3101,2,3,89,194,37,95,9,29
3102,2,3,113,255,53,126,12,38
3103,2,3,97,299,46,128,17,23
3104,2,5,254,639,119,287,32,72
3105,2,3,77,206,38,73,6,15
3106,2,4,280,585,127,243,26,83
3107,2,3,188,443,88,177,14,45
3108,2,3,112,267,61,105,9,37
3109,2,3,150,424,64,161,17,52
3110,2,3,96,213,52,82,8,28
3111,2,3,125,320,43,135,15,57
3112,2,3,110,235,61,101,12,24
3113,2,3,107,266,46,125,15,28
3114,2,4,187,512,70,214,23,53
3115,2,4,150,395,56,165,13,42
3116,2,3,90,252,35,88,13,34
3117,2,3,119,310,42,124,12,42
3118,2,2,47,145,20,48,7,23
3119,2,4,233,506,121,222,21,57
3120,2,3,178,406,76,152,20,66
3121,2,4,179,405,90,180,15,58
3122,2,4,146,408,61,145,15,68
3123,2,4,117,269,54,95,13,36
3124,2,4,107,350,48,138,14,46
3125,2,4,238,649,77,311,27,75
3126,2,4,212,483,106,191,19,75
