id,set,human_score,char_4,word_count,char_6
11827,5,2,48,132,24
11828,5,2,65,167,29
11829,5,3,47,109,26
11830,5,1,35,71,9
11831,5,3,45,127,24
11832,5,3,55,150,28
11833,5,3,66,170,36
11834,5,4,92,212,37
11835,5,3,66,158,32
11836,5,3,48,146,19
11837,5,1,11,38,3
11838,5,1,74,199,23
11839,5,1,27,79,9
11840,5,1,25,92,13
11841,5,2,45,103,17
11842,5,2,43,143,17
11843,5,4,65,156,23
11844,5,3,65,158,21
11845,5,2,48,131,24
11846,5,2,42,113,16
11847,5,4,73,186,31
11848,5,2,58,177,24
11849,5,2,45,130,24
11850,5,4,76,190,37
11851,5,2,34,106,14
11852,5,2,50,122,21
11853,5,2,40,84,23
11854,5,1,16,49,9
11855,5,3,56,149,25
11856,5,4,68,162,33
11857,5,4,90,230,47
11858,5,3,37,91,12
11859,5,2,40,118,16
11860,5,3,52,143,26
11861,5,3,48,147,17
11862,5,3,39,100,17
11863,5,3,47,143,22
11864,5,2,40,120,20
11865,5,3,67,145,25
11866,5,4,123,250,60
11867,5,2,36,94,18
11868,5,3,42,101,24
11869,5,3,42,114,14
11870,5,2,35,97,11
11871,5,1,14,51,5
11872,5,3,58,148,24
11873,5,3,61,158,32
11874,5,3,57,138,34
11875,5,3,43,141,19
11876,5,2,29,81,16
11877,5,2,23,51,12
11878,5,3,75,213,27
11879,5,2,22,66,7
11880,5,1,11,39,5
11881,5,3,39,118,10
11882,5,3,56,128,15
11883,5,3,69,179,24
11884,5,4,124,284,68
11885,5,2,36,98,6
11886,5,3,60,176,33
11887,5,2,29,72,13
11888,5,1,16,58,6
11889,5,2,38,85,15
11890,5,2,35,79,19
11891,5,3,66,148,38
11892,5,2,31,96,15
11893,5,3,50,151,24
11894,5,2,38,106,15
11895,5,3,40,124,24
11896,5,3,61,143,27
11897,5,3,44,109,21
11898,5,3,68,148,32
11899,5,3,48,141,22
11900,5,3,86,194,36
11901,5,3,71,166,24
11902,5,1,14,54,3
11903,5,1,12,30,5
11904,5,3,66,152,15
11905,5,3,52,118,21
11906,5,4,74,191,36
11907,5,2,21,71,13
11908,5,3,40,97,19
11909,5,2,35,74,14
11910,5,1,23,67,10
11911,5,3,52,131,22
11912,5,2,18,50,9
11913,5,2,37,109,16
11914,5,1,24,64,11
11915,5,2,36,101,15
11916,5,3,69,161,28
11917,5,2,43,126,17
11918,5,2,20,55,15
11919,5,1,24,68,10
11920,5,3,54,128,27
11921,5,3,33,107,15
11922,5,2,32,93,8
11923,5,2,60,139,27
11924,5,2,44,104,22
11925,5,2,37,101,16
11926,5,1,38,94,20
11927,5,2,21,62,5
11928,5,3,71,170,40
11929,5,2,54,129,31
11930,5,2,29,67,16
11931,5,3,36,106,18
11932,5,4,103,280,44
11933,5,3,60,147,29
11934,5,3,45,139,17
11935,5,1,11,21,4
11936,5,2,60,143,32
11937,5,4,120,307,61
