id,set,human_score,char_4,word_count,char_6,vocabulory_score,word_10
14834,6,2,48,122,25,46,6
14835,6,3,81,180,38,80,9
14836,6,4,70,166,34,69,8
14837,6,1,89,193,35,70,7
14838,6,3,74,162,37,67,7
14839,6,4,88,168,45,65,9
14840,6,3,67,148,34,65,6
14841,6,3,62,128,36,58,5
14842,6,3,51,114,24,56,5
14843,6,3,54,130,27,59,4
14844,6,3,100,233,60,95,13
14845,6,4,137,312,74,135,13
14846,6,4,88,213,44,76,9
14847,6,3,88,195,46,81,9
14848,6,2,55,135,29,51,4
14849,6,3,72,152,39,66,7
14850,6,1,54,141,34,42,7
14851,6,3,52,126,26,56,7
14852,6,3,36,87,17,42,3
14853,6,2,42,88,22,36,4
14854,6,3,53,114,33,46,5
14855,6,4,103,244,51,96,11
14856,6,2,65,177,28,74,8
14857,6,4,108,233,57,103,10
14858,6,3,49,116,23,55,5
14859,6,2,59,167,33,63,8
14860,6,3,97,210,52,88,10
14861,6,3,83,198,42,83,10
14862,6,3,64,159,29,67,6
14863,6,3,46,109,28,46,5
14864,6,4,70,169,44,71,6
14865,6,3,80,175,37,82,10
14866,6,2,25,63,13,28,4
14867,6,2,40,102,22,45,4
14868,6,3,86,204,53,74,8
14869,6,2,68,146,24,68,7
14870,6,2,59,130,26,54,7
14871,6,3,65,134,38,53,6
14872,6,3,65,144,40,60,5
14873,6,2,47,112,25,43,6
14874,6,1,26,112,12,53,2
14875,6,3,47,101,16,38,5
14876,6,3,98,197,46,82,9
14877,6,2,29,100,15,40,5
14878,6,2,57,135,33,52,6
14879,6,3,55,129,33,61,8
14880,6,3,69,158,29,60,6
14881,6,4,82,194,54,70,10
14882,6,4,103,224,59,86,8
14883,6,3,109,220,55,90,11
14884,6,3,56,149,32,70,7
14885,6,2,71,185,25,87,9
14886,6,3,78,164,40,71,8
14887,6,3,82,179,44,76,7
14888,6,2,61,174,34,71,4
14889,6,3,71,169,43,71,7
14890,6,3,62,166,29,70,8
14891,6,1,42,130,25,53,5
14892,6,3,100,200,52,85,10
14893,6,2,34,84,20,33,4
14894,6,4,74,186,37,85,8
14895,6,2,67,161,29,66,8
14896,6,4,119,260,60,106,7
14897,6,3,80,177,50,81,9
14898,6,4,87,191,45,76,7
14899,6,1,43,104,19,45,4
14900,6,3,63,136,35,53,7
14901,6,1,15,32,11,14,2
14902,6,4,92,212,46,81,9
14903,6,3,79,163,51,67,9
14904,6,3,92,197,48,71,9
14905,6,1,29,74,13,34,3
14906,6,3,46,112,22,48,6
14907,6,3,54,116,27,51,5
14908,6,2,67,146,36,63,6
14909,6,3,60,142,36,65,5
14910,6,3,45,86,22,32,3
14911,6,1,26,65,16,24,3
14912,6,3,43,104,24,51,4
14913,6,3,68,152,42,58,7
14914,6,3,77,177,41,66,8
14915,6,3,44,111,22,51,5
14916,6,3,73,162,42,68,6
14917,6,3,68,164,35,64,5
14918,6,3,74,168,41,77,9
